Names	Number	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
Numbers	NA	1799	1568	2918	1741	869	2150	126	2342	861	2555	1262	2393	2569	1431	2038	3481	1478	1351	1483	728	2548	1368	1724	1792	3286	963	3286	1713	1667	1073	1502	1145	651
?|100133144	4	NA	1.23902512966337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.13511884208612	NA	NA	NA	NA	NA	1.27199698232328	NA	NA	NA	NA	NA	NA	NA	NA	1.20629613112781	NA	NA	NA	NA	NA
?|155060	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.19790418394951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
?|340602	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.68167188042829	-1.19964232463212	NA	NA	NA	NA	NA	NA	NA	-1.08857831748207	NA	-1.54812018093095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
?|388795	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.76045543696671	-1.46243502043708	NA	NA	NA	-1.19465701161241	-1.08127846336726	NA	NA	-1.30668976141123	NA	NA	NA	NA	NA	NA	-1.02218447122006	NA	NA	NA	NA	NA
?|553137	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.42714750215238	NA	NA	NA	NA	NA	NA	NA	1.40805132173843	NA	NA	NA	NA
?|57714	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.01221062659582	NA	1.10634712660265	1.17286020879447	NA	NA	NA	NA	NA	NA	NA	1.12931089086141	NA	2.01896830299432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
?|652919	9	NA	NA	1.38045437093952	NA	NA	NA	NA	NA	1.96758618174319	2.15107752496805	NA	1.08024835803956	1.93040579534036	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.66878595938763	NA	1.4791940390249	1.04287898526981	NA	NA	1.61283183765003	NA	NA	NA	NA
?|653553	6	NA	NA	-1.06920840958421	NA	NA	NA	NA	NA	NA	NA	NA	-1.22495913191697	-1.19048425414506	NA	NA	-1.61685716352734	NA	NA	NA	NA	NA	NA	-1.5572007839278	NA	NA	NA	NA	NA	NA	NA	NA	-1.98514395486657	NA
?|728788	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.87949904069094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.29374787863578	NA	NA	NA	1.06966734236755	NA	NA	NA	NA
