Sample_ID	bcr_patient_barcode	type	AR	ERALPHA	ERALPHA_pS118	PR
TCGA-FI-A2EY-01	TCGA-FI-A2EY	UCEC	-0.51233	-0.94558	-0.30209	-0.13888
TCGA-DF-A2KS-01	TCGA-DF-A2KS	UCEC	-0.77378	0.76265	-0.24002	-0.14902
TCGA-A5-A1OH-01	TCGA-A5-A1OH	UCEC	-0.30769	-0.17226	-0.23059	-0.056082
TCGA-AX-A2H7-01	TCGA-AX-A2H7	UCEC	1.0137	3.6981	0.90911	0.17392
TCGA-AX-A2HA-01	TCGA-AX-A2HA	UCEC	-0.13158	0.83948	0.54839	0.42633
TCGA-A5-A2K4-01	TCGA-A5-A2K4	UCEC	-0.71327	0.9824	-0.29717	-0.26638
TCGA-EY-A2OM-01	TCGA-EY-A2OM	UCEC	-0.41799	1.3435	-0.014491	-0.13192
TCGA-EY-A2ON-01	TCGA-EY-A2ON	UCEC	-0.22355	-0.74634	-0.65303	0.1681
TCGA-E6-A2P8-01	TCGA-E6-A2P8	UCEC	-0.27712	0.12339	-0.40391	0.00057451
TCGA-E6-A2P9-01	TCGA-E6-A2P9	UCEC	1.214	3.7254	1.1221	1.7516
TCGA-BG-A2L7-01	TCGA-BG-A2L7	UCEC	-0.35647	4.2852	1.2713	1.5311
TCGA-AJ-A23N-01	TCGA-AJ-A23N	UCEC	0.49863	0.17197	-0.28619	-0.017748
TCGA-EO-A22T-01	TCGA-EO-A22T	UCEC	1.1451	3.1032	-0.22273	0.41966
TCGA-EO-A22S-01	TCGA-EO-A22S	UCEC	0.10606	0.86478	-0.4328	0.40126
TCGA-EO-A22R-01	TCGA-EO-A22R	UCEC	-0.80477	0.80824	-0.059938	-0.045116
TCGA-BG-A0MK-01	TCGA-BG-A0MK	UCEC	0.00034737	1.0688	0.044547	-0.14951
TCGA-BK-A13B-01	TCGA-BK-A13B	UCEC	0.24714	2.6172	0.49549	1.4166
TCGA-AJ-A2QL-01	TCGA-AJ-A2QL	UCEC	0.58372	2.73	0.9139	1.5111
TCGA-DI-A2QT-01	TCGA-DI-A2QT	UCEC	-0.48423	-1.4942	-0.14257	-0.37761
