Sample_ID	bcr_patient_barcode	type	AR	ESR1	ESR2	PGR
TCGA-02-0047-01	TCGA-02-0047	GBM	6.84472459228	4.82139388937	4.05272019141	2.46774899737
TCGA-02-0055-01	TCGA-02-0055	GBM	4.37453874668	4.48701677963	6.79444316032	3.25255190444
TCGA-02-2483-01	TCGA-02-2483	GBM	2.56323136179	3.71007353754	2.92579059232	0.34084707705
TCGA-02-2485-01	TCGA-02-2485	GBM	6.62309721144	2.83650992386	4.32192809489	3.1775351483
TCGA-02-2486-01	TCGA-02-2486	GBM	4.64385618977	4.80986714483	3.80986714483	2.28628975813
TCGA-04-1348-01	TCGA-04-1348	OV	6.81244431579	10.5984403934	2.96306715259	7.44317563499
TCGA-04-1357-01	TCGA-04-1357	OV	7.8320330013	11.8542738891	4.23880214229	6.44691125002
TCGA-04-1362-01	TCGA-04-1362	OV	7.12582258507	11.6468551837	4.65265283983	8.65010932514
TCGA-04-1364-01	TCGA-04-1364	OV	5.89149938835	10.184806429	3.8496790697	8.13041714765
TCGA-04-1365-01	TCGA-04-1365	OV	6.01766139787	12.0435350776	3.39874711166	5.07682414633
TCGA-04-1514-01	TCGA-04-1514	OV	8.97075905488	12.2957464675	5.3932274076	10.5122702513
TCGA-04-1519-01	TCGA-04-1519	OV	10.3148078726	11.9636960961	2.63934794472	2.73889751143
TCGA-05-4244-01	TCGA-05-4244	LUAD	2.3884926504	11.9337032674	2.94103116862	4.32607708492
TCGA-05-4249-01	TCGA-05-4249	LUAD	3.22291272821	9.24068807443	3.5348584514	4.80788037955
TCGA-05-4250-01	TCGA-05-4250	LUAD	2.99244215631	4.59731067114	2.72940049909	5.30230077036
TCGA-05-4382-01	TCGA-05-4382	LUAD	3.69180213292	5.98676587649	4.8557804515	5.46603647947
TCGA-05-4384-01	TCGA-05-4384	LUAD	4.87390668512	6.99630512918	3.09629559202	6.14692602783
TCGA-05-4389-01	TCGA-05-4389	LUAD	3.55397480824	7.64868904918	3.4690784661	3.06855043776
TCGA-05-4390-01	TCGA-05-4390	LUAD	1.35315388454	6.44060842103	4.30734108648	3.99700329764
TCGA-05-4395-01	TCGA-05-4395	LUAD	0.102725310011	7.61046532166	2.85756305051	2.68764302531
TCGA-05-4396-01	TCGA-05-4396	LUAD	6.28705666993	4.40791014106	3.18551771973	4.77048022045
TCGA-05-4397-01	TCGA-05-4397	LUAD	2.86568131434	4.88737416977	3.54920092727	6.01490869606
TCGA-05-4398-01	TCGA-05-4398	LUAD	3.19130996745	9.61917252915	3.8433909715	4.72475394125
TCGA-05-4402-01	TCGA-05-4402	LUAD	5.89122960193	5.99856335252	4.71689763734	6.09214822684
TCGA-05-4403-01	TCGA-05-4403	LUAD	3.93456367855	4.96056267802	1.61263558366	4.68676943168
TCGA-05-4405-01	TCGA-05-4405	LUAD	4.31316602239	6.3370152628	3.65420637794	5.7282062432
TCGA-05-4410-01	TCGA-05-4410	LUAD	3.93456367855	6.13619959085	4.47062145907	6.2523040039
TCGA-05-4415-01	TCGA-05-4415	LUAD	5.94901659024	2.0	4.28950989604	1.15198866642
TCGA-05-4417-01	TCGA-05-4417	LUAD	4.96039586729	10.1425390351	3.86924959102	6.33437341001
TCGA-05-4418-01	TCGA-05-4418	LUAD	1.2181611871	6.77277906509	4.65876559977	3.83709553566
TCGA-05-4420-01	TCGA-05-4420	LUAD	3.11726283426	2.71672756482	3.74529112289	3.68757584458
TCGA-05-4422-01	TCGA-05-4422	LUAD	6.36625576131	7.86718914773	5.83869466002	3.86907188031
TCGA-05-4424-01	TCGA-05-4424	LUAD	8.2529132709	7.00244712365	4.93098328428	6.42283848253
TCGA-05-4425-01	TCGA-05-4425	LUAD	2.4843959625	7.18482774806	4.11665586158	5.3122077249
TCGA-05-4426-01	TCGA-05-4426	LUAD	3.80023727256	7.06582539001	2.70507109573	3.88950274659
TCGA-05-4427-01	TCGA-05-4427	LUAD	2.71347587505	10.4340559355	2.82040364786	4.10050676132
TCGA-05-4430-01	TCGA-05-4430	LUAD	4.89069474097	8.6334646326	2.59946062772	5.83123376109
TCGA-05-4432-01	TCGA-05-4432	LUAD	5.45423841739	5.52823998604	4.08895568231	4.45424170806
TCGA-05-4433-01	TCGA-05-4433	LUAD	4.11731271107	4.76938562916	2.72499944461	5.50635122333
TCGA-05-4434-01	TCGA-05-4434	LUAD	4.58289315444	9.33576504942	3.28123829456	5.3863557223
TCGA-05-5420-01	TCGA-05-5420	LUAD	-0.16004041251	6.72263951998	3.42496238639	3.16191992101
TCGA-05-5423-01	TCGA-05-5423	LUAD	3.13606010688	9.04295207004	2.13606010688	5.48183494372
TCGA-05-5425-01	TCGA-05-5425	LUAD	2.76283778194	5.08477437912	3.93276986863	4.5702018136
TCGA-05-5428-01	TCGA-05-5428	LUAD	None	6.57063293558	4.1947647326	3.50289066403
TCGA-05-5429-01	TCGA-05-5429	LUAD	2.62928666953	2.62928666953	2.79921167098	5.1211314752
TCGA-05-5715-01	TCGA-05-5715	LUAD	2.96493457564	9.31896821209	1.64302495801	5.19759808438
TCGA-06-0125-01	TCGA-06-0125	GBM	7.04442034994	3.79203280256	3.0264990977	0.289480386138
TCGA-06-0125-02	TCGA-06-0125	GBM	8.22944372293	4.48328051066	4.30494174172	2.64198524437
TCGA-06-0129-01	TCGA-06-0129	GBM	6.88579275313	3.30585381697	4.04281065795	4.07843905103
TCGA-06-0130-01	TCGA-06-0130	GBM	5.27350470019	5.19443381213	3.29261980498	1.04467388763
TCGA-06-0132-01	TCGA-06-0132	GBM	4.885266856	2.59249291732	2.4404738773	3.85552134321
TCGA-06-0138-01	TCGA-06-0138	GBM	2.78887360367	3.92636953625	2.05189409233	1.46691419497
TCGA-06-0141-01	TCGA-06-0141	GBM	4.28593480794	3.94489591792	6.95089528048	4.73844359923
TCGA-06-0152-02	TCGA-06-0152	GBM	5.94738329352	4.64071924819	3.33138993284	2.12974460551
TCGA-06-0156-01	TCGA-06-0156	GBM	6.75711661317	4.98574177008	2.82820504629	-0.872234671851
TCGA-06-0157-01	TCGA-06-0157	GBM	6.19916780407	3.95124274505	2.65168318063	0.951214764421
TCGA-06-0158-01	TCGA-06-0158	GBM	8.06475839049	4.37141946505	3.27625843007	2.98675677652
TCGA-06-0168-01	TCGA-06-0168	GBM	6.19760005005	5.36752483309	2.19761380969	3.78256582689
TCGA-06-0171-02	TCGA-06-0171	GBM	6.77488455351	6.0834708174	4.08346868991	4.75666039296
TCGA-06-0174-01	TCGA-06-0174	GBM	5.38735564721	2.33425361714	3.18224734497	None
TCGA-06-0178-01	TCGA-06-0178	GBM	5.4786385881	1.6206333266	3.08009480018	-0.379319758776
TCGA-06-0184-01	TCGA-06-0184	GBM	6.24826347041	3.7794908693	6.19130601892	3.67257243279
TCGA-06-0187-01	TCGA-06-0187	GBM	6.89970373232	3.86894352007	4.01095882207	1.01099461607
TCGA-06-0190-01	TCGA-06-0190	GBM	4.89591331053	5.20711196121	7.36502582951	3.14102399122
TCGA-06-0190-02	TCGA-06-0190	GBM	5.64066719718	6.25733692315	6.49754051647	2.31875066935
TCGA-06-0210-01	TCGA-06-0210	GBM	5.10290583713	3.95316278447	6.88979718781	2.41259186282
TCGA-06-0210-02	TCGA-06-0210	GBM	6.35893597595	4.88879194664	5.41748799851	3.2799912259
TCGA-06-0211-01	TCGA-06-0211	GBM	5.63013459124	3.6301375042	3.19949960366	-1.32409376211
TCGA-06-0211-02	TCGA-06-0211	GBM	4.223159937	3.67883813334	3.00077524026	1.90122411748
TCGA-06-0219-01	TCGA-06-0219	GBM	3.08431943592	3.29076350941	0.383828687162	3.08431943592
TCGA-06-0221-02	TCGA-06-0221	GBM	4.28901552548	3.2515373243	4.49546492696	4.88625260347
TCGA-06-0238-01	TCGA-06-0238	GBM	5.0638782358	3.96078042967	3.11278352312	2.20589292751
TCGA-06-0644-01	TCGA-06-0644	GBM	5.83569926707	5.00170768087	6.72607371227	1.70052849664
TCGA-06-0645-01	TCGA-06-0645	GBM	4.19344848043	3.8715184142	3.70802165325	3.2340873984
TCGA-06-0646-01	TCGA-06-0646	GBM	5.64883354791	5.83786757408	2.9118641198	1.8123339233
TCGA-06-0649-01	TCGA-06-0649	GBM	6.72228840903	5.50284293992	2.37356469546	2.37356469546
TCGA-06-0686-01	TCGA-06-0686	GBM	4.23786195459	2.95774748142	2.95774748142	2.95774748142
TCGA-06-0743-01	TCGA-06-0743	GBM	4.36930594261	3.83879045031	2.99079152718	0.0839281550624
TCGA-06-0744-01	TCGA-06-0744	GBM	4.39668012471	4.11128175854	2.81171762399	1.43322654829
TCGA-06-0745-01	TCGA-06-0745	GBM	3.40690396375	3.40690396375	2.46349167726	-0.237013435119
TCGA-06-0747-01	TCGA-06-0747	GBM	5.06949165801	2.66739260067	6.96332730379	0.444985039522
TCGA-06-0749-01	TCGA-06-0749	GBM	3.35598882489	3.09295160099	2.35600291516	3.43398762891
TCGA-06-0750-01	TCGA-06-0750	GBM	0.126047755206	3.37391264639	3.12599817948	3.37391264639
TCGA-06-0878-01	TCGA-06-0878	GBM	5.47627798608	4.47627798608	1.08392815506	0.0839281550624
TCGA-06-0882-01	TCGA-06-0882	GBM	6.06850959467	3.2305719419	2.60906937734	3.07855860172
TCGA-06-1804-01	TCGA-06-1804	GBM	9.07286575991	3.58224286326	6.57529266294	3.6891649501
TCGA-06-2557-01	TCGA-06-2557	GBM	6.47378204202	5.48720333933	2.53967994873	3.59029062142
TCGA-06-2558-01	TCGA-06-2558	GBM	5.70100004085	4.05889657444	4.05889657444	3.10196936981
TCGA-06-2559-01	TCGA-06-2559	GBM	6.37323232395	4.62404238999	5.25927625386	1.06942721046
TCGA-06-2561-01	TCGA-06-2561	GBM	6.19454806706	4.87262194201	5.17217945379	4.21657126941
TCGA-06-2562-01	TCGA-06-2562	GBM	5.97029919592	4.42597618684	5.92847929094	2.84100697455
TCGA-06-2563-01	TCGA-06-2563	GBM	7.11645937222	4.6716726812	4.30910341047	2.91678234874
TCGA-06-2564-01	TCGA-06-2564	GBM	7.13364263672	3.80760222001	4.88776894865	2.84823733569
TCGA-06-2565-01	TCGA-06-2565	GBM	7.42432335973	4.05151131769	3.46654881696	0.766128674991
TCGA-06-2567-01	TCGA-06-2567	GBM	7.20444398586	3.40951313572	7.38403771519	2.22508979887
TCGA-06-2569-01	TCGA-06-2569	GBM	3.37622091445	1.72412635391	3.16472192813	0.50171937658
TCGA-06-2570-01	TCGA-06-2570	GBM	7.46998362832	3.04568759308	3.65866850185	2.95823021167
TCGA-06-5408-01	TCGA-06-5408	GBM	5.82128417959	3.67926614252	1.99120889753	0.406210108532
TCGA-06-5410-01	TCGA-06-5410	GBM	5.31786479839	5.83981853499	3.03247116967	3.78734887606
TCGA-06-5411-01	TCGA-06-5411	GBM	2.20291916882	3.05090214864	1.88095973858	4.09043004232
TCGA-06-5412-01	TCGA-06-5412	GBM	5.60746643855	5.10627293287	8.61918078433	2.08389412562
TCGA-06-5413-01	TCGA-06-5413	GBM	6.11153007471	4.30417515265	2.71920534912	2.9118641198
TCGA-06-5414-01	TCGA-06-5414	GBM	7.03808604506	4.29392220513	6.30112118272	1.97199411025
TCGA-06-5415-01	TCGA-06-5415	GBM	5.98541390244	3.19099405113	4.27846060944	3.61726321444
TCGA-06-5416-01	TCGA-06-5416	GBM	4.96685955727	1.15950002202	4.96685955727	2.38189244336
TCGA-06-5417-01	TCGA-06-5417	GBM	5.83925166714	3.73971851349	3.93236359143	None
TCGA-06-5418-01	TCGA-06-5418	GBM	6.73071738662	2.31118338533	2.89613619615	-0.0107156402523
TCGA-06-5856-01	TCGA-06-5856	GBM	5.57449210941	4.55984663094	3.89933033479	1.75249170889
TCGA-06-5858-01	TCGA-06-5858	GBM	7.9853774681	4.56687602594	4.3582907568	2.86643326426
TCGA-06-5859-01	TCGA-06-5859	GBM	6.14697081786	4.38867862019	3.00401591784	-0.165855133937
TCGA-08-0386-01	TCGA-08-0386	GBM	7.83567716335	2.45486022121	5.46980459452	0.454807592112
TCGA-09-0364-01	TCGA-09-0364	OV	6.07261177005	3.76033806087	5.66080029607	5.12023165546
