ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	67/1593	365/18511	2.10998878782256e-09	1.2343434408762e-06	1.07276272054557e-06	MFAP4/EMILIN2/WNT9A/GPC3/COL8A2/LAMA5/MAMDC2/HSD17B12/COL21A1/LRFN4/NTN1/TIMP1/ACAN/MFAP5/COL22A1/COL4A2/WNT10B/COL17A1/NCAN/ANOS1/WNT11/FRAS1/CYR61/WNT5B/ABI3BP/EFEMP2/LAMC2/WNT6/LAMA4/FLRT2/LRRN1/COL14A1/SMOC1/LRRN3/PI3/COL3A1/MGP/WISP1/MMP9/CHAD/WNT5A/SPN/ANG/COL10A1/ELN/CPZ/COL1A2/IL1RL1/HPSE/ZP1/COL5A3/RTBDN/CHADL/LAMB4/MMRN2/GPC5/LAMA1/MUC4/FBLN1/TIMP4/COL2A1/FREM1/FREM2/MATN3/SPOCK1/CILP/COL7A1	67
GO:0044420	extracellular matrix component	28/1593	120/18511	8.51783483070441e-07	0.000249146668798104	0.000216532327538433	MFAP4/COL8A2/LAMA5/NTN1/TIMP1/MFAP5/COL4A2/COL17A1/FRAS1/EFEMP2/LAMC2/LAMA4/COL14A1/SMOC1/COL3A1/SPN/ANG/ELN/COL1A2/COL5A3/LAMB4/MMRN2/LAMA1/FBLN1/COL2A1/FREM1/FREM2/COL7A1	28
GO:0051233	spindle midzone	11/1593	31/18511	3.10271010742896e-05	0.00479629091703086	0.00416843637053694	AURKB/CDCA8/EML1/BUB1B/CDC6/MAP9/KIF18A/PLK1/KIF14/AURKA/APP	11
GO:0005604	basement membrane	21/1593	93/18511	3.27951515694418e-05	0.00479629091703086	0.00416843637053694	COL8A2/LAMA5/NTN1/TIMP1/COL4A2/COL17A1/FRAS1/EFEMP2/LAMC2/LAMA4/SMOC1/SPN/ANG/LAMB4/MMRN2/LAMA1/FBLN1/COL2A1/FREM1/FREM2/COL7A1	21
GO:0005581	collagen trimer	20/1593	88/18511	4.54160615024479e-05	0.0053136791957864	0.00461809635909101	EMILIN2/COL8A2/MARCO/COL21A1/COL22A1/COL4A2/COL17A1/COL14A1/COL3A1/COL10A1/C1QL3/COL1A2/COLEC12/COL5A3/C1QA/C1QTNF2/COL23A1/C1QTNF8/COL2A1/COL7A1	20
GO:0097060	synaptic membrane	46/1593	295/18511	5.72400947865325e-05	0.00558090924168692	0.0048503448740167	ANK2/P2RY1/GRM8/CABP1/MPDZ/KCTD8/GABRG1/GRIN2D/DLG2/CHRM2/FAIM2/RIMS2/STRN/MAGEE1/GRIA1/KCTD12/GRIP1/CAMK2N1/SNAP25/EPHA7/SNPH/GRM1/LRRTM1/ADGRB1/GRIN2A/KCNC3/SLC8A1/GLRB/GRM6/PALM/GABRA5/GRIA3/GABRB3/GRIK4/ANK3/CNIH2/ATP2B1/SNCAIP/NTRK2/GABRB2/CLSTN2/CHRNA5/FOSL1/IGSF9B/NSMF/BAALC	46
GO:0071682	endocytic vesicle lumen	8/1593	19/18511	9.40547457613243e-05	0.00786028946719639	0.00683134469213829	APOE/SAA1/HPX/HBA1/HP/HBA2/HBB/APOA1	8
GO:0005874	microtubule	56/1593	393/18511	0.000122816721461768	0.00898097275689182	0.00780532585079397	SAA1/DNAH17/KIF27/SKA1/KIF21A/AURKB/TUBA8/STMN1/NEK6/SPAG5/CLMP/KIFC1/KIF21B/DYNC1I1/EML1/LRRC49/MID1IP1/DNAH12/MAP1LC3C/KIF3C/KIF23/KIF18B/DNAH7/PRC1/PSRC1/MAP9/NEK2/SNPH/KIF15/KIF18A/FSD1/GTSE1/TEKT2/SVIL/DNAI1/SYBU/ASPM/PLK1/SLC8A1/SCTR/KIF14/CDK1/TUBB4A/KIF26B/GAS2L3/FGF13/DYNLT3/DNM1/DCLK2/MAP2/EML3/MAP1B/BIRC5/AURKA/MID2/KIF2C	56
GO:0005788	endoplasmic reticulum lumen	45/1593	299/18511	0.000159275873667657	0.0103529317883977	0.00899768970543604	APOE/SERPIND1/PTGS2/TRDN/GPC3/COL8A2/ERP27/COL21A1/TIMP1/COL22A1/COL4A2/CASQ1/COL17A1/PCSK9/PTPRN2/IGFBP1/CYR61/ARSD/WNT5B/WNT6/ARSG/COL14A1/MZB1/COLGALT2/COL3A1/HRC/WNT5A/COL10A1/CFP/COL1A2/CDH2/COL5A3/ARSE/COL23A1/ALB/PPIB/P4HB/COL2A1/APOA1/MATN3/APP/CLN6/MELTF/COL7A1/SCG2	45
GO:0098794	postsynapse	58/1593	424/18511	0.000281675818092951	0.0159586333399345	0.0138695814722238	ANK2/OPHN1/P2RY1/CABP1/MPDZ/KCTD8/CTTNBP2/GABRG1/GRIN2D/DLG2/CHRM2/FAIM2/STRN/MAGEE1/GRIA1/KCTD12/DRD4/GRIP1/CAMK2N1/SNAP25/EPHA7/GRM1/LRRTM1/ADGRB1/SNCA/GRIN2A/KCNC3/SLC8A1/CDH2/GLRB/PALM/GABRA5/GRIA3/GABRB3/GRIK4/ANK3/CNIH2/CTNNA2/CALB1/ATP2B1/NRGN/NTRK2/GABRB2/MOB4/SORCS3/MAP2/CLSTN2/MAP1B/IGF2BP1/ZMYND8/CHRNA5/ACTN2/IGSF9B/SPOCK1/NSMF/APP/ARHGAP44/BAALC	58
GO:0000780	condensed nuclear chromosome, centromeric region	8/1593	22/18511	0.000314760180389409	0.0159586333399345	0.0138695814722238	CENPA/AURKB/SGO1/BUB1/BUB1B/NDC80/PLK1/AURKA	8
GO:0000779	condensed chromosome, centromeric region	22/1593	116/18511	0.000329186744845883	0.0159586333399345	0.0138695814722238	SGO2/SKA1/CENPA/NUF2/AURKB/SGO1/CDT1/BUB1/SPAG5/SPC25/HJURP/DYNC1I1/BUB1B/ZWINT/NEK2/NDC80/CENPM/PLK1/DYNLT3/BIRC5/AURKA/KIF2C	22
GO:0005875	microtubule associated complex	26/1593	148/18511	0.000354636296442988	0.0159586333399345	0.0138695814722238	DNAH17/KIF27/KIF21A/AURKB/CDCA8/KIFC1/KIF21B/DYNC1I1/EML1/CCDC114/DNAH12/KIF3C/KIF23/KIF18B/DNAH7/KIF15/KIF18A/DNAI1/KIF14/KIF26B/DYNLT3/MAP2/MAP1B/BIRC5/AURKA/KIF2C	26
GO:0045211	postsynaptic membrane	35/1593	225/18511	0.000438625120174778	0.0169530844254981	0.0147338547503654	ANK2/P2RY1/CABP1/MPDZ/KCTD8/GABRG1/GRIN2D/DLG2/CHRM2/FAIM2/STRN/MAGEE1/GRIA1/KCTD12/GRIP1/CAMK2N1/EPHA7/LRRTM1/ADGRB1/GRIN2A/SLC8A1/GLRB/GABRA5/GRIA3/GABRB3/GRIK4/ANK3/CNIH2/NTRK2/GABRB2/CLSTN2/CHRNA5/IGSF9B/NSMF/BAALC	35
GO:0000777	condensed chromosome kinetochore	20/1593	103/18511	0.000438725979540516	0.0169530844254981	0.0147338547503654	SGO2/SKA1/CENPA/NUF2/SGO1/CDT1/BUB1/SPAG5/SPC25/HJURP/DYNC1I1/BUB1B/ZWINT/NEK2/NDC80/CENPM/PLK1/DYNLT3/BIRC5/KIF2C	20
GO:0005911	cell-cell junction	57/1593	423/18511	0.000463674103945247	0.0169530844254981	0.0147338547503654	ANK2/PIK3R1/FZD4/FAT2/MPDZ/KIRREL1/AQP3/AOC1/CADM3/CDCA3/PPL/CLDN7/PARD3B/BAIAP2L2/TMEM47/JAM3/SCN4B/CLDN16/STRN/CLMP/COL17A1/ITGA5/TJP3/FGFR4/FLRT2/HPN/GJC2/ADGRB1/GJB2/EVPL/WNK3/PKP1/LSR/DSC3/CLDN2/NECTIN4/SLC8A1/IQGAP3/DSC2/CDH2/CRB3/USP53/FXYD1/POF1B/SLC5A1/ANK3/PTK7/GJB5/FGF13/CTNNA2/SKAP1/PERP/AKAP6/PCDHGA12/APP/PKD2/PDLIM1	57
