ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030545	receptor regulator activity	96/1315	485/17354	1.25337775446529e-18	8.5317865844819e-16	7.35848486403532e-16	TNFSF14/EPHA7/RETN/BMP3/BMP5/TTR/GRP/CXCL9/CHGB/PCSK9/TAC4/EPGN/ANGPT4/IL24/INS-IGF2/CRH/SLURP1/PF4V1/CALCB/TFF1/MAPT/UCN2/CGB3/PPBP/CCL4/IL36RN/IL15/GREM2/PGF/OGN/CSF2/IL36G/POMC/APLN/TNFSF15/ENDOU/KL/LYPD6/IL11/CCL7/CXCL11/SAA1/IL27/CCL3/GDF7/TDGF1/WNT9B/SCT/IFNG/FGF7/CCL5/WNT7A/CRLF1/CCL8/AREG/CCL27/APOA1/SAA2/GAS6/NCOA2/MIA/IL19/CCL20/PTHLH/CCL4L1/TGFB2/NRG4/CD70/WNT5A/CSF3/CXCL5/FGF5/LHB/CCL13/OSM/CCL3L1/GDF9/IL32/CCL26/WNT10B/CXCL10/NTS/NRG1/EREG/CGB2/ADCYAP1/CLCF1/SCGB3A1/EFEMP1/FASLG/SAA4/NGF/TYMP/F2/VEGFC/GAL	96
GO:0048018	receptor ligand activity	92/1315	456/17354	1.83479281386707e-18	8.5317865844819e-16	7.35848486403532e-16	TNFSF14/EPHA7/RETN/BMP3/BMP5/TTR/GRP/CXCL9/CHGB/TAC4/EPGN/IL24/INS-IGF2/CRH/SLURP1/PF4V1/CALCB/TFF1/MAPT/UCN2/CGB3/PPBP/CCL4/IL36RN/IL15/GREM2/PGF/OGN/CSF2/IL36G/POMC/APLN/TNFSF15/ENDOU/KL/IL11/CCL7/CXCL11/SAA1/IL27/CCL3/GDF7/TDGF1/WNT9B/SCT/IFNG/FGF7/CCL5/WNT7A/CRLF1/CCL8/AREG/CCL27/APOA1/SAA2/GAS6/MIA/IL19/CCL20/PTHLH/CCL4L1/TGFB2/NRG4/CD70/WNT5A/CSF3/CXCL5/FGF5/LHB/CCL13/OSM/CCL3L1/GDF9/IL32/CCL26/WNT10B/CXCL10/NTS/NRG1/EREG/CGB2/ADCYAP1/CLCF1/SCGB3A1/EFEMP1/FASLG/SAA4/NGF/TYMP/F2/VEGFC/GAL	92
GO:0005125	cytokine activity	47/1315	220/17354	6.04569964310993e-11	1.87416688936408e-08	1.61642916773676e-08	TNFSF14/BMP3/BMP5/CXCL9/IL24/SLURP1/PF4V1/PPBP/CCL4/IL36RN/IL15/GREM2/CSF2/IL36G/TNFSF15/IL11/CCL7/CXCL11/IL27/CCL3/GDF7/IFNG/CCL5/WNT7A/CRLF1/CCL8/AREG/CCL27/IL19/CCL20/CCL4L1/TGFB2/CD70/WNT5A/CSF3/CXCL5/CCL13/OSM/CCL3L1/GDF9/IL32/CCL26/CXCL10/NRG1/CLCF1/SCGB3A1/FASLG	47
GO:0005126	cytokine receptor binding	49/1315	268/17354	6.39908603900397e-09	1.48778750406842e-06	1.28318514782132e-06	TNFSF14/DEFB1/BMP3/BMP5/CXCL9/PF4V1/PPBP/CCL4/IL12RB1/IL36RN/IL15/PGF/CSF2/IL36G/TGFBR3/TNFSF15/CD300LF/IL11/CCL7/CXCL11/IL27/CCL3/GDF7/IL6ST/IFNG/CCL5/CRLF1/CCL8/CCL27/CCL20/CCL4L1/TGFB2/EDA/CD70/CSF3/CXCL5/CCL13/OSM/GATA3/CCL3L1/GDF9/CCL26/CXCL10/CLCF1/ECM1/FASLG/NGF/VEGFC/PIK3R1	49
GO:0008009	chemokine activity	17/1315	48/17354	3.57950371382058e-08	6.65787690770628e-06	5.74227753669744e-06	CXCL9/PF4V1/PPBP/CCL4/CCL7/CXCL11/CCL3/CCL5/CCL8/CCL27/CCL20/CCL4L1/CXCL5/CCL13/CCL3L1/CCL26/CXCL10	17
GO:0005539	glycosaminoglycan binding	39/1315	213/17354	2.1256587996963e-07	3.29477113952927e-05	2.84167018485716e-05	PGLYRP4/SOST/LIPC/TENM1/PF4V1/LPA/RSPO2/SLIT2/NLRP3/LAMC2/GREM2/PGF/PGLYRP2/SEMA5A/TGFBR3/PGLYRP3/ADAMTS8/CCL7/CXCL11/FGFBP1/SAA1/FGF7/CD44/TREM2/SERPIND1/CCL8/C6orf15/HAPLN3/NDNF/RNASE7/COL25A1/ABI3BP/CXCL10/MPO/NOD2/REG4/ADAMTS1/F2/SELL	39
GO:0042379	chemokine receptor binding	18/1315	60/17354	2.59943577335082e-07	3.45353609888038e-05	2.9786015929223e-05	DEFB1/CXCL9/PF4V1/PPBP/CCL4/CCL7/CXCL11/CCL3/CCL5/CCL8/CCL27/CCL20/CCL4L1/CXCL5/CCL13/CCL3L1/CCL26/CXCL10	18
GO:0004867	serine-type endopeptidase inhibitor activity	23/1315	95/17354	4.53721703421637e-07	5.27451480227653e-05	4.54915707904326e-05	TFPI2/HMSD/SERPINB2/SPINK4/SERPINB3/SERPINB11/SERPINE1/SERPINB1/SERPINB9/SERPINF2/CD109/SERPIND1/WFDC3/COL7A1/SLPI/SERPINB4/SERPINB13/PI3/WFDC5/SERPINA3/PZP/SERPINA1/SERPINB7	23
GO:0004866	endopeptidase inhibitor activity	32/1315	173/17354	2.03359412555699e-06	0.000208191976197811	0.000179561161134954	TNFSF14/TFPI2/HMSD/SERPINB2/SPINK4/SERPINB3/SERPINB11/LPA/SERPINE1/CST6/CST4/SERPINB1/SERPINB9/BIRC7/SERPINF2/CD109/SERPIND1/WFDC3/GAS6/CST1/COL7A1/SLPI/SERPINB4/SERPINB13/PI3/WFDC5/SERPINA3/PTTG1/PZP/SERPINA1/NGF/SERPINB7	32
GO:0030414	peptidase inhibitor activity	33/1315	182/17354	2.23862339997646e-06	0.000208191976197811	0.000179561161134954	TNFSF14/TFPI2/HMSD/SERPINB2/SPINK4/SERPINB3/SERPINB11/LPA/SERPINE1/CST6/CST4/SERPINB1/SERPINB9/BIRC7/SERPINF2/SSPO/CD109/SERPIND1/WFDC3/GAS6/CST1/COL7A1/SLPI/SERPINB4/SERPINB13/PI3/WFDC5/SERPINA3/PTTG1/PZP/SERPINA1/NGF/SERPINB7	33
GO:0001664	G-protein coupled receptor binding	42/1315	262/17354	2.91924448575532e-06	0.000246808851977496	0.000212867396951728	WNT11/DEFB1/PACRG/MYOC/CXCL9/TAC4/CRH/PF4V1/PPP1R1B/NPW/UCN2/PPBP/CCL4/POMC/APLN/KISS1/CCL7/CXCL11/SAA1/CCL3/WNT9B/CCL5/WNT7A/CCL8/ADRB3/CCL27/AVPR1A/CCL20/CCL4L1/WNT5A/TAC1/CXCL5/MARCO/CCL13/CCL3L1/CCL26/WNT10B/CXCL10/GNAL/UCHL1/ADCYAP1/GAL	42
GO:0050786	RAGE receptor binding	7/1315	11/17354	3.55144442027042e-06	0.000275236942570958	0.00023738602177597	S100A4/S100B/FPR1/S100A8/S100A9/S100A12/S100A7	7
GO:0061135	endopeptidase regulator activity	32/1315	179/17354	4.33253455002144e-06	0.000303927210494898	0.000262130768983716	TNFSF14/TFPI2/HMSD/SERPINB2/SPINK4/SERPINB3/SERPINB11/LPA/SERPINE1/CST6/CST4/SERPINB1/SERPINB9/BIRC7/SERPINF2/CD109/SERPIND1/WFDC3/GAS6/CST1/COL7A1/SLPI/SERPINB4/SERPINB13/PI3/WFDC5/SERPINA3/PTTG1/PZP/SERPINA1/NGF/SERPINB7	32
GO:0015267	channel activity	63/1315	466/17354	4.87381341221584e-06	0.000303927210494898	0.000262130768983716	AQP9/FAM155B/MCOLN3/SLC14A1/CNGB1/CLIC6/GABRQ/BEST3/CNGA3/GABRB3/AQP5/KCNK9/KCNQ5/CALHM3/CLCA4/GABRB2/KCNQ4/P2RX6/NOX1/TRPC3/CACNB2/KCND3/TMC1/GJB2/FXYD2/SLC26A5/TRPV2/AQP6/SLC26A7/PKD1L1/SCN4A/CHRFAM7A/LRRIQ4/CACNB4/KCNH3/GLRA3/SCNN1G/CHRNA7/PRF1/HCN4/GAS6/SCN11A/CACNA1C/NCALD/ITPR1/CATSPER1/SCN7A/NMUR2/FXYD4/KCNF1/KCNB1/SCNN1B/TRPM5/RYR2/REST/CALHM6/BCL2A1/TRPA1/JPH3/KCNJ13/GRIK5/CACNA1H/GJB3	63
GO:1901681	sulfur compound binding	38/1315	232/17354	5.09193777547356e-06	0.000303927210494898	0.000262130768983716	SOST/LIPC/TENM1/PF4V1/LPA/RSPO2/GSTM1/SLIT2/LAMC2/GPC2/GREM2/HPSE2/PGF/SEMA5A/TGFBR3/ADAMTS8/CCL7/SOAT2/CXCL11/FGFBP1/SAA1/FGF7/ACOT7/SERPIND1/CCL8/C6orf15/NDNF/FST/COL25A1/ABI3BP/ACADL/RYR2/CXCL10/MPO/REG4/ADAMTS1/F2/SELL	38
GO:0022803	passive transmembrane transporter activity	63/1315	467/17354	5.22885523432083e-06	0.000303927210494898	0.000262130768983716	AQP9/FAM155B/MCOLN3/SLC14A1/CNGB1/CLIC6/GABRQ/BEST3/CNGA3/GABRB3/AQP5/KCNK9/KCNQ5/CALHM3/CLCA4/GABRB2/KCNQ4/P2RX6/NOX1/TRPC3/CACNB2/KCND3/TMC1/GJB2/FXYD2/SLC26A5/TRPV2/AQP6/SLC26A7/PKD1L1/SCN4A/CHRFAM7A/LRRIQ4/CACNB4/KCNH3/GLRA3/SCNN1G/CHRNA7/PRF1/HCN4/GAS6/SCN11A/CACNA1C/NCALD/ITPR1/CATSPER1/SCN7A/NMUR2/FXYD4/KCNF1/KCNB1/SCNN1B/TRPM5/RYR2/REST/CALHM6/BCL2A1/TRPA1/JPH3/KCNJ13/GRIK5/CACNA1H/GJB3	63
GO:0061134	peptidase regulator activity	36/1315	218/17354	7.40889699780157e-06	0.000405310247526792	0.000349571486831257	TNFSF14/TFPI2/HMSD/SERPINB2/SPINK4/SERPINB3/MAL/SERPINB11/LPA/SERPINE1/CST6/CST4/CTSC/SERPINB1/SERPINB9/BIRC7/SERPINF2/SSPO/CD109/SERPIND1/WFDC3/GAS6/CST1/COL7A1/SLPI/SERPINB4/SERPINB13/PI3/WFDC5/SERPINA3/PTTG1/CAV1/PZP/SERPINA1/NGF/SERPINB7	36
GO:0022838	substrate-specific channel activity	59/1315	435/17354	8.76523472388834e-06	0.000445854185286873	0.000384539772709222	AQP9/FAM155B/MCOLN3/SLC14A1/CNGB1/CLIC6/GABRQ/BEST3/CNGA3/GABRB3/AQP5/KCNK9/KCNQ5/CALHM3/CLCA4/GABRB2/KCNQ4/P2RX6/NOX1/TRPC3/CACNB2/KCND3/TMC1/FXYD2/SLC26A5/TRPV2/AQP6/SLC26A7/PKD1L1/SCN4A/CHRFAM7A/LRRIQ4/CACNB4/KCNH3/GLRA3/SCNN1G/CHRNA7/HCN4/GAS6/SCN11A/CACNA1C/NCALD/ITPR1/CATSPER1/SCN7A/NMUR2/FXYD4/KCNF1/KCNB1/SCNN1B/TRPM5/RYR2/REST/CALHM6/TRPA1/JPH3/KCNJ13/GRIK5/CACNA1H	59
GO:0008201	heparin binding	29/1315	160/17354	9.10884894672106e-06	0.000445854185286873	0.000384539772709222	SOST/LIPC/TENM1/PF4V1/LPA/RSPO2/SLIT2/LAMC2/GREM2/PGF/TGFBR3/ADAMTS8/CCL7/CXCL11/FGFBP1/SAA1/FGF7/SERPIND1/CCL8/C6orf15/NDNF/COL25A1/ABI3BP/CXCL10/MPO/REG4/ADAMTS1/F2/SELL	29
GO:0008083	growth factor activity	29/1315	162/17354	1.1676477770864e-05	0.000532369082095721	0.000459157035152167	BMP3/BMP5/EPGN/TFF1/PPBP/PGF/OGN/CSF2/ENDOU/IL11/GDF7/TDGF1/FGF7/AREG/MIA/TGFB2/NRG4/CSF3/FGF5/OSM/GDF9/NRG1/EREG/CLCF1/EFEMP1/NGF/TYMP/F2/VEGFC	29
GO:0005200	structural constituent of cytoskeleton	22/1315	106/17354	1.20212373376453e-05	0.000532369082095721	0.000459157035152167	KRT9/KRT5/KRT20/SPTA1/DES/KRT31/LOR/TUBB2A/TUBB6/KRT16/SYNM/TUBB2B/DSP/TUBA4A/KRT6B/KRT17/NEFL/SORBS2/VILL/KRT14/PLS1/TUBA3E	22
GO:0048020	CCR chemokine receptor binding	12/1315	39/17354	1.94259839570822e-05	0.000821189321822111	0.000708258362454384	DEFB1/CCL4/CCL7/CCL3/CCL5/CCL8/CCL27/CCL20/CCL4L1/CCL13/CCL3L1/CCL26	12
GO:0046873	metal ion transmembrane transporter activity	59/1315	449/17354	2.28892373259798e-05	0.000925521335354835	0.000798242509949501	FAM155B/MCOLN3/CNGB1/SLC4A9/SLC5A1/CNGA3/KCNK9/KCNQ5/SLC6A4/SLC30A8/SLC1A6/KCNQ4/SLC6A15/SLC6A2/TRPC3/SLC9A4/SLC9A2/CACNB2/KCND3/TMC1/FXYD2/TRPV2/PKD1L1/SLC13A5/SCN4A/SLC39A5/CACNB4/SLC10A6/SLC4A4/NIPAL1/KCNH3/SCNN1G/CHRNA7/HCN4/SLC6A7/GAS6/SCN11A/CACNA1C/SLC6A17/SLC5A5/ITPR1/CATSPER1/SCN7A/FXYD4/KCNF1/KCNB1/SCNN1B/TRPM5/SLC11A1/RYR2/REST/SLC5A7/SLC6A14/TRPA1/JPH3/KCNJ13/GRIK5/ATP1A2/CACNA1H	59
