ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010817	regulation of hormone levels	128/2436	486/17381	2.93359689661464e-13	1.68476469772579e-09	1.43560968130121e-09	MYRIP/TFR2/ADM/PPARGC1A/CPA3/SOX8/EGFR/SLCO4A1/TMEM27/SLC16A1/CRABP1/UGT2B11/EFNA5/RFX6/FOXA1/SYT9/ECE2/CCL5/LYN/CRHR1/CYP26B1/SLC16A10/EDN1/ESR1/UGT2B4/ASMT/HSD17B2/NKX3-1/VSNL1/PDE8B/GDF9/CCKAR/NPFF/ANXA1/STAR/TRPV4/FAM3D/FGG/AGTR1/HSD17B3/ADCY5/RBP4/LIF/CD38/TSPO/IFNG/SCT/GCK/CACNA2D2/CACNA1A/RBP1/UCN/BMP2/CACNA1D/BMP6/GAL/KLK6/DGAT2/CORIN/RDH12/OPRK1/AKR1D1/BLK/AFP/SLC30A8/BCO1/DUOX2/NMU/VGF/HSD3B2/RETN/BMP5/POMC/SDR16C5/CLOCK/GLP1R/FOXL2/ILDR2/CHST9/FOXD1/C1QTNF12/CYP11A1/SLC22A1/C1QTNF1/SULT1B1/NGF/CFTR/TBX3/KISS1/PCSK1N/DUOXA1/TFAP2B/FOXE1/UGT2B7/IYD/EDN3/TNF/STC2/ABCC8/KCNC2/PCSK6/GCNT4/FFAR3/DUOXA2/TACR1/PCSK1/CPLX3/RDH10/GHRL/LHB/NMB/FGB/UTS2/CYP27C1/NR5A1/GJA1/ADRA2B/RASL10B/DIO2/REST/CGA/ABAT/ADORA1/ABCC2/ITPR1/SFRP1/SOX11/INHA	128
GO:0072507	divalent inorganic cation homeostasis	111/2436	456/17381	1.80486367851799e-09	5.18266605286442e-06	4.41621644285797e-06	ATP13A4/LCK/SLC39A4/EDN2/ADM/CYSLTR1/F2RL2/EGFR/HAP1/SLC25A27/FZD9/GNA15/CCL5/LYN/CCL13/S100A8/TRPA1/EDN1/SAA1/ESR1/NTSR1/CD52/GPR18/CCKAR/NPFF/TRPM8/TRPV4/P2RX5/SLC39A6/AGTR1/ADCY5/CD38/GPR12/CALB1/CHRNA7/CXCL9/CACNA1A/CCL19/S100A9/APOE/CCKBR/STC1/GALR2/CACNA2D1/GRIA1/NPY2R/SLC30A8/XK/P2RY4/SLC30A1/ATP1A2/RYR3/ADCYAP1R1/ATP2B2/CXCR3/UBASH3B/GLP1R/FAM20A/EPO/RYR1/C5AR2/C1QTNF1/SLC24A2/OXT/CXCL11/CXCL10/KISS1/RGN/CCL8/S1PR3/XCL1/TFAP2B/EDN3/CORO1A/STC2/CCR7/JPH2/SLC30A3/DMD/FPR2/TRPV5/SLC39A12/CYBA/GPR55/ATP2A1/TACR1/TNNI3/TMTC2/GRIN2D/S1PR4/GHRL/PLCG2/PDE6A/ATP7B/CCL7/NMB/DRD4/UTS2/CNGB1/PROK2/ATP2B3/CIB2/GJA1/CD19/ATP6V1B1/CALB2/MT3/SLC24A5/ITPR1/JSRP1/P2RX2	111
GO:0072503	cellular divalent inorganic cation homeostasis	106/2436	438/17381	5.87276387476603e-09	1.12424276442604e-05	9.57981728203062e-06	ATP13A4/LCK/SLC39A4/EDN2/ADM/CYSLTR1/F2RL2/HAP1/SLC25A27/FZD9/GNA15/CCL5/LYN/CCL13/S100A8/TRPA1/EDN1/SAA1/ESR1/NTSR1/CD52/GPR18/CCKAR/NPFF/TRPM8/TRPV4/P2RX5/SLC39A6/AGTR1/ADCY5/CD38/GPR12/CALB1/CHRNA7/CXCL9/CACNA1A/CCL19/S100A9/APOE/CCKBR/STC1/GALR2/CACNA2D1/GRIA1/NPY2R/SLC30A8/XK/P2RY4/SLC30A1/ATP1A2/RYR3/ADCYAP1R1/ATP2B2/CXCR3/UBASH3B/GLP1R/EPO/RYR1/C5AR2/C1QTNF1/SLC24A2/OXT/CXCL11/CXCL10/KISS1/RGN/CCL8/S1PR3/XCL1/EDN3/CORO1A/STC2/CCR7/JPH2/SLC30A3/DMD/FPR2/TRPV5/SLC39A12/CYBA/GPR55/ATP2A1/TACR1/TNNI3/GRIN2D/S1PR4/GHRL/PLCG2/PDE6A/ATP7B/CCL7/NMB/DRD4/UTS2/CNGB1/PROK2/ATP2B3/CIB2/GJA1/CD19/CALB2/MT3/SLC24A5/ITPR1/JSRP1/P2RX2	106
GO:1990266	neutrophil migration	37/2436	101/17381	1.10423911077756e-08	1.58541130329888e-05	1.35094937526444e-05	EDN2/CXCL8/CXCL5/CCL4/CCL17/CCL20/CCL5/CCL13/S100A8/EDN1/IL23A/SAA1/VAV3/CCL26/CD177/CXCL3/UMOD/IL1A/CXCL2/S100A12/IFNG/CCL19/S100A9/SLIT2/CCL25/XCL2/C5AR2/CXCL1/CCL8/CCL18/XCL1/EDN3/CCR7/CCL7/CXCL6/PREX1/CX3CL1	37
GO:0055074	calcium ion homeostasis	102/2436	424/17381	1.58220592351865e-08	1.68003549744863e-05	1.43157986888179e-05	ATP13A4/LCK/EDN2/ADM/CYSLTR1/F2RL2/HAP1/SLC25A27/FZD9/GNA15/CCL5/LYN/CCL13/TRPA1/EDN1/SAA1/ESR1/NTSR1/CD52/GPR18/CCKAR/NPFF/TRPM8/TRPV4/P2RX5/AGTR1/ADCY5/CD38/GPR12/CALB1/CHRNA7/CXCL9/CACNA1A/CCL19/APOE/CCKBR/STC1/GALR2/CACNA2D1/GRIA1/NPY2R/XK/P2RY4/SLC30A1/ATP1A2/RYR3/ADCYAP1R1/ATP2B2/CXCR3/UBASH3B/GLP1R/FAM20A/EPO/RYR1/C5AR2/C1QTNF1/SLC24A2/OXT/CXCL11/CXCL10/KISS1/RGN/CCL8/S1PR3/XCL1/TFAP2B/EDN3/CORO1A/STC2/CCR7/JPH2/DMD/FPR2/TRPV5/CYBA/GPR55/ATP2A1/TACR1/TNNI3/TMTC2/GRIN2D/S1PR4/GHRL/PLCG2/PDE6A/ATP7B/CCL7/NMB/DRD4/UTS2/CNGB1/PROK2/ATP2B3/CIB2/GJA1/CD19/ATP6V1B1/CALB2/SLC24A5/ITPR1/JSRP1/P2RX2	102
GO:0030593	neutrophil chemotaxis	34/2436	90/17381	1.75521730536162e-08	1.68003549744863e-05	1.43157986888179e-05	EDN2/CXCL8/CXCL5/CCL4/CCL17/CCL20/CCL5/CCL13/S100A8/EDN1/IL23A/SAA1/VAV3/CCL26/CXCL3/CXCL2/S100A12/IFNG/CCL19/S100A9/SLIT2/CCL25/XCL2/C5AR2/CXCL1/CCL8/CCL18/XCL1/EDN3/CCR7/CCL7/CXCL6/PREX1/CX3CL1	34
GO:0023061	signal release	101/2436	421/17381	2.16020158683999e-08	1.77229110188887e-05	1.51019205672468e-05	MYRIP/TFR2/ADM/EGFR/TMEM27/HRH3/SLC16A1/EFNA5/RFX6/SYT9/CCL5/LYN/CRHR1/EDN1/SYT1/NKX3-1/VSNL1/PDE8B/GDF9/SYTL5/CCKAR/NPFF/ANXA1/TRPV4/FAM3D/FGG/AGTR1/ADCY5/RBP4/LIF/CD38/IFNG/SCT/GCK/STX19/WNT7A/CACNA2D2/CACNA1A/UCN/LIN7B/RIMS1/CACNA1D/BMP6/GAL/SLC5A7/OPRK1/BLK/CADPS2/SLC30A8/SLC30A1/NMU/VGF/SYN2/RETN/LRRK2/SNCG/SNPH/POMC/CLOCK/GLP1R/FOXL2/ILDR2/FOXD1/APBA1/C1QTNF12/GRM4/CACNA1B/C1QTNF1/LIN7A/GAD1/CFTR/TBX3/KISS1/TFAP2B/CHRNB4/EDN3/TNF/ABCC8/KCNC2/SYT17/FFAR3/TACR1/OTOF/CPLX3/GHRL/SLC18A2/NMB/FGB/UTS2/GJA1/ADRA2B/RASL10B/RIMS4/REST/SYT8/ABAT/ADORA1/ITPR1/SFRP1/SOX11/INHA	101
GO:0009914	hormone transport	80/2436	312/17381	3.10279857764316e-08	2.22742152892559e-05	1.89801455098198e-05	MYRIP/TFR2/ADM/EGFR/SLCO4A1/TMEM27/SLC16A1/EFNA5/RFX6/SYT9/CCL5/LYN/CRHR1/SLC16A10/EDN1/NKX3-1/VSNL1/PDE8B/GDF9/CCKAR/NPFF/ANXA1/TRPV4/FAM3D/FGG/AGTR1/ADCY5/RBP4/LIF/CD38/IFNG/SCT/GCK/CACNA2D2/CACNA1A/UCN/CACNA1D/BMP6/GAL/OPRK1/BLK/SLC30A8/NMU/VGF/RETN/POMC/CLOCK/GLP1R/FOXL2/ILDR2/FOXD1/C1QTNF12/SLC22A1/C1QTNF1/CFTR/TBX3/KISS1/TFAP2B/EDN3/TNF/ABCC8/KCNC2/FFAR3/TACR1/CPLX3/GHRL/NMB/FGB/UTS2/GJA1/ADRA2B/RASL10B/REST/ABAT/ADORA1/ABCC2/ITPR1/SFRP1/SOX11/INHA	80
GO:0070098	chemokine-mediated signaling pathway	31/2436	81/17381	5.21162201766781e-08	3.20656965846915e-05	2.73235927348132e-05	CXCL8/CXCL5/CCL4/CCL17/CCL20/CCL5/CCL13/PADI2/EDN1/CCL26/CXCL3/CXCL2/CXCL9/CCL19/CX3CR1/SLIT2/FOXC1/CCL25/CXCR3/XCL2/CXCL11/CXCL1/CXCL10/CCL8/CCL18/XCL1/CCR7/CXCR5/CCL7/CXCL6/CX3CL1	31
GO:0046883	regulation of hormone secretion	68/2436	254/17381	5.58344011573942e-08	3.20656965846915e-05	2.73235927348132e-05	MYRIP/TFR2/EGFR/TMEM27/SLC16A1/EFNA5/RFX6/SYT9/CCL5/CRHR1/EDN1/NKX3-1/VSNL1/PDE8B/GDF9/CCKAR/NPFF/ANXA1/FAM3D/FGG/AGTR1/ADCY5/RBP4/LIF/CD38/IFNG/SCT/GCK/CACNA2D2/CACNA1A/UCN/CACNA1D/BMP6/GAL/OPRK1/BLK/SLC30A8/NMU/RETN/POMC/CLOCK/GLP1R/FOXL2/C1QTNF12/C1QTNF1/CFTR/KISS1/TFAP2B/EDN3/TNF/ABCC8/KCNC2/FFAR3/TACR1/GHRL/NMB/FGB/UTS2/GJA1/ADRA2B/RASL10B/REST/ABAT/ADORA1/ITPR1/SFRP1/SOX11/INHA	68
