ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	92/2576	365/18511	5.24042059692245e-09	3.25954161128577e-06	3.01737901738588e-06	PTPRZ1/THSD4/HMCN1/PI3/COL12A1/EFNA5/ASPN/LRFN4/WNT5B/TNR/PRELP/HAPLN3/TNN/FBN3/LRFN1/CHI3L1/WNT5A/IL1RL1/EMILIN3/COL4A4/LAMA2/MMP7/FBN1/ALPL/VIT/ADAMTS3/COL4A5/KERA/WNT7A/COL2A1/LAMB3/FLRT3/GPC2/NCAN/FGF9/ACHE/SMOC1/ADAMTSL4/CILP/MATN1/COL4A6/ECM1/EMID1/LINGO3/BCAN/VWA2/ACAN/COL22A1/TLR9/ANGPTL4/WNT16/CPA6/EGFL6/LAD1/COL26A1/COL19A1/ADAMTS12/LINGO2/MEGF9/CRTAC1/SPOCK2/OMD/HAPLN1/ADAMTS19/ANOS1/COL6A5/COL9A3/NTN4/COL9A1/COL11A2/COCH/NPNT/LAMC2/C6orf15/COL4A3/COL10A1/P3H2/WISP3/WNT3A/WNT10A/ADAMTS15/MMP1/WNT10B/NDNF/WNT6/VWC2/COL27A1/SFTPD/OGN/SFRP1/MMP12/HAPLN4	92
GO:0031225	anchored component of membrane	46/2576	156/18511	3.30690168521963e-07	8.73109295282196e-05	8.08242992924964e-05	PRSS21/PRSS27/RGMA/CNTN1/EFNA5/CNTN3/ULBP3/ULBP2/CD177/LYPD6/CD52/RTN4R/UMOD/LYNX1/CEACAM5/ALPL/GFRA1/MSLN/RAET1G/ENPP6/PSCA/GPC2/VNN3/ACHE/GP2/BCAN/LY6D/MDGA2/CD14/RAET1L/ART3/MELTF/LYPD5/LY6E/VNN1/ULBP1/LYPD1/RAB3B/RAB27B/NRN1L/CNTFR/GFRA2/NTNG1/GFRA3/LY6K/FOLR1	46
GO:0097060	synaptic membrane	73/2576	295/18511	4.21113808013921e-07	8.73109295282196e-05	8.08242992924964e-05	ZC4H2/DDN/RAPSN/ADGRB1/CHRNA5/OLFM2/GABRE/SYT1/GLRA3/LRFN1/NSG1/CLSTN2/FOSL1/CHRNA6/PRR7/ITGA8/EPHA7/DLGAP3/IGSF9B/PCDH8/CHRNA7/FLRT3/LIN7B/RIMS1/CHRM1/KCNH1/GRIA1/IL31RA/CADPS2/ARHGAP32/KCNA2/GRIK4/IL1RAPL1/ANKS1B/GABBR2/SNPH/GABRR1/NCS1/GRIA2/GRM4/LRRTM4/GRIK1/GABRA2/GRM6/LIN7A/CHRNB4/KCNC2/AKAP9/DMD/CNTNAP4/CHRNA2/SHC4/GRIK3/GRIN2D/PRKCG/GABRA5/CHRM3/HTR3A/TMUB1/SH2D5/TMEM108/CNIH2/CNKSR2/HOMER3/RIMS4/GABRP/LRRC7/ADORA1/LZTS3/CRYAB/PSD3/FAIM2/GLRB	73
GO:0016323	basolateral plasma membrane	55/2576	207/18511	1.05103303998415e-06	0.000163435637717536	0.000151293440229298	EGFR/ATP7A/CLDN1/TF/SLC16A10/SLC4A11/MET/KCNQ4/AQP5/SLC4A7/KCNJ10/ATP12A/BSND/LPO/UMOD/SLC40A1/SLC9A4/TGFA/ANXA1/ERBB4/CEACAM5/SLC26A5/CTNNA2/RHCG/SLC7A8/SLC38A3/LIN7B/FRMPD2/ENPP1/P2RY4/TLR9/MLC1/KCNJ16/C5AR2/SLC22A1/AQP4/LIN7A/CLCA2/HPGD/SLC4A10/KCNC2/SLC26A7/SLCO4C1/OTOF/MEGF11/CHRM3/FXYD2/ATP7B/TSHR/MPZ/ATP6V1B1/CA9/ADORA1/FOLR1/SLC4A4	55
GO:1902495	transmembrane transporter complex	75/2576	325/18511	4.93725588047584e-06	0.000614194631531195	0.000568563992972692	CHRNA5/KCNMB1/SCN1A/KCNC1/OLFM2/GABRE/GLRA3/KCNQ4/KCNG1/SCNN1A/ATP12A/CHRNA6/CATSPER1/KCNN1/CLIC3/CNTNAP2/TTYH1/BEST3/KCNN4/CHRNA7/CACNA2D2/CACNA1A/SCN7A/CACNA1D/CATSPERZ/CACNA2D1/KCNH1/GRIA1/KCNA2/KCNB2/GRIK4/ATP1A2/SHISA6/GABRR1/BEST4/KCNT1/KCNJ3/KCNS1/KCNIP3/KCNS2/KCNJ16/GRIA2/RYR1/CACNA1B/GABRA2/KCNA7/CFTR/CNGA3/UQCRHL/CHRNB4/SCNN1B/ABCC8/KCNC2/SCN8A/AKAP9/UQCRH/ATP2A1/CHRNA2/GRIN2D/GABRA5/FXYD2/HTR3A/KCNE5/CNGB1/DPP10/DPP6/VWC2/CNIH2/ATP1A4/KCND3/GABRP/KCNMA1/UQCC3/GLRB/NOS1AP	75
GO:0045211	postsynaptic membrane	56/2576	225/18511	7.44716890065917e-06	0.000772023176035001	0.000714666910291327	ZC4H2/RAPSN/ADGRB1/CHRNA5/GABRE/GLRA3/LRFN1/NSG1/CLSTN2/CHRNA6/PRR7/EPHA7/DLGAP3/IGSF9B/PCDH8/CHRNA7/LIN7B/CHRM1/KCNH1/GRIA1/CADPS2/ARHGAP32/GRIK4/IL1RAPL1/ANKS1B/GABBR2/GABRR1/NCS1/GRIA2/LRRTM4/GRIK1/GABRA2/LIN7A/CHRNB4/KCNC2/DMD/CHRNA2/SHC4/GRIK3/GRIN2D/GABRA5/CHRM3/HTR3A/TMUB1/SH2D5/TMEM108/CNIH2/CNKSR2/HOMER3/GABRP/LRRC7/ADORA1/LZTS3/PSD3/FAIM2/GLRB	56
GO:1990351	transporter complex	75/2576	332/18511	1.1044250311989e-05	0.00090828531574323	0.000840805665445163	CHRNA5/KCNMB1/SCN1A/KCNC1/OLFM2/GABRE/GLRA3/KCNQ4/KCNG1/SCNN1A/ATP12A/CHRNA6/CATSPER1/KCNN1/CLIC3/CNTNAP2/TTYH1/BEST3/KCNN4/CHRNA7/CACNA2D2/CACNA1A/SCN7A/CACNA1D/CATSPERZ/CACNA2D1/KCNH1/GRIA1/KCNA2/KCNB2/GRIK4/ATP1A2/SHISA6/GABRR1/BEST4/KCNT1/KCNJ3/KCNS1/KCNIP3/KCNS2/KCNJ16/GRIA2/RYR1/CACNA1B/GABRA2/KCNA7/CFTR/CNGA3/UQCRHL/CHRNB4/SCNN1B/ABCC8/KCNC2/SCN8A/AKAP9/UQCRH/ATP2A1/CHRNA2/GRIN2D/GABRA5/FXYD2/HTR3A/KCNE5/CNGB1/DPP10/DPP6/VWC2/CNIH2/ATP1A4/KCND3/GABRP/KCNMA1/UQCC3/GLRB/NOS1AP	75
GO:0034702	ion channel complex	67/2576	288/18511	1.16821262475013e-05	0.00090828531574323	0.000840805665445163	CHRNA5/KCNMB1/SCN1A/KCNC1/OLFM2/GABRE/GLRA3/KCNQ4/KCNG1/SCNN1A/CHRNA6/CATSPER1/KCNN1/CLIC3/CNTNAP2/TTYH1/BEST3/KCNN4/CHRNA7/CACNA2D2/CACNA1A/SCN7A/CACNA1D/CATSPERZ/CACNA2D1/KCNH1/GRIA1/KCNA2/KCNB2/GRIK4/SHISA6/GABRR1/BEST4/KCNT1/KCNJ3/KCNS1/KCNIP3/KCNS2/KCNJ16/GRIA2/RYR1/CACNA1B/GABRA2/KCNA7/CFTR/CHRNB4/SCNN1B/ABCC8/KCNC2/SCN8A/AKAP9/ATP2A1/CHRNA2/GRIN2D/GABRA5/HTR3A/KCNE5/CNGB1/DPP10/DPP6/VWC2/CNIH2/KCND3/GABRP/KCNMA1/GLRB/NOS1AP	67
GO:0005581	collagen trimer	28/2576	88/18511	1.33619281222851e-05	0.000923457699117927	0.000854850840104089	FCN3/COL12A1/C1QL1/FCN1/COL4A4/C1QA/COL4A5/COL2A1/COL4A6/EMID1/COL22A1/COL26A1/COL19A1/FCN2/C1QTNF1/COL6A5/COL9A3/COL9A1/COL11A2/COL4A3/COL10A1/COLEC11/MARCO/C1QL4/C1QL2/COL23A1/COL27A1/SFTPD	28
GO:0016324	apical plasma membrane	67/2576	292/18511	1.87813376067421e-05	0.00116819919913936	0.00108140964956715	SLC39A4/MAL/ADGRG2/PIP/F2RL2/EGFR/UPK2/ATP8B1/SLC7A5/SLC26A3/ATP7A/CLDN1/AGER/TF/SLC29A4/PDZK1/CLCA4/SLC5A8/SLC1A1/AQP5/SLC4A7/SCNN1A/KCNE4/UMOD/SLC9A4/TNIK/ANXA1/TRPV4/MGAM/RHCG/SLC26A9/PATJ/CHRNA7/AMN/CSPG4/STC1/SLC34A2/MUC13/DUOX2/P2RY4/CYP4A11/TLR9/MLC1/SHROOM3/LRP2/LCT/RAPGEF6/CFTR/KISS1/DSG1/SLC5A12/RAB27B/SCNN1B/KCNC2/SLC44A4/TRPV5/CYBA/TRPM6/GJB6/CNTFR/SLC14A2/ATP6V1B1/KCNMA1/PROM1/ABCC2/FOLR1/P2RX2	67
GO:0044297	cell body	102/2576	500/18511	3.48704256831838e-05	0.00179445644378528	0.0016611400825022	ASCL1/DDN/PPARGC1A/ACTA1/UCHL1/SLC25A27/SCN1A/ATP7A/ALCAM/KCNC1/MAP2/TRPM5/GLRA3/GJC2/TH/NTSR1/ANXA3/RTN4R/ACTC1/ITGA8/NGB/NPFF/CASP5/LRP8/KCNN1/STAR/BMPR1B/CNTNAP2/EPHA7/CD3E/SERPINI1/IGSF9B/ADA/KCNN4/PTPN13/S100A5/IFNG/CALB1/NRGN/CTSV/CACNA1A/TMPRSS5/CNNM1/UCN/CX3CR1/SEZ6/RPL28/APOE/GAL/SLC5A7/APOD/C4A/FABP7/GNRH1/OPRK1/KCNH1/GRIA1/KCNA2/KCNB2/ARG1/MAPT/IL6ST/SEZ6L/GFAP/LRRK2/CKB/SNCG/TPX2/SNPH/EPO/TUBB4A/TBX21/CACNA1B/DNER/TMEM100/ELOVL5/DPYSL5/KISS1/CNGA3/SLC4A8/DAB1/SLC4A10/KCNC2/AKAP9/PDE9A/CYBA/TACR1/GRIK3/ACTG2/RDH10/PNOC/GABRA5/GNB3/HTR3A/S100B/RBFOX3/CNKSR2/L1CAM/ADORA1/CRYAB/KIF1A/INHA	102
