ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0004497	monooxygenase activity	22/777	94/17354	1.16787977896916e-10	9.1444986693285e-08	7.56048488490559e-08	CYP4A22/CYP2A7/CYP3A7/CYP2E1/CYP4F22/CYP1A2/CYP8B1/CYP26B1/CYP4X1/CYP3A5/MOXD1/CYP3A43/CYP4F2/CYP26A1/CYP2C9/CYP4F12/PAM/CYP27A1/CYP2A6/CYP7A1/CYP3A4/FMO3	22
GO:0020037	heme binding	25/777	128/17354	4.05904690558519e-10	1.5891168635366e-07	1.31384939312363e-07	CYP4A22/DUOX2/CYP2A7/CYP3A7/CYP2E1/HRG/CYP4F22/CYP1A2/CYP8B1/CYP26B1/HBB/CYP4X1/CYP3A5/TDO2/CYP3A43/CYP4F2/CYP26A1/CYP2C9/CYP4F12/FLVCR2/HBA2/CYP27A1/CYP2A6/CYP7A1/CYP3A4	25
GO:0046906	tetrapyrrole binding	25/777	137/17354	1.80493778891783e-09	4.71088762907554e-07	3.89486575503322e-07	CYP4A22/DUOX2/CYP2A7/CYP3A7/CYP2E1/HRG/CYP4F22/CYP1A2/CYP8B1/CYP26B1/HBB/CYP4X1/CYP3A5/TDO2/CYP3A43/CYP4F2/CYP26A1/CYP2C9/CYP4F12/FLVCR2/HBA2/CYP27A1/CYP2A6/CYP7A1/CYP3A4	25
GO:0008201	heparin binding	27/777	160/17354	2.45887770378955e-09	4.81325310516805e-07	3.97949944165941e-07	AGER/WISP2/ADAMTS15/LTF/APOH/APOA5/CXCL13/SERPIND1/HRG/LPA/ECM2/ANGPTL3/PLA2G2D/CTSG/F2/TENM1/SERPINA10/RSPO2/NRP1/FGF2/COL5A3/WISP1/TNXB/FBN1/ADAMTS1/SAA1/SERPINC1	27
GO:0005539	glycosaminoglycan binding	30/777	213/17354	2.53507448562658e-08	3.96992664449122e-06	3.28225433402178e-06	AGER/WISP2/ADAMTS15/LTF/APOH/APOA5/CXCL13/SERPIND1/HRG/LPA/ECM2/ANGPTL3/PLA2G2D/HAPLN4/CTSG/STAB2/F2/TENM1/SERPINA10/VCAN/RSPO2/NRP1/FGF2/COL5A3/WISP1/TNXB/FBN1/ADAMTS1/SAA1/SERPINC1	30
GO:0005506	iron ion binding	25/777	160/17354	4.68841517043552e-08	5.04609234972284e-06	4.17200617742764e-06	AOX1/CYP4A22/CDO1/CYP2A7/LTF/CYP3A7/CYP2E1/CYP4F22/CYP1A2/CYP8B1/CYP26B1/HBB/CYP4X1/CYP3A5/CYP3A43/CYP4F2/CYP26A1/CYP2C9/CYP4F12/HBA2/CYP27A1/CYP2A6/CYP7A1/CYP3A4/TF	25
GO:0019825	oxygen binding	13/777	45/17354	5.08015403705983e-08	5.04609234972284e-06	4.17200617742764e-06	CYP2A7/CYP3A7/CYP2E1/CYP1A2/CYP8B1/HBB/CYP3A5/TDO2/CYP26A1/CYP2C9/CYP4F12/HBA2/CYP3A4	13
GO:1901681	sulfur compound binding	31/777	232/17354	5.15564991031708e-08	5.04609234972284e-06	4.17200617742764e-06	AGER/WISP2/ADAMTS15/LTF/APOH/APOA5/CXCL13/SERPIND1/HRG/LPA/ECM2/GPC2/ENPP1/ALDH6A1/ANGPTL3/PLA2G2D/CTSG/F2/TENM1/SERPINA10/RSPO2/NRP1/FGF2/COL5A3/WISP1/TNXB/LRP1/FBN1/ADAMTS1/SAA1/SERPINC1	31
GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	10/777	26/17354	8.450148397815e-08	7.35162910609905e-06	6.07817691772658e-06	CYP2A7/CYP3A7/CYP2E1/CYP1A2/CYP4X1/CYP3A5/CYP3A43/CYP4F12/CYP2A6/CYP3A4	10
GO:0043177	organic acid binding	25/777	185/17354	8.09661470442414e-07	6.3396493135641e-05	5.24149267707457e-05	UGT1A1/PCK1/UGT1A9/HMGCS1/AGXT/GRIN3A/OTC/HAPLN4/DDC/DPYS/CYP26B1/STAB2/GRIN3B/VCAN/TDO2/NAGS/FABP1/ST8SIA3/APOC1/CYP26A1/UGT1A3/DDAH2/PAM/CPS1/TAT	25
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	22/777	154/17354	1.43088842068429e-06	9.06731854394702e-05	7.49667393228126e-05	CYP4A22/CYP2A7/CYP3A7/CYP2E1/CYP4F22/CYP1A2/CYP8B1/CYP26B1/CYP4X1/CYP3A5/MOXD1/CYP3A43/CYP4F2/CYP26A1/CYP2C9/CYP4F12/PAM/CYP27A1/CYP2A6/CYP7A1/CYP3A4/FMO3	22
GO:0008395	steroid hydroxylase activity	10/777	34/17354	1.50542964331177e-06	9.06731854394702e-05	7.49667393228126e-05	CYP2A7/CYP3A7/CYP2E1/CYP8B1/CYP3A5/CYP2C9/CYP27A1/CYP2A6/CYP7A1/CYP3A4	10
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	10/777	34/17354	1.50542964331177e-06	9.06731854394702e-05	7.49667393228126e-05	CYP4A22/CYP2E1/CYP8B1/CYP26B1/CYP4F2/CYP26A1/CYP4F12/CYP7A1/CYP3A4/FMO3	10
GO:0031406	carboxylic acid binding	24/777	184/17354	2.53366845644055e-06	0.000141704457242354	0.000117158353436913	UGT1A1/PCK1/UGT1A9/AGXT/GRIN3A/OTC/HAPLN4/DDC/DPYS/CYP26B1/STAB2/GRIN3B/VCAN/TDO2/NAGS/FABP1/ST8SIA3/APOC1/CYP26A1/UGT1A3/DDAH2/PAM/CPS1/TAT	24
GO:0070330	aromatase activity	8/777	23/17354	4.19399249124826e-06	0.000218926408043159	0.000181003886464399	CYP2A7/CYP3A7/CYP1A2/CYP4X1/CYP3A5/CYP3A43/CYP4F12/CYP3A4	8
GO:0017127	cholesterol transporter activity	7/777	19/17354	1.1027691372643e-05	0.000539667646548718	0.000446186196985228	ABCA1/APOA5/ABCG5/ABCG8/ABCG2/APOA1/APOA4	7
GO:0005496	steroid binding	15/777	92/17354	1.33582171181035e-05	0.000615263764910295	0.000508687524930875	UGT1A1/APOF/ABCA1/SHBG/APOA5/SYP/CALB1/APOC3/FABP1/APOA1/APOA4/SULT2B1/PAQR6/CYP3A4/AR	15
GO:0005319	lipid transporter activity	19/777	141/17354	1.73130428362591e-05	0.000753117363377273	0.000622662066918092	APOF/ABCA1/SLC10A1/ABCB11/APOA5/SLC27A5/ABCB4/TTPA/ABCG5/ABCG8/MFSD2A/CFHR4/APOC4/FABP1/ABCG2/APOA1/APOA4/SPNS2/MTTP	19
GO:0019838	growth factor binding	18/777	130/17354	1.97043516392926e-05	0.000812026701766636	0.000671367105715508	IGFBP2/A2M/WISP2/CXCL13/TEK/DUSP1/ITGB3/IL1RN/NRP1/EGFR/KDR/WISP1/IL2RG/CD109/NGFR/OSMR/IL1R1/KLB	18
GO:0030545	receptor regulator activity	42/777	485/17354	3.49621541601335e-05	0.00136876833536923	0.00113166972676222	INS-IGF2/VGF/CCL14/REG1A/EPHA7/PPARGC1B/NTS/INHBC/PNOC/CXCL13/IL16/BMP5/ANGPTL3/CD40LG/IL27/CCL16/KCNK3/INHA/IL1A/FAM3D/F2/IL1RN/TNFSF8/FGF2/HGF/GHRL/SAA4/APOA1/FGF21/CCL17/INHBE/NAMPT/GDF2/LTB/FBN1/OGN/CXCL5/LYPD6B/GNRH1/CCL19/SAA2/SAA1	42
GO:0048018	receptor ligand activity	40/777	456/17354	4.01471526809812e-05	0.00148552658759999	0.00122820306698124	INS-IGF2/VGF/CCL14/REG1A/EPHA7/NTS/INHBC/PNOC/CXCL13/IL16/BMP5/ANGPTL3/CD40LG/IL27/CCL16/KCNK3/INHA/IL1A/FAM3D/F2/IL1RN/TNFSF8/FGF2/HGF/GHRL/SAA4/APOA1/FGF21/CCL17/INHBE/NAMPT/GDF2/LTB/FBN1/OGN/CXCL5/GNRH1/CCL19/SAA2/SAA1	40
GO:0019955	cytokine binding	15/777	101/17354	4.17389334957852e-05	0.00148552658759999	0.00122820306698124	CNTFR/ACKR1/A2M/ACKR2/CCR6/CCR7/CXCR3/ITGB3/IL1RN/NRP1/HFE2/IL2RG/IL12RB1/CD109/IL1R1	15
GO:0016597	amino acid binding	11/777	58/17354	4.47514656530867e-05	0.00152349554810291	0.00125959502867956	AGXT/GRIN3A/OTC/DDC/DPYS/GRIN3B/TDO2/NAGS/DDAH2/CPS1/TAT	11
GO:0046982	protein heterodimerization activity	42/777	495/17354	5.5873038582688e-05	0.00178851777311775	0.00147870999592313	UGT1A1/UGT1A9/CFHR2/KCNB1/SOX8/JAM2/SYT5/CXCL13/ITGAL/SLC51A/CFHR5/TBX15/ADORA1/ABCG5/ADRA1A/SCX/CREB3L3/ABCG8/H2AFB1/TUBB2B/CD3G/KCNK3/ADCY2/INHA/ITGA3/IRAK3/TENM1/EGFR/SLC3A1/HGF/AHR/SIM2/MAFB/UGT1A3/HIST1H2AE/P2RY1/GABBR2/SOX4/NKX2-5/CD3E/TBX18/MTTP	42
GO:0005044	scavenger receptor activity	10/777	50/17354	6.15952460970408e-05	0.00178851777311775	0.00147870999592313	CD5L/AGER/ACKR2/MARCO/CD163/ENPP1/STAB2/CD6/LRP1/PRG4	10
GO:0019956	chemokine binding	7/777	24/17354	6.22453499341638e-05	0.00178851777311775	0.00147870999592313	ACKR1/A2M/ACKR2/CCR6/CCR7/CXCR3/ITGB3	7
GO:0008391	arachidonic acid monooxygenase activity	6/777	17/17354	6.3957212831797e-05	0.00178851777311775	0.00147870999592313	CYP2A7/CYP2E1/CYP4F2/CYP2C9/CYP4F12/CYP2A6	6
GO:0008392	arachidonic acid epoxygenase activity	6/777	17/17354	6.3957212831797e-05	0.00178851777311775	0.00147870999592313	CYP2A7/CYP2E1/CYP4F2/CYP2C9/CYP4F12/CYP2A6	6
