ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030198	extracellular matrix organization	131/1873	335/17381	1.12130399129093e-42	4.44160770488893e-39	3.02447656246865e-39	IBSP/C6orf15/PRSS1/COL4A1/COL19A1/ADAMTS3/DDR2/SULF1/TNC/ITGB3/COL5A3/CTGF/NID1/HSPG2/CTSG/COL1A1/FGF2/COL14A1/JAM2/FOXF1/ITGAL/COL5A2/COL1A2/ELN/EFEMP2/COL3A1/A2M/DCN/ABI3BP/COL8A1/ETS1/ITGA7/OLFML2A/LAMA2/FBLN2/ITGAM/COL7A1/BGN/FN1/COL6A1/TIMP2/GREM1/CYR61/MMP8/COL8A2/LAMA4/ELANE/MMP14/SPARC/ADAMTS4/LOX/VWF/LOXL2/SCUBE3/HPSE2/CTSK/POSTN/ADAMTS5/ITGA8/TGFB2/COL5A1/PXDN/COL11A1/FBLN5/MFAP4/PHLDB2/ITGA4/HAS1/LCP1/MFAP5/MYH11/LUM/ADAMTS14/COL10A1/ADAM12/ITGA5/ADAMTS2/CRISPLD2/COL12A1/COL2A1/THBS1/COL13A1/SPP1/FAP/MMP13/FBLN1/COL6A2/COL4A2/ITGA11/TLL1/RECK/MMP16/COL16A1/ADAM8/ITGB2/ANTXR1/VCAM1/ITGAX/JAM3/SERPINE1/VCAN/COMP/COL6A3/FOXC2/ADAMTSL4/SFRP2/CYP1B1/ITGA10/FBN1/FLRT2/LOXL1/LAMC3/ICAM5/TNXB/PDGFRA/COL18A1/PDPN/MMP11/SPOCK2/MMP2/HTRA1/NID2/FBN2/MATN3/CCDC80/HPN/ECM2/MMP9/DPT/GFAP/MADCAM1	131
GO:0043062	extracellular structure organization	131/1873	336/17381	1.65176932126773e-42	4.44160770488893e-39	3.02447656246865e-39	IBSP/C6orf15/PRSS1/COL4A1/COL19A1/ADAMTS3/DDR2/SULF1/TNC/ITGB3/COL5A3/CTGF/NID1/HSPG2/CTSG/COL1A1/FGF2/COL14A1/JAM2/FOXF1/ITGAL/COL5A2/COL1A2/ELN/EFEMP2/COL3A1/A2M/DCN/ABI3BP/COL8A1/ETS1/ITGA7/OLFML2A/LAMA2/FBLN2/ITGAM/COL7A1/BGN/FN1/COL6A1/TIMP2/GREM1/CYR61/MMP8/COL8A2/LAMA4/ELANE/MMP14/SPARC/ADAMTS4/LOX/VWF/LOXL2/SCUBE3/HPSE2/CTSK/POSTN/ADAMTS5/ITGA8/TGFB2/COL5A1/PXDN/COL11A1/FBLN5/MFAP4/PHLDB2/ITGA4/HAS1/LCP1/MFAP5/MYH11/LUM/ADAMTS14/COL10A1/ADAM12/ITGA5/ADAMTS2/CRISPLD2/COL12A1/COL2A1/THBS1/COL13A1/SPP1/FAP/MMP13/FBLN1/COL6A2/COL4A2/ITGA11/TLL1/RECK/MMP16/COL16A1/ADAM8/ITGB2/ANTXR1/VCAM1/ITGAX/JAM3/SERPINE1/VCAN/COMP/COL6A3/FOXC2/ADAMTSL4/SFRP2/CYP1B1/ITGA10/FBN1/FLRT2/LOXL1/LAMC3/ICAM5/TNXB/PDGFRA/COL18A1/PDPN/MMP11/SPOCK2/MMP2/HTRA1/NID2/FBN2/MATN3/CCDC80/HPN/ECM2/MMP9/DPT/GFAP/MADCAM1	131
GO:0042391	regulation of membrane potential	117/1873	403/17381	1.38696202542152e-24	2.48636059090564e-21	1.69306697769875e-21	ACTN2/HCN4/HCRT/SLC26A9/FGF14/CACNA2D1/ADRA1A/PTN/KCNB1/NLGN3/GRIN2A/P2RX6/SLC17A7/GJC1/HCN2/CHRNA3/FGF12/CELF4/SCN3B/SCN7A/CACNA1H/CHRNA6/CNGA3/KCNJ8/DCN/NLGN2/ADRB2/NALCN/CAV1/IL6/SNCA/MEF2C/CNTNAP1/CNR1/GRIA4/GRIA3/CTNNA3/MLLT11/TMEM108/SCN2A/SCN1B/SLC8A3/FLNA/GLRB/KCNK2/EHD3/NLGN1/GRIK1/GJA5/ATP1A2/CNIH3/TCL1A/CUX2/GPR88/AKAP6/SPART/P2RX1/KCNMA1/KCNK3/GRIK3/GRIK5/ABCB5/CHRNB4/NRXN1/ATP1B2/CNGB1/SEZ6/SLC26A10/GRIK2/DGKI/GJA1/POPDC3/KCNH1/TACR1/CACNB4/PKD2/ANK2/RIMS1/CNR2/PIEZO2/MPP2/GRID1/NPAS4/P2RX7/FHL1/KCNA5/SHANK1/SCN11A/CACNA1A/NLGN4X/KCNMB2/CASQ2/SCN3A/RIMS4/KCNQ3/FXYD1/KCND3/LRRK2/SCN4A/KCNJ5/ADCYAP1/NTSR1/SCN2B/PLN/SCN4B/SLC8A1/CHRNB2/CACNA1G/KCND2/CACNA1B/KCNE1/DLG4/RELN/SCN9A/GRIA1/CACNA1E/KCNK12	117
GO:0001501	skeletal system development	130/1873	491/17381	3.77544722621332e-23	5.07608879564381e-20	3.45652128947267e-20	DSCAML1/BMPR1B/GDF10/PAX5/CHST11/COL19A1/TP63/IGF1/RSPO2/SFRP4/DCHS1/SULF1/SIX4/CTGF/COL1A1/RFLNB/FGF2/NPR3/HOXC4/WNT7B/RYR1/MAF/PRRX1/COL5A2/PTH1R/LRRC17/COL1A2/FRZB/TMEM119/COL3A1/PRELP/CHI3L1/AEBP1/ZBTB16/EXTL1/MEF2C/HOXC8/PDGFC/OSR1/HOXC10/LEP/GLI2/GREM1/CYR61/CMKLR1/TRPS1/CDH11/MMP14/GDF6/SPARC/ADAMTS4/FGFR1/DLX5/FLI1/GSC/LOXL2/FAM20C/HAND1/HOXD10/POSTN/TRPV4/TGFB2/COL11A1/HHIP/EFEMP1/RANBP3L/WNT9A/PTPRC/TBX15/GJA5/NOG/RASSF2/LUM/CHRD/SNAI2/COL10A1/FAT4/EVC/TGFB3/PCSK5/COL12A1/ZEB1/PTHLH/COL2A1/COL13A1/RUNX2/MMP13/SOX11/TLL1/MMP16/HAND2/GLI3/CYP26B1/PAPPA2/DCANP1/VCAN/COMP/FOXC2/CYTL1/ROR2/SFRP2/P2RX7/FGF9/NKX3-2/FBN1/ADAMTS12/BMP3/LILRB1/PDGFRA/TBX1/CHRDL2/MMP2/RARB/FBN2/MEIS1/MATN3/SOX5/TEK/SFRP1/SIX1/GDF5/GPR68/ADAMTS7/MUSTN1/MGP/MMP9/TWIST1/HOXC9/ALPL/LTF	130
GO:0061564	axon development	126/1873	473/17381	1.0215704300784e-22	1.09880115459233e-19	7.48219689735318e-20	DSCAML1/BMPR1B/SLITRK6/APBB1/SPON2/APOE/KIRREL1/TNC/NLGN3/LRRN2/LRRC55/PLXNA4/GFRA2/ROBO2/RNF165/EPHA3/NGF/CNTN4/NTRK3/NTN1/DCLK1/RND2/SLITRK3/MAP1B/UNC5B/EPYC/SLIT2/SCARF1/EFNB3/SLITRK4/LAMA2/NRP1/DSCAM/PTPRZ1/FN1/CNR1/GLI2/RGMA/PAK3/KIF5A/CDH11/DRAXIN/LRRC4C/NCAM1/DOK5/DLX5/NR4A3/FEZ1/TNN/CNTN2/SCN1B/CSF1R/COL25A1/DOK6/SEMA3G/CRABP2/EPHA4/EPHA5/NOG/CHL1/PLPPR4/ADGRB1/NTNG1/S100B/SLITRK2/NRP2/CXCL12/GDNF/OLFM1/EGR2/SPART/SPTBN4/NEFM/SLIT3/SPP1/DPYSL5/MT3/NRXN1/ANOS1/ATP8A2/CDKL5/GFRA3/APOD/NDN/GFRA1/PIK3CD/TNFRSF8/GLI3/JAM3/L1CAM/NFASC/SEMA7A/NGFR/THY1/CRMP1/EPHA7/UCHL1/NEFL/FLRT2/PTPRM/PLP1/ZEB2/CRTAC1/GATA3/OGN/VAX2/NTNG2/TRPV2/PLXNC1/UNC5C/ISLR2/EVL/DCC/BDNF/NEFH/CHRNB2/NTRK1/NCAM2/BOC/GAP43/TIAM1/PTPRS/NPTX1/MAP2/RELN/UNC5A	126
GO:0060078	regulation of postsynaptic membrane potential	59/1873	136/17381	1.51138383981714e-22	1.35470371508943e-19	9.22474452407688e-20	HCN4/HCRT/FGF14/NLGN3/GRIN2A/P2RX6/SLC17A7/HCN2/CHRNA3/CELF4/SCN3B/SCN7A/CACNA1H/CHRNA6/NLGN2/ADRB2/SNCA/MEF2C/GRIA4/GRIA3/TMEM108/SCN2A/SCN1B/SLC8A3/GLRB/NLGN1/GRIK1/CUX2/P2RX1/GRIK3/GRIK5/CHRNB4/NRXN1/SEZ6/GRIK2/DGKI/PKD2/RIMS1/MPP2/GRID1/NPAS4/P2RX7/SHANK1/SCN11A/NLGN4X/SCN3A/LRRK2/SCN4A/ADCYAP1/NTSR1/SCN2B/SCN4B/SLC8A1/CHRNB2/CACNA1G/DLG4/RELN/SCN9A/GRIA1	59
GO:0001525	angiogenesis	122/1873	469/17381	4.40363750288398e-21	3.21357623730351e-18	2.18825854447533e-18	COL4A1/SULF1/PTN/STAB1/ITGB3/CTGF/THBS2/MCAM/PIK3R6/SOX17/NPR1/HSPG2/MMRN2/FGF2/PDGFRB/UNC5B/CX3CR1/TMEM100/NOTCH3/DCN/CALCRL/CHI3L1/SLIT2/COL8A1/CAV1/ETS1/CD34/IL6/PIK3CG/NRP1/FN1/JCAD/LEP/GREM1/CYR61/PLXDC1/COL8A2/MMP14/SPARC/FGFR1/ELK3/TIE1/FLT4/LOXL2/HAND1/CYSLTR2/TGFB2/ANGPT1/C3AR1/GJA5/RSPO3/PRKD1/EGR3/MFGE8/SERPINF1/PTGIS/ADGRB1/FGF10/ITGA5/NRP2/CSPG4/SCG2/THBS1/TCF21/FAP/APLNR/THSD7A/PPP1R16B/ARHGAP24/COL4A2/FGF1/MEOX2/APOD/C5AR1/ADAM8/ITGB2/HAND2/VEGFC/CYBB/AQP1/ENPP2/JAM3/SERPINE1/S1PR1/NGFR/CCBE1/FOXC2/HSPB6/THY1/SFRP2/CYP1B1/SEMA3E/FGF9/C6/PTPRM/GPNMB/VASH1/PDGFRA/TBX1/EGF/PRKCB/COL18A1/PROK2/MMP2/COL15A1/CCR2/MEIS1/KRT1/VEGFD/TEK/SFRP1/ADGRB3/ADGRA2/RORA/HGF/THBS4/CCL2/STAB2/CXCL13/C3/TWIST1/HDAC9	122
GO:0001503	ossification	105/1873	373/17381	4.7803290997449e-21	3.21357623730351e-18	2.18825854447533e-18	BMPR1B/IBSP/GDF10/DKK1/TP63/IGF1/RSPO2/DDR2/DCHS1/TNC/PTN/CTGF/OMD/COL1A1/GLI1/RFLNB/WNT7B/RYR1/COL5A2/PTH1R/TMEM119/PENK/ADRB2/WWTR1/ZBTB16/IL6/MEF2C/CSF1/CHRDL1/OSR1/COL6A1/LEP/GLI2/GREM1/CYR61/CDH11/MN1/MMP14/SPARC/DLX5/TNN/FAM20C/CTSK/TGFB2/COL11A1/RANBP3L/NOG/PRKD1/RASSF2/CHRD/SNAI2/FSTL3/COL10A1/FAT4/TGFB3/RORB/EGR2/CLEC5A/PTHLH/COL2A1/COL13A1/SPP1/RUNX2/SRGN/CTHRC1/MMP13/MRC2/ITGA11/SOX11/IGFBP5/MMP16/HAND2/GLI3/CCR1/TACR1/SEMA7A/S1PR1/TWIST2/VCAN/ASPN/FOXC2/ROR2/DHH/SFRP2/P2RX7/FGF9/BMP3/GPNMB/TPH1/ATP6V1B1/CHRDL2/MMP2/FBN2/SLC8A1/TEK/SFRP1/GDF5/HGF/GPC3/MGP/MMP9/TWIST1/ALPL/IL6ST/LTF	105
GO:0007409	axonogenesis	115/1873	433/17381	1.04407798790632e-20	6.23894602106685e-18	4.24835943851003e-18	DSCAML1/BMPR1B/SLITRK6/APBB1/SPON2/APOE/KIRREL1/NLGN3/LRRN2/LRRC55/PLXNA4/GFRA2/ROBO2/RNF165/NGF/CNTN4/NTRK3/NTN1/DCLK1/RND2/SLITRK3/MAP1B/UNC5B/EPYC/SLIT2/EFNB3/SLITRK4/LAMA2/NRP1/DSCAM/PTPRZ1/FN1/GLI2/PAK3/KIF5A/CDH11/DRAXIN/LRRC4C/NCAM1/DOK5/DLX5/NR4A3/FEZ1/TNN/CNTN2/SCN1B/CSF1R/COL25A1/DOK6/SEMA3G/CRABP2/EPHA4/EPHA5/NOG/CHL1/PLPPR4/ADGRB1/NTNG1/S100B/SLITRK2/NRP2/CXCL12/GDNF/OLFM1/EGR2/SPART/SPTBN4/SLIT3/SPP1/DPYSL5/MT3/NRXN1/ANOS1/ATP8A2/CDKL5/GFRA3/NDN/GFRA1/PIK3CD/TNFRSF8/GLI3/L1CAM/NFASC/SEMA7A/NGFR/THY1/CRMP1/EPHA7/UCHL1/NEFL/FLRT2/PTPRM/ZEB2/GATA3/OGN/VAX2/NTNG2/TRPV2/PLXNC1/UNC5C/ISLR2/EVL/DCC/BDNF/NEFH/CHRNB2/NTRK1/BOC/GAP43/TIAM1/PTPRS/NPTX1/MAP2/RELN/UNC5A	115
GO:0050808	synapse organization	83/1873	260/17381	1.26136194743146e-20	6.78360455328639e-18	4.61924022643584e-18	SLITRK6/DKK1/COL4A1/DNER/APOE/TNC/SIX4/PCDHB7/PTN/NLGN3/RAB39B/THBS2/MUSK/ROBO2/SNCG/WNT7B/PDZRN3/IL10/CAMK2B/NTRK3/SLITRK3/NLGN2/SLITRK4/SNCA/MEF2C/DSCAM/PALM/PAK3/TMEM108/CNTN2/GLRB/CDH2/NLGN1/PCDHGC5/EPHA4/TLR2/IL10RA/ADGRB1/CUX2/CLSTN2/SYNDIG1/SLITRK2/GDNF/PCDHGC4/F2R/LILRB2/NRXN1/SDK1/UNC13A/CTNND2/SEZ6/LRRC4/SDK2/L1CAM/CACNB4/NFASC/ARHGEF15/EPHA7/NPAS4/MYO5A/PCDH17/SEMA3E/FLRT2/SEZ6L/SHANK1/NLGN4X/GPM6A/SPOCK2/LRRK2/BDNF/LRRTM2/SYNPO/CHRNB2/NTRK1/SIX1/ADGRB3/LRRN3/DLG4/NLGN4Y/TIAM1/RELN/AMIGO2/PCDHB4	83
