ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	154/2004	365/18511	6.3765944581848e-55	3.27756955150699e-52	2.35598384718196e-52	C6orf15/COL4A1/COL19A1/SPON2/ADAMTS3/TNC/PTN/ADAMTS10/COL5A3/CILP2/CTGF/THBS2/LRRN2/NID1/OMD/HSPG2/LRRC55/COL1A1/MMRN2/TIMP3/SPN/WNT7B/COL14A1/SFTPD/APLP1/WISP2/COL5A2/NTN1/ADAMTS1/COL1A2/ELN/EFEMP2/COL3A1/EPYC/PRELP/DCN/CHI3L1/ABI3BP/COL8A1/OLFML2A/LAMA2/FBLN2/COL7A1/PTPRZ1/BGN/FN1/COL6A1/WNT2/TIMP2/CYR61/MMP8/EMILIN1/COL8A2/LAMA4/PODN/SPARC/ADAMTS4/TECTA/LOX/TNN/VWF/LOXL2/HPSE2/POSTN/ADAMTS5/COL5A1/PXDN/COL11A1/FBLN5/COL24A1/EFEMP1/WNT9A/MFAP4/LTBP1/MFAP5/CPZ/COL6A6/CHL1/LUM/WNT6/ADAMTS14/COL10A1/CD248/COL21A1/SERPINF1/CILP/ADAMTS2/CRISPLD2/ADAMTS18/ADAMTS16/COL12A1/COL2A1/MAMDC2/PODNL1/CTHRC1/ADAMTS8/MMP13/FBLN1/COL6A2/COL4A2/ANOS1/FGF1/MMP16/COL16A1/WNT16/FBLN7/HMCN1/VCAN/COMP/ASPN/COL6A3/CCBE1/LTBP2/ADAMTSL4/GPC6/FGF9/WISP1/FBN1/FLRT2/ADAMTS12/LOXL1/LAMC3/ADAMTS6/ADAMTSL3/TNXB/CRTAC1/OGN/COL18A1/SPOCK1/IMPG2/ADAMTSL1/MMP11/SPOCK2/MMP2/COL15A1/KERA/NID2/FBN2/MATN3/CCDC80/COL22A1/SFRP1/SPARCL1/ECM2/THBS4/ADAMTS7/LRRN3/GPC3/MGP/MMP9/DPT/RELN/LRFN5/ALPL	154
GO:0044420	extracellular matrix component	55/2004	120/18511	2.0836511999879e-22	5.35498358396891e-20	3.84927142734608e-20	COL4A1/TNC/PTN/ADAMTS10/COL5A3/THBS2/NID1/HSPG2/COL1A1/MMRN2/TIMP3/SPN/COL14A1/APLP1/COL5A2/NTN1/ADAMTS1/COL1A2/ELN/EFEMP2/COL3A1/COL8A1/LAMA2/COL7A1/PTPRZ1/FN1/EMILIN1/COL8A2/LAMA4/SPARC/LOXL2/COL5A1/COL11A1/FBLN5/MFAP4/LTBP1/MFAP5/LUM/SERPINF1/COL12A1/COL2A1/FBLN1/COL4A2/HMCN1/FGF9/FBN1/LOXL1/LAMC3/TNXB/COL18A1/COL15A1/NID2/FBN2/CCDC80/THBS4	55
GO:0005581	collagen trimer	45/2004	88/18511	5.26710978719332e-21	9.02431476872455e-19	6.48686152738545e-19	COL4A1/COL19A1/C1QTNF7/COL5A3/COL1A1/COLEC12/COL14A1/SFTPD/COL5A2/COL1A2/COL3A1/DCN/COL8A1/MSR1/COL7A1/COL6A1/EMILIN1/COL8A2/LOX/COL25A1/C1QTNF3/COL5A1/COL11A1/COL24A1/COL6A6/LUM/MARCO/COL10A1/COL21A1/COL12A1/COL2A1/COL13A1/CTHRC1/COL6A2/COL4A2/COL16A1/COL6A3/CCBE1/SCARA3/FCN1/TNXB/COL18A1/COL15A1/COL23A1/COL22A1	45
GO:0098794	postsynapse	108/2004	424/18511	6.97476339796268e-18	8.96257096638204e-16	6.442478822855e-16	ACTN2/HCRT/IGF2BP1/GABRA3/APBB1/KCNB1/NLGN3/GRIN2A/P2RX6/SLC17A7/MUSK/CHRNA3/CHRNA6/DLG2/DCLK1/MAP1B/NLGN2/LAMA2/SNCA/MEF2C/PALM/GRIA4/GRIA3/DLGAP1/LRRC4C/TMEM108/HOMER2/SLC8A3/GLRB/NOS1/ITGA8/SNAP25/ANKS1B/FCGR2B/CPEB1/PALMD/CDH2/NLGN1/EPHA4/GRIK1/ZNF804A/ATP1A2/CNIH3/MPDZ/ADGRB1/CLSTN2/SYNDIG1/SSPN/F2R/P2RX1/COL13A1/MT3/PDLIM4/GRIK3/GRIK5/FBXO2/KIF1A/CHRNB4/SEZ6/LRRC4/SHC4/SYNE1/CHRM4/GRASP/EPB41L3/GRIK2/ITPR1/DGKI/CAP2/PSD/KCNH1/ANK2/CRYAB/TENM2/CNKSR2/EPHA7/MPP2/GRID1/NPAS4/P2RX7/SHANK1/NLGN4X/GPM6A/DOCK10/BAALC/CAMK2A/CHRM2/SPOCK1/ADD2/LRRK2/SYT11/NTSR1/NEFH/LRRTM2/SYNPO/SLC8A1/CHRNB2/ADGRB3/KCND2/GAP43/DLG4/NLGN4Y/TIAM1/PTPRS/MAP2/LZTS1/GRIA1/IQSEC3	108
GO:0030425	dendrite	119/2004	495/18511	1.78607764200525e-17	1.83608781598139e-15	1.31981737335546e-15	ACTN2/BMPR1B/IGF2BP1/APBB1/TP63/DNER/APOE/SV2A/KIRREL1/KCNB1/JPH4/KCNIP1/CHRNA3/CNGA3/RCVRN/PNOC/PENK/MAP1B/SGCE/KCND1/KCNB2/LAMA2/PALM/ADCY2/NECAB2/KIF5A/HTR2A/GRIA4/PLXDC1/CLU/TMEM108/TRIM9/KCNC1/HOMER2/FEZ1/SLC8A3/FLNA/GLRB/NOS1/GNAO1/ITGA8/ANKS1B/FCGR2B/CPEB1/ATCAY/PALMD/NLGN1/TTLL7/EPHA4/ZNF804A/EPHA5/CHL1/ATP1A2/CNIH3/MPDZ/ADGRB1/SYNDIG1/DPYSL5/MT3/PDLIM4/GRIK3/GRIK5/FBXO2/KIF1A/CDKL5/CTNND2/SEZ6/APOD/LRRC4/GRIK2/CYBB/DGKI/L1CAM/PSD/KCNH1/TACR1/NFASC/CRYAB/CNR2/TENM2/THY1/ARHGEF15/ROR2/KIF17/EPHA7/MPP2/GRM6/SHANK1/LYNX1/NLGN4X/LAMP5/GPM6A/DOCK10/LRP2/CHRM2/GRM2/KCND3/NSG2/SYT4/LRRK2/SYT11/CCR2/NTSR1/SYNPO/SLC8A1/PCSK2/NTRK1/C4A/KCND2/CACNA1B/CCL2/DLG4/TIAM1/CPT1C/MAP2/RELN/LZTS1/GRIA1/IL6ST	119
GO:0009897	external side of plasma membrane	78/2004	270/18511	1.62834744641048e-16	1.39495097909164e-14	1.00271921700014e-14	TRPM8/IL13/LY6G6D/VTCN1/CCR4/CD163/MCAM/HEG1/SPN/TNFRSF13B/ABCA1/GP1BA/CD86/CD34/IL6/SELL/IL31RA/ITGAM/CD36/TLR8/NCAM1/TF/IL7R/FCRL6/FCGR2B/PTPRC/CD19/NLGN1/CD79B/CD79A/EPHA5/PRND/CDH5/MFGE8/CCR7/CLEC14A/ITGA5/CXCL12/CUBN/P2RX1/THBS1/SERPINA5/FCGR3A/GPIHBP1/GFRA3/CD200R1/ITGB2/ANTXR1/CD33/VCAM1/CCR1/FCER2/CD209/SEMA7A/S1PR1/CD226/THY1/P2RX7/FOLR2/FCN1/FCER1A/ASTN1/LILRB1/LRP2/PDGFRA/MS4A1/CD28/CXCR5/PDPN/P2RY12/SELP/KCNJ5/CD4/CCR5/CHRNB2/MS4A2/STAB2/IL6ST	78
GO:0044297	cell body	116/2004	500/18511	7.55782473410973e-16	5.549602733332e-14	3.9891676416128e-14	APOB/BMPR1B/APBB1/KCNN3/DNER/NLRP1/CCR4/APOE/SV2A/KLHL14/KCNB1/RBFOX3/SNCG/CHRNA3/CNGA3/PNOC/PENK/CX3CR1/TMEM100/KCND1/KCNB2/SNCA/NRP1/TIMP2/KIF5A/HTR2A/GRIA4/PLXDC1/ACTC1/KCNC1/HOMER2/FEZ1/PDE1A/CNTN2/SLC8A3/FLNA/SLC1A3/GNAO1/ITGA8/TGFB2/PTPRN/ACTA2/FCGR2B/KCNK2/CPEB1/ERMN/TTLL7/EPHA4/ZNF804A/EPHA5/SYT5/DPYSL3/TLR2/SERPINF1/TGFB3/SYNDIG1/S100B/OLFM1/SPTBN4/SST/DPYSL5/GRIK3/GRIK5/KIF1A/NRXN1/CTNND2/SEZ6/APOD/NDN/ACTG2/GRIK2/CYBB/DGKI/L1CAM/KCNH1/TACR1/CRYAB/CNR2/THY1/CNKSR2/ROR2/EPHA7/UCHL1/MYO5A/P2RX7/RIC3/SEZ6L/CACNA1A/ASTN1/GPM6A/STMN2/TRPV2/CHRM2/SYT4/LRRK2/PDE1B/SYT11/CCR2/NTSR1/SYNPO/PCSK2/NTRK1/C4A/HPN/EEF1A2/KCND2/CACNA1B/CCL2/TIAM1/PTPRS/MAP2/GFAP/LZTS1/UNC5A/GRIA1/IL6ST	116
GO:0098552	side of membrane	112/2004	482/18511	2.15333358751631e-15	1.26073297617696e-13	9.06240578820628e-14	TRPM8/IL13/LY6G6D/RGS7/VTCN1/HLA-DPB1/CCR4/CD163/RGS1/RGS2/MCAM/HEG1/FERMT2/KCNIP1/SPN/FGR/TNFRSF13B/AJAP1/ABCA1/GP1BA/CD86/BTK/CD34/GEM/IL6/SELL/GNG2/IL31RA/ITGAM/DTNA/GNAL/CD36/TLR8/NCAM1/ITK/TF/IL7R/FCRL6/GNAO1/SNAP25/FCGR2B/PTPRC/CD19/NLGN1/CD79B/PGM5/CD79A/EPHA5/PRND/CDH5/GNG7/RGS9/MFGE8/CCR7/CLEC14A/ITGA5/CXCL12/CUBN/P2RX1/MATK/THBS1/SERPINA5/FCGR3A/GPIHBP1/GFRA3/CD200R1/ITGB2/ANTXR1/CD33/VCAM1/CCR1/FCER2/CACNB4/CD209/SEMA7A/S1PR1/PKD2/CD226/CNR2/THY1/HLA-DQA1/P2RX7/FOLR2/FCN1/FCER1A/ASTN1/LILRB1/LRP2/PDGFRA/MS4A1/CD28/SLA/CXCR5/PDPN/P2RY12/SELP/LRRK2/KCNJ5/NTSR1/CD4/HCK/CCR5/CHRNB2/BLK/EEF1A2/MS4A2/STAB2/DLG4/TIAM1/GFAP/IL6ST/BMX	112
GO:0034703	cation channel complex	65/2004	212/18511	2.32675511451877e-15	1.26073297617696e-13	9.06240578820628e-14	HCN4/OLFM3/CACNA2D1/TRPC4/KCNB1/GRIN2A/LRRC55/KCNIP1/HCN2/RYR1/SCN3B/SCN7A/CACNA1H/DLG2/KCNJ8/DPP6/KCND1/KCNB2/ABCC9/CNTNAP1/GRIA4/GRIA3/KCNC1/SCN2A/CNTN2/SCN1B/NOS1/SNAP25/KCNK2/KCNMB1/NLGN1/KCNT2/CNIH3/AKAP6/KCNMA1/KCNA3/GRIK5/CNGB1/GRIK2/KCNH1/CACNB4/KCNA5/SHANK1/SCN11A/CACNA1A/KCNMB2/CASQ2/SCN3A/KCNQ3/KCND3/SCN4A/KCNQ5/KCNJ5/SCN2B/SCN4B/CACNA1G/KCND2/CACNA1B/KCNE1/KCNS2/DLG4/CPT1C/SCN9A/GRIA1/CACNA1E	65
GO:0005788	endoplasmic reticulum lumen	81/2004	299/18511	2.45278789139486e-15	1.26073297617696e-13	9.06240578820628e-14	APOB/ITIH2/COL4A1/COL19A1/APOE/TNC/COL5A3/COL1A1/WNT7B/COL14A1/F5/COL5A2/COL1A2/PENK/COL3A1/COL8A1/CFP/SCG3/IL6/COL7A1/FN1/CSF1/PDGFC/CHRDL1/COL6A1/CYR61/MXRA8/COL8A2/FMO1/FLT3/CHGB/FAM20C/TF/COL25A1/ADAMTS5/COL5A1/COL11A1/COL24A1/P4HA3/CDH2/LTBP1/WNT6/MFGE8/FSTL3/COL10A1/COL21A1/BCHE/CP/SCG2/COL12A1/COL2A1/THBS1/COL13A1/SPP1/COL6A2/COL4A2/IGFBP5/COL16A1/CERCAM/ARSI/FSTL1/VCAN/COL6A3/SERPIND1/ADAMTSL4/FBN1/SDC2/CASQ2/COL18A1/ADAMTSL1/COL15A1/COL23A1/CASQ1/CD4/MATN3/COL22A1/SPARCL1/C4A/ADAMTS7/GPC3/C3	81
