ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04512	ECM-receptor interaction	42/691	85/5894	6.13039737608795e-18	1.14025391195236e-15	9.74410530304506e-16	3381/1282/9900/3371/3690/50509/7058/3339/1277/1290/1278/2811/1281/9899/3679/3908/2335/1291/3910/948/63923/7450/8516/1289/1301/3676/131873/3678/1280/7057/6696/1292/1284/22801/1311/1293/8515/10319/6383/7148/7060/5649	42
hsa04080	Neuroactive ligand-receptor interaction	76/691	272/5894	6.13895954199422e-14	5.70923237405462e-12	4.87885732021646e-12	5644/2556/148/2903/9127/1511/53829/1136/8973/5745/27334/8811/10203/154/9002/1268/3952/3356/2893/2892/2357/7434/7253/2358/9340/57105/5724/2743/5739/140/6753/719/2897/1816/4889/2149/2359/5023/3357/2899/187/2901/1143/286530/155/5733/728/1132/2898/552/185/6869/3274/1901/1269/10800/2894/5027/2916/1129/2912/2846/3351/4923/59350/3363/2847/9934/1141/10316/4987/5737/2908/6865/2890/1903	76
hsa04514	Cell adhesion molecules (CAMs)	47/691	136/5894	1.35270820771465e-12	8.38679088783082e-11	7.1669803285934e-11	9074/3115/54413/6693/57863/58494/3683/57555/942/947/6402/3684/8506/4684/6900/8516/5010/5788/1000/3676/22871/3111/6401/80380/1003/9378/933/3689/1272/7412/83700/3897/23114/1462/10666/3117/57502/5797/6383/257194/6614/940/6403/920/4685/23705/8174	47
hsa04510	Focal adhesion	59/691	200/5894	4.06637224739686e-12	1.89086309503954e-10	1.61584791936033e-10	88/3381/1282/3479/3371/2318/3690/50509/7058/10000/1277/5159/1290/1278/1281/857/3679/3908/5294/2335/56034/1291/4638/5063/3910/2324/63923/7450/2316/8516/1289/1301/3676/131873/3678/1280/7057/6696/1292/1284/22801/399694/5293/7424/1311/1293/8515/5602/10319/7148/5156/1950/5579/10398/2277/23533/3082/7060/5649	59
hsa04020	Calcium signaling pathway	53/691	177/5894	2.85451142229951e-11	1.06187824909542e-09	9.07434157404685e-10	148/2903/9127/6261/816/8912/5159/154/2774/108/4638/3356/814/5136/6547/57105/5724/4842/1816/6263/2149/5023/3357/155/5733/552/185/3708/491/6869/3274/10800/5027/773/5260/5156/5579/5336/815/1129/5153/4923/5350/3363/6546/8913/774/5737/493/5137/6865/7220/777	53
hsa04060	Cytokine-cytokine receptor interaction	67/691	265/5894	2.83882713287389e-10	8.80036411190907e-09	7.52040170287645e-09	658/3596/1233/1489/1271/5473/23495/3586/5159/10673/6363/7292/1524/3569/3577/1435/56034/3952/9180/2322/6374/5008/50615/2324/6357/1436/3575/7042/6354/3579/1236/8995/7043/3587/6366/3554/80301/6387/6362/3977/55504/6367/6364/7424/3624/943/1230/1439/6358/4804/1441/5156/1950/643/729230/8740/2277/1234/2829/8200/3082/944/6347/7173/10563/1237/3572	67
hsa05150	Staphylococcus aureus infection	25/691	56/5894	5.61819083462426e-10	1.49283356462873e-08	1.27570949778686e-08	3115/3586/3683/2212/3684/2357/2204/2358/5724/2213/5648/719/3111/9103/2359/2214/3075/715/728/3689/716/3117/6403/720/718	25
hsa05144	Malaria	21/691	51/5894	7.79527846759642e-08	1.77068011509908e-06	1.51314486349724e-06	2532/7058/2995/3586/3683/3569/948/1378/7042/6401/7097/7043/7057/3689/7412/1311/6383/6403/3082/7060/6347	21
hsa04380	Osteoclast differentiation	37/691	128/5894	8.56780700854396e-08	1.77068011509908e-06	1.51314486349724e-06	3690/11027/10000/54209/6688/2212/2354/9021/695/3937/5294/1435/814/4286/1436/1513/7042/2213/11025/126014/79168/10990/9103/3554/2214/10288/5293/1536/23547/11006/5602/4688/10859/11024/5336/23533/4772	37
hsa04640	Hematopoietic cell lineage	29/691	88/5894	9.84473186595381e-08	1.83112012706741e-06	1.56479422290424e-06	3690/2811/947/3569/3684/1435/1380/948/2322/913/1436/1378/3575/930/3676/911/3554/3678/951/933/945/7066/2208/1441/910/931/909/920/7173	29
hsa04974	Protein digestion and absorption	26/691	81/5894	8.11826140991817e-07	1.37272420204071e-05	1.17306935205516e-05	340024/5644/1282/50509/1277/7373/1290/1278/2006/1281/1359/1291/6547/1289/1301/131873/477/1303/1280/1292/1284/482/1293/80781/1306/6546	26
