ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030198	extracellular matrix organization	118/2059	335/17381	1.67999650638152e-29	6.21889815783319e-26	4.61729621021656e-26	COL11A1/NOXO1/CARMIL2/THSD4/COL8A2/LAMC3/ITGA2B/GFAP/VIT/AGT/SPP1/COMP/FGFR4/MMP8/MMP9/COL9A1/MMP10/NOX1/IHH/ITGAL/DDR2/COL12A1/FBLN2/HAS1/VWF/FMOD/MMP11/CTSK/A2M/MMP2/CCDC80/MFAP5/CMA1/LOXL1/SULF1/LAMA2/CTSG/DCN/ADAMTS9/ITGA9/FAP/EFEMP2/ADAMTS2/JAM2/JAM3/GREM1/TNR/FGF2/TIMP2/ECM2/MFAP4/ITGB3/ITGAX/COL19A1/FN1/RECK/POSTN/ITGAD/FBLN1/CYR61/TNXB/DPT/SMOC2/MMP13/SPOCK2/TPSAB1/LUM/CRISPLD2/ITGA7/MADCAM1/FBLN5/ANTXR1/HPSE2/ITGB2/ADAMTS5/THBS1/SCUBE1/ITGA8/FBN1/LOXL3/COL14A1/MYH11/ITGA4/MMP16/ABI3BP/BGN/PDGFRA/COL1A2/GPM6B/SPARC/ITGA11/NID2/ITGA10/COL3A1/ADAMTS4/COL6A1/PECAM1/ITGA1/CTGF/ELANE/COL6A2/VCAN/COL5A2/COL10A1/COL6A3/VCAM1/SFRP2/COL8A1/COL1A1/ADAM12/COL5A1/FOXF1/ADAM19/ELN/FOXF2/NDNF/CYP1B1/LAMA4	118
GO:0043062	extracellular structure organization	118/2059	336/17381	2.29776396003443e-29	6.21889815783319e-26	4.61729621021656e-26	COL11A1/NOXO1/CARMIL2/THSD4/COL8A2/LAMC3/ITGA2B/GFAP/VIT/AGT/SPP1/COMP/FGFR4/MMP8/MMP9/COL9A1/MMP10/NOX1/IHH/ITGAL/DDR2/COL12A1/FBLN2/HAS1/VWF/FMOD/MMP11/CTSK/A2M/MMP2/CCDC80/MFAP5/CMA1/LOXL1/SULF1/LAMA2/CTSG/DCN/ADAMTS9/ITGA9/FAP/EFEMP2/ADAMTS2/JAM2/JAM3/GREM1/TNR/FGF2/TIMP2/ECM2/MFAP4/ITGB3/ITGAX/COL19A1/FN1/RECK/POSTN/ITGAD/FBLN1/CYR61/TNXB/DPT/SMOC2/MMP13/SPOCK2/TPSAB1/LUM/CRISPLD2/ITGA7/MADCAM1/FBLN5/ANTXR1/HPSE2/ITGB2/ADAMTS5/THBS1/SCUBE1/ITGA8/FBN1/LOXL3/COL14A1/MYH11/ITGA4/MMP16/ABI3BP/BGN/PDGFRA/COL1A2/GPM6B/SPARC/ITGA11/NID2/ITGA10/COL3A1/ADAMTS4/COL6A1/PECAM1/ITGA1/CTGF/ELANE/COL6A2/VCAN/COL5A2/COL10A1/COL6A3/VCAM1/SFRP2/COL8A1/COL1A1/ADAM12/COL5A1/FOXF1/ADAM19/ELN/FOXF2/NDNF/CYP1B1/LAMA4	118
GO:0006936	muscle contraction	110/2059	352/17381	1.06758691963878e-22	1.92628266533491e-19	1.43019188041434e-19	DTNA/JUP/MYOM2/KCNJ5/ACTN2/MYOM1/SMPX/CHRNA1/MYL3/SCN4B/MYH13/SCN5A/AGT/CKMT2/CHGA/HTR1D/TRIM72/PROK2/ACE2/CHRNB2/JSRP1/TNNT2/GATA4/CHRM1/ADRA2A/GDNF/SYNM/SLC8A3/SCN1B/PIK3CG/DES/RGS2/CALD1/ANXA6/CASQ1/SULF1/GJA5/CACNA1H/CACNB2/HCN4/MYL9/PPP1R12B/ANK2/KIT/HTR2B/TRIM63/RYR2/EDNRA/CTNNA3/HTR2A/HSPB6/MYBPC2/MYLK/ACTA1/CHRM2/PDE5A/ATP1A2/DMD/GNAO1/KCNB2/KCNA1/TIFAB/TACR2/DCANP1/P2RX2/KCNA5/CNN1/ACTA2/SCN7A/MYOCD/EHD3/SCN2B/GUCY1A3/FXYD1/ACTC1/PKP2/CACNA1G/CACNA1C/TMOD1/LMOD1/SGCA/MYH11/GHRL/CASQ2/SCN4A/TACR1/ACTG2/NMUR1/ADORA1/ADRA1A/KCNMA1/SLC8A1/ITGA1/CTGF/SSPN/KLHL41/SORBS1/FLNA/TPM2/KCNE1/LMOD3/PRKG1/KCNJ8/PLN/MYOT/HRC/RCSD1/KCNN2/F2R/PTGER3	110
GO:0003012	muscle system process	124/2059	448/17381	2.19691873824675e-20	2.97298028253241e-17	2.20732519542792e-17	DTNA/JUP/MYOM2/KCNJ5/ACTN2/MYOM1/SMPX/CHRNA1/MYL3/SCN4B/MYH13/SCN5A/AGT/CKMT2/CHGA/HTR1D/TRIM72/PROK2/ACE2/CHRNB2/JSRP1/TNNT2/GATA4/ABCC8/CHRM1/ADRA2A/LEP/GDNF/SYNM/SLC8A3/SCN1B/PIK3CG/DES/RGS2/CALD1/ANXA6/CASQ1/SULF1/GJA5/CACNA1H/CACNB2/HCN4/HAND2/TRPC3/MYL9/PPP1R12B/ANK2/KIT/HTR2B/TRIM63/RYR2/EDNRA/CTNNA3/HTR2A/HSPB6/MYBPC2/MEF2C/MYLK/ACTA1/CHRM2/PDE5A/ATP1A2/AKAP6/IGF1/DMD/GNAO1/KCNB2/KCNA1/TIFAB/TACR2/DCANP1/P2RX2/KCNA5/CNN1/ACTA2/SCN7A/MYOCD/EHD3/SCN2B/AIF1/CAMK2B/GUCY1A3/MYOC/FXYD1/ACTC1/PKP2/CACNA1G/IL1B/CACNA1C/TMOD1/LMOD1/SGCA/MYH11/GHRL/CASQ2/SCN4A/TACR1/IGFBP5/ACTG2/NMUR1/ADORA1/ADRA1A/KCNMA1/SLC8A1/ITGA1/CTGF/SSPN/KLHL41/SORBS1/FLNA/TPM2/KCNE1/NR4A3/LMOD3/PRKG1/KCNJ8/PLN/LMCD1/MYOT/HRC/RCSD1/KCNN2/F2R/PTGER3	124
GO:0035637	multicellular organismal signaling	71/2059	200/17381	1.90636335318578e-18	2.06382896615893e-15	1.53231479630807e-15	OTOA/FXYD7/JUP/IL6/KCNJ5/CHRNA1/KCND2/CACNA2D2/SCN4B/CACNB4/SCN11A/SCN5A/AGT/DMRT3/SPTBN4/ACE2/GPR35/SCN9A/KCNH6/KCNJ4/KCNIP1/FXYD6/ATP1A4/SLC8A3/ATP2B3/SCN1B/CASQ1/GJA5/CACNA1H/CACNB2/CORIN/KCNA2/HCN4/JAM3/TNR/ABCC9/ANK2/CACNG6/RYR2/CTNNA3/AVPR1A/ATP1A2/KCNA1/CNTNAP1/NPR1/KCNA5/SCN7A/EHD3/SCN2B/RYR3/NPPC/FXYD1/PKP2/CACNA1G/CACNA1C/GPR88/GHRL/CASQ2/SCN4A/KCNK3/ATP1B2/SLC8A1/NFASC/FLNA/KCNE1/ITPR1/PLN/S1PR1/HRC/SCN3A/KCNN2	71
GO:0042391	regulation of membrane potential	110/2059	403/17381	1.00823292266178e-17	9.0959413506137e-15	6.75339175214505e-15	JUP/NLGN1/CBLN1/IL6/KCNJ5/ACTN2/CELF4/CHRNA1/KCND2/KCNJ10/SCN4B/CACNB4/MAPT/SCN11A/SCN5A/CNR1/GRIK4/CHRNB2/KCNH1/GPR35/SCN9A/KCNH6/ABCB5/FAM19A4/BEST2/CHRNA2/NETO1/GRIA2/FGF14/ATP1A4/LRRK2/SLC8A3/CNR2/SCN1B/TMEM108/NPAS4/GLRB/TCL1A/ADCYAP1/KCNK12/PKD2/GJA5/CACNA1H/NALCN/CACNB2/KCNA2/DCN/NRXN1/FHL1/HCN4/ADORA2A/CNGA3/PIEZO2/ANK2/GRIK3/RYR2/CTNNA3/SHANK1/MEF2C/SLC26A3/ATP1A2/AKAP6/RELN/GRIK5/KCNK2/DMD/P2RX7/KCNA1/KCNB1/CNTNAP1/DGKI/P2RX2/KCNA5/SCN7A/KCNQ3/EHD3/SCN2B/MYOC/FXYD1/GRIN2A/PKP2/CACNA1G/CACNA1C/GPR88/GHRL/CASQ2/SCN4A/TACR1/ADORA1/KCNK3/ADRA1A/ATP1B2/KCNMA1/SLC8A1/GRID1/BCL2/FLNA/KCNE1/SLC17A7/KCNJ8/GRIA3/CUX2/GRIA1/RIMS1/PLN/SCN3A/KCNN2/CNIH3/NLGN3/CHRNA6	110
GO:0051480	regulation of cytosolic calcium ion concentration	92/2059	318/17381	9.37610585782836e-17	7.25040871548927e-14	5.38315370905093e-14	PDE6B/CD55/CCL21/GPR20/RXFP3/CXCL9/JPH3/CXCL13/CXCR3/AGT/GALR1/PDE6A/TRPV6/UTS2R/CALB1/PROK2/JSRP1/GPR35/GLP1R/NPSR1/FAM155B/TRPC4/SLC8A3/ATP2B3/F2RL2/PIK3CG/CCR8/ADCY5/GPR65/ADCYAP1/CCR7/CASQ1/CYSLTR1/CD4/PTH1R/PKD2/CCR5/THY1/TRPC3/FGF2/ANK2/HTR2B/CCR2/RYR2/TRPC6/EDNRA/HTR2A/LPAR4/AVPR1A/ATP1A2/AKAP6/RIC3/DMD/P2RX7/JPH2/P2RY10/FPR3/P2RX2/JPH4/KCNA5/CD19/RYR3/PTPRC/CCKBR/CCR1/CD52/GRIN2A/CACNA1C/GHRL/CASQ2/TACR1/PDGFRA/CDH23/KCNK3/ADRA1A/AGTR1/SLC8A1/BCL2/CCL19/S1PR3/C5AR1/ITPR1/CCR3/C3AR1/P2RY8/GRIA1/PLN/S1PR1/HRC/F2R/CCR4/FPR1	92
GO:0055074	calcium ion homeostasis	110/2059	424/17381	5.30658689919457e-16	3.59056936066753e-13	2.66586168172696e-13	PDE6B/CD55/TNFSF11/CCL21/FAM20A/ATP13A5/GPR20/RXFP3/CXCL9/JPH3/CXCL13/CXCR3/AGT/GALR1/PDE6A/TRPV6/UTS2R/CALB1/PROK2/JSRP1/GPR35/GLP1R/NPSR1/CCL7/FAM155B/CCL23/TRPC4/SLC8A3/ATP2B3/F2RL2/PIK3CG/CCR8/ADCY5/GPR65/ANXA6/ADCYAP1/CCR7/CASQ1/CYSLTR1/CD4/PTH1R/PKD2/CCR5/THY1/TRPC3/FGF2/KEL/ANK2/ATP7B/PRKCB/KL/HTR2B/CCR2/RYR2/TRPC6/EDNRA/HTR2A/LPAR4/AVPR1A/ATP1A2/AKAP6/RIC3/DMD/P2RX7/JPH2/P2RY10/FPR3/P2RX2/JPH4/KCNA5/CD19/SLC24A4/RYR3/PTPRC/CCKBR/SLC24A3/CCR1/CD52/GRIN2A/SYPL2/CCL11/CACNA1C/TFAP2B/GHRL/CASQ2/TACR1/PDGFRA/CDH23/CCL14/KCNK3/ADRA1A/AGTR1/SLC8A1/BCL2/ELANE/CCL19/S1PR3/C5AR1/ITPR1/CXCL12/CCR3/C3AR1/P2RY8/GRIA1/PLN/S1PR1/HRC/F2R/CCR4/FPR1	110
GO:0007204	positive regulation of cytosolic calcium ion concentration	83/2059	285/17381	2.00180090525813e-15	1.20397203335136e-12	8.93903608921118e-13	CD55/CCL21/GPR20/RXFP3/CXCL9/JPH3/CXCL13/CXCR3/AGT/GALR1/TRPV6/UTS2R/PROK2/JSRP1/GPR35/GLP1R/NPSR1/FAM155B/SLC8A3/F2RL2/PIK3CG/CCR8/ADCY5/GPR65/ADCYAP1/CCR7/CASQ1/CYSLTR1/CD4/PTH1R/PKD2/CCR5/THY1/TRPC3/FGF2/ANK2/HTR2B/CCR2/RYR2/TRPC6/EDNRA/HTR2A/LPAR4/AVPR1A/ATP1A2/AKAP6/RIC3/DMD/P2RX7/JPH2/P2RY10/FPR3/P2RX2/JPH4/CD19/RYR3/PTPRC/CCKBR/CCR1/CD52/GRIN2A/CACNA1C/GHRL/CASQ2/TACR1/PDGFRA/ADRA1A/AGTR1/SLC8A1/BCL2/CCL19/S1PR3/C5AR1/ITPR1/CCR3/C3AR1/P2RY8/PLN/S1PR1/HRC/F2R/CCR4/FPR1	83
GO:0006874	cellular calcium ion homeostasis	106/2059	413/17381	4.01181534163555e-15	2.17159564442732e-12	1.61232747098574e-12	PDE6B/CD55/CCL21/ATP13A5/GPR20/RXFP3/CXCL9/JPH3/CXCL13/CXCR3/AGT/GALR1/PDE6A/TRPV6/UTS2R/CALB1/PROK2/JSRP1/GPR35/GLP1R/NPSR1/CCL7/FAM155B/CCL23/TRPC4/SLC8A3/ATP2B3/F2RL2/PIK3CG/CCR8/ADCY5/GPR65/ANXA6/ADCYAP1/CCR7/CASQ1/CYSLTR1/CD4/PTH1R/PKD2/CCR5/THY1/TRPC3/FGF2/KEL/ANK2/ATP7B/PRKCB/HTR2B/CCR2/RYR2/TRPC6/EDNRA/HTR2A/LPAR4/AVPR1A/ATP1A2/AKAP6/RIC3/DMD/P2RX7/JPH2/P2RY10/FPR3/P2RX2/JPH4/KCNA5/CD19/SLC24A4/RYR3/PTPRC/CCKBR/SLC24A3/CCR1/CD52/GRIN2A/SYPL2/CCL11/CACNA1C/GHRL/CASQ2/TACR1/PDGFRA/CDH23/CCL14/KCNK3/ADRA1A/AGTR1/SLC8A1/BCL2/ELANE/CCL19/S1PR3/C5AR1/ITPR1/CXCL12/CCR3/C3AR1/P2RY8/GRIA1/PLN/S1PR1/HRC/F2R/CCR4/FPR1	106
