ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	142/2196	365/18511	7.20187983051585e-41	3.6801605933936e-38	2.69122877877171e-38	OTOA/WISP1/SBSPON/COL11A1/EMID1/TNN/LRRN1/THSD4/CHL1/COL8A2/LAMC3/LINGO3/VIT/COMP/ECM1/SFRP1/PI3/MMP8/MMP9/COL9A1/COL26A1/MMP10/WNT6/NTN3/MUC4/ZP1/FREM1/IHH/COL12A1/FBLN2/ADAMTS19/VWF/FMOD/MMP11/MMP2/CCDC80/ADAMTSL1/MFAP5/SPARCL1/KERA/ASPN/WNT2/ADAMTS1/LOXL1/ADAMTS10/LAMA2/CD248/MMP23B/SPN/SERPINF1/ADAMTS16/DCN/ADAMTS9/EFEMP2/SOST/ADAMTS2/TNR/LRFN5/TIMP2/ECM2/MFAP4/COL19A1/FN1/WNT9B/POSTN/CILP/SPOCK1/COL6A5/ADAMTS18/MAMDC2/ADAMTS8/FBLN1/CYR61/MGP/TNXB/RELN/CTHRC1/DPT/SMOC2/MMP13/NTN4/SPOCK2/LTBP2/LRRC55/LUM/CRISPLD2/GPC6/MYOC/CRTAC1/WISP2/FBLN5/LAMB4/HPSE2/WNT5A/ADAMTS5/COL6A6/FBN1/ANOS1/COL14A1/CRISP3/EMILIN1/NTN1/MMP16/ABI3BP/THBS2/BGN/CPZ/THBS4/TECTA/OGN/COL24A1/PODN/COL1A2/SPARC/SPON1/NID2/TLR9/COL3A1/ADAMTS4/COL6A1/PRELP/CTGF/COL6A2/VCAN/COL5A2/COL10A1/EPYC/COL15A1/COL6A3/COL8A1/CHI3L1/ADAMTS12/HMCN1/COL1A1/ADAMTSL3/COL5A1/OMD/TIMP3/ELN/NDNF/LRFN2/LAMA4	142
GO:0009897	external side of plasma membrane	83/2196	270/18511	6.80067302890712e-17	1.73757195888577e-14	1.27065206592738e-14	TNFRSF9/NLGN1/IL6/ANPEP/CD8A/KCNJ5/KLRD1/CXCL9/STAB2/TNFRSF11A/LRP2/CD8B/CXCR3/ITGA2B/CHRNB2/IL17A/AQP4/TLR8/GRIA2/CLEC14A/GPIHBP1/CD2/LILRB1/GFRA3/CD163/FCRL6/CDH5/IL2RB/CCR7/CD4/SPN/CCR5/THY1/CD34/MS4A2/FCER1A/KIT/FCGR2B/P2RY12/CD69/CUBN/HEG1/CD79A/NCAM1/P2RX7/CD3E/CD79B/CD33/CD19/PRND/PTPRC/CCR1/TLR4/ANTXR1/MS4A1/ITGB2/THBS1/SCUBE1/PDGFRA/CD27/TNFRSF13B/TNFRSF13C/FCN1/ITGA1/FCER2/ASTN1/EPHA5/VCAM1/TF/SELL/CXCR5/KLRK1/SLC2A4/CXCL12/SELP/ICOS/S1PR1/CD28/SLAMF1/CD40LG/CD200R1/FOLR2/CCR4	83
GO:0098552	side of membrane	119/2196	482/18511	2.09745006307471e-15	3.57265660743726e-13	2.61261323646149e-13	TNFRSF9/HLA-DQA1/DTNA/JUP/TGM3/GNAL/NLGN1/IL6/ALOX15/ANPEP/CD8A/KCNJ5/CARMIL2/KLRD1/CXCL9/STAB2/AJAP1/TNFRSF11A/LRP2/CD8B/CXCR3/ITGA2B/CACNB4/GFAP/CHRNB2/BLK/IL17A/AQP4/SPTA1/KCNIP1/TLR8/GRIA2/CLEC14A/LRRK2/CNR2/GPIHBP1/CD2/LILRB1/RGS2/FGR/S100A6/GFRA3/CD163/FCRL6/CDH5/PGM5/IL2RB/CCR7/RASAL3/CD4/PKD2/SPN/CCR5/THY1/CD34/SHROOM4/MS4A2/FCER1A/KIT/FCGR2B/GNG2/P2RY12/CD69/CUBN/HEG1/CD79A/GEM/NCAM1/FERMT2/P2RX7/GNAO1/CD3E/CD79B/CD33/BTK/BMX/CD19/GNG7/PRND/PTPRC/ITK/CCR1/TLR4/ZAP70/ANTXR1/MS4A1/ITGB2/HLA-DQB2/SLA/THBS1/SCUBE1/RGS1/PDGFRA/CD27/TNFRSF13B/TNFRSF13C/FCN1/ITGA1/FCER2/ASTN1/EPHA5/VCAM1/GRAP2/TF/SELL/CXCR5/KLRK1/SLC2A4/CXCL12/SELP/ICOS/RGS9/S1PR1/CD28/SLAMF1/CD40LG/CD200R1/FOLR2/CCR4	119
GO:0034703	cation channel complex	68/2196	212/18511	4.16510660854225e-15	5.32092369241273e-13	3.89108643692763e-13	NLGN1/KCNJ5/KCND2/CACNA2D2/KCNS2/SCN4B/CACNB4/SCN11A/SCN5A/KCNQ4/PKD2L1/KCNJ1/CATSPERZ/GRIK4/KCNC1/KCNN1/KCNH1/ABCC8/KCNT1/SCN9A/SHISA9/CATSPERB/KCNJ4/KCNIP1/GRIA2/TRPC4/SCN1B/CACNA1H/CACNB2/KCNA2/HCN4/CNTN2/ABCC9/CACNG6/KCNT2/RYR2/SHANK1/AKAP6/GRIK5/KCNK2/KCNB2/KCNA1/KCNB1/LRRC55/CNTNAP1/KCNA5/SCN7A/KCNA6/KCNQ3/SCN2B/DLG2/GRIN2A/CACNA1G/KCNMB1/CACNA1C/CASQ2/SCN4A/DPP10/KCNMA1/SHISA6/KCNE1/KCNJ8/DPP6/GRIA3/GRIA1/KCNA3/SCN3A/CNIH3	68
GO:1902495	transmembrane transporter complex	86/2196	325/18511	2.97468822533403e-13	3.04013136629138e-11	2.22318804209175e-11	NLGN1/KCNJ5/ATP4B/CHRNA1/KCND2/CACNA2D2/KCNS2/SCN4B/CACNB4/SCN11A/GABRB2/SCN5A/KCNQ4/PKD2L1/KCNJ1/CATSPERZ/GRIK4/KCNC1/ANO1/CHRNB2/KCNN1/KCNH1/ABCC8/KCNT1/SCN9A/SHISA9/CATSPERB/KCNJ4/BEST2/CHRNA2/ABCG5/GABRQ/KCNIP1/GRIA2/TRPC4/ATP1A4/SCN1B/GLRB/CACNA1H/CACNB2/KCNA2/HCN4/CNGA3/CNTN2/ABCC9/CACNG6/KCNT2/RYR2/SHANK1/ATP1A2/AKAP6/GRIK5/KCNK2/KCNB2/KCNA1/KCNB1/LRRC55/CNTNAP1/KCNA5/SCN7A/KCNA6/KCNQ3/SCN2B/DLG2/FXYD1/GRIN2A/CACNA1G/KCNMB1/CACNA1C/CASQ2/SCN4A/DPP10/ATP1B2/KCNMA1/SHISA6/KCNE1/KCNJ8/DPP6/GRIA3/GRIA1/PLN/KCNA3/SCN3A/CNIH3/GABRA5/CHRNA6	86
GO:0005581	collagen trimer	37/2196	88/18511	7.85729907727836e-13	6.69179971414873e-11	4.89358100426985e-11	COL11A1/EMID1/COL8A2/MARCO/COL9A1/COL26A1/COL12A1/MSR1/C1QTNF2/C1QTNF7/DCN/COLEC12/COL25A1/COL19A1/COL23A1/COL6A5/TNXB/CTHRC1/C1QTNF3/LUM/COL6A6/COL14A1/EMILIN1/COL24A1/COL1A2/COL3A1/COL6A1/FCN1/COL6A2/COL5A2/COL10A1/COL15A1/COL6A3/COL8A1/SCARA3/COL1A1/COL5A1	37
GO:0034702	ion channel complex	78/2196	288/18511	1.04955347780643e-12	6.79401064311766e-11	4.9683258385143e-11	NLGN1/KCNJ5/CHRNA1/KCND2/CACNA2D2/KCNS2/SCN4B/CACNB4/SCN11A/GABRB2/SCN5A/KCNQ4/PKD2L1/KCNJ1/CATSPERZ/GRIK4/KCNC1/ANO1/CHRNB2/KCNN1/KCNH1/ABCC8/KCNT1/SCN9A/SHISA9/CATSPERB/KCNJ4/BEST2/CHRNA2/GABRQ/KCNIP1/GRIA2/TRPC4/SCN1B/GLRB/CACNA1H/CACNB2/KCNA2/HCN4/CNTN2/ABCC9/CACNG6/KCNT2/RYR2/SHANK1/AKAP6/GRIK5/KCNK2/KCNB2/KCNA1/KCNB1/LRRC55/CNTNAP1/KCNA5/SCN7A/KCNA6/KCNQ3/SCN2B/DLG2/GRIN2A/CACNA1G/KCNMB1/CACNA1C/CASQ2/SCN4A/DPP10/KCNMA1/SHISA6/KCNE1/KCNJ8/DPP6/GRIA3/GRIA1/KCNA3/SCN3A/CNIH3/GABRA5/CHRNA6	78
GO:1990351	transporter complex	86/2196	332/18511	1.06364158796363e-12	6.79401064311766e-11	4.9683258385143e-11	NLGN1/KCNJ5/ATP4B/CHRNA1/KCND2/CACNA2D2/KCNS2/SCN4B/CACNB4/SCN11A/GABRB2/SCN5A/KCNQ4/PKD2L1/KCNJ1/CATSPERZ/GRIK4/KCNC1/ANO1/CHRNB2/KCNN1/KCNH1/ABCC8/KCNT1/SCN9A/SHISA9/CATSPERB/KCNJ4/BEST2/CHRNA2/ABCG5/GABRQ/KCNIP1/GRIA2/TRPC4/ATP1A4/SCN1B/GLRB/CACNA1H/CACNB2/KCNA2/HCN4/CNGA3/CNTN2/ABCC9/CACNG6/KCNT2/RYR2/SHANK1/ATP1A2/AKAP6/GRIK5/KCNK2/KCNB2/KCNA1/KCNB1/LRRC55/CNTNAP1/KCNA5/SCN7A/KCNA6/KCNQ3/SCN2B/DLG2/FXYD1/GRIN2A/CACNA1G/KCNMB1/CACNA1C/CASQ2/SCN4A/DPP10/ATP1B2/KCNMA1/SHISA6/KCNE1/KCNJ8/DPP6/GRIA3/GRIA1/PLN/KCNA3/SCN3A/CNIH3/GABRA5/CHRNA6	86
GO:0044420	extracellular matrix component	44/2196	120/18511	1.71627938886298e-12	9.74465297454427e-11	7.12607231633168e-11	COL11A1/THSD4/COL8A2/LAMC3/FREM1/COL12A1/CCDC80/MFAP5/ADAMTS1/LOXL1/ADAMTS10/LAMA2/SPN/SERPINF1/EFEMP2/TNR/MFAP4/FN1/FBLN1/TNXB/SMOC2/NTN4/LUM/FBLN5/LAMB4/FBN1/COL14A1/EMILIN1/NTN1/THBS2/THBS4/COL1A2/SPARC/NID2/COL3A1/COL5A2/COL15A1/COL8A1/HMCN1/COL1A1/COL5A1/TIMP3/ELN/LAMA4	44
GO:0042383	sarcolemma	44/2196	122/18511	3.31363683535447e-12	1.69326842286614e-10	1.23825376479036e-10	DTNA/KCNJ5/BVES/CDH2/SCN5A/SNTG2/TRIM72/ABCC8/SGCG/SYNM/SLC8A3/SYNC/SCN1B/DES/PGM5/CASQ1/LAMA2/CACNB2/AQP1/POPDC2/SGCD/ABCC9/ANK2/ATP1A2/AKAP6/DMD/KCNB1/FXYD1/CACNA1C/SGCA/BGN/TGFB3/ADRA1A/SLC8A1/COL6A1/COL6A2/SSPN/COL6A3/VCAM1/SLC27A6/SLC2A4/KCNJ8/MYOT/FLNC	44
