ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05410	Hypertrophic cardiomyopathy (HCM)	38/777	83/5894	2.78460528290227e-13	5.54136451297552e-11	4.8364197018829e-11	9254/785/3479/53632/7043/1674/22801/4634/776/70/3679/6444/4624/786/779/1636/781/782/7273/7134/783/3680/3676/3908/4633/6445/7137/775/6442/3690/6262/1756/8516/59285/5563/6546/4625/3672	38
hsa04512	ECM-receptor interaction	38/777	85/5894	7.06858583277521e-13	7.03324290361134e-11	6.13850874951532e-11	63923/131873/7143/1289/7450/5649/22801/3679/2814/1282/7060/6383/22798/1293/3680/2335/3676/9899/1281/1101/3908/2811/1292/1301/1311/1278/3339/1291/1286/3690/7057/1277/3910/7058/8516/7148/1290/3672	38
hsa05414	Dilated cardiomyopathy	38/777	90/5894	6.191057578644e-12	4.10673486050052e-10	3.58429649289916e-10	9254/785/108/5350/3479/7043/1674/22801/4634/776/70/3679/6444/4624/786/779/781/782/7273/7134/783/3680/3676/3908/4633/6445/111/7137/775/6442/3690/6262/1756/8516/59285/6546/4625/3672	38
hsa04080	Neuroactive ligand-receptor interaction	77/777	272/5894	1.03076452223223e-11	5.12805349810532e-10	4.47568805706098e-10	3952/2917/2557/9248/2894/8973/10203/2892/185/9934/10800/5732/2891/2151/8811/2740/1132/2899/59340/1511/148/7434/55879/2358/1812/1910/1901/134/4543/1146/1394/2903/2359/728/1128/187/3274/2837/2846/1269/286530/3357/6752/6869/3355/5737/1139/3356/6753/2568/53829/552/5733/2743/151/2918/2357/5027/1144/8001/2561/150/1134/4886/6751/2149/117/1903/27334/3972/2911/57105/7253/1395/3351/1268/886	77
hsa04510	Focal adhesion	60/777	200/5894	1.81527693410559e-10	7.22480219774026e-09	6.30569882373522e-09	3479/63923/5579/89/5063/131873/7143/1289/7450/5649/22801/2318/596/3679/5159/88/85366/3265/29895/10000/3791/1282/7060/22798/1293/3680/1950/2335/80310/3676/1281/1101/91807/3908/2321/4633/1292/5156/1301/5228/2277/1311/1278/57144/3082/1291/5294/1286/2324/3690/7057/1277/3910/859/7058/8516/7148/1290/3672/5295	60
hsa04020	Calcium signaling pathway	52/777	177/5894	7.01932075401016e-09	2.3280747167467e-07	2.03190863931873e-07	108/5350/5579/51196/4843/6261/6547/185/10800/5137/7125/776/148/815/5159/85366/1812/1910/779/5260/2903/816/777/5332/1128/7134/487/3274/9630/3357/6869/4842/91807/5737/1139/3356/5156/8913/552/5733/775/2066/683/5136/5027/6262/2149/491/2911/57105/6546/886	52
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	29/777	74/5894	1.6043947588024e-08	4.17903907178661e-07	3.64740252232103e-07	9254/785/89/1674/22801/776/3679/6444/88/786/779/781/782/783/3680/3676/3908/29119/6445/775/6442/3690/1496/6262/1756/8516/59285/6546/3672	29
hsa04060	Cytokine-cytokine receptor interaction	68/777	265/5894	1.6800157072509e-08	4.17903907178661e-07	3.64740252232103e-07	3952/56832/50615/8792/9547/3568/643/7043/3560/8784/11009/3572/7292/53833/3815/64109/8200/3606/959/3552/1233/282618/944/3554/5159/6373/970/3604/3791/7852/729230/8718/55504/1436/6363/50604/1230/6369/1524/1950/1237/8740/6366/1437/2321/5156/2277/6358/6387/3977/2056/2322/60401/3082/338376/1440/3627/3575/2324/149233/1439/9966/3587/1235/6362/6356/2829/1441	68
hsa04514	Cell adhesion molecules (CAMs)	40/777	136/5894	3.88589980129802e-07	8.5921562273145e-06	7.49910487969793e-06	9074/6900/1013/5788/58494/25945/959/3683/940/4684/9378/4359/6383/1462/3680/4685/3676/933/9369/5010/83700/57863/6402/22871/7412/3689/6693/947/5797/6401/10666/257194/920/6403/9071/1003/8516/23705/3684/1365	40
hsa04640	Hematopoietic cell lineage	29/777	88/5894	1.23465695745817e-06	2.45696734534177e-05	2.14440418926946e-05	7066/3568/3815/290/3552/2208/3554/910/2814/1436/3676/933/1437/2811/2056/2322/1440/1380/3575/947/3690/920/1378/931/3684/917/1441/921/3672	29
hsa04260	Cardiac muscle contraction	26/777	77/5894	2.62028219164997e-06	4.56004974264495e-05	3.97994291212069e-05	9254/785/1329/1339/4634/776/70/4624/786/779/781/782/7134/477/27089/783/1345/480/4633/23439/7137/775/6262/59285/6546/4625	26
hsa05144	Malaria	20/777	51/5894	2.74977873928339e-06	4.56004974264495e-05	3.97994291212069e-05	7043/3606/959/3683/2532/7060/6383/7099/4035/1311/3082/7412/3689/1440/54106/7057/6401/6403/7058/1378	20
hsa04970	Salivary secretion	28/777	89/5894	5.26663835555287e-06	8.0620079442694e-05	7.03639942239857e-05	55503/4589/1469/108/5579/362/2982/1470/1755/2977/4025/276/148/2983/5332/477/480/4842/727897/5555/6779/23439/111/683/5592/4069/491/653247	28
hsa04974	Protein digestion and absorption	25/777	81/5894	2.42483415728781e-05	0.000344672855214482	0.000300825290189842	1303/6547/131873/1289/2006/10008/7373/1282/1359/477/1293/480/1281/1292/1301/23439/7512/1278/1291/1506/1306/1286/1277/1290/6546	25
hsa04614	Renin-angiotensin system	9/777	17/5894	0.000103817407317925	0.00137731093708447	0.00120209629526018	2028/185/183/4012/290/1511/1636/1359/1215	9
hsa05146	Amoebiasis	28/777	106/5894	0.000177367477219527	0.00220600799791786	0.00192537064086986	5579/89/4843/7043/1289/1511/3554/88/1282/5332/22798/9630/2335/1281/3908/1437/7099/1301/1278/5294/3689/1286/1277/3910/3684/1290/1992/5295	28
hsa04360	Axon guidance	30/777	130/5894	0.00126524665721725	0.0148108285168372	0.0129266686341081	2046/2045/2044/56896/5063/2047/29984/6091/9723/3265/6586/7852/6092/4773/56920/1630/9353/10154/80031/6387/57144/9037/223117/9423/8633/285220/10500/4917/57689/2042	30
hsa04810	Regulation of actin cytoskeleton	44/777	214/5894	0.00144403307844965	0.0159645879228601	0.0139336525113563	89/5063/2255/22801/2260/1132/3683/22808/2247/3679/5159/88/85366/3265/29895/26230/85477/8817/1128/3680/1950/2335/80310/3676/91807/3071/9459/4633/5156/3645/57144/5294/3689/2254/2259/10788/3690/8395/2149/2252/8516/3684/3672/5295	44
hsa04670	Leukocyte transendothelial migration	27/777	117/5894	0.00217253307029155	0.0227544253151589	0.0198597205871527	9074/5579/89/7070/58494/3683/88/29895/7852/3702/3676/1536/5010/83700/4633/29119/6387/5294/7412/3689/1496/9071/1003/3684/1365/4313/5295	27
hsa04610	Complement and coagulation cascades	18/777	69/5894	0.00285835481783013	0.0284406304374098	0.0248225549969459	2243/722/729/2159/7450/730/720/2155/728/2153/2/2161/1380/2162/5648/2149/1378/7035	18
hsa05218	Melanoma	18/777	71/5894	0.0039933283945261	0.0378415405005093	0.0330275280750279	3479/2255/2260/2247/5159/3265/10000/8817/1950/80310/4286/5156/3082/5294/2254/2259/2252/5295	18
hsa05416	Viral myocarditis	18/777	72/5894	0.00468709886779713	0.0423969397587104	0.0370034121141879	959/3683/4621/6444/4624/940/4622/8735/4629/3908/4626/6445/3689/6442/4620/1756/4619/4625	18
