ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0010817	regulation of hormone levels	53/910	486/17381	3.36650087711466e-07	0.00164621892890907	0.00150748365592061	OXCT1/VGF/IL6/RBP1/PTPRN/ITPR2/RDH11/ACE/CYP1A1/UGT2B4/CFTR/PCK2/SYT7/PCSK2/RDH10/CPLX1/ADH4/SELENOM/TNF/MYRIP/MME/ITPR3/CACNA2D2/KISS1/ITPR1/TFAP2B/ADORA1/PLB1/LHB/KCNB1/CYP27C1/NR0B2/EGR1/OSM/BMP5/CGA/NKX6-1/CRABP1/ABCB4/P2RY1/CCKAR/UCP2/CHST9/SCG5/DGAT2/GIPR/SSTR5/CYP26A1/CYP1B1/DPP4/LIF/CYP26C1/CORIN	53
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	32/910	239/17381	1.00702893300348e-06	0.00246218574119351	0.00225468477947201	UNC5D/CLSTN2/GRID2/CDH8/PCDH9/PCDHGA10/PCDHGA4/PCDH7/CDH6/CDH22/PCDHA6/FAT2/PCDHGB2/PCDHAC2/PCDHB18P/PCDH19/AJUBA/CXADR/ICAM1/NECTIN3/PCDHGA9/ALCAM/TENM2/FXYD5/FLRT3/CDH24/PCDHB8/NECTIN4/PCDHB16/PCDHGB5/CDH3/CLDN14	32
GO:0060572	morphogenesis of an epithelial bud	7/910	17/17381	1.29019322793856e-05	0.0199953244809503	0.0183102164120036	RDH10/TP63/WNT5A/GLI2/SOSTDC1/BMP7/AR	7
GO:0001523	retinoid metabolic process	16/910	91/17381	1.80277992065824e-05	0.0199953244809503	0.0183102164120036	APOB/LRP2/RBP1/GPC6/RDH11/CYP1A1/RDH10/ADH4/APOE/PLB1/CYP27C1/CRABP1/DGAT2/CYP26A1/CYP1B1/CYP26C1	16
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	22/910	157/17381	2.35647603672787e-05	0.0199953244809503	0.0183102164120036	CLSTN2/CDH8/PCDH9/PCDHGA10/PCDHGA4/PCDH7/CDH6/CDH22/PCDHA6/FAT2/PCDHGB2/PCDHAC2/PCDHB18P/PCDH19/NECTIN3/PCDHGA9/CDH24/PCDHB8/NECTIN4/PCDHB16/PCDHGB5/CDH3	22
GO:0030198	extracellular matrix organization	36/910	335/17381	3.51661900989522e-05	0.0199953244809503	0.0183102164120036	ITGA1/ADAMTSL4/COL7A1/SCUBE3/EGFLAM/CRISPLD2/LAMA4/MFAP4/BCL3/FGFR4/TNF/ITGA9/KLKB1/DDR2/HAS3/COL2A1/ICAM1/DCN/PLG/COL8A2/COL9A2/CARMIL2/COL11A1/FOXF1/MMP7/GREM1/ADAMTS3/CYR61/IBSP/SCUBE1/CSGALNACT1/CYP1B1/SPINK5/DPP4/SERPINF2/COL6A1	36
GO:0007517	muscle organ development	40/910	389/17381	3.64009947189356e-05	0.0199953244809503	0.0183102164120036	LRP2/PROX1/IL6/MSX1/SRPK3/WNT10B/TCAP/TEAD4/ACHE/SOX15/HAMP/MEOX2/SPEG/SAP30/MYBPC3/WNT5A/FZD7/P2RX2/ACTA1/DCN/MYH3/HDAC9/PITX1/TWIST1/CXCL10/MAPK11/CHODL/DLL1/KLHL41/COL11A1/GLI1/EGR1/GATA6/GREM1/CRYAB/MYL3/MSC/FOXH1/IGF1/LIF	40
GO:0060571	morphogenesis of an epithelial fold	8/910	26/17381	3.67526701079878e-05	0.0199953244809503	0.0183102164120036	RDH10/TP63/WNT5A/GLI2/SOSTDC1/BMP7/BMP5/AR	8
GO:0043062	extracellular structure organization	36/910	336/17381	3.74588416883957e-05	0.0199953244809503	0.0183102164120036	ITGA1/ADAMTSL4/COL7A1/SCUBE3/EGFLAM/CRISPLD2/LAMA4/MFAP4/BCL3/FGFR4/TNF/ITGA9/KLKB1/DDR2/HAS3/COL2A1/ICAM1/DCN/PLG/COL8A2/COL9A2/CARMIL2/COL11A1/FOXF1/MMP7/GREM1/ADAMTS3/CYR61/IBSP/SCUBE1/CSGALNACT1/CYP1B1/SPINK5/DPP4/SERPINF2/COL6A1	36
GO:0016101	diterpenoid metabolic process	16/910	98/17381	4.65509319535334e-05	0.0199953244809503	0.0183102164120036	APOB/LRP2/RBP1/GPC6/RDH11/CYP1A1/RDH10/ADH4/APOE/PLB1/CYP27C1/CRABP1/DGAT2/CYP26A1/CYP1B1/CYP26C1	16
