ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0034765	regulation of ion transmembrane transport	85/1838	444/17381	3.71736336457055e-08	0.000206164972199083	0.000185985558650567	KCNK15/TRPM5/SLC34A1/F2/TRDN/CACNG4/HAMP/PIK3CG/SHISA9/CLCNKA/JSRP1/SCN2A/PLA2G6/CACNB3/CD19/BDKRB1/FXYD3/TCAF1/FXYD1/SCN1A/KCND1/REM2/CNIH2/KCNJ1/CLIC5/RRAD/FXYD5/CACNA1I/FXYD7/KCNJ13/GRIN2D/RASGRF1/CLCN5/KCNK10/CLCNKB/KCNK12/CATSPER2/SCN3A/XCL1/KCNAB3/AMIGO1/CYBA/S100A1/CATSPER1/NOS1/CACNB1/GRIN1/COX17/FKBP1B/KCNIP1/MMP9/EPO/CACNG5/CBARP/KCNJ15/HCN2/KCNV1/KCNB1/KEL/NOX1/SLN/DRD2/GSTO1/ANK3/KCNG3/KCNJ3/ACTN2/NPPA/CACNA1B/WNK2/RNF207/FXYD2/HTR3A/DRD4/KCNH3/SLC30A1/ABCB1/KCNH8/KCNS1/CLIC3/TLR9/KCND3/CACNA2D1/CRHR1/KCNK17	85
GO:0034762	regulation of transmembrane transport	86/1838	459/17381	8.45924526816862e-08	0.000234574871286316	0.000211614698734766	KCNK15/TRPM5/SLC34A1/F2/TRDN/CACNG4/HAMP/PIK3CG/SHISA9/CLCNKA/JSRP1/SCN2A/PLA2G6/CACNB3/CD19/BDKRB1/FXYD3/TCAF1/FXYD1/SCN1A/KCND1/REM2/CNIH2/KCNJ1/CLIC5/RRAD/TWIST1/FXYD5/CACNA1I/FXYD7/KCNJ13/GRIN2D/RASGRF1/CLCN5/KCNK10/CLCNKB/KCNK12/CATSPER2/SCN3A/XCL1/KCNAB3/AMIGO1/CYBA/S100A1/CATSPER1/NOS1/CACNB1/GRIN1/COX17/FKBP1B/KCNIP1/MMP9/EPO/CACNG5/CBARP/KCNJ15/HCN2/KCNV1/KCNB1/KEL/NOX1/SLN/DRD2/GSTO1/ANK3/KCNG3/KCNJ3/ACTN2/NPPA/CACNA1B/WNK2/RNF207/FXYD2/HTR3A/DRD4/KCNH3/SLC30A1/ABCB1/KCNH8/KCNS1/CLIC3/TLR9/KCND3/CACNA2D1/CRHR1/KCNK17	86
GO:0010817	regulation of hormone levels	88/1838	486/17381	2.8975063744973e-07	0.000350630568751893	0.000316310872374162	TFAP2B/AFP/FOXE1/GRP/KLK6/AKR1D1/ADH4/C1QTNF12/PLA2G6/CYP26A1/RETN/SLCO4A1/ASMT/EGFR/RBP1/REST/SLC5A5/ACE2/SYT9/GATA3/CYP21A2/HSD17B3/BCO2/HCAR2/NPFF/NMB/FOXA2/INHA/BRSK2/TSPO/SERPINA7/DUOXA1/CLOCK/VGF/NMU/FOXD1/DIO3/SELENOM/VIP/STAR/GIPR/FDX1L/GCK/UGT1A7/DHRS2/LIF/SLC30A8/P2RY1/FKBP1B/KISS1/BLK/BAD/PHPT1/HNF4A/CPLX3/CPLX1/CYP26C1/IL11/STX1A/RFX3/CRABP1/FOXA1/KCNB1/LEP/DUOXA2/GHRL/IFNG/DRD2/UQCC2/IL6/ILDR2/DUOX2/PCSK1N/SLC22A9/ALDH1A2/CCL5/UCN/CRABP2/CHST8/FAM3B/SDR16C5/SYT7/FGA/CYP19A1/IYD/POMC/SULT1B1/CRHR1	88
GO:0006814	sodium ion transport	50/1838	226/17381	3.00355596654865e-07	0.000350630568751893	0.000316310872374162	TRPM5/SLC34A1/CNTN1/SLC6A15/NKAIN4/SLC10A2/SCN2A/SLC9A7/SLC5A1/SLC10A6/FXYD3/FXYD1/ASIC1/ATP1A3/SCN1A/GRIK1/SLC5A5/SCNN1A/SCNN1B/SLC4A3/SLC5A8/SLC9A5/ATP1A4/FXYD5/SLC13A1/CACNA1I/ASIC4/FXYD7/SLC13A4/CATSPER2/SLC9C2/SCN3A/SLC9A2/NOS1/SCNN1D/ASIC3/SLC24A5/SLC9A4/DMPK/SLC4A5/HCN2/DRD2/ANK3/SCNN1G/SLC12A3/WNK2/FXYD2/DRD4/SLC38A3/PKP2	50
GO:0035725	sodium ion transmembrane transport	38/1838	152/17381	3.16111223180575e-07	0.000350630568751893	0.000316310872374162	TRPM5/SLC34A1/SCN2A/SLC9A7/FXYD3/FXYD1/ASIC1/ATP1A3/SCN1A/GRIK1/SLC5A5/SCNN1A/SCNN1B/SLC4A3/SLC9A5/FXYD5/SLC13A1/CACNA1I/ASIC4/FXYD7/SLC13A4/CATSPER2/SLC9C2/SCN3A/SLC9A2/NOS1/SCNN1D/ASIC3/SLC24A5/SLC9A4/SLC4A5/HCN2/ANK3/SCNN1G/SLC12A3/WNK2/FXYD2/DRD4	38
GO:0030595	leukocyte chemotaxis	46/1838	203/17381	4.2917136422085e-07	0.000380735503262677	0.000343469137929186	CXCL6/DEFA1B/PIK3CG/TREM1/RPS19/S100A8/CXCR3/STAP1/CCL19/ADAM8/TNFSF18/CYP7B1/CCL25/MIF/CCL20/XCL1/CXCL3/NBL1/TNFSF14/IL6R/ITGA9/CXCL1/CHGA/SAA1/CXCL13/LBP/RARRES2/S100A14/CCL11/GREM1/CX3CR1/PPBP/CCL7/PF4V1/IFNG/IL6/XCL2/CXCL2/CCL26/CCL5/PGF/CXCR5/CCL17/CYP19A1/CCL13/LGALS3	46
GO:0097529	myeloid leukocyte migration	42/1838	179/17381	5.01267603612373e-07	0.000380735503262677	0.000343469137929186	CXCL6/PIK3CG/TREM1/CD177/RPS19/S100A8/STAP1/CCL19/ADAM8/TNFSF18/CCL25/MIF/CCL20/XCL1/CXCL3/NBL1/IL6R/ITGA9/CXCL1/CHGA/SAA1/LBP/RARRES2/S100A14/CCL11/GREM1/CX3CR1/PPBP/CCL7/PF4V1/IFNG/IL6/XCL2/CXCL2/CCL26/CCL5/PGF/CCL17/CYP19A1/CCL13/LGALS3/P2RY12	42
GO:0072676	lymphocyte migration	27/1838	92/17381	5.49203755157125e-07	0.000380735503262677	0.000343469137929186	DEFA1B/PIK3CG/CXCR3/CCL19/ADAM8/PYCARD/CYP7B1/CCL25/GATA3/GPR15/AIRE/CCL20/XCL1/TNFSF14/GCSAML/SAA1/CXCL13/CCL11/ZAP70/CCL7/ARTN/XCL2/CCL26/CCL5/ECM1/CCL17/CCL13	27
GO:0042471	ear morphogenesis	30/1838	114/17381	1.71519485166664e-06	0.00105694118303813	0.000953487851458658	USH1G/ATP6V1B1/TMIE/TBX1/PDZD7/WNT1/CLIC5/TWIST1/GATA3/CTHRC1/TCAP/CHRNA10/MYO3B/TFAP2A/SIX4/ITGA8/WNT3A/DLX5/GJB6/GBX2/FOXI1/GSC/OTX1/FOXG1/OSR2/FGF9/STRC/NOG/FZD2/NKX3-2	30
GO:0002685	regulation of leukocyte migration	39/1838	171/17381	2.67271774150489e-06	0.00148228925943861	0.00133720288688134	CXCL6/ITGA2B/CXCR3/STAP1/BDKRB1/CCL19/ADAM8/PYCARD/TNFSF18/MADCAM1/CCL25/ADA/MIF/AIRE/CCL20/XCL1/CXCL3/NBL1/TNFSF14/TNFRSF18/IL6R/CXCL1/GCSAML/CXCL13/LBP/RARRES2/S100A14/GREM1/PPBP/CCL7/PF4V1/IL6/CXCL2/CCL5/ECM1/PGF/CYP19A1/LGALS3/P2RY12	39
