ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030595	leukocyte chemotaxis	62/2037	203/17381	4.4738295957373e-13	2.5084762543299e-09	2.20065323167162e-09	CXCL14/TNFSF18/CCL11/CCL20/CXCL9/CXCL17/IFNG/CCL21/CCL13/SAA1/EDN3/PF4/CHGA/S100A9/RPS19/PIK3CG/AIF1/CCL26/SERPINE1/LGALS9/RARRES2/TNFSF14/TREM1/GPR18/CCL14/CCL3L1/IL6R/CCL23/PGF/GPSM3/GREM1/CORO1A/KLRK1/XCL1/DAPK2/CCL5/XCL2/CXCL13/CD74/LBP/IL12A/CXCL2/IL6/CCL8/CCL4/EDNRB/MIF/CXCL3/FCER1G/ADAM10/CXCR3/CCL19/CCL17/CCL2/CXCR5/CCL4L1/SLIT2/S100A8/TRPM2/CCL3/S100A12/CXADR	62
GO:1990266	neutrophil migration	39/2037	101/17381	3.23016527587671e-12	9.05576835092035e-09	7.9445064916694e-09	PRTN3/CCL11/CCL20/IFNG/CCL21/CCL13/SAA1/EDN3/PF4/S100A9/PIK3CG/CCL26/TREM1/CCL14/CCL3L1/CCL23/PECAM1/XCL1/DAPK2/CCL5/XCL2/CD74/LBP/CXCL2/CCL8/CCL4/CXCL3/FCER1G/CCL19/CCL17/IL1A/CD177/CCL2/CCL4L1/SLIT2/S100A8/CCL3/S100A12/CXADR	39
GO:0050900	leukocyte migration	106/2037	471/17381	1.58041344649149e-11	2.40889104250968e-08	2.11328843487891e-08	CXCL14/FOXJ1/MMP9/PRTN3/TNFSF18/CCL11/CCL20/CXCL9/CXCL17/IFNG/ROR2/CCL21/CCL13/SAA1/EDN3/PF4/CHGA/F2/GPR15/S100A9/RPS19/PIK3CG/AIF1/CCL26/SERPINE1/CD300A/LGALS9/COL1A2/RARRES2/TNFSF14/FN1/TREM1/LCK/CD244/GPR18/FER/RET/MMP1/CCL14/ZAP70/CCL3L1/IL6R/SLC7A8/CCL23/CD48/PGF/GPSM3/PIK3CA/GREM1/SELL/CORO1A/PECAM1/RIPK3/ATP1B2/KLRK1/XCL1/DAPK2/CCL5/XCL2/PLVAP/CXCL13/L1CAM/CD74/LBP/SLC7A5/IL12A/CXCL2/CD2/IL6/CCL8/THY1/CCL4/VPREB3/EDNRB/HRAS/GATA3/MIF/COL1A1/CXCL3/FCER1G/ITGA2B/ADAM10/PYCARD/CXCR3/FUT7/CCL19/CCL17/IL1A/CD177/TNFRSF18/SIRPG/ARTN/PLG/BDKRB1/CCL2/CXCR5/CCL4L1/SLIT2/S100A8/TRPM2/CCL3/EPS8/GRB14/S100A12/CXADR/TNFRSF10A	106
GO:0097530	granulocyte migration	43/2037	124/17381	1.71848834849986e-11	2.40889104250968e-08	2.11328843487891e-08	PRTN3/TNFSF18/CCL11/CCL20/CXCL17/IFNG/CCL21/CCL13/SAA1/EDN3/PF4/S100A9/PIK3CG/CCL26/CD300A/RARRES2/TREM1/CCL14/CCL3L1/CCL23/PECAM1/XCL1/DAPK2/CCL5/XCL2/CD74/LBP/CXCL2/CCL8/CCL4/CXCL3/FCER1G/CCL19/CCL17/IL1A/CD177/CCL2/CCL4L1/SLIT2/S100A8/CCL3/S100A12/CXADR	43
GO:0097529	myeloid leukocyte migration	54/2037	179/17381	2.43395171308818e-11	2.48412620211314e-08	2.179291251063e-08	PRTN3/TNFSF18/CCL11/CCL20/CXCL17/IFNG/ROR2/CCL21/CCL13/SAA1/EDN3/PF4/CHGA/S100A9/RPS19/PIK3CG/AIF1/CCL26/SERPINE1/CD300A/RARRES2/TREM1/CCL14/CCL3L1/IL6R/CCL23/PGF/GREM1/PECAM1/XCL1/DAPK2/CCL5/XCL2/CD74/LBP/CXCL2/IL6/CCL8/CCL4/EDNRB/MIF/CXCL3/FCER1G/CCL19/CCL17/IL1A/CD177/CCL2/CCL4L1/SLIT2/S100A8/CCL3/S100A12/CXADR	54
GO:0060326	cell chemotaxis	71/2037	270/17381	2.65824098674494e-11	2.48412620211314e-08	2.179291251063e-08	CXCL14/TNFSF18/CCL11/PLXNB3/CCL20/CXCL9/CXCL17/IFNG/CCL21/CCL13/SAA1/EDN3/PF4/CHGA/SAA2/HRG/S100A9/RPS19/PIK3CG/AIF1/CCL26/SERPINE1/LGALS9/RARRES2/TNFSF14/TREM1/GPR18/FGF18/CCL14/CCL3L1/IL6R/CCL23/PGF/GPSM3/PIK3CA/GREM1/CORO1A/KLRK1/XCL1/DAPK2/CCL5/XCL2/CXCL13/CD74/LBP/IL12A/CXCL2/IL6/CCL8/HOXB9/CCL4/EDNRB/MIF/CXCL3/FCER1G/FGF1/SEMA5A/ADAM10/CXCR3/CCL19/CCL17/SAA4/CCL2/CXCR5/CCL4L1/SLIT2/S100A8/TRPM2/CCL3/S100A12/CXADR	71
GO:0030593	neutrophil chemotaxis	35/2037	90/17381	3.27294415093007e-11	2.62162826489499e-08	2.29992000260094e-08	CCL11/CCL20/IFNG/CCL21/CCL13/SAA1/EDN3/PF4/S100A9/PIK3CG/CCL26/TREM1/CCL14/CCL3L1/CCL23/XCL1/DAPK2/CCL5/XCL2/CD74/LBP/CXCL2/CCL8/CCL4/CXCL3/FCER1G/CCL19/CCL17/CCL2/CCL4L1/SLIT2/S100A8/CCL3/S100A12/CXADR	35
GO:0072676	lymphocyte migration	35/2037	92/17381	6.77189549565821e-11	4.05042983997112e-08	3.55338883579455e-08	CXCL14/CCL11/CCL20/CXCL9/CCL21/CCL13/SAA1/GPR15/PIK3CG/AIF1/CCL26/TNFSF14/RET/CCL14/ZAP70/CCL3L1/CCL23/RIPK3/KLRK1/XCL1/CCL5/XCL2/CXCL13/CCL8/CCL4/GATA3/ADAM10/PYCARD/CXCR3/CCL19/CCL17/ARTN/CCL2/CCL4L1/CCL3	35
GO:0048247	lymphocyte chemotaxis	27/2037	59/17381	6.86404511649538e-11	4.05042983997112e-08	3.55338883579455e-08	CXCL14/CCL11/CCL20/CXCL9/CCL21/CCL13/SAA1/PIK3CG/CCL26/TNFSF14/CCL14/CCL3L1/CCL23/KLRK1/XCL1/CCL5/XCL2/CXCL13/CCL8/CCL4/ADAM10/CXCR3/CCL19/CCL17/CCL2/CCL4L1/CCL3	27
GO:0002548	monocyte chemotaxis	28/2037	63/17381	7.22388057779762e-11	4.05042983997112e-08	3.55338883579455e-08	TNFSF18/CCL11/CCL20/CXCL17/CCL21/CCL13/RPS19/AIF1/CCL26/SERPINE1/CCL14/CCL3L1/IL6R/CCL23/GREM1/XCL1/CCL5/XCL2/IL6/CCL8/CCL4/CCL19/CCL17/CCL2/CCL4L1/SLIT2/CCL3/S100A12	28
