ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0048018	receptor ligand activity	114/2026	456/17354	9.50328313441761e-16	4.92829330399892e-13	4.39547030483699e-13	CXCL14/FAM3D/NTF4/GPHA2/BMP3/TNFSF18/CCL11/EPO/APOA1/CCL20/TNFSF15/CXCL9/PNOC/IFNG/LEFTY2/CCL21/CCL13/RETN/OXT/SAA1/EDN3/SFRP2/C10orf99/ANGPTL3/PF4/SAA2/F2/GREM2/IL17B/OSM/LTA/CLEC11A/WNT3A/GHRL/POMC/CCL26/NRG4/WNT9A/GDF15/TNFSF14/IL34/ADM/KL/PSPN/NENF/EFEMP1/CALCB/FGF18/CCL14/IL1RN/CCL3L1/CCL23/FAM3B/PGF/GREM1/AGRP/IGF2/QRFP/LTB/TIMP1/XCL1/LHB/INHA/IL11/CDC42EP2/SCT/CCL5/GDF7/XCL2/CXCL13/BMP8B/CORT/KCNK3/PTHLH/IL12A/CXCL2/PYY2/IL6/INSL3/CCL8/SST/CCL4/MIA/GMFG/FGF17/CRLF1/MIF/CXCL3/FGF1/NPFF/INSL5/CCL19/STC1/DAND5/CCL17/IL1A/SAA4/NGF/CNTF/WNT10A/ARTN/CCL2/HAMP/NPPA/CCL4L1/CMTM2/GDF3/UCN2/UCN/CCL3/C1QTNF4/DKK1/VIP/IL27	114
GO:0030545	receptor regulator activity	119/2026	485/17354	9.71092276650034e-16	4.92829330399892e-13	4.39547030483699e-13	CXCL14/FAM3D/NTF4/GPHA2/BMP3/TNFSF18/CCL11/EPO/APOA1/CCL20/TNFSF15/CXCL9/PNOC/IFNG/LEFTY2/CCL21/CCL13/RETN/OXT/SAA1/EDN3/SFRP2/C10orf99/ANGPTL3/PF4/SAA2/F2/GREM2/PCSK9/IL17B/OSM/LTA/CLEC11A/WNT3A/GHRL/POMC/CCL26/NRG4/WNT9A/GDF15/TNFSF14/IL34/ADM/KL/PSPN/NENF/EFEMP1/CALCB/FGF18/CCL14/IL1RN/CCL3L1/CCL23/FAM3B/PGF/GREM1/AGRP/IGF2/QRFP/LTB/TIMP1/XCL1/LHB/INHA/IL11/CDC42EP2/SCT/CCL5/GDF7/XCL2/CXCL13/BMP8B/CORT/NCOA2/KCNK3/PTHLH/IL12A/CXCL2/PYY2/IL6/INSL3/CCL8/SST/CCL4/MIA/GMFG/FGF17/CRLF1/MIF/CXCL3/FGF1/CLEC12B/NPFF/INSL5/CCL19/STC1/DAND5/CCL17/IL1A/SAA4/NGF/CNTF/WNT10A/ARTN/CCL2/HAMP/NPPA/CCL4L1/CMTM2/GDF3/UCN2/UCN/ACTN2/LYPD6B/CCL3/C1QTNF4/DKK1/VIP/IL27	119
GO:0001664	G-protein coupled receptor binding	69/2026	262/17354	3.94718775281959e-11	1.33546518970396e-08	1.1910812166403e-08	CXCL14/WNT16/GPHA2/NECAB2/CCL11/CCL20/RTP5/CXCL9/PNOC/ROR2/CCL21/CCL13/OXT/SAA1/KISS1/EDN3/PF4/WNT3A/GHRL/DEFB1/POMC/CCL26/WNT9A/GNA15/RAMP1/ADM/NPB/CCL14/CCL3L1/GNAL/CCL23/ATP1A3/S1PR2/GRIK3/FZD1/REEP2/QRFP/XCL1/CCL5/XCL2/TAC1/CXCL13/CORT/CXCL2/PYY2/CCL8/GNAO1/CCL4/EDNRB/ADRB1/CXCL3/NPFF/INSL5/CCL19/PPP1R1B/BDKRB2/CCL17/WNT10A/MRAP2/GNA11/CCL2/NPPA/CCL4L1/WNT6/UCN2/UCN/CCL3/CTHRC1/NPW	69
GO:0008009	chemokine activity	24/2026	48/17354	7.02985063383082e-11	1.78382459833457e-08	1.5909661960775e-08	CXCL14/CCL11/CCL20/CXCL9/CCL21/CCL13/PF4/CCL26/CCL14/CCL3L1/CCL23/XCL1/CCL5/XCL2/CXCL13/CXCL2/CCL8/CCL4/CXCL3/CCL19/CCL17/CCL2/CCL4L1/CCL3	24
GO:0005125	cytokine activity	58/2026	220/17354	1.3452018066705e-09	2.59438548928213e-07	2.3138932027821e-07	CXCL14/FAM3D/BMP3/TNFSF18/CCL11/EPO/CCL20/TNFSF15/CXCL9/IFNG/LEFTY2/CCL21/CCL13/C10orf99/PF4/GREM2/IL17B/OSM/LTA/CCL26/GDF15/TNFSF14/IL34/CCL14/IL1RN/CCL3L1/CCL23/FAM3B/GREM1/LTB/TIMP1/XCL1/INHA/IL11/CCL5/GDF7/XCL2/CXCL13/BMP8B/IL12A/CXCL2/IL6/CCL8/CCL4/CRLF1/MIF/CXCL3/CCL19/CCL17/IL1A/CNTF/CCL2/CCL4L1/CMTM2/GDF3/CCL3/C1QTNF4/IL27	58
GO:0048020	CCR chemokine receptor binding	20/2026	39/17354	1.53362689021604e-09	2.59438548928213e-07	2.3138932027821e-07	CCL11/CCL20/CCL21/CCL13/DEFB1/CCL26/CCL14/CCL3L1/CCL23/XCL1/CCL5/XCL2/CXCL13/CCL8/CCL4/CCL19/CCL17/CCL2/CCL4L1/CCL3	20
GO:0042379	chemokine receptor binding	25/2026	60/17354	3.59013836348546e-09	5.20570062705391e-07	4.64288570315413e-07	CXCL14/CCL11/CCL20/CXCL9/CCL21/CCL13/PF4/DEFB1/CCL26/CCL14/CCL3L1/CCL23/XCL1/CCL5/XCL2/CXCL13/CXCL2/CCL8/CCL4/CXCL3/CCL19/CCL17/CCL2/CCL4L1/CCL3	25
GO:0022838	substrate-specific channel activity	91/2026	435/17354	1.68468348792576e-08	2.13744217530581e-06	1.90635236791599e-06	GABRP/TRPM8/CLCNKB/SLC26A8/KCNA6/GABRB2/FAM155A/GRIA2/TMC1/SCN7A/GRIA4/KCNN1/KCNH6/PKD2L1/ASIC2/KCNK12/KCNB2/CFTR/KCNJ13/GRIK1/LOXHD1/KCNA2/GRIK5/KCNG1/HCN1/KCNH7/FXYD2/CACNA1I/SLC26A10/CALHM6/CACNA2D1/NOX1/FXYD5/GABRE/TMEM150C/GRIK3/CACNA1A/GABRR2/SCNN1D/KCNC4/AQP2/SLC24A5/SCNN1G/CLCNKA/HTR3A/TRPC3/KCNK3/CACNB1/KCNE5/TMEM63C/TRPM3/TRPV6/KCNE4/AQP5/P2RX6/ASIC3/FXYD1/KCNMB1/GJC1/KCNQ1/CHRNB4/KCND3/KCNIP1/ANO2/FXYD3/KCNK10/GPR89B/KCNV1/CATSPER1/CLCN3/JPH3/KCNB1/CHRNA10/SCN9A/P2RX7/CLCN1/ZACN/REST/FXYD7/TRPC5/CACNA1F/TRPM2/GABRD/SLC17A7/KCNJ10/AQP9/HCN4/TRPC6/KCNN4/KCNJ1/CLIC4	91
GO:0022803	passive transmembrane transporter activity	95/2026	467/17354	3.4522883634994e-08	3.89341409883544e-06	3.47247718433858e-06	GABRP/TRPM8/CLCNKB/SLC26A8/KCNA6/GABRB2/FAM155A/GRIA2/TMC1/SCN7A/GRIA4/KCNN1/PANX2/KCNH6/GJB3/PKD2L1/ASIC2/KCNK12/KCNB2/CFTR/KCNJ13/GRIK1/LOXHD1/KCNA2/GRIK5/KCNG1/HCN1/KCNH7/FXYD2/CACNA1I/SLC26A10/CALHM6/CACNA2D1/NOX1/FXYD5/GABRE/TMEM150C/GRIK3/CACNA1A/BCL2A1/GABRR2/SCNN1D/KCNC4/AQP2/SLC24A5/SCNN1G/CLCNKA/HTR3A/TRPC3/KCNK3/CACNB1/KCNE5/TMEM63C/TRPM3/TRPV6/KCNE4/AQP5/P2RX6/ASIC3/FXYD1/KCNMB1/GJC1/KCNQ1/CHRNB4/KCND3/KCNIP1/ANO2/FXYD3/KCNK10/GPR89B/KCNV1/CATSPER1/CLCN3/JPH3/KCNB1/CHRNA10/SCN9A/P2RX7/CLCN1/ZACN/REST/FXYD7/SLC5A8/TRPC5/CACNA1F/TRPM2/GABRD/SLC17A7/KCNJ10/AQP9/HCN4/TRPC6/KCNN4/KCNJ1/CLIC4	95
GO:0005216	ion channel activity	88/2026	425/17354	4.75953165298042e-08	4.83092462777512e-06	4.30862865427701e-06	GABRP/TRPM8/CLCNKB/SLC26A8/KCNA6/GABRB2/FAM155A/GRIA2/TMC1/SCN7A/GRIA4/KCNN1/KCNH6/PKD2L1/ASIC2/KCNK12/KCNB2/CFTR/KCNJ13/GRIK1/LOXHD1/KCNA2/GRIK5/KCNG1/HCN1/KCNH7/FXYD2/CACNA1I/SLC26A10/CALHM6/CACNA2D1/NOX1/FXYD5/GABRE/TMEM150C/GRIK3/CACNA1A/GABRR2/SCNN1D/KCNC4/SLC24A5/SCNN1G/CLCNKA/HTR3A/TRPC3/KCNK3/CACNB1/KCNE5/TMEM63C/TRPM3/TRPV6/KCNE4/P2RX6/ASIC3/FXYD1/KCNMB1/GJC1/KCNQ1/CHRNB4/KCND3/KCNIP1/ANO2/FXYD3/KCNK10/GPR89B/KCNV1/CATSPER1/CLCN3/JPH3/KCNB1/CHRNA10/SCN9A/P2RX7/CLCN1/ZACN/REST/FXYD7/TRPC5/CACNA1F/TRPM2/GABRD/SLC17A7/KCNJ10/HCN4/TRPC6/KCNN4/KCNJ1/CLIC4	88
