ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa03010	Ribosome	33/712	92/5894	2.36761563278473e-09	4.68787895291376e-07	4.23678586919373e-07	6234/6192/6223/6203/6229/6168/6158/11224/9349/25873/6170/200916/6164/6204/6155/6227/6152/6176/6167/6233/6141/6169/6161/6218/6136/6181/6144/6137/6133/2197/6157/6224/6209	33
hsa04060	Cytokine-cytokine receptor interaction	61/712	265/5894	2.53091830080295e-07	2.50560911779492e-05	2.26450584808685e-05	9547/149233/8995/6356/2056/6364/9966/4283/3458/6366/6357/5196/23495/27190/5008/4049/10344/7850/8740/3563/6358/6349/3570/6368/50615/10913/4050/6375/3589/6352/6846/10563/3572/939/53833/3592/2920/3569/6355/6351/7293/8718/2921/4804/2833/3575/6363/6361/3601/3552/1270/8784/1956/6347/643/388372/3561/3595/6348/8797/943	61
hsa04080	Neuroactive ligand-receptor interaction	56/712	272/5894	2.94841957709982e-05	0.00194595692088588	0.00175870641441042	2568/6344/5733/2561/2891/3355/2893/3352/2897/2901/2837/1812/2147/5032/2847/5739/6751/148/1816/6915/53637/2564/9294/2899/136/57105/2570/10888/5646/3972/9002/9170/2862/5030/2492/187/1910/153/3001/9127/1815/1143/5031/553/624/2642/84634/57053/5340/554/623/5731/5027/4543/2563/8698	56
hsa04650	Natural killer cell mediated cytotoxicity	33/712	136/5894	5.10466460067987e-05	0.00252680897733653	0.00228366574240942	3802/3805/3458/3804/3812/154064/673/80329/5294/27040/259197/3822/919/3932/51744/7535/962/5290/10870/79465/22914/4773/135250/4068/3265/7305/2207/3002/3823/3809/53358/8797/3821	33
hsa05340	Primary immunodeficiency	13/712	35/5894	0.00012118467193149	0.004798913008487	0.00433713562702175	973/23495/916/3932/7535/930/915/3575/29851/926/3561/5896/3718	13
hsa04640	Hematopoietic cell lineage	23/712	88/5894	0.000216316356832983	0.0063254994573165	0.00571682566583629	2056/4311/7850/916/3563/1380/3570/1791/930/3589/915/2208/924/931/929/914/2811/3569/3674/3575/3552/2209/926	23
hsa04062	Chemokine signaling pathway	40/712	189/5894	0.000223628768693008	0.0063254994573165	0.00571682566583629	9547/6356/6364/4283/6366/6357/5196/673/5294/10344/6358/6349/6368/2793/5290/10235/6375/2784/115/6352/6846/10563/2920/6355/6351/3265/2921/2833/6363/2786/6361/196883/9475/6347/643/388372/53358/6348/7454/3718	40
hsa04610	Complement and coagulation cascades	19/712	69/5894	0.000368343201578636	0.00911649423907125	0.00823925582478529	3053/729/725/2243/2266/2147/1675/5054/1380/10747/3827/713/2161/5327/712/624/5340/623/5104	19
hsa04974	Protein digestion and absorption	21/712	81/5894	0.000453293560819435	0.00997245833802757	0.00901285442564958	1293/1281/1288/4311/340024/3769/486/1278/6550/1292/1289/23428/478/1506/482/5646/1302/50509/1277/3784/3783	21
hsa05142	Chagas disease (American trypanosomiasis)	24/712	104/5894	0.00113970483251162	0.0225661556837301	0.0203947180554711	3458/5294/5054/2769/916/919/5599/6349/2774/5290/713/915/6352/5600/3592/3569/2775/712/624/2767/6347/5521/6348/6300	24
