ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04512	ECM-receptor interaction	28/484	85/5894	5.12393977518909e-11	9.27433099309225e-09	8.30617605662232e-09	3679/9899/6696/3913/1284/948/3675/22801/3915/8516/7057/7450/1293/50509/5649/9672/1281/1278/3910/1291/3680/375790/1280/6383/3691/10319/1292/3339	28
hsa04510	Focal adhesion	42/484	200/5894	7.04691158696703e-09	6.37745498620516e-07	5.71170728627854e-07	5747/3679/857/6696/3913/1284/7422/5159/5602/3675/22801/80310/858/3915/8516/7057/2318/7450/1293/25759/50509/5649/5154/5156/1281/1278/3910/55742/1291/3680/1280/5923/2324/10000/56924/3480/3691/10319/1292/894/3082/595	42
hsa05150	Staphylococcus aureus infection	16/484	56/5894	6.33482997724398e-06	0.000382201408627054	0.000342303093507219	2215/713/728/2358/2357/2209/3075/3586/3689/629/2214/714/3684/717/712/5724	16
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	18/484	74/5894	1.99308134346408e-05	0.000901869307917496	0.000807722439193338	3679/3675/22801/6546/1829/8516/9254/1756/6444/1000/1674/3680/785/27092/775/3691/2697/93589	18
hsa04060	Cytokine-cytokine receptor interaction	39/484	265/5894	0.00020577902092169	0.00744920055736517	0.00667157246777689	3952/57007/7422/10563/5159/8743/23495/608/163702/6367/1230/3977/58191/3976/1896/5154/5156/3586/2688/2690/6372/3559/5197/8784/3594/4352/85480/3577/2324/27242/6368/9180/1524/659/9547/3579/7293/3627/3082	39
hsa04360	Axon guidance	23/484	130/5894	0.000315081044100923	0.00830566204722086	0.00743862724787445	5747/10500/1969/5364/2770/8633/90249/22854/6405/10371/80031/6091/25791/3897/9353/54437/6586/4776/8829/56924/2047/1949/57522	23
hsa05146	Amoebiasis	20/484	106/5894	0.000321213449340033	0.00830566204722086	0.00743862724787445	5747/3913/1284/7099/3915/50509/5568/912/3586/1281/1278/3910/5055/929/3689/1280/3684/9630/10319/2767	20
hsa04610	Complement and coagulation cascades	15/484	69/5894	0.00037191423127903	0.00841455948268807	0.00753615679170667	713/2162/728/2152/5265/2155/7450/3075/629/5054/2161/714/717/710/712	15
hsa04080	Neuroactive ligand-receptor interaction	38/484	272/5894	0.000709034970632157	0.0142594810760467	0.0127709222780529	5731/3952/3363/59350/7434/10161/728/2358/2357/2563/6915/53829/8484/2150/5733/9127/11255/1902/2569/2743/2688/134/2690/2564/3061/2899/5739/150/8973/56288/2862/553/2894/2859/5737/5745/5724/6752	38
hsa05414	Dilated cardiomyopathy	17/484	90/5894	0.000877584185559861	0.0158842737586335	0.0142261015343388	3679/7169/3675/22801/6546/8516/9254/1756/5568/6444/1674/3680/785/27092/775/3691/93589	17
hsa05410	Hypertrophic cardiomyopathy (HCM)	16/484	83/5894	0.000982832824565976	0.0161720673860401	0.0144838521514986	3679/7169/3675/22801/6546/8516/9254/1756/6444/1674/3680/785/27092/775/3691/93589	16
hsa04514	Cell adhesion molecules (CAMs)	22/484	136/5894	0.00147163503685679	0.0221971618059233	0.0198799820768374	23705/1366/10666/8516/137075/1462/58494/9672/9378/4684/3897/1000/3689/3680/9369/5797/83700/3684/6383/90952/22871/914	22
hsa04974	Protein digestion and absorption	15/484	81/5894	0.00213467136909886	0.0297211936774534	0.0266185741571842	6550/1284/6546/1293/50509/1281/1278/2006/1291/1299/1280/1359/7512/1298/1292	15
