ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0034765	regulation of ion transmembrane transport	99/1679	444/17381	1.01179587524876e-15	2.8438676185856e-12	2.12183166888187e-12	SCN2B/KCNH7/ANK3/CACNA1G/REM1/GRIN1/KCNAB2/ANO6/PTAFR/CALHM1/CRH/RYR2/CALCR/CACNG3/LRRC55/PLN/SHISA9/CACNA1F/UTRN/ABCC8/KCNK5/KCNK12/CACNG8/CRHR1/CYBB/KCNK13/FXYD7/KCNK15/NTSR1/SNCA/MAPK8IP2/KCNK10/HAMP/CACNA1E/HCN1/SCN2A/CXCL10/PIK3CG/HPCA/SCN7A/THY1/JPH3/KCNF1/CTSS/SCN3B/KCNS1/TESC/GRM5/CACNG4/FLNA/SLN/ASIC2/HCN4/GRIN3A/LYN/AHCYL1/KCNK7/SHANK3/KCNV1/CAV1/CACNA2D3/KCNC1/GEM/LRRC26/KCNJ4/KCNJ5/KCNH6/KCNG3/KCNAB1/DLG4/NEDD4/NPPA/AHNAK/KCNC2/HFE/OPRK1/CXCL11/STAC/CXCL9/KCNB2/LRRC52/KCNJ9/FXYD4/CACNG1/CACNA1I/TMC1/CACNG2/SHANK1/KCNIP2/KCNH5/KCNH4/PIRT/KCNJ11/DHRS7C/KCNS2/PLCG2/CNIH2/KCNH3/KCNA1	99
GO:0045785	positive regulation of cell adhesion	91/1679	394/17381	1.56140940177974e-15	2.8438676185856e-12	2.12183166888187e-12	PDCD1/NR4A3/ANK3/HLA-DQA1/SLAMF1/PTAFR/NPNT/GATA3/LILRB4/APBB1IP/HLA-DQB2/PTPRC/SASH3/CSF1/RET/UTRN/HLA-DQA2/ICAM1/SYK/HLA-DPA1/IBSP/LILRB2/CCL2/DMTN/MYB/HLA-DRA/ABI3BP/CD74/CD44/RREB1/CYR61/NCKAP1L/AZU1/CD4/NDNF/APOA1/CD3G/OLFM4/CCR2/THY1/CD274/HLA-DMB/COL26A1/GCNT2/FLNA/VNN1/TGFB2/HAVCR2/SIRPG/LYN/IL12RB1/CAV1/IL10/BTLA/ANGPT1/ECM2/IL1B/VCAM1/ANXA1/IL7R/ITGA2/VAV3/CD40LG/NPHS1/TNFSF14/HAS2/IQGAP1/DOCK8/TNFSF18/GLI2/PLPP3/CXCL13/NLRP3/WNT5A/TNF/TESPA1/ICOS/CARD11/GLI3/LILRB1/CD86/IL2RA/CD80/COL8A1/PAK1/DPP4/SPN/PDPN/PDCD1LG2/VAV1/RELL2	91
GO:0042110	T cell activation	102/1679	467/17381	1.57438694514796e-15	2.8438676185856e-12	2.12183166888187e-12	PDCD1/PTPN22/HLA-DQA1/FCGR2B/ZNF683/SLAMF1/TNFSF8/CLEC7A/CLEC4G/HLA-DOA/SIT1/GATA3/LILRB4/APBB1IP/IDO1/LAX1/F2RL1/HLA-DQB2/PTPRC/SASH3/HLA-DQA2/ICAM1/SYK/HLA-DPA1/LILRB2/CCL2/LCP1/SLAMF6/MYB/HLA-DRA/CD74/ELF4/THEMIS/NFATC2/NCKAP1L/CD4/TREML2/MSN/PIK3CG/CD3G/CCR2/THY1/CD274/HLA-DMB/GPR183/RSAD2/MICB/EOMES/VSIG4/VNN1/RHOH/HAVCR2/SIRPG/DOCK2/LYN/CAMK4/IL12RB1/CAV1/IL10/RUNX2/BTLA/CD2/IL1B/GPR18/FOXJ1/VCAM1/ANXA1/IL7R/NEDD4/CD40LG/RUNX1/NPHS1/TNFSF14/HFE/DOCK8/TNFSF18/GLI2/PTGER4/FZD7/NLRP3/ITGAL/LMO1/TESPA1/ICOS/CASP8/CARD11/GLI3/SPINK5/LILRB1/CD86/NFKBID/IL2RA/SLC11A1/CD1C/CD80/ZFP36L1/PAK1/DPP4/SPN/PDCD1LG2/ITK/VAV1	102
GO:0034762	regulation of transmembrane transport	100/1679	459/17381	3.57922164960798e-15	4.84895052980641e-12	3.61783956740638e-12	SCN2B/KCNH7/ANK3/CACNA1G/REM1/GRIN1/KCNAB2/ANO6/PTAFR/CALHM1/CRH/RYR2/CALCR/CACNG3/LRRC55/PLN/SHISA9/CACNA1F/UTRN/ABCC8/KCNK5/KCNK12/CACNG8/CRHR1/CYBB/KCNK13/FXYD7/KCNK15/NTSR1/SNCA/GJA1/MAPK8IP2/KCNK10/HAMP/CACNA1E/HCN1/SCN2A/CXCL10/PIK3CG/HPCA/SCN7A/THY1/JPH3/KCNF1/CTSS/SCN3B/KCNS1/TESC/GRM5/CACNG4/FLNA/SLN/ASIC2/HCN4/GRIN3A/LYN/AHCYL1/KCNK7/SHANK3/KCNV1/CAV1/CACNA2D3/KCNC1/GEM/LRRC26/KCNJ4/KCNJ5/KCNH6/KCNG3/KCNAB1/DLG4/NEDD4/NPPA/AHNAK/KCNC2/HFE/OPRK1/CXCL11/STAC/CXCL9/KCNB2/LRRC52/KCNJ9/FXYD4/CACNG1/CACNA1I/TMC1/CACNG2/SHANK1/KCNIP2/KCNH5/KCNH4/PIRT/KCNJ11/DHRS7C/KCNS2/PLCG2/CNIH2/KCNH3/KCNA1	100
GO:0007159	leukocyte cell-cell adhesion	86/1679	374/17381	1.25030988437808e-14	1.35508585268897e-11	1.01104005597815e-11	SELE/PDCD1/NR4A3/PTPN22/HLA-DQA1/FCGR2B/ZNF683/SLAMF1/PTAFR/CLEC4G/HLA-DOA/SIT1/GATA3/LILRB4/IDO1/LAX1/HLA-DQB2/PTPRC/SASH3/PODXL2/HLA-DQA2/ICAM1/SYK/HLA-DPA1/LILRB2/CCL2/ITGB2/MADCAM1/MYB/HLA-DRA/CD74/CD44/NFATC2/NCKAP1L/CD4/MSN/CD3G/CCR2/THY1/CD274/HLA-DMB/VSIG4/VNN1/HAVCR2/SIRPG/LYN/CAMK4/IL12RB1/CAV1/IL10/BTLA/CD2/IL1B/FOXJ1/VCAM1/SELPLG/ANXA1/IL7R/CD40LG/RUNX1/NPHS1/TNFSF14/HFE/HAS2/DOCK8/TNFSF18/GLI2/NLRP3/ITGAL/LMO1/TNF/TESPA1/ICOS/CARD11/GLI3/SPINK5/LILRB1/CD86/NFKBID/IL2RA/CD80/PAK1/DPP4/SPN/PDCD1LG2/VAV1	86
GO:0030595	leukocyte chemotaxis	58/1679	203/17381	1.53708850375708e-14	1.38824710030994e-11	1.03578191981245e-11	STAP1/LBP/CXCR3/SLAMF1/ANO6/F2RL1/CSF1/CCL3/IL6R/CCR5/SYK/CCL2/C3AR1/ITGB2/CCL3L3/CD74/XCL2/C5AR1/NCKAP1L/AZU1/CXCL10/CXCR2/CSF3R/PIK3CG/CCR2/CX3CR1/GPR183/TGFB2/LYN/IL10/CH25H/IL1B/GPR18/CCL8/CCL22/ANXA1/EDNRB/CHGA/VAV3/CCL3L1/TNFSF14/TREM1/SCG2/CXCL11/FPR2/CXCL9/CXCR4/CXCL6/TNFSF18/CXCL13/WNT5A/CCR1/CCL4/PGF/TNFRSF11A/VAV1/ADGRE2/CCL4L1	58
GO:0022409	positive regulation of cell-cell adhesion	67/1679	259/17381	3.00621239962676e-14	2.32723785622534e-11	1.73637019954382e-11	PDCD1/NR4A3/ANK3/HLA-DQA1/SLAMF1/PTAFR/GATA3/LILRB4/HLA-DQB2/PTPRC/SASH3/HLA-DQA2/ICAM1/SYK/HLA-DPA1/LILRB2/CCL2/DMTN/MYB/HLA-DRA/CD74/CD44/NCKAP1L/CD4/CD3G/CCR2/THY1/CD274/HLA-DMB/GCNT2/VNN1/HAVCR2/SIRPG/LYN/IL12RB1/CAV1/IL10/BTLA/IL1B/VCAM1/ANXA1/IL7R/CD40LG/NPHS1/TNFSF14/HAS2/DOCK8/GLI2/PLPP3/CXCL13/NLRP3/WNT5A/TNF/TESPA1/ICOS/CARD11/GLI3/LILRB1/CD86/IL2RA/CD80/PAK1/DPP4/SPN/PDPN/PDCD1LG2/VAV1	67
GO:0002237	response to molecule of bacterial origin	78/1679	333/17381	7.73176835165309e-14	5.11483545999897e-11	3.81621837430795e-11	STAP1/REN/LBP/SELE/PTPN22/CD180/FCGR2B/PTAFR/NR1H4/APOB/TLR4/IDO1/TLR1/CCL3/CCR5/ABCC8/ICAM1/CSF2RB/IL12RB2/LILRB2/CCL2/SNCA/GNG12/GJA1/C5AR1/CASP1/HAMP/PTGFR/TNFRSF11B/LTF/TRIM6/CPS1/CXCL10/CYP1A1/ZFP36/LILRA2/PLSCR4/CX3CR1/IL10RA/CARD16/ABCA1/TLR5/HAVCR2/LYN/MRC1/IL10/IRF8/TNFAIP3/IL1B/VCAM1/STAR/MAOB/EDNRB/GJB2/OPRK1/CXCL11/CXCL9/CXCL6/ERBIN/TLR2/TLR6/PTGER4/CD96/CXCL13/NLRP3/WNT5A/TNF/CASP8/LILRB1/CD86/MPO/SLC11A1/CD80/TNFRSF8/TNFRSF9/PLCG2/TNFRSF11A/TH	78
GO:0051047	positive regulation of secretion	86/1679	386/17381	8.4948365270328e-14	5.11483545999897e-11	3.81621837430795e-11	TRH/STX1A/PTPN22/CACNA1G/SCIN/SLAMF1/PTAFR/NR1H4/AQP1/CRH/TLR4/GATA3/GRP/F2RL1/EXPH5/IL1A/STX1B/PYDC1/TLR1/CHRNB2/CLEC5A/SYT1/CCL3/TFR2/SYK/ITGB2/MYB/NTSR1/SNCA/CARTPT/GJA1/CASP1/POSTN/UNC13A/CD38/BLK/TRIM6/ALOX12B/NNAT/SYT7/CD274/ALOX15B/OXTR/ADCYAP1/RAB15/TGFB2/CASR/HAVCR2/SYT4/IL10/CYP4F2/IFIH1/CD2/IL1B/RAB3A/SYTL4/CDK5R2/KISS1/EDNRB/NMU/FCER1A/CASP5/CSF1R/HFE/OPRK1/EGFR/UCN/TLR2/PTGER4/CCK/PLA2R1/VSNL1/CLEC9A/CYP4A11/NLRP3/WNT5A/TNF/TLR8/SMPD3/CACNA1I/ILDR1/STXBP1/WLS/RBP4/TNFRSF11A/ITGAM	86
GO:0032496	response to lipopolysaccharide	75/1679	316/17381	1.14141266546614e-13	5.69315045802779e-11	4.24770367601028e-11	STAP1/REN/LBP/SELE/PTPN22/CD180/PTAFR/NR1H4/APOB/TLR4/IDO1/CCL3/CCR5/ABCC8/ICAM1/CSF2RB/IL12RB2/LILRB2/CCL2/SNCA/GNG12/GJA1/C5AR1/CASP1/HAMP/PTGFR/TNFRSF11B/LTF/TRIM6/CPS1/CXCL10/CYP1A1/ZFP36/LILRA2/PLSCR4/CX3CR1/IL10RA/CARD16/ABCA1/TLR5/HAVCR2/LYN/MRC1/IL10/IRF8/TNFAIP3/IL1B/VCAM1/STAR/MAOB/EDNRB/GJB2/OPRK1/CXCL11/CXCL9/CXCL6/ERBIN/TLR2/PTGER4/CD96/CXCL13/NLRP3/WNT5A/TNF/CASP8/LILRB1/CD86/MPO/SLC11A1/CD80/TNFRSF8/TNFRSF9/PLCG2/TNFRSF11A/TH	75
GO:1903037	regulation of leukocyte cell-cell adhesion	79/1679	343/17381	1.39223101801065e-13	5.69315045802779e-11	4.24770367601028e-11	PDCD1/NR4A3/PTPN22/HLA-DQA1/FCGR2B/ZNF683/SLAMF1/PTAFR/CLEC4G/HLA-DOA/SIT1/GATA3/LILRB4/IDO1/LAX1/HLA-DQB2/PTPRC/SASH3/HLA-DQA2/ICAM1/SYK/HLA-DPA1/LILRB2/CCL2/MYB/HLA-DRA/CD74/CD44/NFATC2/NCKAP1L/CD4/CD3G/CCR2/THY1/CD274/HLA-DMB/VSIG4/VNN1/HAVCR2/SIRPG/LYN/CAMK4/IL12RB1/CAV1/IL10/BTLA/CD2/IL1B/FOXJ1/VCAM1/ANXA1/IL7R/CD40LG/RUNX1/NPHS1/TNFSF14/HFE/HAS2/DOCK8/TNFSF18/GLI2/NLRP3/LMO1/TNF/TESPA1/ICOS/CARD11/GLI3/SPINK5/LILRB1/CD86/NFKBID/IL2RA/CD80/PAK1/DPP4/SPN/PDCD1LG2/VAV1	79
GO:0050900	leukocyte migration	98/1679	471/17381	1.39956417194053e-13	5.69315045802779e-11	4.24770367601028e-11	STAP1/LBP/SELE/CXCR3/SLAMF1/ANO6/PTAFR/APOB/GATA3/F2RL1/JCHAIN/IL1A/CSF1/PODXL2/RET/CCL3/IL6R/CCR5/ICAM1/SYK/CCL2/C3AR1/ITGB2/SLC7A7/CCL3L3/MADCAM1/CD74/XCL2/C5AR1/CD44/NCKAP1L/AZU1/CXCL10/MSN/CXCR2/CSF3R/PIK3CG/CCR2/THY1/CX3CR1/GPR183/L1CAM/CD84/TGFB2/SIRPG/LYN/CAV1/IL10/SLC16A8/ANGPT1/CD2/CH25H/IL1B/GPR18/FOXJ1/VCAM1/CCL8/PRTN3/SELPLG/CCL22/ANXA1/EDNRB/ITGA2/CHGA/VAV3/CCL3L1/OLR1/TNFSF14/TREM1/SCG2/CXCL11/ROR2/FPR2/CXCL9/PDGFD/DOCK8/CXCR4/CXCL6/TNFSF18/PTGER4/CXCL13/ITGAL/WNT5A/TNF/P2RY12/EPCAM/MMP14/CCR1/CCL4/PGF/INPP5D/SPN/FPR1/TNFRSF11A/ITGAM/VAV1/ADGRE2/CCL4L1	98
GO:0071804	cellular potassium ion transport	57/1679	207/17381	1.47082683912879e-13	5.69315045802779e-11	4.24770367601028e-11	KCNH7/ANK3/KCNAB2/ANO6/AQP1/LRRC55/REST/CNGA3/ABCC9/ABCC8/KCNK5/KCNK12/CNGB3/KCNK13/KCNK15/KCNK10/HCN1/KCNK3/KCNF1/KCNK1/KCNS1/KCNK9/CNGB1/FLNA/KCNN1/HCN4/KCNK7/KCNV1/CAV1/KCNC1/LRRC26/KCNJ4/KCNJ5/KCNH6/KCNG3/KCNAB1/NEDD4/NPPA/KCNC2/OPRK1/SLC12A5/KCNB2/LRRC52/KCNN3/KCNJ9/FXYD4/KCNT1/P2RY12/KCNIP2/KCNH5/KCNH4/KCNJ11/KCNS2/PKD2L1/KCNMB2/KCNH3/KCNA1	57
GO:0071805	potassium ion transmembrane transport	57/1679	207/17381	1.47082683912879e-13	5.69315045802779e-11	4.24770367601028e-11	KCNH7/ANK3/KCNAB2/ANO6/AQP1/LRRC55/REST/CNGA3/ABCC9/ABCC8/KCNK5/KCNK12/CNGB3/KCNK13/KCNK15/KCNK10/HCN1/KCNK3/KCNF1/KCNK1/KCNS1/KCNK9/CNGB1/FLNA/KCNN1/HCN4/KCNK7/KCNV1/CAV1/KCNC1/LRRC26/KCNJ4/KCNJ5/KCNH6/KCNG3/KCNAB1/NEDD4/NPPA/KCNC2/OPRK1/SLC12A5/KCNB2/LRRC52/KCNN3/KCNJ9/FXYD4/KCNT1/P2RY12/KCNIP2/KCNH5/KCNH4/KCNJ11/KCNS2/PKD2L1/KCNMB2/KCNH3/KCNA1	57
GO:0097529	myeloid leukocyte migration	52/1679	179/17381	1.707984368675e-13	6.17037819589987e-11	4.60376698953029e-11	STAP1/LBP/SLAMF1/ANO6/IL1A/CSF1/CCL3/IL6R/SYK/CCL2/C3AR1/ITGB2/CCL3L3/CD74/XCL2/C5AR1/NCKAP1L/AZU1/CXCL10/CXCR2/CSF3R/PIK3CG/CCR2/CX3CR1/TGFB2/LYN/IL1B/CCL8/PRTN3/CCL22/ANXA1/EDNRB/CHGA/VAV3/CCL3L1/TREM1/SCG2/ROR2/FPR2/PDGFD/CXCL6/TNFSF18/PTGER4/P2RY12/MMP14/CCR1/CCL4/PGF/TNFRSF11A/VAV1/ADGRE2/CCL4L1	52
GO:0042391	regulation of membrane potential	87/1679	403/17381	3.99898840594719e-13	1.35440738573924e-10	1.01053384652916e-10	STX1A/SCN2B/KCNH7/ANK3/CACNA1G/GRIN1/CELF4/CHRNA9/GLRA4/ATP1A4/RYR2/GJD2/DSG2/STX1B/PLN/P2RX6/CHRNB2/CACNA1F/SLC17A7/CNGA3/KCNK5/KCNK12/CNGB3/P2RX3/KCNK13/KCNK15/NTSR1/SNCA/GJA1/MAPK8IP2/NPAS4/CASP1/KCNK10/CACNA1E/HCN1/SCN2A/SLC26A8/KCNK3/SCN7A/GABRA1/KCNK1/SCN3B/GRM5/KCNK9/CNGB1/GABRB3/GLRA1/CACNG4/FLNA/ADCYAP1/ASIC2/HCN4/GRIN3A/KCNK7/SHANK3/CAV1/CHRNA4/KCNJ5/CHRNA2/KCNH6/DLG4/NEDD4/NPPA/RIMS1/SLC1A6/DSC2/GLRA2/CHRNB3/CCK/RIMS4/SEZ6/CBLN1/STOX1/CACNA1I/P2RX2/CACNG2/SHANK1/KCNIP2/KCNH5/KCNH4/RIMS2/KCNJ11/KCNMB2/CUX2/CNIH2/KCNH3/KCNA1	87
GO:0022407	regulation of cell-cell adhesion	90/1679	425/17381	4.99473848111929e-13	1.59214634289326e-10	1.18791272482843e-10	PDCD1/NR4A3/ANK3/PTPN22/HLA-DQA1/FCGR2B/ZNF683/SLAMF1/PTAFR/CLEC4G/HLA-DOA/SIT1/GATA3/LILRB4/IDO1/LAX1/HLA-DQB2/PTPRC/SASH3/HLA-DQA2/ICAM1/SYK/HLA-DPA1/LILRB2/CCL2/DMTN/MYB/HLA-DRA/CD74/CD44/NFATC2/NCKAP1L/CD4/APOA1/CD3G/CCR2/THY1/CD274/HLA-DMB/GCNT2/VSIG4/VNN1/HAVCR2/SIRPG/LYN/CAMK4/IL12RB1/CAV1/IL10/BTLA/CD2/IL1B/FOXJ1/VCAM1/ANXA1/IL7R/CD40LG/RUNX1/NPHS1/TNFSF14/HFE/HAS2/IL1RN/DOCK8/TNFSF18/GLI2/PLPP3/CXCL13/NLRP3/LMO1/WNT5A/TNF/CDSN/EPCAM/TESPA1/ICOS/CARD11/GLI3/SPINK5/LILRB1/CD86/NFKBID/IL2RA/CD80/PAK1/DPP4/SPN/PDPN/PDCD1LG2/VAV1	90
GO:0050867	positive regulation of cell activation	80/1679	359/17381	6.27147610699679e-13	1.88806272354531e-10	1.40869822964764e-10	STAP1/LBP/PDCD1/NR4A3/HLA-DQA1/SLAMF1/PTAFR/TLR4/GATA3/LILRB4/F2RL1/HLA-DQB2/PTPRC/SASH3/CHRNB2/HLA-DQA2/SYK/HLA-DPA1/LILRB2/CCL2/ITGB2/DMTN/MYB/HLA-DRA/CD74/NFATC2/CD38/NCKAP1L/PLEK/CD4/CD3G/CCR2/THY1/CD274/HLA-DMB/GPR183/VNN1/CLCF1/HAVCR2/SIRPG/LYN/IL12RB1/CAV1/IL10/BTLA/CD2/IL1B/VCAM1/ANXA1/IL7R/FCER1A/VAV3/CD40LG/NPHS1/TNFSF14/DOCK8/TLR6/GLI2/CD226/NLRP3/WNT5A/TESPA1/ICOS/CARD11/GLI3/MMP14/LILRB1/CD86/IL2RA/CD80/PAK1/DPP4/INPP5D/SPN/STXBP1/PDPN/PDCD1LG2/BTK/ITGAM/VAV1	80
