ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0043235	receptor complex	90/1800	325/18511	1.30296007692606e-20	7.12719162078557e-18	5.49986306155107e-18	BMPR1B/GRIN1/ADRB3/NPNT/CHRNA9/TLR4/APBB1IP/CALCR/GPR101/CACNG3/SHISA9/TLR1/ACVR1C/CHRNB2/GABRG2/RET/GRM7/NTRK2/IL6R/TFR2/ROR1/CSF2RB/SYK/P2RX3/CACNG8/ITGB2/MTTP/TRAT1/GPR160/CD74/GABRA5/IFNLR1/GHR/GABRA4/OSMR/CD44/HTR3B/NOTCH2/CD4/GPR84/CD3G/GABRD/GABRA1/KCNK1/HFE2/CNGB1/GABRB3/ABCG8/CACNG4/GABRA6/EGF/GRIN3A/LYN/TGFBR3/IL13RA1/IL12RB1/CHRNA4/CHRNA2/ITGA2/DLG4/OLFM3/VIPR1/OLR1/VWC2L/HFE/ITPR2/EGFR/CHRNB3/ITGB5/GABRB2/TLR2/TLR6/GPR61/PLA2R1/ADCYAP1R1/ITGAL/VDR/P2RX2/CARD11/CACNG2/ITGB4/TSHR/SHANK1/GABRR2/TRIL/GABRA3/PKD2L1/TLR7/CNIH2/ITGAM	90
GO:0098793	presynapse	91/1800	354/18511	1.74934099333082e-18	4.78444761675979e-16	3.69203020171399e-16	SYNPR/STX1A/GRIN1/KCNAB2/PPFIA4/SNAP25/SLC17A8/AQP1/CPLX3/CABP4/CAMK2A/STX1B/PCLO/STX11/GRM7/NTRK2/SLC17A7/SYT1/GRM4/ROR1/ABCC8/P2RX3/RAB3C/CCL2/OTOF/SYP/CDH9/NTSR1/SNCA/GAD2/SYNGR3/UNC13A/GRM2/SYT5/CALB2/SLC18A3/RAB26/SYT7/SVOP/GRM5/KCNK9/CNGB1/LGI3/ADCYAP1/SYT2/CASR/DOC2A/SLC17A6/SYT4/DDC/UNC13C/RAB3A/SYTL4/PVALB/HRH3/DNM1/SLC6A3/ITGA2/NMU/DLG4/RIMS1/CPLX1/SYN2/SEPT5/KCNC2/OPRK1/SLC30A3/SLC6A17/SLC32A1/PDE2A/CHRM1/PTPRN/RPH3A/UCN/SYN1/CCK/SYNGR4/AMPH/RIMS4/SV2B/CPLX2/GAD1/SLC18A1/RIMS2/GOT1/STXBP1/SYPL2/SYT13/TH/PACSIN1/KCNA1	91
GO:0034702	ion channel complex	75/1800	288/18511	8.70566051175665e-16	1.58733209997696e-13	1.22490170709278e-13	SCNN1B/STX1A/SCN2B/CACNA1G/GRIN1/KCNAB2/ANO6/SNAP25/CHRNA9/GLRA4/RYR2/CACNG3/LRRC55/SHISA9/CHRNB2/CACNA1F/GABRG2/ABCC9/ABCC8/CACNG8/GABRA5/CACNA1E/GABRA4/HCN1/HTR3B/SCN2A/GABRD/SCN7A/GABRA1/KCNF1/KCNK1/SCN3B/KCNS1/CNGB1/GABRB3/GLRA1/CACNG4/KCNN1/GABRA6/HCN4/GRIN3A/KCNV1/KCNC1/LRRC26/KCNJ4/CHRNA4/KCNJ5/CHRNA2/KCNG3/KCNAB1/DLG4/OLFM3/VWC2L/KCNC2/GLRA2/KCNB2/LRRC52/CHRNB3/GABRB2/CACNG1/KCNT1/CACNA1I/CACNG2/SHANK1/GABRR2/KCNIP2/KCNH4/RYR1/KCNJ11/GABRA3/KCNS2/PKD2L1/KCNMB2/CNIH2/KCNA1	75
GO:1902495	transmembrane transporter complex	80/1800	325/18511	2.97523486291064e-15	3.56861897386842e-13	2.75380777161789e-13	SCNN1B/STX1A/SCN2B/CACNA1G/GRIN1/KCNAB2/ANO6/SNAP25/CHRNA9/GLRA4/ATP1A4/RYR2/CACNG3/LRRC55/PLN/SHISA9/CHRNB2/CACNA1F/GABRG2/CNGA3/ABCC9/ABCC8/CNGB3/CACNG8/GABRA5/CACNA1E/GABRA4/HCN1/HTR3B/SCN2A/GABRD/SCN7A/GABRA1/KCNF1/KCNK1/SCN3B/KCNS1/CNGB1/GABRB3/GLRA1/ABCG8/CACNG4/KCNN1/GABRA6/HCN4/GRIN3A/KCNV1/KCNC1/LRRC26/KCNJ4/CHRNA4/KCNJ5/CHRNA2/KCNG3/KCNAB1/DLG4/OLFM3/VWC2L/KCNC2/GLRA2/KCNB2/LRRC52/CHRNB3/GABRB2/CACNG1/KCNT1/CACNA1I/CACNG2/SHANK1/GABRR2/KCNIP2/KCNH4/RYR1/KCNJ11/GABRA3/KCNS2/PKD2L1/KCNMB2/CNIH2/KCNA1	80
GO:0098552	side of membrane	104/1800	482/18511	3.26199174942269e-15	3.56861897386842e-13	2.75380777161789e-13	TRPM8/SCNN1B/PDCD1/PTPN22/HLA-DQA1/CXCR3/FCGR2B/SLAMF1/KCNAB2/SNAP25/GNG3/TLR4/HLA-DQB2/PTPRC/F3/CD33/NRG1/CHRNB2/RTN4RL2/RTN4R/TFR2/CCR5/HLA-DQA2/ICAM1/IL12RB2/SYK/HLA-DPA1/ANTXR2/ITGB2/HLA-DRA/NTSR1/GNG12/CD74/CCR4/PTPN7/CD163/SERPINA5/BLK/CD4/CXCL10/FCGR3A/THY1/CD274/ABCA1/MATK/SPTB/GLRA1/GNG13/LYN/TGFBR3/IL12RB1/AMOT/GPC4/CD69/GEM/CD2/GNG8/VCAM1/CHRNA4/KCNJ5/ANXA1/IL7R/ITGA2/KCNAB1/FCER1A/DLG4/CD40LG/CARMIL2/STYK1/HFE/ESYT3/IQGAP1/CXCL9/RGS1/RGS7/AQP4/ADGRE1/CD226/TNF/TLR8/P2RY12/ICOS/TMC1/LILRB1/CD86/IL2RA/GNAT1/GFAP/SLA/FGF8/CD80/MS4A1/CCR1/RASAL1/IL2RB/SPN/PDPN/EEF1A2/ITK/TNFRSF9/TNFRSF11A/BTK/ITGAM/TH	104
GO:1990351	transporter complex	80/1800	332/18511	1.05726021277441e-14	8.9756691260057e-13	6.92628369003807e-13	SCNN1B/STX1A/SCN2B/CACNA1G/GRIN1/KCNAB2/ANO6/SNAP25/CHRNA9/GLRA4/ATP1A4/RYR2/CACNG3/LRRC55/PLN/SHISA9/CHRNB2/CACNA1F/GABRG2/CNGA3/ABCC9/ABCC8/CNGB3/CACNG8/GABRA5/CACNA1E/GABRA4/HCN1/HTR3B/SCN2A/GABRD/SCN7A/GABRA1/KCNF1/KCNK1/SCN3B/KCNS1/CNGB1/GABRB3/GLRA1/ABCG8/CACNG4/KCNN1/GABRA6/HCN4/GRIN3A/KCNV1/KCNC1/LRRC26/KCNJ4/CHRNA4/KCNJ5/CHRNA2/KCNG3/KCNAB1/DLG4/OLFM3/VWC2L/KCNC2/GLRA2/KCNB2/LRRC52/CHRNB3/GABRB2/CACNG1/KCNT1/CACNA1I/CACNG2/SHANK1/GABRR2/KCNIP2/KCNH4/RYR1/KCNJ11/GABRA3/KCNS2/PKD2L1/KCNMB2/CNIH2/KCNA1	80
GO:0097060	synaptic membrane	74/1800	295/18511	1.14862310570457e-14	8.9756691260057e-13	6.92628369003807e-13	STX1A/ANK3/GRIN1/SNAP25/DDN/CHRNA9/GLRA4/CAMK2A/STX1B/SHISA9/CHRNB2/LRRTM4/GABRG2/GRM7/RAPSN/NTRK2/SYT1/UTRN/GRM4/CACNG8/SYP/CDH9/DLGAP3/SRCIN1/GAD2/PRKCG/GABRA5/UNC13A/GRM2/GABRA4/HTR3B/GABRD/SYT7/GABRA1/SH2D5/GRM5/GABRB3/GLRA1/GABRA6/GRIN3A/LRFN2/ANKS1B/SHANK3/NSG1/UNC13C/KCNJ4/ANK1/CHRNA4/CHRNA2/DLG4/RIMS1/IQSEC3/KCNC2/SRPX2/GLRA2/PDE2A/CHRM1/CHRNB3/HIP1R/GABRB2/RIMS4/CBLN1/CACNG2/SHANK1/GABRR2/LRRTM1/RIMS2/GRIP1/STXBP1/GABRA3/CNIH2/NEURL1/CABP1/KCNA1	74
GO:0043679	axon terminus	41/1800	115/18511	4.06671341444822e-14	2.78061529712897e-12	2.14572641999176e-12	GRIN1/KCNAB2/SLC17A8/AQP1/CABP4/NTRK2/SYT1/ROR1/P2RX3/CCL2/SYP/NTSR1/SNCA/UNC13A/CALB2/SYT7/CNGB1/ADCYAP1/CASR/UNC13C/RAB3A/PVALB/ITGA2/NMU/CPLX1/SEPT5/KCNC2/OPRK1/SLC32A1/CHRM1/PTPRN/UCN/SYN1/CCK/CPLX2/GAD1/GOT1/STXBP1/TH/PACSIN1/KCNA1	41
GO:0009897	external side of plasma membrane	68/1800	270/18511	1.12253825974006e-13	6.82253808975349e-12	5.26477008369315e-12	TRPM8/SCNN1B/PDCD1/CXCR3/FCGR2B/SLAMF1/TLR4/PTPRC/F3/CD33/NRG1/CHRNB2/RTN4RL2/RTN4R/TFR2/CCR5/ICAM1/IL12RB2/ANTXR2/ITGB2/CD74/CCR4/CD163/SERPINA5/CD4/CXCL10/FCGR3A/THY1/CD274/ABCA1/GLRA1/TGFBR3/IL12RB1/AMOT/GPC4/CD69/CD2/VCAM1/CHRNA4/KCNJ5/ANXA1/IL7R/ITGA2/FCER1A/CD40LG/HFE/CXCL9/AQP4/ADGRE1/CD226/TNF/TLR8/P2RY12/ICOS/TMC1/LILRB1/CD86/IL2RA/FGF8/CD80/MS4A1/CCR1/IL2RB/SPN/PDPN/TNFRSF9/TNFRSF11A/ITGAM	68
GO:0044306	neuron projection terminus	43/1800	130/18511	1.98959572491464e-13	1.08830886152831e-11	8.39818827042917e-12	GRIN1/KCNAB2/SLC17A8/AQP1/CABP4/NTRK2/SYT1/ROR1/P2RX3/CCL2/SYP/NTSR1/SNCA/UNC13A/CALB2/SYT7/CNGB1/ADCYAP1/CASR/SYT4/UNC13C/RAB3A/PVALB/ITGA2/NMU/DLG4/CPLX1/SEPT5/KCNC2/OPRK1/SLC32A1/CHRM1/PTPRN/UCN/SYN1/CCK/CPLX2/GAD1/GOT1/STXBP1/TH/PACSIN1/KCNA1	43
