ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0022626	cytosolic ribosome	59/3216	113/18511	3.05753795987383e-17	2.04855043311547e-14	1.77015355571643e-14	RPL37A/RPS17/RPL23A/RPL9/RPS10/RPS19/RPS21/RPL8/RPL4/RPS7/RPL35/RPS28/RPS27/RPL18/RPS20/RPL14/RPL22L1/RPL23/RPS11/RPL13AP3/RPL21/RPL7A/RPL39L/RPL26/RPL39/RPL18A/RPL30/RPS14/RPS15/RPL36/RPS3/RPL37/RPL17/RPL24/RPL27/RPL28/RPL34/RPLP0/RPL13/RPLP2/RPL35A/RPL13A/RPL32/RPS24/RPS5/RPS6/RPS2/RPS8/RPS16/RPL31/RPS29/RPS27A/RPL38/RPSA/PPARGC1A/RPLP1/RPL27A/RPS9/RPS12	59
GO:0016324	apical plasma membrane	100/3216	292/18511	1.91603022910331e-12	4.99804778544451e-10	4.31881583973995e-10	PKHD1/AJAP1/PDPN/SLC29A4/AQP5/SLC12A3/TDGF1/MGAM/CFTR/SLC5A1/KCNC2/UPK3A/CYP4A11/SLC17A1/MIP/PROM1/MAL2/ABCG2/TRPM6/SAPCD2/ABCB1/DPEP1/KCNMA1/VANGL2/RAPGEF6/CYP4F2/KCNE1/SLC1A1/CACNB3/SORBS2/SLC34A3/ABCC6/SLC52A3/IL6R/CA4/ABCB4/RAPGEF2/LRP2/SLC34A2/DSG1/ATP1B2/SLC12A1/SLC6A20/SLC17A3/ABCC2/SLC34A1/SPTBN2/ATP6V0D2/SLC2A5/CYBA/ADRB2/MUC20/EPCAM/SLC17A4/CD300LG/ABCG8/GJB6/SLC2A1/MUC1/KISS1/SLC22A12/AGER/EGFR/MTCL1/MYO1A/ANO1/SLC22A4/UPK1A/MAL/SLC4A5/TEK/DPP4/OXTR/SLC9B2/DUOX1/SLC26A9/CEACAM20/SLC22A11/STX3/ATP6V1B1/AQP6/SLC23A2/SLC39A4/GPR143/MFRP/P2RY6/CLDN4/MPDZ/TRPV4/PROM2/SLC2A2/FOLR1/DUOX2/CRB2/NAALADL1/ADGRG2/SLC14A2/SLC9A3/USH2A/ENPEP	100
GO:0022625	cytosolic large ribosomal subunit	35/3216	61/18511	2.23793184422888e-12	4.99804778544451e-10	4.31881583973995e-10	RPL37A/RPL23A/RPL9/RPL8/RPL4/RPL35/RPL18/RPL14/RPL22L1/RPL23/RPL13AP3/RPL21/RPL7A/RPL39L/RPL26/RPL39/RPL18A/RPL30/RPL36/RPL37/RPL17/RPL24/RPL27/RPL28/RPL34/RPLP0/RPL13/RPLP2/RPL35A/RPL13A/RPL32/RPL31/RPL38/RPLP1/RPL27A	35
GO:0045177	apical part of cell	116/3216	363/18511	6.27202753124e-12	1.0505646114827e-09	9.07793458468948e-10	FAP/PKHD1/CTSV/AJAP1/PDPN/SLC29A4/AQP5/SLC12A3/ITGA8/TDGF1/MGAM/CFTR/SLC5A1/KCNC2/UPK3A/CYP4A11/SLC17A1/MIP/HFE/PROM1/MAL2/ABCG2/TRPM6/SAPCD2/ABCB1/DPEP1/KCNMA1/VANGL2/RAPGEF6/DAB1/CYP4F2/KCNE1/SLC1A1/CACNB3/SORBS2/SLC34A3/ABCC6/SLC52A3/IL6R/CA4/ABCB4/RAPGEF2/LRP2/SLC34A2/DSG1/ATP1B2/SLC12A1/SLC6A20/SLC17A3/ABCC2/SLC34A1/SPTBN2/ATP6V0D2/SLC2A5/MYO1B/CYBA/ADRB2/MUC20/ITPR3/EPCAM/SLC17A4/CD300LG/ABCG8/GJB6/SLC2A1/AQP8/MUC1/KISS1/SLC22A12/AGER/EGFR/MTCL1/MYO1A/REN/ANO1/SLC22A4/UPK1A/MAL/SLC4A5/FABP1/TEK/DPP4/ADCY10/OXTR/SLC9B2/DUOX1/EDAR/SLC26A9/ABCB11/CEACAM20/SLC22A11/STX3/ATP6V1B1/AQP6/SLC23A2/SLC39A4/GPR143/MFRP/P2RY6/CLDN4/MPDZ/TRPV4/PROM2/SLC2A2/FOLR1/DUOX2/EPB41L4B/CRB2/NAALADL1/FAT4/ADGRG2/CHL1/SLC14A2/SLC9A3/USH2A/ENPEP	116
GO:0044445	cytosolic part	76/3216	240/18511	4.08832848101046e-08	5.47836016455402e-06	4.7338540306437e-06	RPL37A/RPS17/CCT6B/RPL23A/NEFL/RPL9/RPS10/DTNBP1/NPR2/RPS19/RPS21/RPL8/RPL4/RPS7/SNAP25/RPL35/RPS28/PFKFB1/RPS27/RPL18/ENO2/RPS20/RPL14/RPL22L1/RPL23/TRIM40/PYCARD/RPS11/RPL13AP3/MAP3K13/RPL21/CASP5/RPL7A/AIM2/RPL39L/RPL26/RPL39/RPL18A/RPL30/RPS14/RPS15/RPL36/RPS3/RPL37/RPL17/NLRP6/RPL24/RPL27/RPL28/RPL34/RPLP0/RPL13/RPLP2/BCAS4/RPL35A/GUCY2D/RPL13A/RPL32/RPS24/RPS5/AHR/RPS6/RPS2/RPS8/RPS16/RPL31/RPS29/RPS27A/RPL38/ADCY1/RPSA/PPARGC1A/RPLP1/RPL27A/RPS9/RPS12	76
GO:0044391	ribosomal subunit	62/3216	185/18511	7.29589248098601e-08	8.14707993710105e-06	7.039896253583e-06	RPL37A/RPS17/RPL23A/RPL9/RPS10/RPS19/RPS21/RPL8/RPL4/RPS7/RPL35/RPS28/RPS27/RPL18/RPS20/MRPS17/RPL14/RPL22L1/RPL23/RPS11/RPL13AP3/MRPS12/MRPL23/RPL21/MRPL52/RPL7A/RPL39L/RPL26/RPL39/RPL18A/RPL30/RPS14/RPS15/RPL36/RPS3/RPL37/RPL17/RPL24/RPL27/RPL28/RPL34/RPLP0/RPL13/RPLP2/RPL35A/RPL13A/RPL32/RPS24/RPS5/RPS6/RPS2/RPS8/RPS16/RPL31/RPS29/RPS27A/RPL38/RPSA/RPLP1/RPL27A/RPS9/RPS12	62
GO:0022627	cytosolic small ribosomal subunit	23/3216	45/18511	2.40694271847647e-07	2.30378803054176e-05	1.9907045040031e-05	RPS17/RPS10/RPS19/RPS21/RPS7/RPS28/RPS27/RPS20/RPS11/RPS14/RPS15/RPS3/RPS24/RPS5/RPS6/RPS2/RPS8/RPS16/RPS29/RPS27A/RPSA/RPS9/RPS12	23
GO:0005578	proteinaceous extracellular matrix	102/3216	365/18511	2.82780883270327e-07	2.36828989738899e-05	2.04644060261421e-05	ACAN/MMP17/COL16A1/COMP/IL1RL1/POSTN/COL10A1/CRTAC1/GPC5/GLDN/CHI3L1/ADAMTS16/HAPLN1/COL28A1/TINAG/COL22A1/LINGO1/TECTB/LRFN4/LAMA3/MMP1/ZP3/FREM1/FBN2/HAPLN4/LAD1/MMP16/WNT10B/ECM2/APLP1/MGP/EMID1/ZPLD1/COL11A1/EFEMP2/ADAMTSL3/TFF3/HPSE/FBN3/TIMP1/FRAS1/PI3/LAMC2/HAPLN3/SBSPON/TIMP2/LRRN1/BMP4/MMP12/COL2A1/EGFL6/TGFB1/MFAP2/LAMB3/LAMA1/FMOD/TGFBR3/CPA6/NTN3/ADAMTS14/ADAMTS17/COL5A3/WNT9B/COL9A2/MMP7/SHH/MMP11/GPC2/VCAN/ANXA2/COL9A3/CTHRC1/COL7A1/KAZALD1/LGALS3BP/COL8A2/EMILIN2/GPLD1/GP5/COL11A2/FREM2/GPC3/MMP23B/EFNA5/LGALS1/FGF9/CILP2/MMP10/ADAMTS3/WNT10A/BCAN/ENTPD2/LRFN1/FBLN1/GPC4/CHL1/USH2A/WNT9A/EMILIN3/WNT7B/SPARCL1/MMP9	102
GO:0044297	cell body	131/3216	500/18511	3.55327146411424e-07	2.64521320106282e-05	2.28573018159395e-05	ADORA1/EPO/CTSV/DNER/NQO1/IFNG/CHRNA4/ITGA8/TMPRSS3/L1CAM/NRG1/BRINP2/AGRP/CPLX2/KCNC2/FRMD7/PNOC/STRN/DLG3/SRD5A1/GJC2/PTPN13/BMPR1B/ACTA1/SV2A/SYT7/PGRMC1/DAB1/ELOVL5/GABARAPL1/PDE9A/CNKSR2/P2RX3/PPP1R9A/IL6ST/P2RX4/GNB3/GPM6A/KCNB1/TIMP2/ROR2/RAPGEF2/GNAO1/PPP1R1B/SYNDIG1/TGFB1/SLC38A7/SLC31A1/FBXO31/PTPRS/SPTBN2/TTLL7/RGS10/PACRG/CRYAB/CYBA/PLXDC1/TRPM2/STMN2/TMEM100/ANXA3/ITPR3/CASP5/CD3E/UNC5A/AIF1/EPHB2/SRD5A2/GNAZ/PDPK1/NRGN/NDN/KISS1/KCNC1/PTPRN/DRP2/TRPV2/KCNJ11/SEZ6/NRSN2/ASCL1/KCND2/GLUL/NTSR1/ARHGEF2/UCHL1/ATP1A3/ADCY10/BGLAP/NPFF/SNCA/HDAC6/SYT5/LRP8/RPL28/PRKAR2B/SNCG/CALCA/S100B/GRIK5/DDN/SNPH/SEZ6L/CKB/KCNN4/CTNND2/LRP1/KCNN2/CALB1/LRRK2/HTR3A/CRHBP/ZNF804A/RPS6/BRINP1/ERMN/NEURL1/ITGA1/CACNA1F/NCF1/SNCAIP/MYO10/OLFM1/SLC8A2/CACNA1A/PPARGC1A/APOB/LPAR1/INHA/TRPC5/DISC1	131
GO:0098794	postsynapse	114/3216	424/18511	5.07700210385418e-07	3.4015914095823e-05	2.93931700749452e-05	ADORA1/ANKS1B/GRIN2A/NLGN1/CHRNA4/ITGA8/GRM1/GRIK4/CHRNA2/KCNC2/KCNJ4/ITPKA/STRN/DLG3/DLGAP3/IFNGR1/SYN3/ACTN2/CAP2/DTNBP1/CHRNB2/HOMER3/IQSEC3/NECTIN3/GABRD/DAB1/CNKSR2/P2RX3/PPP1R9A/P2RX6/LRRTM1/LRRTM4/IGF2BP1/SNAP25/P2RX4/NEFH/GPM6A/CHRNA5/KCNB1/GABBR1/SYNDIG1/SH2D5/PTPRS/STX1A/RGS10/CRYAB/LRRTM2/DMD/PRR7/BCL11A/CD3E/NCK2/EPHB2/CNIH2/GPHN/CPEB4/COL13A1/PDPK1/NRGN/TENM2/GRID2IP/PSD3/AGER/NCS1/DRP2/DRD4/SEZ6/PCLO/FBXO2/KCND2/ADD2/NTSR1/ARHGEF2/ATP1A3/CHRNB4/NPFF/SNCA/LRP8/PRKAR2B/PALM/STX3/PDLIM4/ATP1A2/GRIN1/PLCB4/GRIK5/CHRNA1/SHC4/DDN/NETO2/NEDD4/P2RX5/CTNNA2/CHRM3/DLGAP2/ADGRB1/KCNN2/CALB1/LRRK2/HTR3A/MPP2/SHISA9/GRIP1/ZNF804A/LRFN1/GRIN2D/MPDZ/NEURL1/CPEB3/GAP43/DLGAP1/SLC8A2/LPAR1/DISC1	114
