ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005216	ion channel activity	65/1148	425/17354	1.77104007512027e-10	6.57143704698271e-08	5.54183860487864e-08	GRIN2A/GABRP/BEST3/LRRC52/GRIA2/FXYD2/CLIC5/SLC26A9/CNGA4/HCN4/CHRNB2/SCN7A/KCNF1/KCNG3/KCNQ2/GRIA1/KCNA4/FXYD1/CACNB4/CACNA1C/LOXHD1/KCNK12/CHRNA2/SCN2B/P2RX2/KCNJ5/KCNH6/GRIK5/ANO2/TTYH1/TMC2/SCN11A/CATSPER1/KCNK3/SCNN1G/ABCC9/GPM6A/KCND3/KCNE1/KCNA5/GRID1/GABRB2/NMUR2/KCNJ1/KCNE4/ASIC3/KCNN1/NALCN/HTR3C/CACNA2D2/KCNH7/TRPM3/KCNS2/KCNA1/ANO3/LRRC55/PIEZO2/TRPV3/KCNK17/SCN4B/KCNJ8/HCN2/ANO4/KCNG1/SLC24A3	65
GO:0022836	gated channel activity	55/1148	332/17354	2.27568071007332e-10	6.57143704698271e-08	5.54183860487864e-08	GRIN2A/GABRP/LRRC52/GRIA2/CLIC5/CNGA4/HCN4/CHRNB2/SCN7A/KCNF1/KCNG3/KCNQ2/GRIA1/KCNA4/CACNB4/CACNA1C/KCNK12/CHRNA2/SCN2B/P2RX2/KCNJ5/KCNH6/GRIK5/ANO2/TMC2/SCN11A/CATSPER1/KCNK3/SCNN1G/KCND3/KCNE1/KCNA5/GRID1/GABRB2/NMUR2/KCNJ1/KCNE4/ASIC3/KCNN1/NALCN/HTR3C/CACNA2D2/KCNH7/TRPM3/KCNS2/KCNA1/ANO3/LRRC55/PIEZO2/KCNK17/SCN4B/KCNJ8/HCN2/ANO4/KCNG1	55
GO:0022803	passive transmembrane transporter activity	69/1148	467/17354	2.27911111456048e-10	6.57143704698271e-08	5.54183860487864e-08	GRIN2A/GABRP/BEST3/LRRC52/GRIA2/FXYD2/CLIC5/SLC26A9/CNGA4/HCN4/CHRNB2/SCN7A/KCNF1/KCNG3/KCNQ2/GRIA1/KCNA4/FXYD1/CACNB4/CACNA1C/STEAP1/LOXHD1/KCNK12/CHRNA2/SCN2B/P2RX2/KCNJ5/KCNH6/GRIK5/ANO2/TTYH1/TMC2/SCN11A/CATSPER1/KCNK3/SCNN1G/ABCC9/GPM6A/KCND3/GJB3/KCNE1/KCNA5/GRID1/GABRB2/NMUR2/KCNJ1/KCNE4/ASIC3/KCNN1/NALCN/HTR3C/SLC5A8/CACNA2D2/KCNH7/TRPM3/KCNS2/GJA3/KCNA1/ANO3/LRRC55/PIEZO2/TRPV3/KCNK17/SCN4B/KCNJ8/HCN2/ANO4/KCNG1/SLC24A3	69
GO:0022838	substrate-specific channel activity	65/1148	435/17354	4.77630512070547e-10	8.85725146737481e-08	7.46951660102312e-08	GRIN2A/GABRP/BEST3/LRRC52/GRIA2/FXYD2/CLIC5/SLC26A9/CNGA4/HCN4/CHRNB2/SCN7A/KCNF1/KCNG3/KCNQ2/GRIA1/KCNA4/FXYD1/CACNB4/CACNA1C/LOXHD1/KCNK12/CHRNA2/SCN2B/P2RX2/KCNJ5/KCNH6/GRIK5/ANO2/TTYH1/TMC2/SCN11A/CATSPER1/KCNK3/SCNN1G/ABCC9/GPM6A/KCND3/KCNE1/KCNA5/GRID1/GABRB2/NMUR2/KCNJ1/KCNE4/ASIC3/KCNN1/NALCN/HTR3C/CACNA2D2/KCNH7/TRPM3/KCNS2/KCNA1/ANO3/LRRC55/PIEZO2/TRPV3/KCNK17/SCN4B/KCNJ8/HCN2/ANO4/KCNG1/SLC24A3	65
GO:0015267	channel activity	68/1148	466/17354	5.31552366941556e-10	8.85725146737481e-08	7.46951660102312e-08	GRIN2A/GABRP/BEST3/LRRC52/GRIA2/FXYD2/CLIC5/SLC26A9/CNGA4/HCN4/CHRNB2/SCN7A/KCNF1/KCNG3/KCNQ2/GRIA1/KCNA4/FXYD1/CACNB4/CACNA1C/STEAP1/LOXHD1/KCNK12/CHRNA2/SCN2B/P2RX2/KCNJ5/KCNH6/GRIK5/ANO2/TTYH1/TMC2/SCN11A/CATSPER1/KCNK3/SCNN1G/ABCC9/GPM6A/KCND3/GJB3/KCNE1/KCNA5/GRID1/GABRB2/NMUR2/KCNJ1/KCNE4/ASIC3/KCNN1/NALCN/HTR3C/CACNA2D2/KCNH7/TRPM3/KCNS2/GJA3/KCNA1/ANO3/LRRC55/PIEZO2/TRPV3/KCNK17/SCN4B/KCNJ8/HCN2/ANO4/KCNG1/SLC24A3	68
GO:0046873	metal ion transmembrane transporter activity	66/1148	449/17354	7.0481667363337e-10	8.85725146737481e-08	7.46951660102312e-08	SLC5A11/GRIN2A/SLC1A7/LRRC52/SLC10A2/FXYD2/CNGA4/SLC6A4/HCN4/SLC5A4/SLC39A5/SCN7A/KCNF1/TF/KCNG3/KCNQ2/ATP1B2/KCNA4/SLC8A2/CACNB4/SLC6A1/CACNA1C/SLC6A13/LOXHD1/KCNK12/SCN2B/SLC9C2/SLC5A9/KCNJ5/KCNH6/SLC13A5/GRIK5/TTYH1/TMC2/SCN11A/ATP2A1/CATSPER1/KCNK3/SCNN1G/ABCC9/GPM6A/ATP1A2/KCND3/KCNE1/KCNA5/SLC8A3/KCNJ1/KCNE4/ASIC3/KCNN1/NALCN/ATP1A3/CACNA2D2/KCNH7/TRPM3/KCNS2/SLC5A5/KCNA1/LRRC55/TRPV3/KCNK17/SCN4B/KCNJ8/HCN2/KCNG1/SLC24A3	66
GO:0005261	cation channel activity	52/1148	314/17354	7.16771795047673e-10	8.85725146737481e-08	7.46951660102312e-08	GRIN2A/LRRC52/GRIA2/CNGA4/HCN4/CHRNB2/SCN7A/KCNF1/KCNG3/KCNQ2/GRIA1/KCNA4/CACNB4/CACNA1C/LOXHD1/KCNK12/CHRNA2/SCN2B/P2RX2/KCNJ5/KCNH6/GRIK5/TMC2/SCN11A/CATSPER1/KCNK3/SCNN1G/ABCC9/GPM6A/KCND3/KCNE1/KCNA5/KCNJ1/KCNE4/ASIC3/KCNN1/NALCN/HTR3C/CACNA2D2/KCNH7/TRPM3/KCNS2/KCNA1/LRRC55/PIEZO2/TRPV3/KCNK17/SCN4B/KCNJ8/HCN2/KCNG1/SLC24A3	52
GO:0015079	potassium ion transmembrane transporter activity	33/1148	162/17354	5.40053596454794e-09	5.83932951166746e-07	4.92443608346279e-07	LRRC52/FXYD2/CNGA4/HCN4/KCNF1/KCNG3/KCNQ2/ATP1B2/KCNA4/KCNK12/SLC9C2/KCNJ5/KCNH6/GRIK5/KCNK3/ABCC9/ATP1A2/KCND3/KCNE1/KCNA5/KCNJ1/KCNE4/KCNN1/ATP1A3/KCNH7/KCNS2/KCNA1/LRRC55/KCNK17/KCNJ8/HCN2/KCNG1/SLC24A3	33
GO:0008201	heparin binding	32/1148	160/17354	1.4637665372002e-08	1.40684228297575e-06	1.1864212985728e-06	ANGPTL3/APOA5/COL25A1/ELANE/RSPO2/FGFBP1/FGF1/TNXB/ADAMTS15/LTBP2/SLIT2/PTN/LPL/CCL8/CXCL11/ADAMTS8/TGFBR3/VTN/PTCH1/AZU1/CTSG/LTF/AGER/F11/FGF10/PRELP/CXCL10/CLEC3B/RSPO1/ECM2/ABI3BP/SELP	32
GO:0005244	voltage-gated ion channel activity	36/1148	198/17354	2.59344970777404e-08	2.0393945429314e-06	1.71986664831331e-06	GRIN2A/LRRC52/CLIC5/CNGA4/HCN4/SCN7A/KCNF1/KCNG3/KCNQ2/KCNA4/CACNB4/CACNA1C/KCNK12/SCN2B/KCNJ5/KCNH6/TMC2/SCN11A/CATSPER1/KCNK3/KCND3/KCNE1/KCNA5/KCNJ1/KCNE4/NALCN/CACNA2D2/KCNH7/KCNS2/KCNA1/LRRC55/KCNK17/SCN4B/KCNJ8/HCN2/KCNG1	36
