ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04512	ECM-receptor interaction	29/403	85/5894	7.83357973971013e-14	1.2619796464425e-11	1.08897876467804e-11	1286/131873/3672/3339/3910/7058/1281/2814/1291/22798/1311/2335/63923/8516/1292/1289/7143/1293/3908/22801/1290/7148/7057/1301/1278/1277/3680/7450/50509	29
hsa04974	Protein digestion and absorption	28/403	81/5894	1.46741819353779e-13	1.2619796464425e-11	1.08897876467804e-11	6550/1358/1286/1306/131873/1298/1359/1281/1361/486/1291/6547/1292/1289/1293/1303/477/7373/1290/1301/1278/5646/482/1297/1277/7512/2006/50509	28
hsa04080	Neuroactive ligand-receptor interaction	53/403	272/5894	9.61120665961974e-13	5.51042515151532e-11	4.75501803160135e-11	1129/5618/3362/2555/6753/2561/5745/4923/5732/1268/9568/4886/148/22953/1269/1132/1812/1137/2846/5027/117/2917/1511/1909/2894/1241/150/6751/2568/64106/3351/887/1910/8811/155/8973/2890/2903/186/10800/185/6752/1901/2913/2899/2900/3352/3952/5646/5739/5733/2897/3356	53
hsa04510	Focal adhesion	36/403	200/5894	4.92417042899262e-08	2.11739328446683e-06	1.82712639602095e-06	1286/3082/131873/5159/3672/5156/3910/5294/7058/1281/1291/80310/22798/1311/2335/3479/63923/8516/1292/1289/7143/1293/3908/22801/1290/7148/3791/7057/2277/1301/1278/1277/3680/7450/5063/50509	36
hsa04020	Calcium signaling pathway	31/403	177/5894	8.18787872942738e-07	2.81663028292302e-05	2.43050715968266e-05	1129/3362/114/108/5153/5136/4923/5159/5156/5137/148/22953/1812/5027/5350/6263/1909/775/6547/2066/887/1910/155/492/2903/10800/185/8912/8913/5733/3356	31
hsa05144	Malaria	14/403	51/5894	4.85901533414068e-06	0.000139291772912033	0.000120196695107691	3082/7043/7058/6403/1311/7412/3039/2532/7057/6401/4035/3040/1378/3043	14
hsa04610	Complement and coagulation cascades	16/403	69/5894	1.12075020811626e-05	0.000275384336851425	0.000237632750893824	2266/2243/2244/2162/1361/2153/2/722/2160/729/1380/1378/7450/718/720/730	16
hsa05414	Dilated cardiomyopathy	18/403	90/5894	2.82477117902024e-05	0.000607325803489352	0.000524069389791914	114/9254/108/3672/1674/7043/6442/5350/70/775/3479/8516/6444/3908/22801/4624/3680/4634	18
hsa04514	Cell adhesion molecules (CAMs)	23/403	136/5894	3.97825460769519e-05	0.000760288658359525	0.000656063040567277	1000/149461/3684/6693/9075/5010/4685/51208/1003/1462/6403/6900/58494/940/7412/933/8516/57863/49861/4684/3111/6401/3680	23
hsa04976	Bile secretion	15/403	71/5894	6.77225848419684e-05	0.00116482845928186	0.00100514573291764	6550/8431/114/8671/3781/108/358/486/28234/477/1080/361/482/5243/5244	15
hsa05410	Hypertrophic cardiomyopathy (HCM)	16/403	83/5894	0.00012456833592538	0.00194779579810594	0.00168077850387355	9254/3672/1674/7043/6442/70/775/3479/8516/6444/3908/22801/1636/4624/3680/4634	16
hsa04964	Proximal tubule bicarbonate reclamation	7/403	23/5894	0.000622167789707308	0.0084282210207663	0.00727282230066125	6550/8671/358/486/477/762/482	7
hsa04614	Renin-angiotensin system	6/403	17/5894	0.000637016705057918	0.0084282210207663	0.00727282230066125	1359/1511/186/185/1636/1215	6
hsa05146	Amoebiasis	17/403	106/5894	0.000759634392902255	0.00933265111279913	0.00805326687212165	1286/3684/7043/3910/5294/1281/1511/22798/2335/1289/3908/1290/1301/1278/1277/4583/50509	17
hsa04970	Salivary secretion	15/403	89/5894	0.000907131605810089	0.0104017757466223	0.00897582852064719	114/108/148/1473/2977/486/6263/1470/155/492/477/1755/276/5592/482	15
hsa04960	Aldosterone-regulated sodium reabsorption	9/403	42/5894	0.00175614740077303	0.0188785845583101	0.0162905778624341	4306/6340/5294/486/3479/8471/477/3758/482	9
hsa04640	Hematopoietic cell lineage	14/403	88/5894	0.00235361664118254	0.0236243388345587	0.0203857513811064	3684/913/3672/3568/2814/931/1436/3575/3552/933/2322/1380/2208/1378	14
hsa02010	ABC transporters	9/403	44/5894	0.002472314529198	0.0236243388345587	0.0203857513811064	6833/10351/10350/10060/21/23460/1080/5243/5244	9
hsa04972	Pancreatic secretion	15/403	101/5894	0.00332774957127907	0.0301248908557895	0.025995162855975	1358/114/8671/108/5322/1359/1361/486/492/477/1080/5319/5646/482/279	15
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	12/403	74/5894	0.00402518606123543	0.0346166001266247	0.0298711176123261	1496/1000/9254/3672/1674/6442/775/8516/6444/3908/22801/3680	12
hsa04270	Vascular smooth muscle contraction	16/403	116/5894	0.00522000805938459	0.0427543517244833	0.0368932900437708	114/800/108/72/5322/148/2977/1909/10335/775/4881/59/185/5592/5319/5739	16
hsa00590	Arachidonic acid metabolism	10/403	59/5894	0.00608507707670818	0.0475742389633549	0.0410524338667873	57834/5322/239/242/2877/246/5730/5740/27306/5319	10
