ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	34/677	365/18511	6.26076208004654e-07	0.000240413263873787	0.000215502021071076	EMILIN3/CPA6/COL6A6/ZG16/POSTN/VWC2/IMPG2/COCH/LINGO3/MMP3/WNT2B/MMP13/SOST/SPOCK1/MMP1/SMOC1/MMP12/WNT3A/CRISP3/MMP10/MYOC/USH2A/IHH/PI3/COL4A3/COL6A5/LTBP4/MATN1/CD248/WNT16/HAPLN1/ABI3BP/HPSE2/COL4A4	34
GO:1902495	transmembrane transporter complex	29/677	325/18511	9.59955090724914e-06	0.00160663921822037	0.00144016179922714	KCNA4/KCNA5/KCNE5/SCN11A/GRIN2B/KCNJ6/ATP1A3/CACNG6/KCNB1/VWC2/ATP1B2/GRIN2A/HTR3A/GLRA2/GABRG1/CHRNA3/LRRC26/CHRNA4/KCNQ4/ABCG8/ATP1A2/HTR3B/SCN2B/CHRNA1/ANO1/CATSPER1/KCNMB2/SHANK1/ABCC9	29
GO:1990351	transporter complex	29/677	332/18511	1.4393173429786e-05	0.00160663921822037	0.00144016179922714	KCNA4/KCNA5/KCNE5/SCN11A/GRIN2B/KCNJ6/ATP1A3/CACNG6/KCNB1/VWC2/ATP1B2/GRIN2A/HTR3A/GLRA2/GABRG1/CHRNA3/LRRC26/CHRNA4/KCNQ4/ABCG8/ATP1A2/HTR3B/SCN2B/CHRNA1/ANO1/CATSPER1/KCNMB2/SHANK1/ABCC9	29
GO:0098794	postsynapse	34/677	424/18511	1.67358251897955e-05	0.00160663921822037	0.00144016179922714	CHRM1/P2RX6/GPM6A/GRIN2B/ATP1A3/CHRM2/ADGRB3/KCNB1/GRIN2A/GRM5/HTR3A/GLRA2/CALB1/NETO1/GABRG1/CAMK2N1/CHRNA3/GABBR1/PALMD/SPOCK1/ANK2/NLGN3/CHRNA4/NTSR1/ATP1A2/ANK1/HTR3B/GAP43/ANKS1B/IGF2BP1/CHRNA1/ADGRB1/PRKCG/SHANK1	34
GO:0034702	ion channel complex	25/677	288/18511	6.12142472435724e-05	0.00470125418830636	0.00421411765234699	KCNA4/KCNA5/KCNE5/SCN11A/GRIN2B/KCNJ6/CACNG6/KCNB1/VWC2/GRIN2A/HTR3A/GLRA2/GABRG1/CHRNA3/LRRC26/CHRNA4/KCNQ4/HTR3B/SCN2B/CHRNA1/ANO1/CATSPER1/KCNMB2/SHANK1/ABCC9	25
GO:0045211	postsynaptic membrane	21/677	225/18511	8.40270941059046e-05	0.00502709772134696	0.00450619779298371	CHRM1/GRIN2B/CHRM2/KCNB1/GRIN2A/HTR3A/GLRA2/NETO1/GABRG1/CAMK2N1/CHRNA3/GABBR1/ANK2/NLGN3/CHRNA4/ANK1/HTR3B/ANKS1B/CHRNA1/ADGRB1/SHANK1	21
GO:0044297	cell body	36/677	500/18511	9.1639802212054e-05	0.00502709772134696	0.00450619779298371	TMEM100/GJB2/TRPM5/ADAM21/ASTN1/IFNG/ACTC1/PITX3/GPM6A/EEF1A2/PCSK2/ATP1A3/CHRM2/NGB/KCNB1/SEZ6L/SLC6A3/HTR3A/STAR/CPLX2/CALB1/BRINP1/CAMK2N1/CHRNA3/TGFB2/CYP17A1/CHRNA4/TH/NTSR1/GNAO1/S100A5/KLHL1/NTRK1/PODXL/CPNE6/GFAP	36
GO:0030425	dendrite	35/677	495/18511	0.000162405636480688	0.00779547055107302	0.00698771620120854	TRPM5/GNG13/MME/LYNX1/CHRM1/GPM6A/PCSK2/ATP1A3/CHRM2/ADCY2/KCNB1/CPLX2/CALB1/BRINP1/CAMK2N1/CHRNA3/GABBR1/PALMD/CHRNA4/TH/NTSR1/ATP1A2/GNAO1/ANKS1B/IGF2BP1/KLHL1/NTRK1/NECAB2/MLPH/CPNE6/JPH4/ADGRB1/GCHFR/PRKCG/SHANK1	35
GO:0097060	synaptic membrane	24/677	295/18511	0.000229573105905775	0.00979511918531306	0.00878016440130859	CHRM1/GRIN2B/CHRM2/KCNB1/GRIN2A/GRM5/HTR3A/GLRA2/NETO1/GABRG1/CAMK2N1/CHRNA3/GABBR1/ANK2/GRM8/NLGN3/CHRNA4/ANK1/HTR3B/ANKS1B/CHRNA1/ADGRB1/PRKCG/SHANK1	24
GO:0034703	cation channel complex	19/677	212/18511	0.000303278463604943	0.0116458930024298	0.0104391639577701	KCNA4/KCNA5/KCNE5/SCN11A/GRIN2B/KCNJ6/CACNG6/KCNB1/VWC2/GRIN2A/HTR3A/LRRC26/KCNQ4/HTR3B/SCN2B/CATSPER1/KCNMB2/SHANK1/ABCC9	19
GO:0043025	neuronal cell body	31/677	436/18511	0.000343832062486061	0.0120028647267861	0.0107591468356882	TMEM100/TRPM5/ADAM21/ASTN1/IFNG/PITX3/GPM6A/EEF1A2/PCSK2/ATP1A3/CHRM2/NGB/KCNB1/SEZ6L/SLC6A3/HTR3A/STAR/CPLX2/CALB1/BRINP1/CAMK2N1/CHRNA3/TGFB2/CYP17A1/CHRNA4/TH/NTSR1/S100A5/KLHL1/NTRK1/CPNE6	31
GO:0000786	nucleosome	12/677	105/18511	0.000453035345602894	0.0144971310592926	0.0129949612291356	HIST1H3F/HIST1H2BI/HIST1H1C/HIST1H2BL/HIST1H3B/HIST1H2AL/HIST1H4D/HIST2H2AB/HIST1H1B/HIST2H2AC/HIST1H2AB/HIST1H3I	12
