ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030198	extracellular matrix organization	113/2105	335/17381	1.32761525309272e-25	4.98961721543057e-22	4.23996401303759e-22	DPT/SFRP2/SCUBE1/CTSV/IHH/MFAP5/CARMIL2/IBSP/KLK2/HAPLN2/COL19A1/TMPRSS6/ICAM5/CTRB1/C6orf15/CMA1/HPSE2/CTRB2/GREM1/NDNF/SCUBE3/ITGA1/ABI3BP/LRP1/SPARC/FLRT2/FGF2/COL5A1/ITGA9/THSD4/A2M/COL4A6/MPZL3/ADAMTS3/ITGA11/CCDC80/COL6A3/COL4A1/FOXF1/TNC/BCAN/COL9A2/COL11A1/COL12A1/ADAMTS2/HAS2/LOX/COL8A1/ANTXR1/FN1/LAMA2/CTGF/COL14A1/FAP/POSTN/WNT3A/SULF1/ADAM12/COL11A2/COL4A4/FBLN1/FBLN5/RECK/CTSK/KDR/TGFB2/FBN1/GPM6B/NID2/SCX/SMOC2/VCAN/DCN/ELN/DDR2/PXDN/MMP3/ECM2/COL3A1/FBN2/FBLN2/MFAP4/COL9A3/NID1/COL1A2/TNXB/CHADL/WT1/PRSS1/ITGB3/SERPINF2/LUM/ITGA8/ITGAV/MMP16/ITGA4/PDGFRA/MYH11/MMP2/COL10A1/NOXO1/ITGAM/CYP1B1/CRISPLD2/COL5A2/TLL1/COL2A1/MATN3/COL8A2/COL4A5/SPINK5/SH3PXD2B/THBS1	113
GO:0043062	extracellular structure organization	113/2105	336/17381	1.76936780689027e-25	4.98961721543057e-22	4.23996401303759e-22	DPT/SFRP2/SCUBE1/CTSV/IHH/MFAP5/CARMIL2/IBSP/KLK2/HAPLN2/COL19A1/TMPRSS6/ICAM5/CTRB1/C6orf15/CMA1/HPSE2/CTRB2/GREM1/NDNF/SCUBE3/ITGA1/ABI3BP/LRP1/SPARC/FLRT2/FGF2/COL5A1/ITGA9/THSD4/A2M/COL4A6/MPZL3/ADAMTS3/ITGA11/CCDC80/COL6A3/COL4A1/FOXF1/TNC/BCAN/COL9A2/COL11A1/COL12A1/ADAMTS2/HAS2/LOX/COL8A1/ANTXR1/FN1/LAMA2/CTGF/COL14A1/FAP/POSTN/WNT3A/SULF1/ADAM12/COL11A2/COL4A4/FBLN1/FBLN5/RECK/CTSK/KDR/TGFB2/FBN1/GPM6B/NID2/SCX/SMOC2/VCAN/DCN/ELN/DDR2/PXDN/MMP3/ECM2/COL3A1/FBN2/FBLN2/MFAP4/COL9A3/NID1/COL1A2/TNXB/CHADL/WT1/PRSS1/ITGB3/SERPINF2/LUM/ITGA8/ITGAV/MMP16/ITGA4/PDGFRA/MYH11/MMP2/COL10A1/NOXO1/ITGAM/CYP1B1/CRISPLD2/COL5A2/TLL1/COL2A1/MATN3/COL8A2/COL4A5/SPINK5/SH3PXD2B/THBS1	113
GO:0044236	multicellular organism metabolic process	53/2105	151/17381	1.68754208704612e-13	3.1725791236467e-10	2.69592249905999e-10	ADRB3/IHH/PLA2G1B/PM20D1/COL19A1/TMPRSS6/MC4R/PRTN3/ARG1/CEL/ID1/COL5A1/ADRB1/COL4A6/F2R/PDGFRB/ADAMTS3/COL6A3/COL4A1/COL11A1/COL12A1/UCN/ADAMTS2/COL8A1/APOA4/CTGF/FAP/COL11A2/COL4A4/CTSK/SCX/P2RX7/MMP3/COL6A6/ACE2/COL3A1/MFAP4/F2/COL1A2/TNXB/TGFB3/COL15A1/SERPINF2/MMP16/MMP2/COL10A1/WNT4/COL6A5/COL5A2/COL2A1/COL8A2/GHR/COL4A5	53
GO:0044243	multicellular organismal catabolic process	34/2105	76/17381	1.37356392047772e-12	1.93672512787358e-09	1.64574645524606e-09	PLA2G1B/COL19A1/TMPRSS6/PRTN3/CEL/COL5A1/COL4A6/ADAMTS3/COL6A3/COL4A1/COL11A1/COL12A1/ADAMTS2/COL8A1/APOA4/FAP/COL11A2/COL4A4/CTSK/P2RX7/MMP3/COL6A6/ACE2/COL3A1/COL1A2/COL15A1/MMP16/MMP2/COL10A1/COL6A5/COL5A2/COL2A1/COL8A2/COL4A5	34
GO:0006936	muscle contraction	89/2105	352/17381	5.60835548082116e-12	6.32622498236627e-09	5.37575631666921e-09	CACNG1/GLRA1/KCND3/CASQ2/KCNA1/GHSR/CHRNA3/P2RX1/PROK2/CHRM1/CTNNA3/EDN3/NEB/CALCA/CLCN1/MB/TNNT2/GHRL/TNNT1/NMU/MYLK2/P2RX6/EDNRA/NOS1/ITGA1/PRKG1/CALD1/SLC6A8/FLNA/MYL9/SORBS1/SSPN/PTAFR/PDE5A/F2R/DMD/ATP1A2/CALCRL/UCN/MYLK/DOCK4/CTGF/ATP2A1/SULF1/KCNJ5/CLIC2/ROCK2/EDNRB/GUCY1A3/LMOD1/GJA1/SMPX/CNN1/NMUR1/DRD2/PIK3CG/ACE2/MYH2/CACNA2D1/PLN/PTGER3/MYOT/KCNE1/NDUFS6/MYOCD/SCN2B/SCN7A/ACTG2/TNNC2/RYR2/HSPB6/TNNI2/HTR2A/MYL5/MYH11/TNNI3/KIT/UTRN/PLA2G6/GDNF/JSRP1/TCAP/CCDC78/SCN4B/MYLPF/ATP1A3/C12orf57/PPP1R12B/SLC8A1	89
GO:0032963	collagen metabolic process	44/2105	125/17381	1.70159836552759e-11	1.55978853954266e-08	1.32544181047737e-08	IHH/COL19A1/TMPRSS6/PRTN3/ARG1/ID1/COL5A1/COL4A6/F2R/PDGFRB/ADAMTS3/COL6A3/COL4A1/COL11A1/COL12A1/UCN/ADAMTS2/COL8A1/CTGF/FAP/COL11A2/COL4A4/CTSK/SCX/P2RX7/MMP3/COL6A6/COL3A1/MFAP4/F2/COL1A2/TNXB/TGFB3/COL15A1/SERPINF2/MMP16/MMP2/COL10A1/WNT4/COL6A5/COL5A2/COL2A1/COL8A2/COL4A5	44
GO:0044259	multicellular organismal macromolecule metabolic process	45/2105	130/17381	1.93590776184373e-11	1.55978853954266e-08	1.32544181047737e-08	IHH/COL19A1/TMPRSS6/PRTN3/ARG1/ID1/COL5A1/COL4A6/F2R/PDGFRB/ADAMTS3/COL6A3/COL4A1/COL11A1/COL12A1/UCN/ADAMTS2/COL8A1/CTGF/FAP/COL11A2/COL4A4/CTSK/SCX/P2RX7/MMP3/COL6A6/ACE2/COL3A1/MFAP4/F2/COL1A2/TNXB/TGFB3/COL15A1/SERPINF2/MMP16/MMP2/COL10A1/WNT4/COL6A5/COL5A2/COL2A1/COL8A2/COL4A5	45
GO:0030199	collagen fibril organization	23/2105	45/17381	2.07646525921091e-10	1.46390800774369e-07	1.24396662173517e-07	DPT/SFRP2/GREM1/COL5A1/ADAMTS3/COL11A1/COL12A1/ADAMTS2/LOX/COL14A1/COL11A2/TGFB2/SCX/DDR2/COL3A1/COL1A2/TNXB/CHADL/SERPINF2/LUM/CYP1B1/COL5A2/COL2A1	23
GO:0030574	collagen catabolic process	29/2105	68/17381	2.50754851635327e-10	1.57139707024805e-07	1.33530624502415e-07	COL19A1/TMPRSS6/PRTN3/COL5A1/COL4A6/ADAMTS3/COL6A3/COL4A1/COL11A1/COL12A1/ADAMTS2/COL8A1/FAP/COL11A2/COL4A4/CTSK/MMP3/COL6A6/COL3A1/COL1A2/COL15A1/MMP16/MMP2/COL10A1/COL6A5/COL5A2/COL2A1/COL8A2/COL4A5	29
GO:0030799	regulation of cyclic nucleotide metabolic process	51/2105	171/17381	4.44795607168466e-10	2.50864722443015e-07	2.13174147309266e-07	MC2R/ADRB3/ADCYAP1R1/GLP1R/CXCL10/CALCA/IAPP/GUCA2A/PDZD3/MC5R/GHRHR/MC4R/NPFFR2/GPR87/HRH3/EDNRA/NOS1/RUNDC3A/ADRB1/MTNR1A/GABBR2/PDE5A/VIP/FPR2/CALCRL/GPR176/ADGRD1/CXCL9/UCN/ABCA1/NPR3/HRH4/GUCY1A2/EDNRB/GUCY1A3/DRD4/GIPR/ADORA3/DRD2/AKAP12/P2RY11/P2RY13/VIPR2/GPHA2/CCR2/ADM/ADCY1/PKD2/ADCY5/THBS1/WNT5A	51
