ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04974	Protein digestion and absorption	40/739	81/5894	4.34661075968556e-16	8.60628930417741e-14	7.36636139273027e-14	1360/51032/1506/63036/1358/6519/1357/10136/6550/23436/1504/1289/1288/1293/1282/477/1298/1301/1303/7373/1302/1286/206358/2006/131873/59272/1281/1299/1278/1306/5644/1359/3783/1290/478/1280/117247/5646/6546/1287	40
hsa04080	Neuroactive ligand-receptor interaction	76/739	272/5894	2.20395408974726e-12	2.18191454884979e-10	1.86756109710163e-10	2741/6751/4158/2693/1136/2564/5026/155/1268/5023/1128/1142/117/165829/2740/2891/2557/6755/84634/8001/4161/2692/4160/2565/10886/1137/11255/9127/1909/3355/153/4543/9568/5724/2149/2358/3953/10203/706/3972/23566/9340/9934/59340/2899/186/2902/1910/2925/3274/1815/8973/10316/2846/2696/5027/140/1813/2359/5733/552/2147/5737/5032/53829/5644/5028/719/3356/7434/2357/10800/9170/5646/2690/2151	76
hsa04512	ECM-receptor interaction	32/739	85/5894	2.62022027898846e-09	1.72934538413239e-07	1.48019461374436e-07	3381/3672/1289/3680/1288/22801/1293/1282/3371/1301/7058/63923/2335/3908/22987/1302/1286/7060/9899/131873/1281/2814/1278/7148/3690/8516/3685/3676/1290/1280/1287/7057	32
hsa04972	Pancreatic secretion	34/739	101/5894	2.33285688011113e-08	1.15476415565501e-06	9.88394625520769e-07	1360/22802/51032/1506/279/63036/1358/5582/1080/1357/5319/10136/5407/23436/1504/5408/1179/1056/8671/477/280/1811/487/5406/489/5644/6262/1359/8398/478/107/3709/5646/111	34
hsa04510	Focal adhesion	52/739	200/5894	1.11011510354031e-07	4.39605581001964e-06	3.76270592989453e-06	5582/3381/85366/3672/2316/1289/80310/10398/3680/1288/2318/5159/22801/1293/1282/3371/1301/3082/7058/4638/63923/2335/3908/1950/1302/1286/9475/3791/7060/5294/131873/1281/3479/5295/1278/7148/3690/10000/8516/3685/3676/5156/4636/5881/56034/1290/29895/1280/3265/1287/7057/23533	52
hsa05218	Melanoma	23/739	71/5894	9.27700079688699e-06	0.000272666791788157	0.00023338305942527	2256/1029/2250/9965/1869/2247/80310/4286/5159/2255/3082/1950/5294/2252/3479/5295/2248/8822/10000/5156/56034/3265/23533	23
hsa04020	Calcium signaling pathway	43/739	177/5894	9.63973506321767e-06	0.000272666791788157	0.00023338305942527	5137/3706/5026/155/5023/1128/5582/85366/51806/9127/1909/4842/774/778/5136/153/5724/2149/5159/4638/487/2902/1910/163688/2925/3274/5027/489/5350/5733/552/5737/810/7125/6262/3356/5156/10800/6263/816/107/3709/6546	43
hsa05414	Dilated cardiomyopathy	26/739	90/5894	2.49068653725697e-05	0.000592214652314247	0.000506892924096724	786/27092/7139/59285/3672/778/153/3680/22801/1756/3908/6444/7042/781/5350/3479/7043/3690/8516/6262/3685/3676/7137/107/111/6546	26
hsa05146	Amoebiasis	29/739	106/5894	2.69188478324658e-05	0.000592214652314247	0.000506892924096724	6317/5582/7850/735/383/1289/1288/1282/1301/2335/3908/1302/1286/7042/4583/3554/7099/5294/1281/5295/1278/7043/6318/3684/1290/107/1280/1287/23533	29
hsa04060	Cytokine-cytokine receptor interaction	56/739	265/5894	3.97052183701813e-05	0.00078616332372959	0.000672898963957809	8784/6357/944/8744/3627/7850/7173/643/6359/6361/3568/338376/269/1237/3559/1435/1436/5159/1439/3624/3953/7292/3082/4283/8718/3579/1950/1230/658/3575/3791/7042/3554/64109/8995/9180/2322/1233/7043/3572/3977/5156/10663/10673/9966/1234/6387/3815/8771/2829/729230/56034/268/10344/2690/1524	56
hsa05410	Hypertrophic cardiomyopathy (HCM)	22/739	83/5894	0.000404566664287924	0.00728219995718264	0.00623303664596707	786/27092/7139/59285/3672/778/3680/22801/1756/3908/6444/7042/781/3479/7043/3690/8516/6262/3685/3676/7137/6546	22
hsa00360	Phenylalanine metabolism	8/739	17/5894	0.000504493206690645	0.00768381960959598	0.00657679403054202	218/5053/1644/222/220/8639/4282/6898	8
hsa04614	Renin-angiotensin system	8/739	17/5894	0.000504493206690645	0.00768381960959598	0.00657679403054202	290/1215/4012/186/5972/59272/1359/7064	8
hsa04610	Complement and coagulation cascades	19/739	69/5894	0.000592041502747981	0.00837315839600716	0.00716681819115977	5265/729/3827/2160/735/2155/716/2162/2/2149/5648/462/2161/2147/725/5345/719/5624/730	19
hsa04973	Carbohydrate digestion and absorption	14/739	44/5894	0.000643403332992653	0.00849292399550301	0.00726932888503979	279/57818/346562/3938/477/280/6514/5294/276/5295/10000/2538/478/23533	14
hsa04270	Vascular smooth muscle contraction	27/739	116/5894	0.000891193653657967	0.0110285214640173	0.00943961698940347	1579/5582/5319/85366/51806/1909/5592/800/778/10398/10203/4638/2977/9475/2982/163688/10335/3779/552/810/72/4629/8398/107/3709/4660/111	27
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	19/739	74/5894	0.00149192095166527	0.0173764910841013	0.0148730200135051	786/29119/27092/59285/3672/778/3680/22801/1756/3908/6444/2697/781/3690/8516/6262/3685/3676/6546	19
hsa00982	Drug metabolism - cytochrome P450	18/739	73/5894	0.00318767993779691	0.0338034590451418	0.0289333168860597	218/125/1577/7366/1559/54600/54578/10720/2939/2327/119391/2326/1565/2328/222/124/220/1548	18
hsa04975	Fat digestion and absorption	13/739	46/5894	0.00329719162870381	0.0338034590451418	0.0289333168860597	346606/5319/5407/1208/80168/5408/1056/10555/19/337/5406/4547/8398	13
hsa00350	Tyrosine metabolism	12/739	41/5894	0.00341449081264059	0.0338034590451418	0.0289333168860597	218/125/7173/5409/1644/7054/222/124/220/8639/4282/6898	12
hsa04960	Aldosterone-regulated sodium reabsorption	12/739	42/5894	0.00424791334881888	0.0400517544317209	0.0342814059729243	6337/2810/6338/5582/53828/3290/477/5294/3479/5295/478/23533	12
hsa04640	Hematopoietic cell lineage	20/739	88/5894	0.00530392410687433	0.0463138954119172	0.0396413458868616	913/930/7850/2208/7173/290/3568/3672/3559/1435/1436/3575/3554/2814/945/2322/3690/3676/3684/3815	20
hsa05214	Glioma	16/739	65/5894	0.00537989694178836	0.0463138954119172	0.0396413458868616	1029/5582/51806/1869/5159/1950/163688/5294/3479/5295/810/10000/5156/816/3265/23533	16
