ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030198	extracellular matrix organization	67/1163	335/17381	3.34536591649164e-16	9.99197307144516e-13	7.86779268824815e-13	COL4A4/DPP4/SERPINE1/GREM1/TLL1/CYP1B1/MADCAM1/COL4A3/LUM/CTGF/COL27A1/NPNT/SCUBE1/FBN2/SPP1/FERMT1/COL2A1/ADAMTS4/MPZL3/COL11A1/TNR/ELANE/ACAN/MFAP5/NID2/CARMIL2/PXDN/ITGA2/ITGA1/ITGA11/SCUBE3/SULF2/LAMB3/KDR/TNFRSF11B/COL12A1/ITGA4/POSTN/PDGFRA/ADAM19/FBN1/ITGA9/COL8A1/ETS1/ADAMTS2/FLRT2/PHLDB2/COL5A2/FOXC2/LOX/DCN/ITGB3/DDR2/HSPG2/COL4A1/FN1/ITGA8/COL6A3/VCAN/CCDC80/TNC/LAMC2/THBS1/LAMA2/MMP14/ANTXR1/NOX1	67
GO:0043062	extracellular structure organization	67/1163	336/17381	3.91534994962585e-16	9.99197307144516e-13	7.86779268824815e-13	COL4A4/DPP4/SERPINE1/GREM1/TLL1/CYP1B1/MADCAM1/COL4A3/LUM/CTGF/COL27A1/NPNT/SCUBE1/FBN2/SPP1/FERMT1/COL2A1/ADAMTS4/MPZL3/COL11A1/TNR/ELANE/ACAN/MFAP5/NID2/CARMIL2/PXDN/ITGA2/ITGA1/ITGA11/SCUBE3/SULF2/LAMB3/KDR/TNFRSF11B/COL12A1/ITGA4/POSTN/PDGFRA/ADAM19/FBN1/ITGA9/COL8A1/ETS1/ADAMTS2/FLRT2/PHLDB2/COL5A2/FOXC2/LOX/DCN/ITGB3/DDR2/HSPG2/COL4A1/FN1/ITGA8/COL6A3/VCAN/CCDC80/TNC/LAMC2/THBS1/LAMA2/MMP14/ANTXR1/NOX1	67
GO:0019233	sensory perception of pain	30/1163	94/17381	2.03409397100374e-13	3.46067187600103e-10	2.7249722039622e-10	EDNRB/IL10/TRPA1/GRIN1/CALCA/NOV/KCNK4/SCN1A/PTGS2/OPRD1/NPY2R/MME/CHRNA4/NPFF/SPX/ITGA2/GRM1/ASIC3/CXCL12/F2R/POMK/LXN/EPHB1/HTR2A/P2RX7/P2RY1/P2RX3/ACPP/CCK/PTAFR	30
GO:0040017	positive regulation of locomotion	76/1163	490/17381	4.1894325364101e-12	5.34571591645929e-09	4.20927721684573e-09	CEMIP/CXCL5/WNT5A/TNFAIP6/CD274/F10/SERPINE1/PROX1/MADCAM1/ACKR3/TNFSF18/CXCL3/HGF/CCR4/TWIST1/FPR2/SEMA3A/FAM110C/TNFRSF18/NTRK3/CCBE1/CXCL2/ELANE/PTGS2/AZU1/EDN3/CXCL1/CGA/CARMIL2/ITGA2/AGER/ZNF703/EGFR/SLIT2/CXCL12/FLNA/KDR/SNAI2/TEK/ITGA4/TGFBR2/POSTN/F2R/PDGFRA/ETS1/KIT/DRD1/KITLG/DAPK2/THBS4/NTN1/IL6R/FOXC2/CDH13/CAMK1D/FLT1/DOCK8/INS/ITGB3/F3/DDR2/IL1R1/CXCL14/MYLK/BMP2/SRPX2/PDGFC/LRRC15/FN1/ADRA2A/DOCK1/LAMC2/THBS1/ROCK2/MMP14/PTAFR	76
GO:2000147	positive regulation of cell motility	72/1163	460/17381	1.011010744318e-11	9.66972340336316e-09	7.61404965229346e-09	CEMIP/CXCL5/WNT5A/TNFAIP6/CD274/F10/SERPINE1/PROX1/MADCAM1/ACKR3/TNFSF18/CXCL3/HGF/TWIST1/FPR2/SEMA3A/FAM110C/TNFRSF18/NTRK3/CCBE1/CXCL2/ELANE/PTGS2/EDN3/CXCL1/CGA/CARMIL2/ITGA2/ZNF703/EGFR/CXCL12/FLNA/KDR/SNAI2/TEK/ITGA4/TGFBR2/POSTN/F2R/PDGFRA/ETS1/KIT/DRD1/KITLG/DAPK2/THBS4/NTN1/IL6R/FOXC2/CDH13/CAMK1D/FLT1/DOCK8/INS/ITGB3/F3/DDR2/IL1R1/CXCL14/MYLK/BMP2/SRPX2/PDGFC/LRRC15/FN1/ADRA2A/DOCK1/LAMC2/THBS1/ROCK2/MMP14/PTAFR	72
GO:0030335	positive regulation of cell migration	70/1163	442/17381	1.13672297061479e-11	9.66972340336316e-09	7.61404965229346e-09	CEMIP/CXCL5/WNT5A/TNFAIP6/CD274/F10/SERPINE1/PROX1/MADCAM1/ACKR3/TNFSF18/CXCL3/HGF/FPR2/SEMA3A/FAM110C/TNFRSF18/NTRK3/CCBE1/CXCL2/ELANE/PTGS2/EDN3/CXCL1/CGA/CARMIL2/ITGA2/ZNF703/EGFR/CXCL12/FLNA/KDR/SNAI2/TEK/ITGA4/TGFBR2/POSTN/F2R/PDGFRA/ETS1/KIT/DRD1/KITLG/DAPK2/THBS4/IL6R/FOXC2/CDH13/CAMK1D/FLT1/DOCK8/INS/ITGB3/F3/DDR2/IL1R1/CXCL14/MYLK/BMP2/SRPX2/PDGFC/LRRC15/FN1/ADRA2A/DOCK1/LAMC2/THBS1/ROCK2/MMP14/PTAFR	70
GO:0051272	positive regulation of cellular component movement	73/1163	473/17381	1.43355102348082e-11	1.04526348912087e-08	8.2305230190222e-09	CEMIP/CXCL5/WNT5A/TNFAIP6/CD274/F10/SERPINE1/PROX1/MADCAM1/ACKR3/TNFSF18/CXCL3/TTLL6/HGF/TWIST1/FPR2/SEMA3A/FAM110C/TNFRSF18/NTRK3/CCBE1/CXCL2/ELANE/PTGS2/EDN3/CXCL1/CGA/CARMIL2/ITGA2/ZNF703/EGFR/CXCL12/FLNA/KDR/SNAI2/TEK/ITGA4/TGFBR2/POSTN/F2R/PDGFRA/ETS1/KIT/DRD1/KITLG/DAPK2/THBS4/NTN1/IL6R/FOXC2/CDH13/CAMK1D/FLT1/DOCK8/INS/ITGB3/F3/DDR2/IL1R1/CXCL14/MYLK/BMP2/SRPX2/PDGFC/LRRC15/FN1/ADRA2A/DOCK1/LAMC2/THBS1/ROCK2/MMP14/PTAFR	73
GO:0003018	vascular process in circulatory system	36/1163	162/17381	1.16728628168373e-10	7.4472864771422e-08	5.86407766245853e-08	EDNRB/ATP1A2/ADRA1A/HRH2/ADRB3/CALCA/NPPB/MYLK3/ASIC2/PTGS2/AZU1/EDN3/ITGA1/EGFR/GJA1/ACE/SLIT2/AVPR1A/TEK/PRKG1/PDE3A/F2R/DRD1/NOS1/FOXC2/HTR2A/INS/P2RY1/EDNRA/HTR1D/UCN/ADRA2A/ADRA1D/NPPC/HTR1B/PTAFR	36
GO:0008217	regulation of blood pressure	37/1163	175/17381	2.93452031936118e-10	1.66419907889105e-07	1.31040919056386e-07	MYH6/EDNRB/ATP1A2/ADRA1A/ACSM3/ADRB3/CALCA/CYP11B1/NPPB/TRHDE/GCGR/ASIC2/ADM2/PTGS2/CYP4F12/EDN3/CRH/MME/NPY/NPFF/SPX/PCSK5/GJA1/ACE/AVPR1A/POSTN/AR/LNPEP/F2R/NOS1/SGK1/NPR3/EDNRA/UCN/ADRA1D/NOX1/PTAFR	37
GO:0001503	ossification	59/1163	373/17381	5.11517199671537e-10	2.61078378712352e-07	2.05576070352203e-07	WNT5A/GPC3/OSR2/GREM1/CTHRC1/OMD/ACHE/CTGF/KREMEN2/ZBTB16/NPNT/WNT4/CALCA/RANBP3L/WNT7B/HGF/SFRP1/FBN2/MSX2/SPP1/ATP6V0A4/TWIST1/CHRDL2/COL2A1/NELL1/WNT3/COL11A1/PTGS2/PTHLH/AREG/FZD1/IGFBP5/ITGA11/EGFR/BGLAP/SNAI2/EPHA2/TEK/GLI2/LRP4/NOG/IL6R/COL5A2/FOXC2/ASPN/CHRDL1/P2RX7/IL6ST/DDR2/BMP2/BMP3/VCAN/ISG15/WWTR1/NPPC/TNC/DUOX2/FAT4/MMP14	59
