ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	80/1247	365/18511	1.75475854886453e-21	9.03700652665231e-19	7.94259132643943e-19	MATN2/WNT5A/GPC3/THBS2/COL4A4/CTHRC1/LAMB4/COL4A3/OMD/FREM1/LUM/ACHE/CRTAC1/SPON1/CTGF/COL27A1/NPNT/WNT4/HPSE/COL24A1/NOV/WNT7B/SFRP1/FBN2/COL6A6/COL2A1/WNT8B/ADAMTS4/WNT3/MMP17/SBSPON/COL11A1/TNR/COL28A1/RBP3/CCBE1/ACAN/OGN/OMG/LRRC55/MFAP5/NID2/WNT9A/PXDN/LAMB3/TNFRSF11B/ADAMTSL3/COL12A1/POSTN/FBN1/COL8A1/TGFBR3/ADAMTS2/FLRT2/THBS4/NTN1/ADAMTS15/COL15A1/COL5A2/LTBP1/LOX/DCN/ASPN/COL21A1/HSPG2/HMCN1/IL1RL1/COL4A1/P3H2/FN1/SPARCL1/GPC6/COL6A3/VCAN/CCDC80/ADAMTSL1/TNC/LAMC2/LAMA2/WISP1	80
GO:0044420	extracellular matrix component	36/1247	120/18511	8.86369069137831e-15	2.28240035302991e-12	2.00599315646983e-12	MATN2/THBS2/COL4A4/LAMB4/COL4A3/FREM1/LUM/ACHE/COL27A1/NPNT/FBN2/COL2A1/COL11A1/TNR/COL28A1/RBP3/MFAP5/NID2/LAMB3/COL12A1/FBN1/COL8A1/THBS4/NTN1/COL15A1/COL5A2/LTBP1/HSPG2/HMCN1/COL4A1/P3H2/FN1/CCDC80/TNC/LAMC2/LAMA2	36
GO:0043235	receptor complex	57/1247	325/18511	2.21788908330504e-11	3.80737625967366e-09	3.34628879235498e-09	GABRR1/PLXNA4/KCTD8/LRP1B/GRIN1/GABRA4/GABRE/ADRB3/CACNG4/CNGB1/GABRB2/NPNT/GABBR2/TRPV3/GABRR2/KCNK1/NTRK3/GRIA3/PEX5L/CHRNA4/CHRNA10/GHR/ITGA2/OSMR/GRM1/ITGA1/ITGA11/IRS1/ADCYAP1R1/EGFR/SHISA6/NOTCH2/NTRK2/ROR1/NOTCH3/ITGA4/TGFBR2/LRP4/ITGA9/TGFBR3/GPR20/IL6R/FLT1/CNIH2/ITGB3/GPR63/IL6ST/ITPR3/P2RX3/ABCG2/BMP2/ACVR1C/ITGA8/ADRA2A/LDLR/GRIN3B/PTPRB	57
GO:0005604	basement membrane	26/1247	93/18511	2.62890094752752e-10	3.38470996994168e-08	2.97480896693903e-08	MATN2/THBS2/COL4A4/LAMB4/COL4A3/FREM1/ACHE/NPNT/COL2A1/COL28A1/NID2/LAMB3/FBN1/COL8A1/THBS4/NTN1/COL15A1/HSPG2/HMCN1/COL4A1/P3H2/FN1/CCDC80/TNC/LAMC2/LAMA2	26
GO:0005581	collagen trimer	25/1247	88/18511	3.97953625711585e-10	4.09892234482933e-08	3.6025275590733e-08	COL4A4/CTHRC1/COL4A3/LUM/C1QL3/COL27A1/COL24A1/COL6A6/COL2A1/COL11A1/COL28A1/CCBE1/C1QTNF9B/COLEC12/COL12A1/COL8A1/COL15A1/COL5A2/LOX/DCN/COL21A1/COL25A1/COL4A1/COL6A3/C1QL4	25
GO:0005788	endoplasmic reticulum lumen	50/1247	299/18511	2.05128817113948e-09	1.76068901356138e-07	1.5474630062982e-07	WNT5A/GPC3/F10/COL4A4/COL4A3/EVA1A/ARSI/SPON1/COL27A1/WNT4/COL24A1/WNT7B/SPP1/ARSF/PROZ/COL2A1/VGF/WNT3/C3/COL11A1/COL28A1/PTGS2/MSLN/SERPIND1/IGFBP5/BGLAP/COL12A1/FBN1/COL8A1/APOA1/COL15A1/COL5A2/LTBP1/PDIA2/ALB/INS/CHRDL1/COL21A1/ARSJ/COL25A1/COL4A1/PDGFC/P3H2/FN1/SPARCL1/COL6A3/VCAN/ADAMTSL1/TNC/THBS1	50
GO:0005796	Golgi lumen	24/1247	103/18511	6.29613816473193e-08	4.6321587926242e-06	4.071187083962e-06	WNT5A/GPC3/F10/MUC6/OMD/LUM/DEFA1B/WNT4/WNT7B/PROZ/WNT3/LHB/ACAN/MUC15/OGN/CGA/PCSK5/BGLAP/INS/DCN/HSPG2/GPC6/VCAN/MMP14	24
GO:0034702	ion channel complex	43/1247	288/18511	7.15591777801304e-07	4.6066220695959e-05	4.04874295334948e-05	SCN8A/GABRR1/KCNT1/KCNE1/CACNA2D1/KCNQ4/GLRA3/TTYH1/KCNF1/GRIN1/GABRA4/GABRE/KCNS1/DPP10/KCNS2/KCNG3/CACNG4/CNGB1/GABRB2/CATSPERZ/KCNK2/KCNQ3/KCNK4/GABRR2/KCNK1/KCNA4/SCN1A/KCNN1/GRIA3/TRPC5/KCNJ3/CHRNA4/LRRC55/CHRNA10/CACNA1E/SHISA6/ATP2A1/NOS1/CNIH2/KCND3/SCNN1A/GRIN3B/CACNA1H	43
GO:0098793	presynapse	49/1247	354/18511	1.21757037314533e-06	6.96720824633159e-05	6.12345333862562e-05	RAB3B/SLC18A2/DOC2B/RAB26/SYT10/KCTD8/GRIN1/CNGB1/CALCA/KCNK2/RAB27B/SYTL5/DOC2A/SYPL2/SLC32A1/PACSIN1/RAB37/PRSS12/PCDH8/UNC13C/OPRD1/MME/SLC18A3/GHRH/NPFF/ITGA2/GRM1/SYT15/CDH8/SNCAIP/NTRK2/ROR1/CPLX1/GRIK3/CRHBP/MCTP1/SV2C/CALB2/HRH3/TMEM163/P2RX7/SLC30A3/P2RX3/GRM4/UCN/LAMP5/HIP1/CCK/TANC1	49
GO:0034703	cation channel complex	34/1247	212/18511	2.03149989725196e-06	9.82766876066008e-05	8.63750141458116e-05	SCN8A/KCNT1/KCNE1/CACNA2D1/KCNQ4/KCNF1/GRIN1/KCNS1/DPP10/KCNS2/KCNG3/CACNG4/CNGB1/CATSPERZ/KCNK2/KCNQ3/KCNK4/KCNK1/KCNA4/SCN1A/KCNN1/GRIA3/TRPC5/KCNJ3/LRRC55/CACNA1E/SHISA6/ATP2A1/NOS1/CNIH2/KCND3/SCNN1A/GRIN3B/CACNA1H	34
