ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030198	extracellular matrix organization	110/1369	335/17381	1.52583270965147e-40	5.50398330182951e-37	3.90117953831982e-37	MMP1/MYH11/COL9A1/SPP1/COL4A4/HAS1/COMP/MMP8/LAMC3/IBSP/VIT/COL2A1/COL19A1/FLRT2/ITGB2/MMP14/MFAP4/COL8A1/FN1/ETS1/COL1A2/CRISPLD2/PDPN/NID2/MMP9/NID1/VCAM1/COL1A1/ITGA4/CTSK/COL3A1/COL11A1/COL5A1/THBS1/COL18A1/MMP11/RECK/CCDC80/COL12A1/CTGF/ADAMTS3/ADAM12/SULF1/GREM1/SERPINE1/FOXC2/JAM2/ADAMTS5/CYP1B1/MMP2/CTSG/ITGAX/TNXB/ELN/MATN3/FBN1/COL5A2/DCN/MMP13/SPARC/PHLDB2/VCAN/ITGA10/DPT/DDR2/TGFB2/SCUBE3/MMP16/COL4A1/FBLN5/CYR61/FBLN1/ECM2/COL6A1/LCP1/PDGFRA/TLL1/ITGAV/FBLN2/PXDN/SFRP2/COL10A1/COL5A3/LUM/LOX/ADAMTS2/COL16A1/FAP/ANTXR1/TIMP2/ITGA5/LAMA2/BGN/ITGAM/TNC/ABI3BP/TNF/MFAP5/POSTN/COL6A2/COL8A2/LAMA4/COL14A1/FBN2/JAM3/ADAMTS4/ITGA11/VTN/COL6A3/A2M	110
GO:0043062	extracellular structure organization	110/1369	336/17381	2.10276343909437e-40	5.50398330182951e-37	3.90117953831982e-37	MMP1/MYH11/COL9A1/SPP1/COL4A4/HAS1/COMP/MMP8/LAMC3/IBSP/VIT/COL2A1/COL19A1/FLRT2/ITGB2/MMP14/MFAP4/COL8A1/FN1/ETS1/COL1A2/CRISPLD2/PDPN/NID2/MMP9/NID1/VCAM1/COL1A1/ITGA4/CTSK/COL3A1/COL11A1/COL5A1/THBS1/COL18A1/MMP11/RECK/CCDC80/COL12A1/CTGF/ADAMTS3/ADAM12/SULF1/GREM1/SERPINE1/FOXC2/JAM2/ADAMTS5/CYP1B1/MMP2/CTSG/ITGAX/TNXB/ELN/MATN3/FBN1/COL5A2/DCN/MMP13/SPARC/PHLDB2/VCAN/ITGA10/DPT/DDR2/TGFB2/SCUBE3/MMP16/COL4A1/FBLN5/CYR61/FBLN1/ECM2/COL6A1/LCP1/PDGFRA/TLL1/ITGAV/FBLN2/PXDN/SFRP2/COL10A1/COL5A3/LUM/LOX/ADAMTS2/COL16A1/FAP/ANTXR1/TIMP2/ITGA5/LAMA2/BGN/ITGAM/TNC/ABI3BP/TNF/MFAP5/POSTN/COL6A2/COL8A2/LAMA4/COL14A1/FBN2/JAM3/ADAMTS4/ITGA11/VTN/COL6A3/A2M	110
GO:0030574	collagen catabolic process	38/1369	68/17381	1.23775126482634e-24	2.07853187098219e-21	1.47324683963449e-21	MMP1/COL4A4/COL6A6/MMP8/COL6A5/KLK6/COL2A1/COL26A1/COL19A1/COL25A1/MMP14/COL8A1/COL1A2/MMP9/COL1A1/CTSK/COL3A1/COL11A1/COL5A1/COL18A1/MMP11/COL12A1/ADAMTS3/MMP2/COL5A2/MMP13/COL15A1/MMP16/COL4A1/COL6A1/MRC2/COL10A1/COL5A3/ADAMTS2/FAP/COL6A2/COL8A2/COL6A3	38
GO:0044243	multicellular organismal catabolic process	40/1369	76/17381	1.58818099024427e-24	2.07853187098219e-21	1.47324683963449e-21	MMP1/COL4A4/COL6A6/MMP8/COL6A5/KLK6/COL2A1/COL26A1/COL19A1/COL25A1/P2RX7/MMP14/COL8A1/COL1A2/MMP9/COL1A1/CTSK/COL3A1/COL11A1/COL5A1/COL18A1/MMP11/COL12A1/ADAMTS3/MMP2/COL5A2/MMP13/COL15A1/MMP16/COL4A1/ENPEP/COL6A1/MRC2/COL10A1/COL5A3/ADAMTS2/FAP/COL6A2/COL8A2/COL6A3	40
GO:0001503	ossification	93/1369	373/17381	2.79402886646179e-24	2.92534822318549e-21	2.07346352721638e-21	TWIST2/TACR1/IGF2/SPP1/HAND2/RYR1/IBSP/DLX5/CYP24A1/KREMEN2/AMELX/AHSG/COL2A1/SMOC1/BMP3/GDF5/TEK/P2RX7/MMP14/ASPN/CTHRC1/MGP/RORB/MMP9/HGF/MEF2C/LEP/COL1A1/CTSK/SOX11/COL11A1/CTGF/CHRD/GREM1/CCR1/RANBP3L/RSPO2/FOXC2/CLEC5A/MMP2/FAT4/IGFBP5/TGFB3/OMD/TWIST1/SNAI2/IL6ST/COL5A2/MMP13/SPARC/VCAN/ROR2/GPNMB/GLI1/DDR2/TGFB2/MMP16/SLC8A1/CYR61/IGF1/PTN/STC1/COL6A1/SFRP1/MRC2/WWTR1/CHRDL2/TNN/PTHLH/SFRP2/COL10A1/EGR2/ZBTB16/SRGN/TMEM119/S1PR1/MN1/PRKD1/IL6/TNC/IGSF10/SHOX2/TNF/CHRDL1/GPC3/PTGS2/GLI3/RASSF2/FBN2/ID1/ITGA11/CDH11/GLI2	93
GO:0032963	collagen metabolic process	50/1369	125/17381	2.1026500780446e-23	1.64103273294843e-20	1.16315093422676e-20	MMP1/COL4A4/COL6A6/MMP8/COL6A5/AMELX/KLK6/COL2A1/COL26A1/COL19A1/COL25A1/P2RX7/MMP14/MFAP4/COL8A1/COL1A2/MMP9/COL1A1/CTSK/COL3A1/COL11A1/COL5A1/COL18A1/MMP11/COL12A1/CTGF/ADAMTS3/CCL2/MMP2/TGFB3/TNXB/COL5A2/MMP13/COL15A1/UCN/MMP16/COL4A1/COL6A1/MRC2/COL10A1/COL5A3/F2R/ADAMTS2/FAP/IL6/COL6A2/COL8A2/ID1/PDGFRB/COL6A3	50
GO:0044259	multicellular organismal macromolecule metabolic process	51/1369	130/17381	2.1943131099597e-23	1.64103273294843e-20	1.16315093422676e-20	MMP1/COL4A4/COL6A6/MMP8/COL6A5/AMELX/KLK6/COL2A1/COL26A1/COL19A1/COL25A1/P2RX7/MMP14/MFAP4/COL8A1/COL1A2/MMP9/COL1A1/CTSK/COL3A1/COL11A1/COL5A1/COL18A1/MMP11/COL12A1/CTGF/ADAMTS3/CCL2/MMP2/TGFB3/TNXB/COL5A2/MMP13/COL15A1/UCN/MMP16/COL4A1/ENPEP/COL6A1/MRC2/COL10A1/COL5A3/F2R/ADAMTS2/FAP/IL6/COL6A2/COL8A2/ID1/PDGFRB/COL6A3	51
GO:0001501	skeletal system development	104/1369	491/17381	3.80367052631372e-21	2.48902690065654e-18	1.76420244805998e-18	EXTL1/WNT7A/IGF2/WNT9A/CHI3L1/HAND2/RYR1/COMP/DLX5/CYTL1/FREM1/AMELX/AHSG/COL2A1/DMRT2/HOXC10/COL19A1/BMP3/RGN/GDF5/TEK/P2RX7/MMP14/PDGFC/CHST11/PRRX1/COL1A2/MGP/ZEB1/AEBP1/MMP9/CMKLR1/MAF/MEF2C/LEP/COL1A1/SOX11/COL3A1/MEIS1/COL11A1/EFEMP1/ADAMTS12/COL12A1/CTGF/PTPRC/CHRD/HHIP/SULF1/GREM1/RANBP3L/RSPO2/FOXC2/MMP2/FAT4/GDF6/TGFB3/FGFR1/MATN3/TWIST1/EVC/FBN1/SNAI2/LRRC17/COL5A2/MSX1/RARB/MMP13/SPARC/SFRP4/VCAN/ROR2/TGFB2/MMP16/PAPPA2/EDN1/SOX5/CYR61/IGF1/STC1/SFRP1/PDGFRA/TLL1/CHRDL2/PTHLH/NKX3-2/SFRP2/COL10A1/LUM/ZBTB16/TMEM119/PRELP/EYA1/NPR3/TRPS1/SHOX2/POSTN/GPR68/GLI3/RASSF2/FBN2/ADAMTS4/TBX1/CDH11/GLI2	104
GO:0044236	multicellular organism metabolic process	51/1369	151/17381	5.49136533679227e-20	3.19414417090084e-17	2.26398395464243e-17	MMP1/COL4A4/COL6A6/MMP8/COL6A5/AMELX/KLK6/COL2A1/COL26A1/COL19A1/COL25A1/P2RX7/MMP14/MFAP4/COL8A1/COL1A2/MMP9/COL1A1/CTSK/COL3A1/COL11A1/COL5A1/COL18A1/MMP11/COL12A1/CTGF/ADAMTS3/CCL2/MMP2/TGFB3/TNXB/COL5A2/MMP13/COL15A1/UCN/MMP16/COL4A1/ENPEP/COL6A1/MRC2/COL10A1/COL5A3/F2R/ADAMTS2/FAP/IL6/COL6A2/COL8A2/ID1/PDGFRB/COL6A3	51
GO:0001525	angiogenesis	98/1369	469/17381	1.52229031114918e-19	7.96918977886597e-17	5.64849825979039e-17	TMEM100/STAB2/WNT7A/C6/CHI3L1/HAND2/APOD/CXCL13/PF4/CCL24/ADGRB3/GBX2/TEK/ITGB2/MMP14/COL8A1/FN1/ETS1/FGF10/C3AR1/FLT4/THSD7A/THBS4/HGF/THY1/LEP/PTGIS/MEIS1/THBS1/COL18A1/CYBB/PIK3CG/TIE1/CTGF/SULF1/GREM1/SERPINE1/NGFR/FOXC2/CYP1B1/ZNF304/PTPRM/C5AR1/CCL2/MMP2/NRP1/FGFR1/CCR2/CCBE1/TWIST1/NRP2/ARHGAP24/THBS2/CAV1/PRKCB/DCN/COL15A1/SPARC/CALCRL/GPNMB/HDAC9/TGFB2/RORA/SLIT2/COL4A1/ENPEP/ADGRA2/JCAD/EDN1/CYR61/APOLD1/PTN/SPHK1/SERPINF1/SFRP1/PDGFRA/ITGAV/ANGPT1/C3/SFRP2/FAP/S1PR1/ITGA5/PRKD1/IL6/VEGFC/FGF1/NOTCH3/CX3CR1/MEOX2/EGR3/ANGPTL4/PTGS2/COL8A2/JAM3/ID1/TBX1/PDGFRB	98
