ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	139/1455	365/18511	2.58054427765276e-60	1.31607758160291e-57	1.04579952304875e-57	MMP1/COL9A1/WNT7A/CILP2/PTPRZ1/ANOS1/LRRN2/WNT9A/CHI3L1/COL4A4/COL6A6/COMP/MMP8/LAMC3/VIT/FREM1/COL6A5/AMELX/SFTPD/TFPI2/WNT6/COL2A1/COL26A1/COL19A1/SMOC1/CPA6/EMILIN1/FLRT2/LRRN3/ASPN/LRFN5/MFAP4/TIMP3/WISP2/COL8A1/FN1/CRTAC1/LTBP2/COL1A2/CRISPLD2/CTHRC1/MGP/NID2/MMP9/THBS4/NID1/COL1A1/COL3A1/COL11A1/COL5A1/COL18A1/MMP11/OGN/CCDC80/EFEMP1/ADAMTS12/COL12A1/CTGF/ADAMTS3/HMCN1/COL24A1/ADAMTS5/MMP2/OMD/TNXB/ELN/CCBE1/CHL1/MATN3/WISP1/ADAMTS1/SPARCL1/FBN1/WNT2/THBS2/COL5A2/KERA/FBLN7/DCN/MMP13/COL15A1/SPARC/ADAMTS16/VCAN/COL21A1/DPT/EPYC/CILP/CPZ/MMP16/COL4A1/SPOCK1/MAMDC2/FBLN5/CYR61/FBLN1/ECM2/PTN/SERPINF1/COL6A1/COL22A1/SFRP1/FBLN2/TNN/PXDN/ADAMTS6/COL10A1/COL5A3/LUM/RELN/ADAMTS10/LRRC55/LTBP1/PRELP/LOX/CD248/ADAMTS2/COL16A1/TIMP2/LAMA2/BGN/GPC6/TNC/ADAMTSL3/ABI3BP/FGF1/MFAP5/POSTN/COL6A2/PODN/GPC3/ANGPTL4/COL8A2/LAMA4/COL14A1/FBN2/ADAMTS4/VTN/COL6A3	139
GO:0005581	collagen trimer	44/1455	88/18511	1.17772350195271e-25	3.00319492997941e-23	2.38643972764102e-23	COL9A1/COL4A4/COL6A6/COL6A5/SFTPD/COL2A1/COL26A1/COL19A1/COL25A1/EMILIN1/COLEC12/COL8A1/COL1A2/CTHRC1/C1QTNF3/COL1A1/C1QTNF7/COL3A1/COL11A1/COL5A1/COL18A1/COL12A1/MARCO/COL24A1/TNXB/MSR1/CCBE1/COL5A2/DCN/FCN1/COL15A1/COL21A1/COL4A1/COL6A1/COL22A1/COL10A1/COL5A3/LUM/LOX/COL16A1/COL6A2/COL8A2/COL14A1/COL6A3	44
GO:0044420	extracellular matrix component	48/1455	120/18511	1.52706353667655e-22	2.59600801235013e-20	2.06287530393148e-20	PTPRZ1/COL4A4/LAMC3/FREM1/COL2A1/SMOC1/EMILIN1/MFAP4/TIMP3/COL8A1/FN1/COL1A2/NID2/THBS4/NID1/COL1A1/COL3A1/COL11A1/COL5A1/COL18A1/CCDC80/COL12A1/HMCN1/TNXB/ELN/ADAMTS1/FBN1/THBS2/COL5A2/COL15A1/SPARC/COL4A1/FBLN5/FBLN1/PTN/SERPINF1/COL5A3/LUM/ADAMTS10/LTBP1/LAMA2/TNC/MFAP5/COL8A2/LAMA4/COL14A1/FBN2/VTN	48
GO:0005788	endoplasmic reticulum lumen	71/1455	299/18511	1.39821269556772e-17	1.78272118684885e-15	1.41661023103572e-15	COL9A1/WNT7A/BCHE/SPP1/COL4A4/ITIH2/APOA1/AMELX/AHSG/WNT6/COL2A1/COL26A1/COL19A1/COL25A1/CASQ2/F7/PDGFC/COL8A1/FN1/COL1A2/CERCAM/COL1A1/COL3A1/COL11A1/CP/APOE/MXRA8/COL5A1/THBS1/COL18A1/COL12A1/COL24A1/ADAMTS5/FSTL1/IGFBP5/P4HA3/MATN3/SPARCL1/FBN1/COL5A2/COL15A1/VCAN/COL21A1/COL4A1/ARSI/APOB/CDH2/EDN1/CYR61/SDC2/COL6A1/COL22A1/C3/COL10A1/COL5A3/FMO1/LTBP1/COL16A1/NOTUM/IL6/TNC/TF/CYP2W1/COL6A2/CHRDL1/GPC3/PTGS2/COL8A2/COL14A1/VTN/COL6A3	71
GO:0042383	sarcolemma	35/1455	122/18511	7.93856823462707e-12	8.09733959931961e-10	6.43441846385563e-10	SCN5A/SGCG/POPDC2/RYR1/SYNM/NOS1/KCNB1/SCN2A/SGCA/KCND3/ADRA1A/ATP1A2/ATP2B4/CACNA2D1/KCNJ5/VCAM1/SGCD/TGFB3/STAC/SSPN/SLC27A6/ANK2/SLC8A1/RDX/CDH2/BVES/COL6A1/SLC8A3/ABCC9/KCNJ8/LAMA2/AHNAK/BGN/COL6A2/COL6A3	35
GO:0009897	external side of plasma membrane	56/1455	270/18511	1.38642030268509e-11	1.17845725728233e-09	9.36441783392563e-10	STAB2/CCR4/FCER1A/LRP2/KLRD1/IL13/EPHA5/UMODL1/LY6G6C/ASTN1/P2RX7/ITGB2/CXCL12/CD33/PDPN/KCNJ5/THY1/VCAM1/THBS1/PTPRC/P2RY12/CCR1/IL7R/CXCL9/IL6ST/GPIHBP1/TNFRSF9/TLR8/FCN1/CD14/SELL/SLC22A11/ENPEP/MS4A2/NLGN1/ABCA1/IL2RA/CCR5/PDGFRA/ITGAV/CD28/FCGR3A/ANTXR1/CD86/S1PR1/ITGA5/CD163/PRND/FCGR2B/IL6/ITGAM/TF/TNF/HEG1/CD36/FOLR2	56
GO:0005604	basement membrane	29/1455	93/18511	5.21611940186699e-11	3.80031556421738e-09	3.01985860108089e-09	COL4A4/LAMC3/FREM1/COL2A1/SMOC1/TIMP3/COL8A1/FN1/NID2/THBS4/NID1/COL5A1/COL18A1/CCDC80/HMCN1/ADAMTS1/FBN1/THBS2/COL15A1/SPARC/COL4A1/FBLN1/PTN/SERPINF1/LAMA2/TNC/COL8A2/LAMA4/VTN	29
GO:0098644	complex of collagen trimers	13/1455	20/18511	1.90699617653184e-10	1.21571006253905e-08	9.66044115743102e-09	COL4A4/COL2A1/COL8A1/COL1A2/COL1A1/COL3A1/COL11A1/COL5A1/TNXB/COL5A2/COL4A1/COL5A3/LUM	13
GO:0005583	fibrillar collagen trimer	10/1455	12/18511	4.98330561728787e-10	2.54148586481682e-08	2.01955017121666e-08	COL2A1/COL1A2/COL1A1/COL3A1/COL11A1/COL5A1/TNXB/COL5A2/COL5A3/LUM	10
GO:0098643	banded collagen fibril	10/1455	12/18511	4.98330561728787e-10	2.54148586481682e-08	2.01955017121666e-08	COL2A1/COL1A2/COL1A1/COL3A1/COL11A1/COL5A1/TNXB/COL5A2/COL5A3/LUM	10
