ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04512	ECM-receptor interaction	37/514	85/5894	5.80323703242798e-18	1.10261503616132e-15	8.67431219583972e-16	6696/1286/131873/1311/10319/3381/1280/2335/1278/7060/1277/3676/1281/1301/1289/7057/7148/7058/1290/8515/1282/6383/1291/3685/63923/50509/5649/9899/3678/3908/3371/1292/948/3910/22801/7448/1293	37
hsa04510	Focal adhesion	49/514	200/5894	8.87663264698895e-12	8.4328010146395e-10	6.63411492564437e-10	6696/1286/5063/131873/1311/10319/3381/1280/56034/2335/1278/2324/7060/3082/1277/3676/1281/1301/1289/7057/5294/5602/7148/7058/1290/857/5579/8515/1282/3479/1291/5156/3685/63923/4638/50509/5649/3678/3908/7424/3371/1292/3910/23533/10000/22801/7448/5159/1293	49
hsa04060	Cytokine-cytokine receptor interaction	57/514	265/5894	4.79447403839493e-11	3.03650022431679e-09	2.38882566123537e-09	3586/6355/1233/7173/6372/6357/10563/5196/5197/3596/8740/11009/7850/6369/10344/6354/2056/8200/56034/6387/1237/2324/6363/3082/3952/8995/9180/10673/1230/4804/3575/6347/7043/4283/6366/729230/3572/3604/7292/6362/7042/3559/1439/1234/5156/1436/6374/6358/3554/3624/3569/7424/944/7124/1524/3977/5159	57
hsa04974	Protein digestion and absorption	26/514	81/5894	1.80949824103076e-09	8.5951166448961e-08	6.76180921648336e-08	1297/1359/1286/131873/486/1280/6550/477/1278/1277/1281/1301/1289/80781/1303/2006/1290/1306/1282/6546/1291/50509/6547/1292/7373/1293	26
hsa05146	Amoebiasis	29/514	106/5894	1.30469513422496e-08	4.95784151005485e-07	3.90035176968304e-07	3586/1286/10319/7850/1280/5055/3689/2335/1278/1277/1281/1301/1289/5294/1511/7043/1290/5579/929/7042/1282/50509/3908/3554/3569/3684/7124/3910/23533	29
hsa04514	Cell adhesion molecules (CAMs)	31/514	136/5894	3.97871285853532e-07	1.25992573853619e-05	9.91188115635116e-06	3117/9378/6614/933/9071/9074/3689/8506/1272/7412/3111/3676/5788/58494/5797/57863/1462/6402/6401/57502/22871/1000/4685/6383/3685/5010/940/942/80380/3684/83700	31
hsa05144	Malaria	17/514	51/5894	6.70590335044432e-07	1.82017376654917e-05	1.43193725678661e-05	3586/1311/3689/7060/3082/1378/7412/7057/6347/7043/7058/7042/6401/6383/3569/7124/948	17
hsa05150	Staphylococcus aureus infection	17/514	56/5894	2.94151051960111e-06	6.98608748405265e-05	5.49598018135998e-05	3586/3117/2357/716/3689/2359/719/5648/3111/728/3075/718/2214/2213/3684/715/2212	17
hsa05322	Systemic lupus erythematosus	27/514	138/5894	4.4588417713708e-05	0.000848673806809057	0.000667654739982748	3586/3117/8364/729/8332/8968/474382/92815/8331/8356/8348/126961/8338/716/3111/730/1511/55766/718/940/2214/942/2213/715/2212/7124/2903	27
hsa04020	Calcium signaling pathway	32/514	177/5894	4.67209083029573e-05	0.000848673806809057	0.000667654739982748	6869/6261/3357/4842/491/148/3360/185/1129/493/5027/552/3356/108/5153/5737/5579/5136/6546/8877/5156/5350/4638/5733/6547/2149/3708/815/7220/2903/3274/5159	32
