ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030545	receptor regulator activity	148/2778	485/17354	4.41702745568765e-16	4.81455992669953e-13	4.02646923855316e-13	IL27/APOA1/VEGFD/CXCL12/IL1RN/PTHLH/NRG3/IL37/CCL5/EDN3/NTF3/C1QTNF12/NRG1/WNT5A/CCL4L1/BMP8B/NRTN/LTB/TNFSF9/FASLG/AREG/CSF3/SCGB3A1/CD70/CALCA/MSTN/SPX/NTS/CHGB/PENK/CCL17/PCSK9/SAA2/CCK/PPBP/CMTM5/CCL3L1/WFIKKN2/ARTN/TRH/IL11/GMFG/FGF13/CGB7/EGF/ADM/IL10/BMP3/OGN/CCL7/EREG/TYMP/FGF5/MAPT/CXCL6/LYNX1/CSPG5/CCL11/CCL3/IL20/TGFB1/FGF14/LEP/EDN2/CX3CL1/PRL/FAM3B/IL6/PDGFA/ANGPT4/TIMP1/CMTM3/INHBE/LEFTY2/CXCL5/CRLF1/GREM1/WNT2/SPP1/LIF/PNOC/CMTM8/CXCL3/GAL/AGT/BMP5/WNT4/CCL23/IL24/NCOA2/CCL21/LHB/MIA/IL32/IL17B/VEGFC/CCL13/FGF9/ZP3/OSM/CCL8/VGF/WNT7B/DKK1/CXCL1/EBI3/DAND5/OSGIN1/SAA1/LYPD6B/TNFSF11/LEFTY1/CCL26/NMB/NRG4/PYY2/IL33/METRNL/KCNK3/HAMP/CCL20/IL18/FGF7/CCL4/PF4/PYY/NBL1/IL7/FAM3D/BTC/CMTM7/CALCB/CLEC11A/CCL28/LYPD1/RETN/CSF2/BMP6/CDC42EP2/IL23A/IL1B/CCL18/WISP3/ACTN2/IL36RN/GREM2/CXCL8/EFEMP1	148
GO:0048018	receptor ligand activity	140/2778	456/17354	1.6241757631649e-15	8.85175790924872e-13	7.40282216263582e-13	IL27/APOA1/VEGFD/CXCL12/IL1RN/PTHLH/NRG3/IL37/CCL5/EDN3/NTF3/C1QTNF12/NRG1/WNT5A/CCL4L1/BMP8B/NRTN/LTB/TNFSF9/FASLG/AREG/CSF3/SCGB3A1/CD70/CALCA/MSTN/SPX/NTS/CHGB/PENK/CCL17/SAA2/CCK/PPBP/CMTM5/CCL3L1/ARTN/TRH/IL11/GMFG/FGF13/CGB7/EGF/ADM/IL10/BMP3/OGN/CCL7/EREG/TYMP/FGF5/MAPT/CXCL6/CSPG5/CCL11/CCL3/IL20/TGFB1/FGF14/LEP/EDN2/CX3CL1/PRL/FAM3B/IL6/PDGFA/TIMP1/CMTM3/INHBE/LEFTY2/CXCL5/CRLF1/GREM1/WNT2/SPP1/LIF/PNOC/CMTM8/CXCL3/GAL/AGT/BMP5/WNT4/CCL23/IL24/CCL21/LHB/MIA/IL32/IL17B/VEGFC/CCL13/FGF9/ZP3/OSM/CCL8/VGF/WNT7B/DKK1/CXCL1/EBI3/DAND5/OSGIN1/SAA1/TNFSF11/LEFTY1/CCL26/NMB/NRG4/PYY2/IL33/METRNL/KCNK3/HAMP/CCL20/IL18/FGF7/CCL4/PF4/PYY/NBL1/IL7/FAM3D/BTC/CMTM7/CALCB/CLEC11A/CCL28/RETN/CSF2/BMP6/CDC42EP2/IL23A/IL1B/CCL18/WISP3/IL36RN/GREM2/CXCL8/EFEMP1	140
GO:0046873	metal ion transmembrane transporter activity	128/2778	449/17354	9.45529677811676e-12	2.42772551779229e-09	2.0303334605583e-09	KCNAB3/SLC39A12/KCNA1/SLC8A3/SLC9A7/CHRNA9/SLC9C1/CACNA1A/ATP2B3/SCN8A/KCNJ10/KCNJ15/SCN9A/SLC6A7/SLC6A13/KCNS2/SLC8A2/LRRC55/SLC4A1/KCNT2/KCNG2/SLC6A20/CACNG7/ABCC8/SCN1A/CACNA1E/PKD1L2/SLC6A15/KCNJ4/GRIN1/CNGA3/KCNF1/SCN2B/LRRC26/SLC34A2/HCN1/KCNB1/ATP2B4/SLC38A1/KCNN4/SLC30A8/SLC9C2/FKBP1B/ATP2A1/RYR2/KCND1/ATP13A2/SLC17A7/KCNH8/CACNA2D4/GRIK5/CHRNA7/KCNA5/TRPM3/CATSPER1/SLC4A11/PKD2L1/TRPM8/NIPAL1/KCNS3/TRPC3/NIPAL2/RYR3/NIPAL4/SLC4A8/KCNJ3/KCNIP1/SLC23A1/KCNN2/CACNB4/KCNMB1/TMC1/SLC25A22/KCNA4/SLC31A2/ATOX1/KCNQ1/KCNMA1/TRPC4/TMEM37/JPH2/KCNIP3/KCNK2/HCN4/SLC24A3/SLC12A8/GRIN3B/NCS1/KCNK6/SCNN1B/HCN3/GRIN2A/GRIK3/ATP1B1/KCNAB1/CACNA1C/ATP2B2/TRPM2/ABCC9/CACNA1H/SLC20A2/TMEM38A/SLC1A7/SCN3B/KCNE4/SLC11A1/KCND3/KCNH2/MCOLN3/KCNK3/SLC39A4/SLC6A17/SLC4A7/FXYD2/KCNC3/CACNB2/KCNQ4/KCNC1/ITPR1/TRPV4/KCNS1/SLC39A2/GPM6A/SLC28A1/ATP1A2/SLC8A1/CACNA2D1/SCN3A	128
GO:0005125	cytokine activity	76/2778	220/17354	9.80237101170438e-12	2.42772551779229e-09	2.0303334605583e-09	IL27/CXCL12/IL1RN/IL37/CCL5/NRG1/WNT5A/CCL4L1/BMP8B/LTB/TNFSF9/FASLG/AREG/CSF3/SCGB3A1/CD70/MSTN/CCL17/PPBP/CMTM5/CCL3L1/IL11/IL10/BMP3/CCL7/CXCL6/CCL11/CCL3/IL20/TGFB1/CX3CL1/FAM3B/IL6/TIMP1/CMTM3/INHBE/LEFTY2/CXCL5/CRLF1/GREM1/WNT2/SPP1/LIF/CMTM8/CXCL3/BMP5/CCL23/IL24/CCL21/IL32/IL17B/CCL13/OSM/CCL8/CXCL1/EBI3/TNFSF11/LEFTY1/CCL26/IL33/CCL20/IL18/CCL4/PF4/IL7/FAM3D/CMTM7/CCL28/CSF2/BMP6/IL23A/IL1B/CCL18/IL36RN/GREM2/CXCL8	76
GO:0022836	gated channel activity	102/2778	332/17354	1.11363555862032e-11	2.42772551779229e-09	2.0303334605583e-09	KCNAB3/ANO3/ANO1/KCNA1/CHRNA9/GABRQ/ANO9/CACNA1A/SCN8A/KCNJ10/KCNJ15/SCN9A/KCNS2/LRRC55/KCNT2/CLCNKB/KCNG2/CACNG7/CLCA2/ABCC8/SCN1A/CACNA1E/GRIA1/KCNJ4/GRIN1/CNGA3/GABRR1/KCNF1/SCN2B/LRRC26/HCN1/KCNB1/KCNN4/FKBP1B/ANO5/GRIA2/RYR2/KCND1/CLIC4/SLC17A7/KCNH8/CACNA2D4/CHRNA3/GRIK5/CHRNA7/KCNA5/TRPM3/CYBB/CATSPER1/PKD2L1/CLIC1/P2RX1/KCNS3/RYR3/GABRR2/KCNJ3/KCNIP1/KCNN2/CHRFAM7A/TMEM150C/CACNB4/KCNMB1/TMC1/KCNA4/CLIC3/KCNQ1/KCNMA1/TMEM37/JPH2/KCNIP3/KCNK2/HCN4/GRIN3B/NCS1/KCNK6/SCNN1B/HCN3/GRIN2A/GRIK3/GRIA3/KCNAB1/CACNA1C/TRPM2/CACNA1H/GLRA4/TMEM38A/SCN3B/KCNE4/KCND3/KCNH2/KCNK3/DLG3/ANO4/KCNC3/CACNB2/KCNQ4/KCNC1/ITPR1/TRPV4/KCNS1/CACNA2D1/SCN3A	102
GO:0005216	ion channel activity	122/2778	425/17354	1.77204598461967e-11	3.13617914415664e-09	2.62282099356799e-09	KCNAB3/ANO3/ANO1/KCNA1/CHRNA9/GABRQ/SLC9C1/ANO9/CACNA1A/SCN8A/KCNJ10/KCNJ15/SCN9A/KCNS2/LRRC55/KCNT2/CLCNKB/KCNG2/CACNG7/CLCA2/ABCC8/SCN1A/CACNA1E/FXYD1/PKD1L2/GRIA1/KCNJ4/GRIN1/CNGA3/GABRR1/KCNF1/SCN2B/LRRC26/HCN1/KCNB1/KCNN4/FKBP1B/ANO5/GRIA2/RYR2/CALHM6/KCND1/CLIC4/SLC17A7/KCNH8/CACNA2D4/CHRNA3/GRIK5/CHRNA7/KCNA5/TRPM3/CYBB/CATSPER1/SLC4A11/PKD2L1/TRPM8/CLIC1/P2RX1/KCNS3/TRPC3/RYR3/FXYD5/GABRR2/KCNJ3/KCNIP1/GJC1/KCNN2/CALHM3/CHRFAM7A/TMEM150C/CACNB4/KCNMB1/TMC1/KCNA4/CLIC3/KCNQ1/KCNMA1/TRPC4/TMEM37/JPH2/KCNIP3/KCNK2/HCN4/SLC24A3/GRIN3B/NCS1/KCNK6/SCNN1B/HCN3/GRIN2A/SLC26A7/GRIK3/GRIA3/KCNAB1/CACNA1C/FXYD6/TRPM2/ABCC9/CACNA1H/GLRA4/TMEM38A/SCN3B/KCNE4/KCND3/KCNH2/MCOLN3/KCNK3/SLC26A10/DLG3/ANO4/LRRC8B/FXYD2/KCNC3/CACNB2/KCNQ4/KCNC1/ITPR1/TRPV4/KCNS1/GPM6A/CACNA2D1/SCN3A	122
GO:0022838	substrate-specific channel activity	124/2778	435/17354	2.01406000083454e-11	3.13617914415664e-09	2.62282099356799e-09	KCNAB3/ANO3/AQP9/ANO1/KCNA1/CHRNA9/GABRQ/SLC9C1/ANO9/CACNA1A/SCN8A/KCNJ10/KCNJ15/SCN9A/KCNS2/LRRC55/KCNT2/CLCNKB/KCNG2/CACNG7/CLCA2/ABCC8/SCN1A/CACNA1E/FXYD1/PKD1L2/GRIA1/KCNJ4/GRIN1/CNGA3/GABRR1/KCNF1/SCN2B/LRRC26/HCN1/KCNB1/KCNN4/FKBP1B/ANO5/GRIA2/RYR2/CALHM6/KCND1/CLIC4/SLC17A7/KCNH8/CACNA2D4/CHRNA3/GRIK5/AQP4/CHRNA7/KCNA5/TRPM3/CYBB/CATSPER1/SLC4A11/PKD2L1/TRPM8/CLIC1/P2RX1/KCNS3/TRPC3/RYR3/FXYD5/GABRR2/KCNJ3/KCNIP1/GJC1/KCNN2/CALHM3/CHRFAM7A/TMEM150C/CACNB4/KCNMB1/TMC1/KCNA4/CLIC3/KCNQ1/KCNMA1/TRPC4/TMEM37/JPH2/KCNIP3/KCNK2/HCN4/SLC24A3/GRIN3B/NCS1/KCNK6/SCNN1B/HCN3/GRIN2A/SLC26A7/GRIK3/GRIA3/KCNAB1/CACNA1C/FXYD6/TRPM2/ABCC9/CACNA1H/GLRA4/TMEM38A/SCN3B/KCNE4/KCND3/KCNH2/MCOLN3/KCNK3/SLC26A10/DLG3/ANO4/LRRC8B/FXYD2/KCNC3/CACNB2/KCNQ4/KCNC1/ITPR1/TRPV4/KCNS1/GPM6A/CACNA2D1/SCN3A	124
GO:0015267	channel activity	130/2778	466/17354	3.30653386289183e-11	4.50515238819012e-09	3.76770832271621e-09	KCNAB3/ANO3/AQP9/ANO1/KCNA1/CHRNA9/GABRQ/SLC9C1/ANO9/CACNA1A/SCN8A/PANX2/KCNJ10/KCNJ15/SCN9A/KCNS2/LRRC55/KCNT2/CLCNKB/GJA3/KCNG2/CACNG7/CLCA2/ABCC8/SCN1A/CACNA1E/FXYD1/PKD1L2/GRIA1/KCNJ4/GRIN1/CNGA3/GABRR1/KCNF1/SCN2B/LRRC26/HCN1/KCNB1/KCNN4/FKBP1B/ANO5/GRIA2/RYR2/CALHM6/KCND1/CLIC4/SLC17A7/KCNH8/CACNA2D4/CHRNA3/GRIK5/AQP4/CHRNA7/KCNA5/TRPM3/CYBB/CATSPER1/SLC4A11/PKD2L1/TRPM8/CLIC1/P2RX1/KCNS3/TRPC3/RYR3/FXYD5/GABRR2/KCNJ3/KCNIP1/GJC1/KCNN2/CALHM3/CHRFAM7A/TMEM150C/CACNB4/KCNMB1/TMC1/KCNA4/CLIC3/KCNQ1/KCNMA1/TRPC4/TMEM37/JPH2/KCNIP3/KCNK2/HCN4/SLC24A3/GRIN3B/NCS1/KCNK6/SCNN1B/HCN3/GRIN2A/GJB3/SLC26A7/GRIK3/GRIA3/KCNAB1/CACNA1C/FXYD6/TRPM2/ABCC9/CACNA1H/GLRA4/TMEM38A/STEAP1/SCN3B/KCNE4/KCND3/KCNH2/MCOLN3/KCNK3/SLC26A10/DLG3/ANO4/LRRC8B/FXYD2/KCNC3/CACNB2/KCNQ4/KCNC1/ITPR1/TRPV4/KCNS1/GPM6A/GJB2/CACNA2D1/BCL2A1/SCN3A	130
GO:0022803	passive transmembrane transporter activity	130/2778	467/17354	3.8740052748272e-11	4.69185083284627e-09	3.92384627836299e-09	KCNAB3/ANO3/AQP9/ANO1/KCNA1/CHRNA9/GABRQ/SLC9C1/ANO9/CACNA1A/SCN8A/PANX2/KCNJ10/KCNJ15/SCN9A/KCNS2/LRRC55/KCNT2/CLCNKB/GJA3/KCNG2/CACNG7/CLCA2/ABCC8/SCN1A/CACNA1E/FXYD1/PKD1L2/GRIA1/KCNJ4/GRIN1/CNGA3/GABRR1/KCNF1/SCN2B/LRRC26/HCN1/KCNB1/KCNN4/FKBP1B/ANO5/GRIA2/RYR2/CALHM6/KCND1/CLIC4/SLC17A7/KCNH8/CACNA2D4/CHRNA3/GRIK5/AQP4/CHRNA7/KCNA5/TRPM3/CYBB/CATSPER1/SLC4A11/PKD2L1/TRPM8/CLIC1/P2RX1/KCNS3/TRPC3/RYR3/FXYD5/GABRR2/KCNJ3/KCNIP1/GJC1/KCNN2/CALHM3/CHRFAM7A/TMEM150C/CACNB4/KCNMB1/TMC1/KCNA4/CLIC3/KCNQ1/KCNMA1/TRPC4/TMEM37/JPH2/KCNIP3/KCNK2/HCN4/SLC24A3/GRIN3B/NCS1/KCNK6/SCNN1B/HCN3/GRIN2A/GJB3/SLC26A7/GRIK3/GRIA3/KCNAB1/CACNA1C/FXYD6/TRPM2/ABCC9/CACNA1H/GLRA4/TMEM38A/STEAP1/SCN3B/KCNE4/KCND3/KCNH2/MCOLN3/KCNK3/SLC26A10/DLG3/ANO4/LRRC8B/FXYD2/KCNC3/CACNB2/KCNQ4/KCNC1/ITPR1/TRPV4/KCNS1/GPM6A/GJB2/CACNA2D1/BCL2A1/SCN3A	130
GO:0005261	cation channel activity	95/2778	314/17354	1.44161656920619e-10	1.57136206043474e-08	1.31414731466585e-08	KCNAB3/ANO1/KCNA1/CHRNA9/CACNA1A/SCN8A/KCNJ10/KCNJ15/SCN9A/KCNS2/LRRC55/KCNT2/KCNG2/CACNG7/ABCC8/SCN1A/CACNA1E/PKD1L2/GRIA1/KCNJ4/GRIN1/CNGA3/KCNF1/SCN2B/LRRC26/HCN1/KCNB1/KCNN4/FKBP1B/GRIA2/RYR2/CALHM6/KCND1/KCNH8/CACNA2D4/CHRNA3/GRIK5/CHRNA7/KCNA5/TRPM3/CATSPER1/SLC4A11/PKD2L1/TRPM8/P2RX1/KCNS3/TRPC3/RYR3/KCNJ3/KCNIP1/KCNN2/CALHM3/CACNB4/KCNMB1/TMC1/KCNA4/KCNQ1/KCNMA1/TRPC4/TMEM37/JPH2/KCNIP3/KCNK2/HCN4/SLC24A3/GRIN3B/NCS1/KCNK6/SCNN1B/HCN3/GRIN2A/GRIK3/GRIA3/KCNAB1/CACNA1C/TRPM2/ABCC9/CACNA1H/TMEM38A/SCN3B/KCNE4/KCND3/KCNH2/MCOLN3/KCNK3/KCNC3/CACNB2/KCNQ4/KCNC1/ITPR1/TRPV4/KCNS1/GPM6A/CACNA2D1/SCN3A	95
