ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04060	Cytokine-cytokine receptor interaction	87/953	265/5894	5.48023825815043e-12	1.12344884292084e-09	9.69136870915023e-10	3595/60401/2277/6387/3572/6352/8793/939/3577/388372/50615/643/3561/4050/8744/356/1440/970/53833/608/6361/5473/6349/3589/1950/943/3586/7293/6354/7850/6372/6356/3559/1232/6348/50604/23495/7040/3590/8784/3952/51330/6376/5617/3569/5154/1441/83729/6374/3976/2921/1230/6368/11009/6366/27190/7424/163702/6357/5008/6355/58985/2919/8600/3601/10344/4352/3570/1436/3554/3587/6364/3606/10913/4804/6351/5196/3574/269/56477/1437/51561/3553/6362/5618/3576/4233	87
hsa04020	Calcium signaling pathway	54/953	177/5894	1.00673780263313e-06	0.000103190624769896	8.90168162328245e-05	57105/6547/552/2065/773/492/6543/816/777/2902/493/818/2769/2774/5733/887/291/487/6262/1139/2767/5260/4638/4923/6865/154/5023/6263/1812/5137/1131/5330/5153/2911/2903/8877/775/491/8912/3274/148/815/3356/9630/108/5332/3708/7134/5350/3362/155/3363/6546/5255	54
hsa04640	Hematopoietic cell lineage	32/953	88/5894	2.93087827730874e-06	0.000200276682282764	0.000172767561609778	916/1440/909/931/3684/920/3589/1604/7850/3559/3672/3590/290/929/3569/1441/930/2208/951/3123/945/3570/1436/3554/1378/1380/3574/4311/1437/3553/2209/915	32
hsa04080	Neuroactive ligand-receptor interaction	72/953	272/5894	6.37014434853015e-06	0.000291221170618939	0.000251220316631485	53829/57105/2918/3001/55584/552/55879/1813/5646/4886/9568/4829/4986/3352/2890/2902/2569/5746/9340/59350/5733/887/10886/2891/1903/7434/1136/2901/1139/2914/4923/6865/154/2846/5023/3952/3351/6751/5617/2570/1812/165829/2358/10316/1131/719/9002/3972/116444/2911/140/2903/1815/2899/1394/2892/3274/148/5729/7068/3356/2912/706/5028/1268/3362/2150/155/3363/5618/2357/2847	72
hsa05150	Staphylococcus aureus infection	23/953	56/5894	7.10295538094972e-06	0.000291221170618939	0.000251220316631485	629/5648/3075/3684/3383/717/3586/2213/10747/714/2358/2214/712/719/6404/3689/3123/3108/1675/2212/713/2209/2357	23
hsa04610	Complement and coagulation cascades	26/953	69/5894	1.18732869521515e-05	0.000405670637531842	0.000349949510168675	629/5648/3075/735/729/717/1604/2153/2161/5328/2/2162/10747/5054/714/712/719/7035/5265/733/1378/1675/1380/725/5329/713	26
hsa04380	Osteoclast differentiation	39/953	128/5894	3.3396048377336e-05	0.000918865509042802	0.000792654200355279	2354/55423/2213/4286/1536/11006/11027/10990/7040/5293/695/79168/5602/10288/2214/7305/8061/653361/6850/11025/5295/54209/6688/140885/9846/10859/1535/5603/8600/1436/3554/126014/11026/54/4689/3553/10000/2212/2209	39
hsa04974	Protein digestion and absorption	28/953	81/5894	3.58581662065484e-05	0.000918865509042802	0.000792654200355279	6547/131873/1287/1297/1357/5646/7373/6543/7512/3783/1302/643847/1299/1301/6519/6510/1803/3784/1284/5222/1288/643834/481/1280/4311/486/477/6546	28
hsa05146	Amoebiasis	33/953	106/5894	8.32986652620501e-05	0.00189735848652447	0.00163674570339467	1287/735/3684/87/7414/2769/2774/1302/3586/7850/3909/2767/7040/5293/929/3569/1301/5295/5330/1284/1288/2919/3689/733/5055/3554/1280/9630/5332/1437/3553/88/3576	33
hsa05410	Hypertrophic cardiomyopathy (HCM)	27/953	83/5894	0.000160828908632838	0.00323975624349863	0.00279475763238906	7139/59284/53632/3694/1756/6262/7137/93589/3672/7040/8516/3569/3679/785/70/775/51422/1674/6442/7168/783/7134/5565/6546/781/7169/5563	27
hsa05323	Rheumatoid arthritis	29/953	92/5894	0.000173840578919439	0.00323975624349863	0.00279475763238906	6387/6352/4050/245972/6349/3383/3589/4312/6372/533/6348/7040/3569/6374/1514/2919/3689/3123/8600/3108/6364/3606/4314/1437/54/51561/3553/942/3576	29
hsa04062	Chemokine signaling pathway	49/953	189/5894	0.000333449665734448	0.00569643178963015	0.00491399507398133	6387/6352/3577/388372/643/6361/5473/94235/6349/2788/6354/6372/6356/1232/6348/6376/5293/6374/6093/2921/1230/653361/6368/5880/5295/5330/2786/6366/7409/6357/6355/2793/7454/2919/9475/111/10344/6364/10451/6351/5196/108/56477/5332/3055/6362/10000/6777/3576	49
hsa04630	Jak-STAT signaling pathway	40/953	155/5894	0.00125989315423348	0.0198675458936817	0.017138627523176	3595/3572/50615/3561/894/1440/53833/5777/3589/3586/3559/3598/50604/3590/3952/5293/5617/3569/1441/595/8835/4609/3976/5295/11009/163702/5008/58985/3601/4352/3570/3587/30837/3574/6775/1437/51561/10000/6777/5618	40
hsa05142	Chagas disease (American trypanosomiasis)	29/953	104/5894	0.00162034968346078	0.02372654893639	0.0204675749489783	6352/356/916/6349/2769/2774/3586/2767/6348/7040/5293/5522/5054/3569/714/5602/712/5295/5330/5521/5603/2775/9630/5332/3553/10000/713/3576/915	29
hsa02010	ABC transporters	15/953	44/5894	0.00270135802120703	0.0359473306099168	0.0310097640177973	6833/10351/5243/23456/23460/9429/10350/340273/368/10060/26154/225/154664/5244/9619	15
hsa00360	Phenylalanine metabolism	8/953	17/5894	0.00280564531589595	0.0359473306099168	0.0310097640177973	220/8639/4128/4129/9588/222/218/3242	8
hsa05414	Dilated cardiomyopathy	25/953	90/5894	0.00349477190690068	0.0421428377008611	0.0363542836135798	7139/59284/3694/1756/6262/7137/93589/3672/7040/8516/3679/785/70/775/1674/111/6442/7168/783/108/7134/5350/6546/781/7169	25
