ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	187/2914	365/18511	4.13276775571516e-57	2.51272279547481e-54	1.92282457686958e-54	COL9A1/FREM1/WNT3A/COL2A1/CPA6/EPYC/EMILIN3/HPSE2/SPARC/GPC5/WNT11/FBLN1/EMILIN1/VIT/PODNL1/LOXL1/MFAP2/NOV/ELN/ADAMTS10/WNT2B/WNT9A/COL5A1/LAMA1/COL16A1/THSD4/NID1/VWC2/MMP17/COL6A1/COL8A1/TLR9/LTBP4/CCDC80/GPLD1/CHL1/ADAMTS5/LOX/LUM/LAMB2/CTHRC1/COL5A2/FLRT2/LRRC55/WNT7A/HMCN1/SPOCK3/COL24A1/VWF/NDNF/PTN/MMP2/LRRN3/COL4A2/TECTA/IMPG2/TIMP3/ECM2/ASPN/COL3A1/TNN/PXDN/CILP/TNR/OMD/CPZ/THBS4/FBN3/MATN2/ABI3BP/DCN/COL4A3/COL1A1/MMP16/ADAMTS2/COL10A1/SPOCK1/TIMP1/TGFBI/LRRN2/COLQ/MFAP5/ADAMTS16/TNXB/LTBP2/NTN1/COL19A1/NTN3/MMRN2/LRRN1/CYR61/COL7A1/TNC/PODN/COL6A5/GLDN/ADAMTSL3/COL6A3/CILP2/SPON1/ANOS1/PI3/WISP2/FBLN2/CRISPLD2/ENTPD2/FGF1/SFTPD/THBS2/PRELP/GPC6/COL4A4/FLRT1/ADAMTSL1/ENAM/LTBP1/COL12A1/FN1/COL6A2/EFEMP1/ADAMTS15/LAMC1/LAMA2/MAMDC2/VCAN/ADAMTS18/FBN1/MMP11/LINGO2/CD248/WNT9B/ADAMTS3/MYOC/SPARCL1/TIMP2/EFEMP2/COL4A5/C6orf15/LINGO3/CTGF/ADAMTS12/LRFN2/SMOC2/CCBE1/TGFBR3/TFPI2/LRFN5/TIMP4/SFRP1/COL15A1/COL4A6/COL21A1/COL14A1/LAMA4/COL9A2/FBLN7/KERA/RELN/COL1A2/COMP/DPT/SBSPON/LRRC70/COL8A2/FMOD/RBP3/HSPG2/MFAP4/CRTAC1/NID2/SERPINF1/OGN/ADAMTS8/WISP1/COL26A1/MGP/MATN3/MMP23B/COL6A6/ADAMTSL4/POSTN/BGN/ADAMTS1/FBLN5/MMP12/DST/ZPLD1	187
GO:0044420	extracellular matrix component	64/2914	120/18511	1.63160653674866e-21	4.96008387171593e-19	3.79563204864688e-19	FREM1/COL2A1/SPARC/FBLN1/EMILIN1/LOXL1/MFAP2/ELN/ADAMTS10/COL5A1/LAMA1/THSD4/NID1/VWC2/COL8A1/CCDC80/LUM/LAMB2/COL5A2/HMCN1/PTN/COL4A2/TIMP3/COL3A1/TNR/THBS4/MATN2/COL4A3/COL1A1/TIMP1/TGFBI/COLQ/MFAP5/TNXB/NTN1/MMRN2/COL7A1/TNC/ENTPD2/THBS2/COL4A4/LTBP1/COL12A1/FN1/LAMC1/LAMA2/FBN1/EFEMP2/COL4A5/SMOC2/COL15A1/COL4A6/COL14A1/LAMA4/COL1A2/COL8A2/RBP3/HSPG2/MFAP4/NID2/SERPINF1/ADAMTS1/FBLN5/DST	64
GO:0044449	contractile fiber part	88/2914	209/18511	5.27223783763703e-20	1.06850686842777e-17	8.17659341837042e-18	SCN5A/MYH13/DUSP27/SCN3B/ACTN1/MYH11/MYOT/CMYA5/MYBPC2/OBSL1/KRT19/KLHL41/TPM2/DES/MYOZ3/RYR2/FERMT2/ANKRD2/NOS1/ATP2B4/SYNPO2L/FHOD3/PARVA/MMP2/MYL3/IGFN1/CACNA1C/TPM1/ABRA/CRYAB/ACTC1/TRIM63/SYNPO2/KCNA5/IDO1/ACTA1/ACTA2/HRC/TNNI3/LMOD3/ABCC9/SORBS2/CASQ2/FLNA/KRT8/FLNC/RYR1/MYOZ2/MYL4/DMD/SYNPO/TMOD2/VCL/SMPX/JPH2/TNNT3/PPP1R12B/ILK/ITGB1BP2/SYNC/TMOD1/CASQ1/CFL2/LMOD1/TIMP4/AHNAK/ADRA1A/PALLD/JUP/FBXL22/NEXN/MYOM1/SLC8A1/SYNM/FBXO32/LDB3/KY/ARHGEF25/SVIL/TCAP/ANK2/AHNAK2/SYNE1/DST/ACTN2/MYL9/PGM5/PDLIM3	88
GO:0097060	synaptic membrane	110/2914	295/18511	1.02607885039287e-19	1.55963985259716e-17	1.19349171545696e-17	CHRNA4/NETO1/OPRD1/LRRC4C/MUSK/KCND2/DRP2/TMEM240/LIN7A/ANKS1B/SYP/MPDZ/GRIA3/GSG1L/CHRM2/SHANK3/SHANK1/GRIK2/CPE/ITGA8/IQSEC3/KCTD8/DGKI/GRM7/PALM/KCNA2/GRM6/NLGN4X/LRRC4/MPP2/UNC13A/TMEM108/SHISA9/GRIN2A/CRYAB/SRPX2/IL31RA/P2RY1/IL1RAPL1/NLGN3/SYT11/LRRC7/GRIK3/NLGN1/MAGEE1/NLGN2/SSPN/GABBR1/SNAP25/NCS1/NRXN1/KCTD12/CPEB1/P2RX1/GPER1/DMD/SYNPO/CHRM4/NLGN4Y/LZTS1/PDE2A/CHRNB4/ARC/DLG4/EPHA7/PTPRS/BAALC/CAMK2A/DDN/LRRTM1/DLGAP2/LRFN2/GABRA5/ADGRB1/GRID1/RIMS4/RIMS1/GRIA2/CHRNA6/GRM5/RIMS2/LRRC4B/SLC8A1/GRIA1/KCNH1/DLG2/GRIK5/UNC13C/GABRG2/TENM2/GLRA2/CHRNB2/CBLN1/PCDH8/SHC4/UTRN/SYNDIG1/F2R/APBB1/CNR1/CNKSR2/CHRNA3/GLRB/KCNA1/ANK2/SYNE1/KCNB1/KCTD16/PDLIM4/GABBR2	110
GO:0034703	cation channel complex	88/2914	212/18511	1.62241161628301e-19	1.97285252540014e-17	1.50969670399387e-17	SCN5A/CACNG6/SCN3B/KCNIP2/KCND2/KCNMA1/AMIGO1/DPP6/CPT1C/KCNA6/KCNMB1/KCNJ8/ABCC8/GRIA3/KCNJ6/SCN2B/ATP2A1/RYR2/VWC2/KCNIP3/NOS1/SHANK1/CACNA1G/GRIK2/KCND1/SHISA7/DPP10/LRRC55/KCNA2/SCN1B/CATSPERB/SCNN1B/SCN3A/CACNA1B/CACNA1C/SHISA9/GRIN2A/AKAP6/KCNIP1/SCN4A/KCNA5/KCNMB2/KCNQ5/KCND3/NLGN1/SCN4B/TRPC4/KCNH2/KCNJ5/KCNAB1/ABCC9/CASQ2/KCNA3/SNAP25/KCNS2/RYR1/CACNA2D1/KCNT2/KCNQ1/KCNA4/TRPC5/DLG4/KCNK4/CATSPERZ/CNTN2/CACNG4/HSPA2/KCNG1/CACNA1H/GRIA2/KCNB2/GRIA1/KCNH1/DLG2/GRIK5/KCNC1/PKD1L1/SCN7A/CNTNAP1/CACNG1/CACNA2D2/SCN11A/KCNQ4/KCNA1/KCNS3/KCNB1/CACNB2/KCNK2	88
GO:0030425	dendrite	157/2914	495/18511	2.13227382716883e-19	2.16070414486442e-17	1.65344742387478e-17	CPNE6/NECAB2/KIF5A/CHRNA4/OPRD1/PTPRO/LRP1/SYT4/DPYSL5/KCND2/AMIGO1/MAGI2/DRP2/KIRREL1/CPT1C/ANKS1B/APOD/ATP1A2/ADCY2/MPDZ/NOV/SGCE/FCGR2B/CHRM2/SHANK3/LRRK2/BRINP2/FGF13/KCNIP3/NOS1/SHANK1/TIAM1/GNAO1/CALB1/HTR2A/SEMA3A/ADCY4/GRIK2/CHL1/ITGA8/MAPT/KCND1/DGKI/GRM7/PALM/RET/KCNA2/SLC8A2/SAMD4A/GRM6/NLGN4X/CKB/CACNA1B/LYNX1/LRRC4/BRINP3/MPP2/GNAZ/TMEM108/EPHA5/SEZ6/SHISA9/GPM6A/PSD/CRYAB/RCVRN/ARHGEF15/NTRK1/PCSK2/IL6ST/P2RY1/TTLL7/SLC8A3/KCNIP1/IL1RAPL1/ITPKA/KCND3/SYT11/GRIK3/NLGN1/MAGEE1/TACR1/KCNAB1/CTTNBP2/PNOC/MAP2/KIF1A/SLC5A7/GABBR1/FLNA/NCS1/CLU/C4A/PLXDC1/CPEB1/ROR2/GPER1/AZIN2/PENK/SYNPO/GABARAPL1/FEZ1/LAMA2/LZTS1/CNR2/ARC/TRPC5/DLG4/EPHA7/TRIM9/MAP1B/ILK/DDN/SV2A/ZWINT/THY1/CNGA3/JPH4/GABRA5/ADGRB1/GRIA2/NFASC/KCNB2/PALMD/RELN/SLC8A1/GRIA1/KCNH1/GRIK5/CCL2/GABRG2/TENM2/KCNC1/BMPR1B/KIRREL3/PCDH8/CTNND2/PRNP/SYNDIG1/CCR2/APBB1/WLS/CHRNA3/GLRB/DOCK10/KCNA1/CRHBP/BRINP1/LAMP5/KCNB1/LPAR1/NSG2/PDLIM4/PRKAR2B/ACTN2/ATCAY/LRP8	157
GO:0043292	contractile fiber	90/2914	224/18511	8.2257849135928e-19	7.1446817535206e-17	5.4673638072301e-17	SCN5A/MYH13/DUSP27/SCN3B/ACTN1/CALD1/MYH11/MYOT/CMYA5/MYBPC2/OBSL1/KRT19/KLHL41/KCNJ8/TPM2/DES/MYOZ3/RYR2/FERMT2/ANKRD2/NOS1/ATP2B4/SYNPO2L/FHOD3/PARVA/MMP2/MYL3/IGFN1/CACNA1C/TPM1/ABRA/CRYAB/ACTC1/TRIM63/SYNPO2/KCNA5/IDO1/ACTA1/ACTA2/HRC/TNNI3/LMOD3/ABCC9/SORBS2/CASQ2/FLNA/KRT8/FLNC/RYR1/MYOZ2/MYL4/DMD/SYNPO/TMOD2/VCL/SMPX/JPH2/TNNT3/PPP1R12B/ILK/ITGB1BP2/SYNC/TMOD1/CASQ1/CFL2/LMOD1/TIMP4/AHNAK/ADRA1A/PALLD/JUP/FBXL22/NEXN/MYOM1/SLC8A1/SYNM/FBXO32/LDB3/KY/ARHGEF25/SVIL/TCAP/ANK2/AHNAK2/SYNE1/DST/ACTN2/MYL9/PGM5/PDLIM3	90
GO:0042383	sarcolemma	61/2914	122/18511	1.00046943058808e-18	7.46277321794711e-17	5.71077867439858e-17	SCN5A/TRIM72/MYOT/SLC27A6/ATP1A2/KRT19/KCNJ8/ABCC8/SGCE/FXYD1/SNTB1/DES/NOS1/SGCA/COL6A1/ATP2B4/SNTG2/SCN1B/TGFB3/SLMAP/CACNA1C/POPDC2/AKAP6/SLC8A3/KCND3/KCNJ5/SSPN/COL6A3/ABCC9/RDX/KRT8/FLNC/RYR1/SGCD/DYSF/STAC/CACNA2D1/PDE9A/DMD/COL6A2/LAMA2/SGCG/VCL/AQP1/SYNC/CASQ1/AHNAK/ADRA1A/SLC8A1/SYNM/VCAM1/SLC2A4/UTRN/DTNA/BGN/ANK2/AHNAK2/KCNB1/BVES/CACNB2/PGM5	61
GO:0005581	collagen trimer	50/2914	88/18511	1.10468682502507e-18	7.46277321794711e-17	5.71077867439858e-17	COL9A1/COL2A1/EMILIN1/COL5A1/COL16A1/C1QTNF3/SCARA3/COL6A1/COL8A1/LOX/LUM/COL23A1/CTHRC1/COL5A2/COL24A1/C1QL1/COL4A2/COL3A1/DCN/COL4A3/COL1A1/COL10A1/COLQ/TNXB/COL19A1/COL7A1/COL6A5/COL25A1/GLDN/COL6A3/SFTPD/COL4A4/C1QTNF2/COL12A1/COL6A2/FCN1/C1QTNF7/COL4A5/COLEC12/CCBE1/COL15A1/COL4A6/COL21A1/COL14A1/COL9A2/ADIPOQ/COL1A2/COL8A2/COL26A1/COL6A6	50
GO:0098794	postsynapse	138/2914	424/18511	2.89894787574546e-18	1.76256030845324e-16	1.34877364324157e-16	CHRNA4/SORCS3/NETO1/OPRD1/PTPRO/LRRC4C/MUSK/GAP43/KCND2/MAGI2/DRP2/LIN7A/ANKS1B/ATP1A2/MPDZ/GRIA3/GSG1L/FCGR2B/CHRM2/SHANK3/LRRK2/NOS1/SHANK1/TIAM1/CALB1/GRIK2/ITGA8/IQSEC3/KCTD8/DGKI/CAP2/GRM7/PALM/SLC8A2/ADGRB3/NLGN4X/GHRL/CACNA1C/LRRC4/MPP2/TMEM108/SEZ6/SHISA9/GPM6A/GRIN2A/PSD/CRYAB/SPOCK1/P2RY1/SLC8A3/NPAS4/IL1RAPL1/ITPKA/ITPR1/NLGN3/SYT11/LRRC7/GRIK3/DCLK1/EPB41L3/NLGN1/MAGEE1/NLGN2/SSPN/CTTNBP2/MAP2/P2RX2/KIF1A/GABBR1/SNAP25/NCS1/KCTD12/CPEB1/P2RX1/GPER1/DMD/SYNPO/LAMA2/CHRM4/NLGN4Y/LZTS1/CHRNB4/ARC/DLG4/EPHA7/PTPRS/NEFH/BAALC/MAP1B/CAMK2A/DDN/LRRTM1/DLGAP2/LRFN2/GABRA5/ADGRB1/GRID1/GRIA2/CHRNA6/PALMD/GRM5/SLC17A7/SLC8A1/GRIA1/KCNH1/DLG2/GRIK5/GABRG2/TENM2/GLRA2/CHRNB2/CBLN1/PCDH8/SHC4/UTRN/PRNP/P2RX7/SYNDIG1/SNCA/F2R/APBB1/DAB1/CNKSR2/CHRNA3/GLRB/DOCK10/MEF2C/ANK2/SYNE1/KCNB1/LPAR1/KCTD16/PDLIM4/PRKAR2B/ADD2/ACTN2/GABBR2/LRP8	138
