ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050808	synapse organization	47/1358	260/17381	4.79809265336443e-08	0.000127250937788483	0.000115657585412909	SLITRK6/WNT7A/NRXN1/MAPT/EPHB3/SDK2/CACNA2D2/PCDHB15/SHANK2/NFASC/PCLO/DRD1/CTNNA2/RELN/DKK1/CACNB4/CNTN2/PCDHGC4/SYNDIG1/NTRK3/SEZ6L/CUX2/SLITRK5/CTNND2/NRXN2/SPOCK2/ROBO2/CACNB2/PALM/LRTM2/LINGO2/FLRT1/CLSTN2/SLITRK3/GPM6A/SLIT1/CBLN1/LRRTM1/LRRTM2/CHRNA7/PAK3/WNT3A/SNCG/SLITRK2/C1QL1/SHANK1/NLGN1	47
GO:0006813	potassium ion transport	45/1358	244/17381	4.99317001328167e-08	0.000127250937788483	0.000115657585412909	SLC9A4/KCNG3/KCNN4/ATP1A3/KCNMB2/ACTN2/KCNK2/KCNK17/REST/DRD1/FXYD2/EDN3/KCNIP4/KCNK16/GCK/GRIK4/KCNB1/DPP6/KCNAB1/ATP1A2/KCND3/KCNJ13/KCNJ1/ATP12A/FXYD3/SLC9C2/FHL1/SLC24A3/ABCC8/KCNA1/NOS1/TMEM38A/ABCC9/KCNK7/KCNK9/GAL/ANK2/KCNC1/KCNA2/GRIK2/GALR2/HCN2/KCNIP1/DPP10/PKD2L1	45
GO:0071804	cellular potassium ion transport	39/1358	207/17381	2.15691695448667e-07	0.000274845142925465	0.000249805039913049	SLC9A4/KCNG3/KCNN4/ATP1A3/KCNMB2/ACTN2/KCNK2/KCNK17/REST/FXYD2/EDN3/KCNIP4/KCNK16/GRIK4/KCNB1/DPP6/KCNAB1/ATP1A2/KCND3/KCNJ13/KCNJ1/SLC9C2/FHL1/ABCC8/KCNA1/TMEM38A/ABCC9/KCNK7/KCNK9/GAL/ANK2/KCNC1/KCNA2/GRIK2/GALR2/HCN2/KCNIP1/DPP10/PKD2L1	39
GO:0071805	potassium ion transmembrane transport	39/1358	207/17381	2.15691695448667e-07	0.000274845142925465	0.000249805039913049	SLC9A4/KCNG3/KCNN4/ATP1A3/KCNMB2/ACTN2/KCNK2/KCNK17/REST/FXYD2/EDN3/KCNIP4/KCNK16/GRIK4/KCNB1/DPP6/KCNAB1/ATP1A2/KCND3/KCNJ13/KCNJ1/SLC9C2/FHL1/ABCC8/KCNA1/TMEM38A/ABCC9/KCNK7/KCNK9/GAL/ANK2/KCNC1/KCNA2/GRIK2/GALR2/HCN2/KCNIP1/DPP10/PKD2L1	39
GO:0010817	regulation of hormone levels	70/1358	486/17381	4.21515533814247e-07	0.000429692935170244	0.000390545234592948	KLK6/NRXN1/SLC30A8/C1QTNF12/CACNA2D2/BCO1/UCN/MAFA/ISL1/PDE8B/GALR1/DUOX2/CRABP1/GPLD1/ERO1B/PCLO/RDH5/REST/CRABP2/DOC2B/EDN3/CYP26B1/PPARGC1A/GCK/KCNB1/IL1RN/AKR1C2/DHRS3/STXBP5L/DIO1/EGR1/CLOCK/IYD/SOX8/AGTR1/ADCY5/NMU/SFRP1/DHRS9/CRYM/SLCO4A1/BMP8A/SLC16A2/CARTPT/SYT9/ABCC8/IRS1/UQCC2/CFTR/PRKCA/SLC5A5/TG/EPHA5/MYRIP/VGF/TPO/KISS1/SDR16C5/GAL/UGT2B11/ILDR2/P2RY1/ITPR1/LHB/BMP5/PASK/CYP19A1/DIO2/RETN/CYP26A1	70
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	42/1358	239/17381	5.41787041744518e-07	0.000448489541888041	0.00040762935345854	CLDN10/DSC3/NRXN1/UNC5D/CD177/PCDHGA2/SDK2/PCDHGA3/PCDHGA11/PCDHB15/CEACAM1/PCDHGA1/PTPRT/PCDH19/PCDH11X/NECTIN4/PCDHGA7/PCDHGA5/PCDHGB6/PCDHGC4/CDHR3/FAT4/FAT1/IL1RN/CDH16/CDH8/SELE/ROBO2/CLDN9/IGSF9B/LGALS7B/CLSTN2/PCDHGB3/CLDN3/PCDHGA4/CBLN1/TENM2/PCDHGA10/PCDHGA9/CLDN20/NECTIN3/NLGN1	42
GO:0006836	neurotransmitter transport	35/1358	183/17381	6.15936196432468e-07	0.000448489541888041	0.00040762935345854	WNT7A/NRXN1/SYT8/SLC6A14/SYT3/SYT2/CACNA1B/PCLO/RIMS4/DOC2B/DRD1/SLC5A7/SV2B/PPFIA2/NRXN2/ATP1A2/SLC18A3/SYT15/SLC6A4/SYN1/SLC6A20/SYT12/SYT9/CADPS/NOS1/GPM6B/TH/LIN7A/SYT13/SLC6A15/SNCG/DGKI/GABRQ/SLC6A17/NLGN1	35
GO:0051965	positive regulation of synapse assembly	18/1358	66/17381	1.93133222900432e-06	0.00115363336371708	0.00104853018467393	SLITRK6/WNT7A/NRXN1/EPHB3/SYNDIG1/NTRK3/CUX2/SLITRK5/LRTM2/LINGO2/FLRT1/CLSTN2/SLITRK3/CBLN1/LRRTM1/LRRTM2/SLITRK2/NLGN1	18
GO:0032411	positive regulation of transporter activity	22/1358	93/17381	2.03702183116612e-06	0.00115363336371708	0.00104853018467393	ABCB1/WNK2/ACTN2/HAP1/RELN/CACNA2D1/RYR2/CACNB2/JPH2/ABCC8/KCNA1/CFTR/ANXA2/TCAF1/S100A1/WNK3/SYNGR3/GAL/ANK2/KCNC1/GALR2/TRPC6	22
GO:0030534	adult behavior	28/1358	140/17381	3.23706689119861e-06	0.00132505082402019	0.00120433044753113	SLITRK6/PAX5/NRXN1/ADAM22/ATP1A3/SHANK2/CHRNA4/FGF12/SLC1A2/PREX2/HOXD10/DRD1/DMBX1/CNTN2/SEZ6L/SLITRK5/NRXN2/ATP1A2/CHL1/AGRP/NR4A3/CARTPT/CNTNAP2/HOXD9/CHRNA7/SNCG/NPY/SHANK1	28
