ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005930	axoneme	24/1205	109/18511	1.04579759860173e-07	3.24718467300456e-05	2.86934367929141e-05	AKAP14/DNAAF1/PRKAR2A/DNAH5/DNAH11/CFAP74/RP1/DNAH9/DNAH3/CFAP61/ARMC4/RSPH4A/DNAI1/CFAP221/RSPH9/CCDC39/CFAP206/DNAH7/HYDIN/DRC3/KIF19/DNAH6/DNAI2/RP1L1	24
GO:0097014	ciliary plasm	24/1205	110/18511	1.25616428356076e-07	3.24718467300456e-05	2.86934367929141e-05	AKAP14/DNAAF1/PRKAR2A/DNAH5/DNAH11/CFAP74/RP1/DNAH9/DNAH3/CFAP61/ARMC4/RSPH4A/DNAI1/CFAP221/RSPH9/CCDC39/CFAP206/DNAH7/HYDIN/DRC3/KIF19/DNAH6/DNAI2/RP1L1	24
GO:0044441	ciliary part	51/1205	414/18511	8.47171096230979e-06	0.00145995818917139	0.00129007809040086	AKAP14/GUCA1A/DRD1/CYS1/DNAAF1/TMEM231/SHANK2/TACR1/GUCY2D/PRKAR2A/CNGA4/ENKUR/DNAH5/MYRIP/TTBK2/GNA11/INHA/DNAH11/CFAP74/RP1/DNAH9/DNAH3/GPR157/CFAP61/KLC3/ARMC4/CATSPERZ/RSPH4A/CATSPERD/DNAI1/CFAP157/CFAP221/RSPH9/CCDC39/ABCA4/CFAP206/DNAH7/PKD1L1/HYDIN/DRC3/RSPH1/TUBA3D/KIF19/DNAH6/DNAI2/AGBL2/TUBA3C/KNCN/CNGB1/RILP/RP1L1	51
GO:0016323	basolateral plasma membrane	31/1205	207/18511	1.18407243001045e-05	0.0015304136157885	0.00135233535427509	KCNQ4/FRMPD2/SLC23A1/AJAP1/C5AR2/CDH17/ANK2/MLC1/OTOF/RHCG/KCNJ10/ADORA1/P2RY1/CTNNA2/KCNJ16/EGFR/SLC4A4/CLDN19/SLC40A1/SLC38A3/DST/ERBB4/RHBG/TF/ITGA9/TEK/SLC39A5/CA2/FXYD2/PTH1R/ADRA2A	31
GO:0044447	axoneme part	10/1205	33/18511	3.06051029037999e-05	0.00316456764025291	0.00279633992847351	DNAH5/DNAH3/CFAP61/RSPH4A/DNAI1/CFAP206/DNAH7/HYDIN/DNAH6/DNAI2	10
GO:0097060	synaptic membrane	38/1205	295/18511	4.41613781967153e-05	0.00325660045144011	0.00287766384185077	GRM7/RIMS1/CHRND/GABRA2/GRM5/GRIP1/CHRNA6/GRIK3/DLG2/SHANK2/CRYAB/SHC4/FOSL1/TENM2/GRIN3B/SH2D5/NLGN4Y/CHRNA7/CHRM4/ANK2/NECTIN3/SYP/GRIA2/KCNB1/NLGN4X/ADORA1/P2RY1/LRRC4B/SHANK1/DLGAP3/GABRP/HOMER2/ITGA8/UNC13A/NEURL1/GRIK4/GABRE/HTR3A	38
GO:0030424	axon	48/1205	407/18511	4.76665699208772e-05	0.00325660045144011	0.00287766384185077	GRM7/UCHL1/CPLX2/LRP2/CALCA/KCNQ2/NTSR1/TENM3/LPAR3/L1CAM/GRIK3/DLG2/CRYAB/IGF2BP1/SNCG/CHRNA7/SYP/ERMN/KCNB1/ADORA1/SLC17A7/NFASC/NEFL/LRRC4B/PVALB/GAP43/ATP1A3/CTNNA2/CALB2/C1QL1/NECAB2/SCN1A/DST/STMN3/PRSS12/AP3B2/PTPRN/SYBU/CA2/SLC17A8/UNC13A/ROBO3/COBL/CNGB1/UHMK1/HTR3A/SCN2A/SLC6A3	48
GO:0001533	cornified envelope	14/1205	64/18511	5.03922700416264e-05	0.00325660045144011	0.00287766384185077	DSG1/PI3/SPRR2A/PKP2/SPRR2D/CDSN/PKP1/SPRR1A/SPRR1B/FLG/CSTA/SPRR3/SPRR2F/CNFN	14
GO:0005578	proteinaceous extracellular matrix	44/1205	365/18511	5.80838431066379e-05	0.00333659409845909	0.00294834946295683	MMP13/IHH/COL21A1/PI3/MMP3/WNT9A/TNXB/ADAMTS8/OGN/ZPLD1/COL26A1/MMP1/VTN/C6orf15/WNT11/MUC4/COL4A4/COL12A1/COL4A3/HPSE/ADAMTSL1/RELN/TGFBI/MMP12/RTBDN/VWC2/TNFRSF11B/CRISP3/COL9A3/ABI3BP/PHOSPHO1/WNT10A/DST/WNT6/VWA2/EPYC/ADAMTSL3/MAMDC2/NTN1/COL10A1/THSD4/ADAMTS6/MMP26/HPSE2	44
GO:0031514	motile cilium	23/1205	146/18511	6.93278923890216e-05	0.00358425203651242	0.00316719003124583	TEKT1/TACR1/ENKUR/SORD/DRC7/DNAH11/DNAH9/ROPN1B/TSSK1B/CFAP61/KLC3/CATSPERZ/RSPH4A/CATSPERD/IQUB/TEKT4/RSPH9/CFAP206/CFAP65/HAVCR1/RSPH1/ROPN1L/DNAI2	23
