ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	28/952	157/17381	2.82176435197454e-08	0.000136658047566127	0.00012804869601434	PCDH17/PCDHB3/CDH13/PCDHGB4/PCDHB1/PCDHA12/PCDHB5/CD84/CADM1/PCDH8/CADM3/PCDHGA10/PCDHGA9/CDH17/PCDHAC1/CDHR5/PCDHGA12/PCDHB15/PCDHGB7/PTPRT/PCDHAC2/CLSTN2/PCDHGA2/PCDHA2/CDH26/PCDHB11/CDH6/PCDHGA8	28
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	35/952	239/17381	1.01311641841551e-07	0.000147809827376203	0.000138497922301056	PCDH17/PCDHB3/CDH13/PCDHGB4/TENM1/PCDHB1/PCDHA12/PCDHB5/CD84/CADM1/CLDN16/PCDH8/IL1RAPL1/CADM3/PCDHGA10/PCDHGA9/CDH17/FXYD5/PCDHAC1/CD177/UNC5D/CDHR5/PCDHGA12/PCDHB15/PCDHGB7/PTPRT/PCDHAC2/CLSTN2/PCDHGA2/PCDHA2/CDH26/PCDHB11/CD209/CDH6/PCDHGA8	35
GO:0006936	muscle contraction	45/952	352/17381	1.02709794563707e-07	0.000147809827376203	0.000138497922301056	KCND3/UCN/SCN7A/NOS1/TBXA2R/KCNE5/GNAO1/MYH7/KCNE1/MYL2/HTR7/FKBP1B/ANK2/OXTR/DRD1/MB/PPP1R12B/KCNN2/PIK3CG/TACR1/CACNA2D1/IGSF22/PTGS2/SCN4B/ATP1A2/ADRB2/RYR2/ADRA2A/MYL4/GUCY1A3/ROCK2/ATP2A1/CHRNA3/PKP2/MYOCD/PROK2/EDNRB/KIT/MYLK2/TACR2/MYL6B/TTN/ADRA1A/FGF12/C12orf57	45
GO:0007204	positive regulation of cytosolic calcium ion concentration	39/952	285/17381	1.22081211956393e-07	0.000147809827376203	0.000138497922301056	NMB/P2RY1/NOS1/TBXA2R/AKAP6/ESR1/P2RY8/FKBP1B/ANK2/OXTR/DRD1/PIK3CG/CYSLTR1/CCR4/TACR1/JPH1/CACNA2D1/GATA2/GRIN2D/CACNA1A/PTPRC/HAP1/ATP1A2/RYR2/ADCYAP1R1/EPO/GRIN2A/GNG3/FPR3/GPR35/FPR2/LPAR4/GPR157/GPR20/PROK2/ADCY5/EDNRB/CCL19/ADRA1A	39
GO:0006937	regulation of muscle contraction	27/952	163/17381	2.39504059445437e-07	0.00023198363197885	0.000217368842161953	UCN/NOS1/TBXA2R/MYH7/MYL2/FKBP1B/ANK2/OXTR/PPP1R12B/PIK3CG/TACR1/PTGS2/ATP1A2/ADRB2/RYR2/ADRA2A/GUCY1A3/ATP2A1/CHRNA3/PKP2/MYOCD/PROK2/KIT/MYLK2/TACR2/ADRA1A/C12orf57	27
GO:0001508	action potential	24/952	140/17381	5.81023444313782e-07	0.000468982756801941	0.000439437204988898	KCND3/SCN7A/KCNE5/AKAP6/KCNE1/CATSPER3/FKBP1B/ANK2/DRD1/KCNN2/TACR1/CACNA2D1/CACNA1A/SCN4B/ATP1A2/RYR2/GPR35/CNR1/SCN2A/HCN2/PKP2/NRCAM/ADRA1A/FGF12	24
GO:0003012	muscle system process	50/952	448/17381	1.35978250483381e-06	0.00094077523870145	0.00088150712456219	P2RY1/KCND3/UCN/SCN7A/NOS1/TBXA2R/KCNE5/GNAO1/AKAP6/MYH7/KCNE1/MYL2/HTR7/FKBP1B/ANK2/OXTR/MYOC/DRD1/MB/PPP1R12B/KCNN2/PIK3CG/TACR1/CACNA2D1/IGSF22/PTGS2/SCN4B/ATP1A2/ADRB2/RYR2/ADRA2A/MYL4/GUCY1A3/AGTR2/ROCK2/ATP2A1/CHRNA3/PKP2/MYOCD/PROK2/EDNRB/KIT/NPPB/MYLK2/TACR2/MYL6B/TTN/ADRA1A/FGF12/C12orf57	50
GO:0051480	regulation of cytosolic calcium ion concentration	39/952	318/17381	2.06276394897106e-06	0.00124874572560836	0.00117007570842293	NMB/P2RY1/NOS1/TBXA2R/AKAP6/ESR1/P2RY8/FKBP1B/ANK2/OXTR/DRD1/PIK3CG/CYSLTR1/CCR4/TACR1/JPH1/CACNA2D1/GATA2/GRIN2D/CACNA1A/PTPRC/HAP1/ATP1A2/RYR2/ADCYAP1R1/EPO/GRIN2A/GNG3/FPR3/GPR35/FPR2/LPAR4/GPR157/GPR20/PROK2/ADCY5/EDNRB/CCL19/ADRA1A	39
GO:0006939	smooth muscle contraction	19/952	106/17381	4.34336960961047e-06	0.00220100392985954	0.00206234238056543	TBXA2R/HTR7/FKBP1B/OXTR/DRD1/TACR1/PTGS2/ATP1A2/ADRB2/ADRA2A/GUCY1A3/ROCK2/CHRNA3/MYOCD/PROK2/EDNRB/KIT/TACR2/ADRA1A	19
GO:0060048	cardiac muscle contraction	21/952	129/17381	6.77204965152628e-06	0.00220100392985954	0.00206234238056543	KCND3/UCN/NOS1/KCNE5/MYH7/KCNE1/MYL2/FKBP1B/ANK2/KCNN2/PIK3CG/CACNA2D1/SCN4B/ATP1A2/RYR2/MYL4/PKP2/MYLK2/TTN/ADRA1A/FGF12	21
GO:0006940	regulation of smooth muscle contraction	14/952	64/17381	7.29566499733411e-06	0.00220100392985954	0.00206234238056543	TBXA2R/OXTR/TACR1/PTGS2/ATP1A2/ADRB2/ADRA2A/GUCY1A3/CHRNA3/MYOCD/PROK2/KIT/TACR2/ADRA1A	14
GO:0050880	regulation of blood vessel size	22/952	140/17381	7.42716022216197e-06	0.00220100392985954	0.00206234238056543	P2RY1/UCN/NOS1/TBXA2R/CASR/HTR7/CPS1/OXTR/DRD1/TACR1/PTGS2/ATP1A2/ADRB2/ADRA2A/FOXC2/GUCY1A3/AGTR2/FGG/HRH2/EDNRB/NPPB/ADRA1A	22
GO:0006941	striated muscle contraction	25/952	172/17381	7.5858958629761e-06	0.00220100392985954	0.00206234238056543	KCND3/UCN/NOS1/KCNE5/MYH7/KCNE1/MYL2/FKBP1B/ANK2/MB/KCNN2/PIK3CG/CACNA2D1/IGSF22/SCN4B/ATP1A2/RYR2/MYL4/ATP2A1/PKP2/MYLK2/TTN/ADRA1A/FGF12/C12orf57	25
GO:0055074	calcium ion homeostasis	46/952	424/17381	7.61851226358302e-06	0.00220100392985954	0.00206234238056543	NMB/P2RY1/DRD4/NOS1/TBXA2R/CASR/AKAP6/ESR1/P2RY8/FKBP1B/ANK2/OXTR/DRD1/PIK3CG/CYSLTR1/CCR4/TACR1/JPH1/CACNA2D1/PKHD1/GATA2/GRIN2D/CACNA1A/PTPRC/HAP1/ATP1A2/RYR2/ADCYAP1R1/EPO/GRIN2A/GNG3/FPR3/GPR35/FPR2/RGN/CAPS2/ATP2A1/LPAR4/GPR157/GPR20/PROK2/ADCY5/EDNRB/SLC24A5/CCL19/ADRA1A	46
GO:0072503	cellular divalent inorganic cation homeostasis	47/952	438/17381	8.14508152258288e-06	0.00220100392985954	0.00206234238056543	NMB/P2RY1/DRD4/NOS1/TBXA2R/CASR/AKAP6/ESR1/SLC30A4/P2RY8/FKBP1B/ANK2/OXTR/DRD1/PIK3CG/CYSLTR1/CCR4/TACR1/JPH1/CACNA2D1/PKHD1/GATA2/GRIN2D/CACNA1A/PTPRC/HAP1/ATP1A2/RYR2/ADCYAP1R1/EPO/GRIN2A/GNG3/FPR3/GPR35/FPR2/RGN/ATP2A1/LPAR4/GPR157/GPR20/SLC39A8/PROK2/ADCY5/EDNRB/SLC24A5/CCL19/ADRA1A	47
GO:0003018	vascular process in circulatory system	24/952	162/17381	8.24163080293577e-06	0.00220100392985954	0.00206234238056543	P2RY1/UCN/NOS1/TBXA2R/CASR/HTR7/CPS1/OXTR/DRD1/TACR1/PTGS2/ATP1A2/ADRB2/ADRA2A/FOXC2/PDE3A/GUCY1A3/AGTR2/FGG/HRH2/EDNRB/NPPB/TACR2/ADRA1A	24
GO:0035150	regulation of tube size	22/952	141/17381	8.35358030611359e-06	0.00220100392985954	0.00206234238056543	P2RY1/UCN/NOS1/TBXA2R/CASR/HTR7/CPS1/OXTR/DRD1/TACR1/PTGS2/ATP1A2/ADRB2/ADRA2A/FOXC2/GUCY1A3/AGTR2/FGG/HRH2/EDNRB/NPPB/ADRA1A	22
GO:0006874	cellular calcium ion homeostasis	45/952	413/17381	8.54775307477391e-06	0.00220100392985954	0.00206234238056543	NMB/P2RY1/DRD4/NOS1/TBXA2R/CASR/AKAP6/ESR1/P2RY8/FKBP1B/ANK2/OXTR/DRD1/PIK3CG/CYSLTR1/CCR4/TACR1/JPH1/CACNA2D1/PKHD1/GATA2/GRIN2D/CACNA1A/PTPRC/HAP1/ATP1A2/RYR2/ADCYAP1R1/EPO/GRIN2A/GNG3/FPR3/GPR35/FPR2/RGN/ATP2A1/LPAR4/GPR157/GPR20/PROK2/ADCY5/EDNRB/SLC24A5/CCL19/ADRA1A	45
GO:0043270	positive regulation of ion transport	31/952	241/17381	8.63495244008492e-06	0.00220100392985954	0.00206234238056543	P2RY1/DRD4/UCN/CNTN1/NOS1/KCNE5/CASR/AKAP6/KCNE1/NLGN3/WNK3/ANK2/DRD1/TCAF1/GJC2/CACNA2D1/SCN4B/HAP1/ADRB2/RYR2/ADRA2A/ADCYAP1R1/RGN/ABCB4/PDZK1/CAMK2A/PKP2/TNFRSF11A/TACR2/FGF12/MIF	31
GO:0035296	regulation of tube diameter	21/952	132/17381	9.78594017035801e-06	0.00225682420214495	0.00211464601876759	P2RY1/UCN/NOS1/TBXA2R/CASR/HTR7/CPS1/OXTR/DRD1/TACR1/PTGS2/ATP1A2/ADRB2/ADRA2A/GUCY1A3/AGTR2/FGG/HRH2/EDNRB/NPPB/ADRA1A	21
GO:0097746	regulation of blood vessel diameter	21/952	132/17381	9.78594017035801e-06	0.00225682420214495	0.00211464601876759	P2RY1/UCN/NOS1/TBXA2R/CASR/HTR7/CPS1/OXTR/DRD1/TACR1/PTGS2/ATP1A2/ADRB2/ADRA2A/GUCY1A3/AGTR2/FGG/HRH2/EDNRB/NPPB/ADRA1A	21
GO:0072507	divalent inorganic cation homeostasis	48/952	456/17381	1.09498386682483e-05	0.00241045766683303	0.00225860069372337	NMB/P2RY1/DRD4/NOS1/TBXA2R/CASR/AKAP6/ESR1/SLC30A4/P2RY8/FKBP1B/ANK2/OXTR/DRD1/PIK3CG/CYSLTR1/CCR4/TACR1/JPH1/CACNA2D1/PKHD1/GATA2/GRIN2D/CACNA1A/PTPRC/HAP1/ATP1A2/RYR2/ADCYAP1R1/EPO/GRIN2A/GNG3/FPR3/GPR35/FPR2/RGN/CAPS2/ATP2A1/LPAR4/GPR157/GPR20/SLC39A8/PROK2/ADCY5/EDNRB/SLC24A5/CCL19/ADRA1A	48
GO:0072599	establishment of protein localization to endoplasmic reticulum	18/952	104/17381	1.27774906143864e-05	0.00269049508893361	0.00252099597430753	RPL35/RPL27A/RPL37A/RPL41/RPL39/RPL36/RPS19/RPL28/ZFAND2B/RPL38/RPLP2/UBA52/RPS21/RYR2/RPS28/RPS15/RPLP1/SEC61G	18
GO:0034765	regulation of ion transmembrane transport	46/952	444/17381	2.48623810323684e-05	0.00501702130582334	0.00470095283467282	KCND3/DRD4/SCN7A/NOS1/KCNE5/AKAP6/KCNE1/CLCN5/CATSPER3/FKBP1B/NLGN3/WNK3/ANK2/SHISA9/DRD1/TCAF1/KCNN2/PIK3CG/GJC2/JPH1/CACNA2D1/GRIN2D/CACNA1A/SCN4B/SHANK1/HAP1/ATP1A2/FXYD5/ADRB2/RYR2/ADRA2A/EPO/KCNJ6/GRIN2A/KCNQ4/GPR35/RGN/SCN2A/HCN2/PDZK1/CACNG5/CLCNKB/CYBB/CACNA2D2/KCNH3/FGF12	46
GO:0051932	synaptic transmission, GABAergic	10/952	38/17381	2.6883409240616e-05	0.00504337731337487	0.0047256484340848	PLCL2/RAC3/OXTR/TACR1/HAP1/GABRB2/CNR1/SYN3/PLCL1/ADRA1A	10
GO:0034762	regulation of transmembrane transport	47/952	459/17381	2.74182599081148e-05	0.00504337731337487	0.0047256484340848	KCND3/DRD4/SCN7A/NOS1/KCNE5/AKAP6/KCNE1/CLCN5/CATSPER3/FKBP1B/NLGN3/WNK3/ANK2/SHISA9/DRD1/TCAF1/KCNN2/PIK3CG/GJC2/JPH1/CACNA2D1/GRIN2D/CACNA1A/SCN4B/SHANK1/HAP1/ATP1A2/FXYD5/ADRB2/RYR2/ADRA2A/EPO/KCNJ6/GRIN2A/KCNQ4/GPR35/RGN/SCN2A/HCN2/PDZK1/CACNG5/OAZ3/CLCNKB/CYBB/CACNA2D2/KCNH3/FGF12	47
GO:0045047	protein targeting to ER	17/952	100/17381	2.8117114900087e-05	0.00504337731337487	0.0047256484340848	RPL35/RPL27A/RPL37A/RPL41/RPL39/RPL36/RPS19/RPL28/ZFAND2B/RPL38/RPLP2/UBA52/RPS21/RPS28/RPS15/RPLP1/SEC61G	17
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	16/952	91/17381	3.12753456179034e-05	0.00540951781526808	0.00506872236687149	RPL35/RPL27A/RPL37A/RPL41/RPL39/RPL36/RPS19/RPL28/ZFAND2B/RPL38/RPLP2/UBA52/RPS21/RPS28/RPS15/RPLP1	16
GO:0070972	protein localization to endoplasmic reticulum	19/952	125/17381	4.90385869333391e-05	0.00806660300230364	0.00755841323732158	RPL35/RPL27A/RPL37A/RPL41/RPL39/RPL36/RPS19/RPL28/ZFAND2B/RPL38/RPLP2/UBA52/ANK2/RPS21/RYR2/RPS28/RPS15/RPLP1/SEC61G	19
GO:0045987	positive regulation of smooth muscle contraction	9/952	33/17381	4.99686330929402e-05	0.00806660300230364	0.00755841323732158	TBXA2R/OXTR/TACR1/PTGS2/MYOCD/PROK2/KIT/TACR2/ADRA1A	9
GO:0045933	positive regulation of muscle contraction	11/952	49/17381	5.36701512117684e-05	0.00838466265543852	0.0078564353777227	UCN/TBXA2R/OXTR/TACR1/PTGS2/ATP2A1/MYOCD/PROK2/KIT/TACR2/ADRA1A	11
GO:0035082	axoneme assembly	12/952	58/17381	5.85551729604937e-05	0.00851271172920541	0.0079764174586445	CCDC39/RP1/DNAAF1/DNAH3/RSPH4A/ZMYND10/DNAI1/TPGS1/DNAH5/DNAI2/LRRC6/CFAP157	12
GO:0007588	excretion	13/952	67/17381	5.91781130254175e-05	0.00851271172920541	0.0079764174586445	CLCN5/CORIN/CLDN16/TACR1/AMN/AGTR2/CHRNA3/AQP3/CLCNKB/EDNRB/NPPB/TACR2/ADRA1A	13
GO:0030317	flagellated sperm motility	15/952	86/17381	6.04232332357302e-05	0.00851271172920541	0.0079764174586445	CCDC39/SLIRP/CATSPER3/TMF1/TACR1/ROPN1B/NME8/DNAI1/TPGS1/DNAH5/LRRC6/RGN/CFAP157/TEKT1/TACR2	15
GO:0006613	cotranslational protein targeting to membrane	16/952	96/17381	6.15207331245487e-05	0.00851271172920541	0.0079764174586445	RPL35/RPL27A/RPL37A/RPL41/RPL39/RPL36/RPS19/RPL28/ZFAND2B/RPL38/RPLP2/UBA52/RPS21/RPS28/RPS15/RPLP1	16
GO:0097722	sperm motility	15/952	88/17381	7.94593931887456e-05	0.0106894955892526	0.0100160656151077	CCDC39/SLIRP/CATSPER3/TMF1/TACR1/ROPN1B/NME8/DNAI1/TPGS1/DNAH5/LRRC6/RGN/CFAP157/TEKT1/TACR2	15
GO:0030048	actin filament-based movement	19/952	130/17381	8.4586515703604e-05	0.0110716890689879	0.0103741812005188	KCND3/KCNE5/MYH7/KCNE1/MYL2/MYRIP/ANK2/MOBP/KCNN2/CACNA2D1/SCN4B/ATP1A2/RYR2/MYL4/PKP2/MYLK2/MYL6B/TTN/FGF12	19
GO:0070252	actin-mediated cell contraction	17/952	110/17381	9.75645370900355e-05	0.0124343435033432	0.0116509894569292	KCND3/KCNE5/MYH7/KCNE1/MYL2/ANK2/KCNN2/CACNA2D1/SCN4B/ATP1A2/RYR2/MYL4/PKP2/MYLK2/MYL6B/TTN/FGF12	17
GO:0033280	response to vitamin D	9/952	36/17381	0.000105166887882837	0.0129021017350584	0.012089279280967	CYP24A1/CASR/FGF23/PTGS2/PENK/BGLAP/PHEX/ABCB4/AQP3	9
GO:0090257	regulation of muscle system process	28/952	237/17381	0.00010656288858194	0.0129021017350584	0.012089279280967	UCN/NOS1/TBXA2R/AKAP6/MYH7/MYL2/FKBP1B/ANK2/OXTR/PPP1R12B/PIK3CG/TACR1/PTGS2/ATP1A2/ADRB2/RYR2/ADRA2A/GUCY1A3/ATP2A1/CHRNA3/PKP2/MYOCD/PROK2/KIT/MYLK2/TACR2/ADRA1A/C12orf57	28
