ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0022836	gated channel activity	38/945	332/17354	1.23437102468637e-05	0.00805658769737523	0.00762291969931077	GLRA2/KCND3/SCN7A/KCNE5/GABRA3/KCNE1/GRIA3/CLCN5/CATSPER3/FKBP1B/GABRA5/KCNN2/CACNA2D1/REST/IL1RAPL1/GRIN2D/CACNA1A/SCN4B/SLC17A7/RYR2/ANO5/GABRB2/KCNJ6/GRIN2A/KCNQ4/GABRR2/GRIK4/ANO3/SCN2A/HCN2/CHRNA3/GABRR1/CACNG5/CNGA3/CLCNKB/CYBB/CACNA2D2/KCNH3	38
GO:0022838	substrate-specific channel activity	45/945	435/17354	2.73587717716525e-05	0.00805658769737523	0.00762291969931077	GLRA2/KCND3/SCN7A/GPM6A/KCNE5/GABRA3/KCNE1/GRIA3/CLCN5/CATSPER3/FKBP1B/GABRA5/KCNN2/CACNA2D1/REST/IL1RAPL1/GRIN2D/CACNA1A/SCN4B/SLC17A7/FXYD5/RYR2/ANO5/GABRB2/KCNJ6/GRIN2A/KCNQ4/GABRR2/BEST4/GRIK4/ANO3/SCN2A/HCN2/CHRNA3/GABRR1/CACNG5/AQP8/CNGA3/AQP3/CLCNKB/SLC24A5/CYBB/CACNA2D2/KCNH3/LRRC8E	45
GO:0015267	channel activity	47/945	466/17354	3.47089080495956e-05	0.00805658769737523	0.00762291969931077	GLRA2/KCND3/SCN7A/GPM6A/KCNE5/GABRA3/KCNE1/GRIA3/CLCN5/CATSPER3/FKBP1B/GABRA5/KCNN2/GJC2/CACNA2D1/REST/IL1RAPL1/GRIN2D/CACNA1A/SCN4B/SLC17A7/FXYD5/RYR2/ANO5/GABRB2/KCNJ6/GRIN2A/KCNQ4/GABRR2/BEST4/GRIK4/ANO3/SCN2A/GJB7/HCN2/CHRNA3/GABRR1/CACNG5/AQP8/CNGA3/AQP3/CLCNKB/SLC24A5/CYBB/CACNA2D2/KCNH3/LRRC8E	47
GO:0022803	passive transmembrane transporter activity	47/945	467/17354	3.66208531698874e-05	0.00805658769737523	0.00762291969931077	GLRA2/KCND3/SCN7A/GPM6A/KCNE5/GABRA3/KCNE1/GRIA3/CLCN5/CATSPER3/FKBP1B/GABRA5/KCNN2/GJC2/CACNA2D1/REST/IL1RAPL1/GRIN2D/CACNA1A/SCN4B/SLC17A7/FXYD5/RYR2/ANO5/GABRB2/KCNJ6/GRIN2A/KCNQ4/GABRR2/BEST4/GRIK4/ANO3/SCN2A/GJB7/HCN2/CHRNA3/GABRR1/CACNG5/AQP8/CNGA3/AQP3/CLCNKB/SLC24A5/CYBB/CACNA2D2/KCNH3/LRRC8E	47
GO:0005216	ion channel activity	43/945	425/17354	6.8811361991415e-05	0.012110799710489	0.0114589025968862	GLRA2/KCND3/SCN7A/GPM6A/KCNE5/GABRA3/KCNE1/GRIA3/CLCN5/CATSPER3/FKBP1B/GABRA5/KCNN2/CACNA2D1/REST/IL1RAPL1/GRIN2D/CACNA1A/SCN4B/SLC17A7/FXYD5/RYR2/ANO5/GABRB2/KCNJ6/GRIN2A/KCNQ4/GABRR2/BEST4/GRIK4/ANO3/SCN2A/HCN2/CHRNA3/GABRR1/CACNG5/CNGA3/CLCNKB/SLC24A5/CYBB/CACNA2D2/KCNH3/LRRC8E	43
GO:0003735	structural constituent of ribosome	21/945	159/17354	0.000149371175991311	0.0219077724787257	0.0207285263524785	RPL35/RPL27A/MRPL51/RPL37A/RPL41/RPL39/RPL36/RPS19/RPS27L/MRPL41/RPL28/MRPL12/NDUFA7/RPL38/RPL13AP3/RPLP2/UBA52/RPS21/RPS28/RPS15/RPLP1	21
GO:0045503	dynein light chain binding	7/945	24/17354	0.000212177883661197	0.0266737910888361	0.0252380008986476	WDR63/DNAH3/DNAH9/DNAI1/DNAH5/DNAI2/DNAH10	7
GO:0008179	adenylate cyclase binding	5/945	12/17354	0.000272048083929545	0.0299252892322499	0.0283144782089829	AKAP6/ADRB2/ADCYAP1R1/ADCY5/CAP2	5
GO:0046873	metal ion transmembrane transporter activity	42/945	449/17354	0.000451176782339017	0.0399603843406451	0.0378094067146534	KCND3/SCN7A/SLC5A7/GPM6A/KCNE5/ATP12A/KCNE1/SLC30A4/CATSPER3/FKBP1B/KCNN2/CLDN16/CACNA2D1/REST/IL1RAPL1/GRIN2D/CACNA1A/SCN4B/SLC17A7/ATP1A2/RYR2/KCNJ6/GRIN2A/KCNQ4/GRIK4/CAPS2/ATP2A1/SLC23A1/SLC9A2/SCN2A/HCN2/SLC4A10/CACNG5/CNGA3/SLC13A5/SLC4A8/SLC39A8/SLC32A1/SLC24A5/SLC4A4/CACNA2D2/KCNH3	42
GO:0005244	voltage-gated ion channel activity	23/945	198/17354	0.000499504804258063	0.0399603843406451	0.0378094067146534	KCND3/SCN7A/KCNE5/KCNE1/CLCN5/CATSPER3/CACNA2D1/REST/IL1RAPL1/GRIN2D/CACNA1A/SCN4B/KCNJ6/GRIN2A/KCNQ4/SCN2A/HCN2/CACNG5/CNGA3/CLCNKB/CYBB/CACNA2D2/KCNH3	23
GO:0022832	voltage-gated channel activity	23/945	198/17354	0.000499504804258063	0.0399603843406451	0.0378094067146534	KCND3/SCN7A/KCNE5/KCNE1/CLCN5/CATSPER3/CACNA2D1/REST/IL1RAPL1/GRIN2D/CACNA1A/SCN4B/KCNJ6/GRIN2A/KCNQ4/SCN2A/HCN2/CACNG5/CNGA3/CLCNKB/CYBB/CACNA2D2/KCNH3	23
GO:0005230	extracellular ligand-gated ion channel activity	12/945	75/17354	0.00069260718296213	0.0488407999369986	0.0462118095097678	GLRA2/GABRA3/GRIA3/GABRA5/GRIN2D/SLC17A7/GABRB2/GRIN2A/GABRR2/GRIK4/CHRNA3/GABRR1	12
GO:1990939	ATP-dependent microtubule motor activity	9/945	46/17354	0.000721511817251115	0.0488407999369986	0.0462118095097678	WDR63/DNAH3/KIF25/DNAH9/KIF19/DNAI1/DNAH5/DNAI2/DNAH10	9
