ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0070268	cornification	44/1325	113/17381	9.26130002744944e-21	4.78346146417764e-17	3.99990673817106e-17	KRT33A/KRT9/KRT5/DSC3/KRT20/KRT3/KRT13/KRT37/KRT1/KRT31/DSG4/LOR/FLG/KLK8/CDSN/SPRR1B/KRT81/SPRR2D/KRT24/KRT16/KRT14/KRT78/DSC2/CASP14/KRT6C/SPRR2E/SPRR2A/KRT34/DSP/KLK13/TGM1/KRT79/KRT6B/KLK5/KRT36/KRT6A/KRT17/DSG3/SPRR2F/PI3/KRT75/KRT83/KLK14/PKP1	44
GO:0008544	epidermis development	87/1325	455/17381	7.18888115805586e-16	1.85652855906792e-12	1.55241996797385e-12	KRT33A/HOXB13/MYCN/KRT9/KRT5/MCOLN3/ALOX15B/DSC3/KRT20/FOXE1/KRT3/KRT13/KRT37/KRT1/KRT31/DSG4/LOR/BNC1/FLG/KLK8/SLC44A4/CDSN/S100A7/SPRR1B/COL17A1/KRT81/FGF7/SPRR2D/FST/KRT24/KRT16/HPSE/LAMC2/KRT14/TGM3/KRT78/FOXQ1/DSC2/CASP14/SFN/KLK7/KRT6C/SPRR2E/SPRR2A/TGFB2/STS/CNFN/KRT34/KRTAP5-2/LAMA3/CD109/DSP/KLK13/CST6/TGM1/EDA/SATB1/COL7A1/SERPINB13/CYP27B1/KRT79/ANXA1/KRT6B/GAL/KLK5/CDH3/KRT36/PTHLH/WNT10B/WNT5A/EREG/KRT6A/KRT17/DSG3/GRHL3/IGFBP5/SPRR2F/DLL1/PI3/CTSL/KRT75/SULT2B1/KRT83/KLK14/TMC1/PKP1/CTSV	87
GO:0043588	skin development	75/1325	411/17381	8.98679838248421e-13	1.5472271215177e-09	1.29378364081869e-09	KRT33A/KRT9/KRT5/ALOX15B/DSC3/KRT20/FOXE1/KRT3/KRT13/KRT37/KRT1/KRT31/DSG4/LOR/FLG/KLK8/CDSN/S100A7/SPRR1B/KRT81/FGF7/SPRR2D/FST/KRT24/KRT16/HPSE/ITGA3/KRT14/TGM3/KRT78/FOXQ1/DSC2/CASP14/SFN/KRT6C/SPRR2E/SPRR2A/TGFB2/CNFN/KRT34/KRTAP5-2/ALOX12B/CD109/DSP/KLK13/TGM1/EDA/SERPINB13/CYP27B1/KRT79/ANXA1/KRT6B/GAL/KLK5/CDH3/KRT36/ALOXE3/WNT10B/WNT5A/EREG/KRT6A/KRT17/DSG3/GRHL3/IGFBP5/SPRR2F/DLL1/GJB3/PI3/CTSL/KRT75/KRT83/KLK14/PKP1/CTSV	75
GO:0034341	response to interferon-gamma	41/1325	165/17381	8.07335095447461e-12	1.04247144199653e-08	8.71709446479192e-09	HLA-DQA1/GBP6/NCAM1/IRGM/SLC30A8/HLA-DQB2/AIF1/FCGR1A/CCL4/IL12RB1/FCGR1B/MEFV/HCK/HLA-DQB1/IFNG/IFI30/CCL13/GBP1/MT2A/CCL5/SLC11A1/CCL20/TDGF1/CD44/CYP27B1/IFITM3/IFITM1/GBP5/CCL4L1/CCL8/BST2/HLA-F/CCL7/TXK/CD86/WNT5A/CCL3L1/CCL26/OASL/CCL3/NOS2	41
GO:0030216	keratinocyte differentiation	59/1325	300/17381	1.09015549686198e-11	1.04371577549099e-08	8.72749951972186e-09	KRT33A/KRT9/KRT5/ALOX15B/DSC3/KRT20/KRT3/KRT13/KRT37/KRT1/KRT31/DSG4/LOR/FLG/KLK8/CDSN/S100A7/SPRR1B/KRT81/SPRR2D/KRT24/KRT16/KRT14/TGM3/KRT78/DSC2/CASP14/SFN/KRT6C/SPRR2E/SPRR2A/CNFN/KRT34/KRTAP5-2/CD109/DSP/KLK13/TGM1/SERPINB13/CYP27B1/KRT79/ANXA1/KRT6B/KLK5/CDH3/KRT36/WNT5A/EREG/KRT6A/KRT17/DSG3/SPRR2F/PI3/CTSL/KRT75/KRT83/KLK14/PKP1/CTSV	59
GO:0009913	epidermal cell differentiation	65/1325	349/17381	1.21244814190628e-11	1.04371577549099e-08	8.72749951972186e-09	KRT33A/MYCN/KRT9/KRT5/MCOLN3/ALOX15B/DSC3/KRT20/KRT3/KRT13/KRT37/KRT1/KRT31/DSG4/LOR/FLG/KLK8/SLC44A4/CDSN/S100A7/SPRR1B/KRT81/SPRR2D/KRT24/KRT16/KRT14/TGM3/KRT78/DSC2/CASP14/SFN/KRT6C/SPRR2E/SPRR2A/CNFN/KRT34/KRTAP5-2/CD109/DSP/KLK13/TGM1/SERPINB13/CYP27B1/KRT79/ANXA1/KRT6B/KLK5/CDH3/KRT36/WNT5A/EREG/KRT6A/KRT17/DSG3/SPRR2F/DLL1/PI3/CTSL/KRT75/SULT2B1/KRT83/KLK14/TMC1/PKP1/CTSV	65
GO:0031424	keratinization	49/1325	226/17381	1.67423727121914e-11	1.23534792940669e-08	1.03299180809205e-08	KRT33A/KRT9/KRT5/DSC3/KRT20/KRT3/KRT13/KRT37/KRT1/KRT31/DSG4/LOR/FLG/KLK8/CDSN/SPRR1B/KRT81/SPRR2D/KRT24/KRT16/KRT14/TGM3/KRT78/DSC2/CASP14/SFN/KRT6C/SPRR2E/SPRR2A/CNFN/KRT34/KRTAP5-2/DSP/KLK13/TGM1/KRT79/KRT6B/KLK5/CDH3/KRT36/KRT6A/KRT17/DSG3/SPRR2F/PI3/KRT75/KRT83/KLK14/PKP1	49
GO:0030593	neutrophil chemotaxis	28/1325	90/17381	5.76456530790742e-11	3.72174747691773e-08	3.11210677083476e-08	CXCL2/PF4V1/C5AR2/CXADR/CCL4/TREM1/CXCR2/C3AR1/IFNG/TGFB2/ITGA9/SAA1/CCL13/CCL5/CCL20/S100A8/S100A9/CCL4L1/CCL8/CXCL5/CCL7/SLIT2/PPBP/CCL3L1/FCER1G/CCL26/S100A12/CCL3	28
GO:0071621	granulocyte chemotaxis	31/1325	110/17381	9.30818566264382e-11	5.34186432750615e-08	4.46684044138334e-08	CXCL2/PF4V1/C5AR2/S100A7/CXADR/CCL4/TREM1/CXCR2/C3AR1/IFNG/TGFB2/ITGA9/SAA1/CCL13/CCL5/CCL20/S100A8/S100A9/ANXA1/CCL4L1/CCL8/CXCL5/CCL7/SLIT2/PPBP/CMKLR1/CCL3L1/FCER1G/CCL26/S100A12/CCL3	31
GO:0097530	granulocyte migration	33/1325	124/17381	1.24544349640838e-10	6.43271565894928e-08	5.37900491133009e-08	CXCL2/PF4V1/C5AR2/S100A7/CXADR/CCL4/TREM1/CXCR2/C3AR1/IFNG/CD300A/TGFB2/ITGA9/SAA1/CCL13/CCL5/CCL20/S100A8/S100A9/ANXA1/CCL4L1/CCL8/CXCL5/CCL7/SLIT2/PPBP/CMKLR1/CCL3L1/FCER1G/CCL26/S100A12/CCL3/CD177	33
