ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04060	Cytokine-cytokine receptor interaction	74/840	265/5894	2.22051287113048e-09	4.57425651452878e-07	4.11379226651541e-07	6363/58985/4050/6352/9547/6376/643/1956/1236/2322/10344/8807/3627/6357/53833/23495/3561/2921/658/2919/6355/6370/115650/4049/27242/116379/6354/4254/83729/1271/3552/3595/10913/8200/6364/282618/8744/655/6374/6372/650/939/2833/943/27190/51330/5618/6361/338376/1524/3458/4233/6846/7124/7850/970/8771/608/3592/1440/3576/6362/8784/3976/4283/6373/8718/7293/3559/3572/51561/6375/2690/3601	74
hsa04080	Neuroactive ligand-receptor interaction	71/840	272/5894	9.96353615950356e-08	1.02624422442887e-05	9.22938086354014e-06	8698/5737/2914/887/2569/4887/2564/136/22953/5746/8811/2897/5032/2899/886/10800/9568/3001/3972/5030/8973/5646/1081/11255/1394/5026/8001/2925/134/6752/2900/2798/5733/7068/4923/5618/3362/2891/2555/5644/165829/1135/706/10316/6869/2558/1139/2358/185/53637/7253/4986/10888/5731/2890/7434/3355/2568/151/1128/1131/1138/117/2906/2151/2916/1143/2740/2690/5540/4886	71
hsa05340	Primary immunodeficiency	16/840	35/5894	7.14579290644959e-06	0.000490677779576205	0.00044128405317022	926/3932/23495/3561/6890/115650/973/6891/3718/100/930/916/29851/915/7535/57379	16
hsa04972	Pancreatic secretion	31/840	101/5894	1.52761007169443e-05	0.000786719186922633	0.00070752466478479	279/5874/6262/5321/107/491/1506/1080/8671/1358/886/111/486/5646/1811/22802/477/9635/487/5582/3708/26279/5644/1056/1360/952/492/1359/3778/1131/480	31
hsa04020	Calcium signaling pathway	46/840	177/5894	2.15817861727088e-05	0.000889169590315601	0.000799661971872998	6263/8877/5737/6262/107/887/491/1956/774/5137/7134/136/22953/5613/886/10800/773/776/5567/51806/5026/2925/487/5582/5733/3708/9630/163688/85366/4923/3362/5260/2769/5336/6261/6869/1139/185/952/492/2066/5731/1128/1131/7125/2906	46
hsa04974	Protein digestion and absorption	25/840	81/5894	9.11976262793101e-05	0.00313111850225631	0.00281592670616817	1286/1506/1280/1288/23428/1358/1302/6564/486/8645/5646/6505/477/643834/1303/5644/3769/1360/1359/1297/117247/1299/1287/3783/480	25
hsa04970	Salivary secretion	26/840	89/5894	0.000182288101782291	0.00536447842387884	0.0048244670546892	6263/107/491/362/5613/111/486/5567/51806/477/5582/3708/163688/1473/4025/2977/5592/952/492/1755/1472/3778/276/3783/1131/480	26
hsa04340	Hedgehog signaling pathway	17/840	56/5894	0.00145869499520601	0.0375613961265547	0.0337803051521391	653/4036/6608/5613/89780/2737/5567/80326/655/650/7475/81029/7480/7476/654/7474/51384	17
hsa04062	Chemokine signaling pathway	42/840	189/5894	0.00175138679097829	0.0400872976601699	0.0360519386213076	6363/399694/6352/9547/6376/107/643/1236/10344/3627/6357/5613/2921/2919/6355/6370/111/6354/5567/10451/6364/4067/3718/6374/6372/4793/2833/53358/6361/3265/1524/6846/26230/3576/6362/57580/4283/6373/10235/2784/2786/6375	42
hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	10/840	26/5894	0.00199283767625677	0.0400983189479254	0.0360618504590438	2527/2651/10331/6489/6484/2529/10317/84002/10402/79369	10
hsa04650	Natural killer cell mediated cytotoxicity	32/840	136/5894	0.002321724615418	0.0400983189479254	0.0360618504590438	3805/399694/3932/259197/5551/154064/3105/51744/80328/353091/10451/3002/3821/919/5582/53358/3265/3458/5336/3804/7124/10870/3811/3135/80329/3809/79465/3384/27040/3812/7535/9437	32
hsa00982	Drug metabolism - cytochrome P450	20/840	73/5894	0.00233582440473352	0.0400983189479254	0.0360618504590438	124/4128/2939/54490/218/7365/2938/1549/1565/7364/2944/1548/10720/2950/2328/7366/7363/2327/2330/222	20
hsa05414	Dilated cardiomyopathy	23/840	90/5894	0.00307391987514792	0.0487098072523439	0.0438064694757922	6262/3674/107/7134/5613/3695/7139/111/3908/776/5567/55799/7137/8516/9254/1674/781/4607/7169/7124/1756/6444/70	23
