ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	63/1462	157/17381	1.18761744286632e-27	6.13998217961887e-24	4.89923448272958e-24	PCDHB8/PCDHA5/DCHS2/PCDHAC2/DSC1/DSG1/CDH15/PCDHAC1/PCDH20/CDH8/PCDHA1/PCDH19/RET/PCDHA4/PCDHA2/CDHR2/TRO/PCDHB7/PTPRT/CD84/PCDHB5/PCDHB2/PCDHGC4/PCDHB3/PCDHB6/PCDHB4/PCDHA3/PCDHGA2/PCDHGB5/CDH11/PCDHA7/PCDHGA6/CDHR3/FAT4/PCDHGB6/PCDHGA7/PCDH9/PCDHA10/CDH6/PCDHGA5/CADM3/DCHS1/PCDHGA12/PCDHA6/PCDHGB7/PCDH11X/CD200/CDH12/PCDH10/PCDHB11/PCDHB12/PCDHGA9/PCDH18/PCDHB18P/IGSF9B/CDH5/CDH19/PCDHB15/FAT3/PCDHGB3/PCDHGA3/PCDHGA4/PCDH17	63
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	77/1462	239/17381	3.71690704165005e-26	9.60820470266538e-23	7.66660984011923e-23	CLDN6/PCDHB8/PCDHA5/DCHS2/PCDHAC2/DSC1/DSG1/CDH15/PCDHAC1/PCDH20/CDH8/PCDHA1/PCDH19/RET/LGALS7B/PCDHA4/NRXN1/PCDHA2/CLDN8/SELE/CDHR2/TRO/PCDHB7/PTPRT/CD84/PCDHB5/PCDHB2/PCDHGC4/PCDHB3/PCDHB6/PCDHB4/PCDHA3/PCDHGA2/PCDHGB5/TENM1/NLGN1/CDH11/PCDHA7/DAB1/PCDHGA6/CDHR3/FAT4/PCDHGB6/PCDHGA7/PCDH9/PCDHA10/CDH6/PCDHGA5/CADM3/DCHS1/PTPRD/PCDHGA12/PCDHA6/PCDHGB7/PCDH11X/CD200/CBLN1/CDH12/PCDH10/CLDN2/SELP/PCDHB11/VCAM1/SCARF2/PCDHB12/PCDHGA9/PCDH18/PCDHB18P/IGSF9B/CDH5/CDH19/PCDHB15/FAT3/PCDHGB3/PCDHGA3/PCDHGA4/PCDH17	77
GO:0030198	extracellular matrix organization	82/1462	335/17381	3.30890210761567e-19	5.20699322794367e-16	4.15478091424437e-16	IHH/COL2A1/FOXF2/ELN/C6orf15/GFAP/MMP1/ADAMTS3/NR2E1/COL9A1/MMP12/TLL1/MMP7/KLK2/ABI3BP/VWF/JAM2/MYH11/COL4A1/CTGF/COL10A1/ITGA7/SMOC2/ADAMTSL2/COL19A1/BGN/ADAMTS2/GREM1/ADAMTS9/COL11A2/DCN/A2M/COL14A1/LAMA2/MMP16/COL1A1/COL11A1/DDR2/TNF/FMOD/CYP1B1/SPARC/SCUBE3/ADAMTS5/ITGA11/VCAN/SULF1/POSTN/CRISPLD2/ITGA4/TNC/COL6A3/EGFLAM/ITGA9/MFAP4/WT1/MMP11/JAM3/TGFBI/COL5A2/PDGFRA/KDR/FBN1/ECM2/NDNF/VTN/CTSK/COL8A1/ITGA10/ADAM12/ITGA8/SFRP2/VCAM1/COL1A2/HPSE2/COL3A1/AGT/COMP/MMP2/LUM/FBLN5/DPT	82
GO:0043062	extracellular structure organization	82/1462	336/17381	4.02862145295448e-19	5.20699322794367e-16	4.15478091424437e-16	IHH/COL2A1/FOXF2/ELN/C6orf15/GFAP/MMP1/ADAMTS3/NR2E1/COL9A1/MMP12/TLL1/MMP7/KLK2/ABI3BP/VWF/JAM2/MYH11/COL4A1/CTGF/COL10A1/ITGA7/SMOC2/ADAMTSL2/COL19A1/BGN/ADAMTS2/GREM1/ADAMTS9/COL11A2/DCN/A2M/COL14A1/LAMA2/MMP16/COL1A1/COL11A1/DDR2/TNF/FMOD/CYP1B1/SPARC/SCUBE3/ADAMTS5/ITGA11/VCAN/SULF1/POSTN/CRISPLD2/ITGA4/TNC/COL6A3/EGFLAM/ITGA9/MFAP4/WT1/MMP11/JAM3/TGFBI/COL5A2/PDGFRA/KDR/FBN1/ECM2/NDNF/VTN/CTSK/COL8A1/ITGA10/ADAM12/ITGA8/SFRP2/VCAM1/COL1A2/HPSE2/COL3A1/AGT/COMP/MMP2/LUM/FBLN5/DPT	82
GO:0001503	ossification	79/1462	373/17381	9.79814347860849e-15	1.01312803568812e-11	8.08398406161403e-12	IHH/SMOC1/COL2A1/ZBTB16/DKK1/IGSF10/TPH1/TACR1/GDF5/SOX11/FGF9/ATP6V0A4/LEF1/CTGF/COL10A1/CHRDL1/DHH/S1PR1/OMD/TMEM119/CHRD/ID1/KL/GREM1/MMP16/COL1A1/TNN/AREG/ASPN/COL11A1/DDR2/TNF/PRKD1/RANBP3L/P2RX7/SPARC/CDH11/GLI1/ITGA11/VCAN/GDF10/ID4/TGFB3/FAT4/FSTL3/HGF/IL6ST/NELL1/PTH1R/TNC/MYOC/SOX8/IL6/IGF1/SLC8A1/DCHS1/MEF2C/COL5A2/ISG15/PTCH1/FZD9/ALPL/BMP8A/ALOX15/CTSK/HAND2/GPLD1/CHRDL2/AXIN2/ENPP1/SFRP2/RASSF2/RORB/MGP/TEK/PKDCC/MMP2/CCL3/PENK	79
GO:0042391	regulation of membrane potential	80/1462	403/17381	2.64402756949321e-13	2.2545038614739e-10	1.7989210288336e-10	SCN2B/GRIA1/KCNE1/CATSPER1/CFTR/CASQ2/KCNK12/FXYD1/KCNQ3/RELN/TACR1/CCK/RIMS4/CHRNG/NRXN1/PLN/CNIH3/KCNH3/GRIA2/P2RX2/NPAS4/CNGA3/ATP1B2/CHRNA6/DMD/ANK2/ASIC2/GRIK4/SLC26A4/DCN/PRKN/SCN5A/NLGN1/CAV1/P2RX7/KCNJ8/KCNK3/GRIA4/CACNA1C/SCN7A/MYOC/GPR88/FGF14/KCNJ5/SHANK1/IL6/ATP1A2/GRIK2/CUX2/SLC26A7/CNTNAP1/TMEM108/SLC8A1/MEF2C/PIEZO2/SLC1A6/KCNMB2/KDR/FZD9/KCND2/GRIN2A/CBLN1/SCN11A/GRID1/CNGB1/IFI6/CHRNA1/KCNA5/KCNK2/IGSF9B/CACNA1G/CACNA2D1/GRIA3/FHL1/CNR2/KCNMA1/CACNA1H/CACNA1D/CNR1/GRIK3	80
GO:0006936	muscle contraction	73/1462	352/17381	3.1374848356945e-13	2.2545038614739e-10	1.7989210288336e-10	SCN2B/KCNE1/HTR2A/KIT/CASQ2/DTNA/FXYD1/MYBPC2/TNNI2/TACR1/TRIM63/KCNB2/ACTC1/DRD2/CHRNG/MYH7/MYH11/PLN/MYLK/CTGF/PDE5A/VIM/P2RX2/GUCY1A3/HTR2B/PIK3CG/DMD/ANK2/EDN3/MYOCD/SCN5A/CKMT2/CAV1/CALD1/MYL3/KCNJ8/SULF1/GNAO1/ADRA1D/HSPB6/CACNA1C/SCN7A/KCNJ5/ATP1A2/PRKG1/ADRA2A/SLC8A1/F2R/NMUR2/ACTA2/TNNT1/CHRNA1/KCNA5/HRC/HTR1D/SSTR2/PTGER3/EDNRA/LMOD1/CACNA1G/AGT/CACNA2D1/SGCA/ACTG2/DES/RCSD1/KCNMA1/MYBPC1/CACNA1H/CNN1/SORBS1/CACNA1D/EDNRB	73
GO:0050808	synapse organization	60/1462	260/17381	3.48859398293834e-13	2.2545038614739e-10	1.7989210288336e-10	PCDHB8/DKK1/CAMK2B/CTNND2/SLITRK6/SYNDIG1/RELN/DNER/NRG1/GPM6A/DRD2/PAK3/NRXN1/SEMA3E/COL4A1/ADGRB3/PCDHB7/P2RX2/PCDHB5/PCDHB2/PCDHGC4/NPAS4/L1CAM/ASIC2/PCDHB3/PCDHB6/LRRC4B/PCDHB4/THBS2/ARHGEF15/EPHA7/NLGN1/NFATC4/TNC/CACNA2D2/C1QL1/SLITRK4/SLITRK2/SHANK1/CUX2/ADGRB1/SLITRK5/TMEM108/MEF2C/PTPRD/F2R/FZD9/CBLN1/CHRNA1/PCDHB11/PDZRN3/PCDHB12/ZC4H2/PCDHB18P/NTRK3/BDNF/SLIT1/PCDHB15/NRXN2/PCDH17	60
GO:0001763	morphogenesis of a branching structure	48/1462	193/17381	4.67313023958389e-12	2.6844537042943e-09	2.14198800104436e-09	IHH/FGF8/DRD2/SEMA3E/TDGF1/COL4A1/LEF1/SLIT2/NOTCH4/SALL1/HOXA11/FGFR1/TCF21/SPRY2/PGR/ESR1/GREM1/WNT9B/EGF/MYCN/EPHA7/AREG/TNF/MYC/HHIP/NFATC4/SULF1/EYA1/FAT4/HGF/TNC/GDF7/SOX8/WT1/IL6/WNT2/DCHS1/PTCH1/ADAMTS16/SPRY1/SFRP2/ADM/EDNRA/SOX10/FGF7/AGT/PAX2/AR	48
GO:0001655	urogenital system development	65/1462	316/17381	9.28045481406778e-12	4.67702063504831e-09	3.73190346508283e-09	STRA6/RBP4/DCHS2/ZBTB16/RGN/SERPINB7/FGF8/REN/RET/SOX11/MME/EMX2/COL4A1/SLIT2/SALL1/HOXA11/FGFR1/TCF21/CD34/ESR1/PDGFD/GREM1/SMAD9/WNT9B/DCN/MYOCD/EPHA7/MYC/KCNJ8/CA2/GLI1/SULF1/EYA1/ID4/FAT4/FSTL3/TNC/SOX17/PDGFRB/SOX8/WT1/ALDH1A2/DCHS1/MEF2C/FMN1/SERPINF1/LGR5/PTCH1/ANGPT1/PDGFRA/FBN1/IRX2/CALB1/ACTA2/ADAMTS16/ITGA8/SPRY1/AGT/HPGD/ENPEP/PAX2/KIF26B/TEK/AGTR1/AR	65
