ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	117/1573	365/18511	1.56475403279435e-38	7.35434395413345e-36	6.09430518035694e-36	IHH/ADAMTSL1/EPYC/SMOC1/LRRC55/COL2A1/WNT16/ELN/C6orf15/MMP1/ADAMTS3/COL9A1/MMP12/WISP2/RELN/IL1RL1/MMP7/COL21A1/CRISP3/SFTPA2/SPOCK3/FGF9/FBN3/ABI3BP/VWF/COL4A1/CTGF/COL10A1/ADAMTS7/HMCN1/SBSPON/OMD/IMPG1/SMOC2/ADAMTSL2/COL19A1/COL26A1/CD248/BGN/THBS4/ADAMTS2/ADAMTS19/PODN/CHAD/ADAMTS9/COL11A2/CCBE1/WNT9B/CILP/NTN1/DCN/THBS2/COL14A1/LAMA2/KERA/LRFN5/FREM1/MMP16/COL1A1/TNN/ASPN/COL11A1/ADAMTS8/FMOD/SPARC/ADAMTS18/OGN/ADAMTS5/VCAN/EFEMP1/LINGO1/TFPI2/CILP2/SPON1/POSTN/CRISPLD2/HAPLN4/TNC/COL6A3/MYOC/EGFLAM/EMILIN1/SPON2/MFAP4/MMP11/WNT2/TGFBI/ADAMTS10/COL24A1/SERPINF1/COL5A2/ANGPTL4/FBN1/PI3/ECM2/ADAMTS12/ALPL/GPC6/NDNF/ADAMTS16/VTN/COL8A1/PRELP/GPLD1/WISP1/SPARCL1/COL1A2/COL15A1/HPSE2/COL3A1/COMP/MGP/MMP2/LUM/LTBP2/FBLN5/DPT	117
GO:0034703	cation channel complex	49/1573	212/18511	7.04462704174744e-11	1.65548735481065e-08	1.37184842391924e-08	SCN2B/GRIA1/KCNE1/CATSPER1/LRRC55/CASQ2/KCNQ3/KCNB2/DLG2/CNIH3/DPP6/KCNS2/GRIA2/ABCC9/GRIK4/SCN5A/KCNMB1/NLGN1/KCNJ8/KCNA3/GRIA4/CACNA1C/SCN7A/CACNA2D2/KCNJ5/SHANK1/GRIK2/CNTNAP1/KCNMB2/KCND2/GRIN2A/KCNC1/SCN11A/SCNN1G/TRPC4/CNGB1/KCNA5/KCNIP1/KCNK2/CATSPERZ/KCNT2/CACNA1G/KCNT1/CACNA2D1/SHISA6/GRIA3/KCNMA1/CACNA1H/CACNA1D	49
GO:0044420	extracellular matrix component	33/1573	120/18511	8.19358718370482e-10	1.16492370065324e-07	9.65334309611866e-08	SMOC1/COL2A1/ELN/FGF9/COL4A1/HMCN1/SMOC2/THBS4/COL11A2/NTN1/THBS2/COL14A1/LAMA2/FREM1/COL1A1/COL11A1/SPARC/TNC/EGFLAM/EMILIN1/MFAP4/TGFBI/ADAMTS10/SERPINF1/COL5A2/FBN1/VTN/COL8A1/COL1A2/COL15A1/COL3A1/LUM/FBLN5	33
GO:1902495	transmembrane transporter complex	62/1573	325/18511	1.0903748785328e-09	1.16492370065324e-07	9.65334309611866e-08	SCN2B/GRIA1/KCNE1/CATSPER1/CFTR/LRRC55/CASQ2/FXYD1/GABRQ/KCNQ3/KCNB2/DLG2/CLIC6/CHRNG/BEST3/GABRB2/PLN/CNIH3/DPP6/KCNS2/GRIA2/ABCC9/CNGA3/ATP1B2/CHRNA6/GRIK4/SCN5A/KCNMB1/NLGN1/KCNJ8/KCNA3/GRIA4/CACNA1C/SCN7A/CACNA2D2/KCNJ5/SHANK1/ATP1A2/GRIK2/CNTNAP1/KCNMB2/KCND2/GRIN2A/KCNC1/SCN11A/SCNN1G/TRPC4/CNGB1/CHRNA1/KCNA5/KCNIP1/KCNK2/CATSPERZ/KCNT2/CACNA1G/KCNT1/CACNA2D1/SHISA6/GRIA3/KCNMA1/CACNA1H/CACNA1D	62
GO:0034702	ion channel complex	57/1573	288/18511	1.23928053260983e-09	1.16492370065324e-07	9.65334309611866e-08	SCN2B/GRIA1/KCNE1/CATSPER1/CFTR/LRRC55/CASQ2/GABRQ/KCNQ3/KCNB2/DLG2/CLIC6/CHRNG/BEST3/GABRB2/CNIH3/DPP6/KCNS2/GRIA2/ABCC9/CHRNA6/GRIK4/SCN5A/KCNMB1/NLGN1/KCNJ8/KCNA3/GRIA4/CACNA1C/SCN7A/CACNA2D2/KCNJ5/SHANK1/GRIK2/CNTNAP1/KCNMB2/KCND2/GRIN2A/KCNC1/SCN11A/SCNN1G/TRPC4/CNGB1/CHRNA1/KCNA5/KCNIP1/KCNK2/CATSPERZ/KCNT2/CACNA1G/KCNT1/CACNA2D1/SHISA6/GRIA3/KCNMA1/CACNA1H/CACNA1D	57
GO:0005581	collagen trimer	27/1573	88/18511	2.01893747675837e-09	1.58150102346072e-07	1.31053836210631e-07	COL2A1/FCN1/COL9A1/COL21A1/SFTPA2/COL4A1/COL10A1/COL19A1/COL26A1/COL11A2/CCBE1/DCN/COL14A1/COL1A1/COL11A1/COL6A3/C1QL1/EMILIN1/COL24A1/COL5A2/C1QTNF7/COL8A1/COL1A2/COL15A1/COL3A1/COLEC12/LUM	27
GO:1990351	transporter complex	62/1573	332/18511	2.60380424710674e-09	1.74826856591452e-07	1.44873319011954e-07	SCN2B/GRIA1/KCNE1/CATSPER1/CFTR/LRRC55/CASQ2/FXYD1/GABRQ/KCNQ3/KCNB2/DLG2/CLIC6/CHRNG/BEST3/GABRB2/PLN/CNIH3/DPP6/KCNS2/GRIA2/ABCC9/CNGA3/ATP1B2/CHRNA6/GRIK4/SCN5A/KCNMB1/NLGN1/KCNJ8/KCNA3/GRIA4/CACNA1C/SCN7A/CACNA2D2/KCNJ5/SHANK1/ATP1A2/GRIK2/CNTNAP1/KCNMB2/KCND2/GRIN2A/KCNC1/SCN11A/SCNN1G/TRPC4/CNGB1/CHRNA1/KCNA5/KCNIP1/KCNK2/CATSPERZ/KCNT2/CACNA1G/KCNT1/CACNA2D1/SHISA6/GRIA3/KCNMA1/CACNA1H/CACNA1D	62
GO:0098794	postsynapse	71/1573	424/18511	2.23649285488553e-08	1.31393955224525e-06	1.08881888987848e-06	GRIA1/CHRM4/CTTNBP2/DLGAP1/MAP2/GABRQ/SYNDIG1/PRKCG/DLG2/GPM6A/SLC8A2/DRD2/CHRNG/GABRB2/MT3/CNKSR2/ANKS1B/ADGRB3/LZTS1/CNIH3/GRM7/GRIA2/P2RX2/LRRC4C/NPAS4/DOCK10/SH2D5/CHRNA6/DMD/ANK2/ASIC2/GRIK4/PSD/LAMA2/SYT11/EPHA7/NLGN1/P2RX7/DAB1/LRRTM4/GRIA4/CACNA1C/SHANK1/ATP1A2/GRIK2/ADGRB1/TMEM108/SLC8A1/MEF2C/P2RY1/F2R/PTCH1/KCND2/GRIN2A/CALB1/DCLK1/CBLN1/PLCB4/GRID1/FBXO2/CHRNA1/ITGA8/PRKAR2B/SYNE1/ZC4H2/IGSF9B/GRIA3/KIF1A/DDN/GRIK3/FAIM2	71
GO:0097060	synaptic membrane	54/1573	295/18511	5.52483021729895e-08	2.88518911347834e-06	2.39086219929896e-06	GRIA1/CHRM4/DLGAP1/GABRQ/GRM6/SYNDIG1/PRKCG/RIMS4/DLG2/CHRNG/GABRB2/NRXN1/CNKSR2/ANKS1B/LZTS1/CNIH3/GRM7/GRIA2/GRM4/LRRC4C/SH2D5/CHRNA6/DMD/ANK2/FOSL1/LRRC4B/GRIK4/SYT11/EPHA7/NLGN1/LRRTM4/GRIA4/SHANK1/GRIK2/ADGRB1/TMEM108/SLC8A1/P2RY1/F2R/KCND2/GRIN2A/CBLN1/TMEM240/GRID1/CHRNA1/ITGA8/SYNE1/ZC4H2/IGSF9B/GRIA3/CNR1/DDN/GRIK3/FAIM2	54
GO:0030425	dendrite	78/1573	495/18511	6.75072768455169e-08	3.17284201173929e-06	2.62923078240434e-06	GRIA1/CTTNBP2/HTR2A/LRP2/CTNND2/MAP2/BRINP1/GRM6/SYNDIG1/RELN/DNER/TACR1/PRKCG/NRG1/CCK/RET/KCNB2/TRPM5/GPM6A/SLC8A2/MME/DRD2/NECAB2/MT3/ANKS1B/LZTS1/CNIH3/GRM7/GRIA2/ADCY4/TH/DOCK10/CNGA3/L1CAM/ASIC2/ADCY2/ARHGEF15/PSD/LAMA2/SYT11/EPHA7/NLGN1/RPL28/SLC4A10/EPHA5/KIF5A/GNAO1/IL6ST/OSBP2/GRIA4/CCR2/THY1/SHANK1/JPH4/ATP1A2/GRIK2/ADGRB1/TMEM108/SLC8A1/P2RY1/PTCH1/APOD/KCND2/CALB1/KCNC1/PLCB4/FBXO2/LAMP5/ITGA8/PRKAR2B/KCNIP1/IGSF9B/CNR2/KIF1A/PLXDC1/PENK/DDN/GRIK3	78
