ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005539	glycosaminoglycan binding	57/1439	213/17354	7.6868307327579e-16	6.76441104482695e-13	5.75298594841144e-13	MSTN/EPYC/CCL7/PLA2G5/SUSD5/C6orf15/ADAMTS3/CXCL11/WISP2/MMP7/SPOCK3/FGF9/SERPINA5/HABP2/APOB/JCHAIN/ABI3BP/CTGF/LPL/SLIT2/FGFR1/SMOC2/CHRD/BGN/THBS4/DCN/THBS2/TENM1/RSPO1/ADAMTS8/HBEGF/LYVE1/ADAMTS5/VCAN/PCOLCE/POSTN/CRISPLD2/HAPLN4/EGFLAM/SOD3/CEL/SEMA5A/PTCH1/FBN1/ECM2/NDNF/VTN/GREM2/PRELP/SELP/STAB2/SAA1/WISP1/FGF7/COMP/CCL8/LTBP2	57
GO:0048018	receptor ligand activity	89/1439	456/17354	1.41359329322302e-14	6.2198104901813e-12	5.28981490253458e-12	CD70/CCL3L1/MSTN/GDF3/CCL7/IL24/DKK1/FGF8/CCL18/CGB3/CXCL11/CSF3/IFNL1/TNFSF18/CCL26/NRG1/CCK/GDF5/EPGN/SLURP1/FGF9/TDGF1/CCL25/SST/CTGF/CCL14/SCG2/TNFSF8/IL32/KL/THBS4/IL11/PDGFD/GREM1/WNT9B/CCL19/EGF/EDN3/EPHA7/CD40LG/AREG/TNF/TRH/KCNK3/HBEGF/PROK1/GAST/OGN/EFEMP1/GDF10/TGFB3/CGB2/HGF/IL37/GDF7/FGF14/IL6/IL1A/LEFTY2/GAL/NDP/WNT2/IGF1/SAA2/FBN1/ARTN/FNDC5/BMP8A/GREM2/CXCL12/MIA/SAA1/SFRP2/ADM/C1QTNF12/FGF7/AGT/IL34/BDNF/INHA/CCL8/NRG2/CCL3/LHB/PENK/CSF2/IL20/IL1B/TNFSF9	89
GO:0030545	receptor regulator activity	91/1439	485/17354	8.14804173945508e-14	2.39009224357349e-11	2.032721991843e-11	CD70/CCL3L1/MSTN/GDF3/CCL7/IL24/DKK1/FGF8/CCL18/CGB3/CXCL11/CSF3/IFNL1/TNFSF18/CCL26/NRG1/CCK/GDF5/EPGN/SLURP1/FGF9/TDGF1/CCL25/SST/CTGF/CCL14/SCG2/TNFSF8/IL32/KL/THBS4/IL11/PDGFD/GREM1/WNT9B/CCL19/EGF/EDN3/EPHA7/CD40LG/AREG/TNF/TRH/KCNK3/HBEGF/PROK1/GAST/OGN/EFEMP1/GDF10/TGFB3/CGB2/HGF/IL37/GDF7/FGF14/IL6/IL1A/LEFTY2/GAL/NDP/WNT2/IGF1/SAA2/FBN1/ARTN/FNDC5/WFIKKN2/BMP8A/GREM2/NCOA2/CXCL12/MIA/SAA1/SFRP2/ADM/C1QTNF12/FGF7/AGT/IL34/BDNF/INHA/CCL8/NRG2/CCL3/LHB/PENK/CSF2/IL20/IL1B/TNFSF9	91
GO:0008201	heparin binding	44/1439	160/17354	5.47044294568975e-13	1.20349744805174e-10	1.02354866694353e-10	MSTN/CCL7/PLA2G5/C6orf15/ADAMTS3/CXCL11/WISP2/MMP7/FGF9/SERPINA5/APOB/ABI3BP/CTGF/LPL/SLIT2/FGFR1/SMOC2/CHRD/THBS4/THBS2/TENM1/RSPO1/ADAMTS8/HBEGF/ADAMTS5/PCOLCE/POSTN/CRISPLD2/SOD3/CEL/PTCH1/FBN1/ECM2/NDNF/VTN/GREM2/PRELP/SELP/SAA1/WISP1/FGF7/COMP/CCL8/LTBP2	44
GO:1901681	sulfur compound binding	53/1439	232/17354	7.32074410879757e-12	1.28845096314837e-09	1.09579980239054e-09	MSTN/CCL7/PLA2G5/C6orf15/ADAMTS3/CXCL11/WISP2/MMP7/ACADL/FGF9/SERPINA5/APOB/ABI3BP/CTGF/LPL/SLIT2/FGFR1/SMOC2/CD34/CHRD/THBS4/THBS2/TENM1/RSPO1/ADAMTS8/HBEGF/ADAMTS5/PCOLCE/POSTN/CRISPLD2/SOD3/CEL/SEMA5A/PTCH1/FST/FBN1/ECM2/GPC6/NDNF/VTN/GREM2/PRELP/SELP/SAA1/WISP1/ENPP1/HPSE2/GSTP1/FGF7/COMP/PTGES/CCL8/LTBP2	53
GO:0005201	extracellular matrix structural constituent	27/1439	78/17354	5.28206704572156e-11	7.55334270495517e-09	6.42395533878364e-09	COL2A1/ELN/COL9A1/FBN3/COL4A1/IMPG1/COL19A1/BGN/COL11A2/COL14A1/COL1A1/COL11A1/VCAN/TFPI2/HAPLN4/EMILIN1/COL24A1/COL5A2/FBN1/MUC6/PRELP/COL1A2/COL15A1/COL3A1/COMP/MGP/LUM	27
GO:0008083	growth factor activity	41/1439	162/17354	6.00834078803252e-11	7.55334270495517e-09	6.42395533878364e-09	MSTN/GDF3/DKK1/FGF8/CSF3/NRG1/GDF5/EPGN/FGF9/TDGF1/CTGF/THBS4/IL11/PDGFD/EGF/AREG/KCNK3/HBEGF/PROK1/OGN/EFEMP1/GDF10/TGFB3/HGF/GDF7/FGF14/IL6/LEFTY2/NDP/IGF1/ARTN/BMP8A/CXCL12/MIA/FGF7/AGT/IL34/BDNF/INHA/NRG2/CSF2	41
GO:0022836	gated channel activity	64/1439	332/17354	1.3261077715783e-10	1.45871854873613e-08	1.24060871788443e-08	SCN2B/GRIA1/KCNE1/TMEM150C/CATSPER1/CFTR/LRRC55/ANO3/KCNK12/GABRQ/KCNQ3/KCNB2/TRPM5/CLIC6/JPH3/CHRNG/GABRB2/KCNS2/KCNH3/GRIA2/P2RX2/RYR3/FAM155A/CNGA3/CHRNA6/ANO4/ASIC2/GRIK4/SCN5A/KCNMB1/P2RX7/KCNJ8/KCNK3/KCNA3/GRIA4/CACNA1C/SCN7A/CACNA2D2/KCNE4/KCNJ5/GRIK2/PIEZO2/KCNMB2/KCND2/GRIN2A/NMUR2/KCNC1/SCN11A/SCNN1G/GRID1/CNGB1/CHRNA1/KCNA5/KCNIP1/KCNK2/KCNT2/CACNA1G/KCNT1/CACNA2D1/GRIA3/KCNMA1/CACNA1H/CACNA1D/GRIK3	64
GO:0005261	cation channel activity	61/1439	314/17354	2.60705239634595e-10	2.28868449013148e-08	1.9464768809611e-08	SCN2B/GRIA1/KCNE1/CATSPER1/LRRC55/KCNK12/TRPM8/KCNQ3/KCNB2/TRPM5/GPM6A/JPH3/CHRNG/CALHM3/KCNS2/KCNH3/GRIA2/P2RX2/ABCC9/RYR3/FAM155A/CNGA3/CHRNA6/ASIC2/GRIK4/SCN5A/KCNMB1/P2RX7/KCNJ8/KCNK3/KCNA3/GRIA4/CACNA1C/SCN7A/CACNA2D2/KCNE4/KCNJ5/GRIK2/PIEZO2/KCNMB2/KCND2/GRIN2A/KCNC1/SCN11A/SCNN1G/TRPC4/CNGB1/CHRNA1/KCNA5/KCNIP1/KCNK2/TRPC6/KCNT2/CACNA1G/KCNT1/CACNA2D1/GRIA3/KCNMA1/CACNA1H/CACNA1D/GRIK3	61
GO:0005216	ion channel activity	75/1439	425/17354	2.64475858914718e-10	2.28868449013148e-08	1.9464768809611e-08	SCN2B/FXYD6/GRIA1/KCNE1/TMEM150C/CATSPER1/CFTR/LRRC55/ANO3/KCNK12/FXYD1/GABRQ/TRPM8/KCNQ3/KCNB2/TRPM5/CLIC6/GPM6A/JPH3/CHRNG/BEST3/GABRB2/CALHM3/KCNS2/KCNH3/GRIA2/P2RX2/ABCC9/RYR3/FAM155A/CNGA3/CHRNA6/ANO4/ASIC2/GRIK4/SLC26A4/SCN5A/KCNMB1/P2RX7/KCNJ8/KCNK3/KCNA3/GRIA4/CACNA1C/SCN7A/CACNA2D2/KCNE4/KCNJ5/GRIK2/SLC26A7/PIEZO2/KCNMB2/KCND2/GRIN2A/NMUR2/KCNC1/SCN11A/SCNN1G/TRPC4/GRID1/CNGB1/CHRNA1/KCNA5/KCNIP1/KCNK2/TRPC6/KCNT2/CACNA1G/KCNT1/CACNA2D1/GRIA3/KCNMA1/CACNA1H/CACNA1D/GRIK3	75
