ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0015711	organic anion transport	59/756	455/17381	4.6905321715244e-14	2.0760295391167e-10	1.88115027089557e-10	LRP2/ABCB11/SLC22A1/SLC10A1/CA9/SLC6A20/SLC25A18/SLC6A12/SLC6A17/ACSL1/SLC35D1/SLC2A2/PPARA/SLC51A/APOA5/SLC22A10/ABAT/ABCB4/ABCA1/SLC16A1/XK/AGXT/THRSP/SLC13A5/CA4/ABCG8/PLIN2/SLC27A5/SLC25A29/AVPR1A/SLC25A20/ADORA1/SLC2A9/MFSD2A/SLC3A1/SLC22A3/APBA1/APOC2/FABP1/CYP4F2/APOC1/PITPNM1/APOC3/APOA1/SLC6A13/MAP2K6/APOA4/ATP1A2/CPT1B/SLCO2A1/PROCA1/PLA2G10/CA5A/AQP9/SLC13A2/ARG1/SLC16A12/MTTP/SLC38A4	59
GO:0010876	lipid localization	50/756	380/17381	2.49327281743512e-12	5.51761274498392e-09	4.99966812338306e-09	APOF/ABCB11/SLC10A1/ITGB3/TTPA/ACSL1/APOH/ENPP1/ABCA6/PPARA/SLC51A/APOA5/LPA/ABCB4/ABCA1/THRSP/ABCG5/ANGPTL3/LRP1/ABCG8/PLIN2/SLC27A5/SLC25A20/ABCA8/APOL1/CFHR4/SPNS2/APOC4/MFSD2A/CHKA/ABCG2/APOC2/FABP1/CYP4F2/APOC1/ABCA9/PITPNM1/HILPDA/APOC3/APOA1/MAP2K6/APOA4/APOLD1/CPT1B/SLCO2A1/PROCA1/DGAT2/PLA2G10/AQP9/MTTP	50
GO:0006869	lipid transport	46/756	347/17381	1.48126647938759e-11	2.18536181258983e-08	1.98021939876026e-08	APOF/ABCB11/SLC10A1/ITGB3/TTPA/ACSL1/APOH/ABCA6/PPARA/SLC51A/APOA5/LPA/ABCB4/ABCA1/THRSP/ABCG5/LRP1/ABCG8/PLIN2/SLC27A5/SLC25A20/ABCA8/APOL1/CFHR4/SPNS2/APOC4/MFSD2A/CHKA/ABCG2/APOC2/FABP1/CYP4F2/APOC1/ABCA9/PITPNM1/APOC3/APOA1/MAP2K6/APOA4/APOLD1/CPT1B/SLCO2A1/PROCA1/PLA2G10/AQP9/MTTP	46
GO:0015849	organic acid transport	43/756	315/17381	2.64516263157027e-11	2.9268724518325e-08	2.65212358586387e-08	LRP2/ABCB11/SLC10A1/SLC6A20/SLC25A18/SLC6A12/SLC6A17/ACSL1/SLC35D1/PPARA/SLC51A/SLC22A10/ABAT/ABCB4/SLC16A1/XK/AGXT/THRSP/SLC13A5/PLIN2/SLC27A5/SLC25A29/AVPR1A/SLC25A20/ADORA1/SLC2A9/MFSD2A/SLC3A1/APBA1/FABP1/CYP4F2/SLC6A13/MAP2K6/ATP1A2/CPT1B/SLCO2A1/PROCA1/PLA2G10/AQP9/SLC13A2/ARG1/SLC16A12/SLC38A4	43
GO:1901615	organic hydroxy compound metabolic process	56/756	492/17381	4.26555170191446e-11	3.77586636653468e-08	3.4214214703777e-08	LRP2/MOGAT2/ACOX2/APOF/ABCB11/LEPR/DIO2/NUDT11/PCK1/SULT1B1/SRD5A2/DUOX2/DUOXA2/TTPA/DAO/HMGCS1/MAOA/CITED1/APOA5/ABAT/ABCA1/ANGPTL3/DDC/SULT1E1/BMP5/ALDH1A1/CYP8B1/SLC27A5/EPHX1/CYP27A1/SULT1C4/APOL1/SULT2A1/CYP26B1/SLC24A5/FDX1L/DIO1/SULT2B1/CHKA/ADH4/ACER2/CYP4F2/CYP4F12/APOC1/ELOVL6/GFI1/APOA1/APOA4/CYP24A1/DGAT2/MOGAT3/HMGCS2/CYP7A1/CYP3A4/ADH1C/HAO1	56
GO:0046942	carboxylic acid transport	41/756	307/17381	1.53777889902317e-10	1.13436823451276e-07	1.0278837903997e-07	LRP2/ABCB11/SLC10A1/SLC6A20/SLC25A18/SLC6A12/SLC6A17/ACSL1/SLC35D1/PPARA/SLC51A/ABAT/ABCB4/SLC16A1/XK/AGXT/THRSP/SLC13A5/PLIN2/SLC27A5/SLC25A29/AVPR1A/SLC25A20/ADORA1/MFSD2A/SLC3A1/APBA1/FABP1/CYP4F2/SLC6A13/MAP2K6/ATP1A2/CPT1B/SLCO2A1/PROCA1/PLA2G10/AQP9/SLC13A2/ARG1/SLC16A12/SLC38A4	41
GO:0008202	steroid metabolic process	41/756	309/17381	1.88294186821214e-10	1.19055724410099e-07	1.07879827336665e-07	LRP2/ACOX2/APOF/ABCB11/LEPR/SULT1B1/UGT1A1/SRD5A2/UGT2B7/HMGCS1/CYP2E1/CYP3A7/APOA5/ABCA1/ANGPTL3/SULT1E1/BMP5/CYP8B1/SLC27A5/CYP27A1/APOL1/CYP1A2/SULT2A1/CYP26B1/CYP3A5/FDX1L/SULT2B1/NR1I2/APOC1/ELOVL6/GFI1/APOA1/APOA4/CYP24A1/CYP2C9/DGAT2/HMGCS2/CYP7A1/CYP3A4/CYP2A6/HSD17B6	41
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	20/756	91/17381	1.62272016556204e-09	8.97769931597199e-07	8.13495240893602e-07	RPS24/RPL35/RPL35A/RPL26/RPS17/RPS15/RPL21/RPS21/RPL37A/RPS27/RPL18A/RPL7A/RPLP2/RPL13/RPLP1/RPS19/RPL39/RPL12/RPS29/RPL34	20
GO:0072599	establishment of protein localization to endoplasmic reticulum	21/756	104/17381	3.27177371981984e-09	1.60898560932473e-06	1.45794828918287e-06	RYR2/RPS24/RPL35/RPL35A/RPL26/RPS17/RPS15/RPL21/RPS21/RPL37A/RPS27/RPL18A/RPL7A/RPLP2/RPL13/RPLP1/RPS19/RPL39/RPL12/RPS29/RPL34	21
GO:0006613	cotranslational protein targeting to membrane	20/756	96/17381	4.37271575955862e-09	1.93536399518064e-06	1.75368916251772e-06	RPS24/RPL35/RPL35A/RPL26/RPS17/RPS15/RPL21/RPS21/RPL37A/RPS27/RPL18A/RPL7A/RPLP2/RPL13/RPLP1/RPS19/RPL39/RPL12/RPS29/RPL34	20
