ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	42/748	365/18511	1.05740983485581e-09	5.03327081391368e-07	4.44112130639442e-07	MGP/WNT4/DCN/ADAMTS15/COL10A1/OMD/LINGO2/COL6A3/PODNL1/TNR/COL4A3/KAZALD1/WNT10B/HAPLN1/COL3A1/WNT2/DPT/COL28A1/SFRP1/HAPLN2/COL6A6/COL2A1/VIT/EGFL6/MMP10/POSTN/CTHRC1/LUM/OGN/NDNF/ANOS1/COL4A4/COL26A1/FREM1/MMP7/SPON1/MFAP2/MMP13/COCH/ZP1/TIMP1/CCBE1	42
GO:0005581	collagen trimer	18/748	88/18511	1.143220186778e-08	2.72086404453165e-06	2.40076239223381e-06	DCN/COL10A1/COL6A3/COL4A3/COL13A1/COL3A1/COL23A1/COL28A1/C1QL2/COL6A6/COL2A1/COL20A1/CTHRC1/LUM/COL4A4/COL26A1/FCN3/CCBE1	18
GO:0000786	nucleosome	18/748	105/18511	1.98913879933446e-07	3.15610022827734e-05	2.78479431906824e-05	HIST1H3C/HIST1H4E/HIST1H2AL/HIST1H3B/HIST1H2AB/HIST1H2BH/HIST1H4D/HIST1H4B/HIST1H3I/HIST1H2BL/HIST1H3F/HIST1H2AH/HIST1H4A/HILS1/HIST1H1B/HIST2H2AC/HIST1H1E/HIST1H4C	18
GO:0044815	DNA packaging complex	18/748	112/18511	5.4018028491956e-07	6.42814539054277e-05	5.67189299165538e-05	HIST1H3C/HIST1H4E/HIST1H2AL/HIST1H3B/HIST1H2AB/HIST1H2BH/HIST1H4D/HIST1H4B/HIST1H3I/HIST1H2BL/HIST1H3F/HIST1H2AH/HIST1H4A/HILS1/HIST1H1B/HIST2H2AC/HIST1H1E/HIST1H4C	18
GO:0098793	presynapse	34/748	354/18511	2.88915313031795e-06	0.000244320062911333	0.000215576526098235	CCL2/TH/SNCA/CPLX3/RAB3A/SYN1/MT3/HRH3/SYNGR3/SNAP25/SYNPR/SV2B/SYN2/GRIN1/CDH9/PACSIN1/CCK/CHRM1/SLC17A6/SLC17A7/SLC18A1/DOC2A/CPLX2/SYT13/CACNA1B/IL31RA/KCNK9/SVOP/UNC13C/OPRK1/CAMK2A/CNGB1/PRSS12/NTRK2	34
GO:0000788	nuclear nucleosome	10/748	40/18511	3.07966465854622e-06	0.000244320062911333	0.000215576526098235	HIST1H3C/HIST1H4E/HIST1H3B/HIST1H4D/HIST1H4B/HIST1H3I/HIST1H3F/HIST1H4A/HIST1H1E/HIST1H4C	10
GO:0098794	postsynapse	38/748	424/18511	4.02831158164008e-06	0.000273925187551525	0.000241698694898405	SNCA/CABP1/SYN1/IGF2BP1/MT3/COL13A1/HPCA/SNAP25/NOS1/ARHGAP44/PRKCG/CHRND/SH2D5/GRIN1/DDN/CDH9/CHRM1/GRID2/CHRNA3/GRIP1/SLC17A7/HTR3A/GABRA5/GABRG3/GABRB2/CACNG2/ASIC2/CHRNA2/P2RY1/PTCH1/GNG3/PSD/CAMK2A/GABRR1/DMD/NRGN/NTRK2/GRIK1	38
GO:0005788	endoplasmic reticulum lumen	30/748	299/18511	4.61461092755241e-06	0.000274569350189368	0.000242267073696501	FMO1/APOB/WNT4/PDIA2/COL10A1/COL6A3/COL4A3/TRDN/P4HA3/FLT3/COL13A1/IL6/COL3A1/COL23A1/SLC27A2/COL28A1/MTTP/ITIH2/COL2A1/COL20A1/IGFBP4/EVA1A/SERPIND1/RCN3/COL4A4/COL26A1/APOA1/SPON1/ARSI/TIMP1	30
GO:0030425	dendrite	40/748	495/18511	2.62499035682414e-05	0.00138832823316477	0.00122499549985126	CDKL5/CCL2/TH/SYN1/IGF2BP1/MT3/HPCA/GNG13/NOS1/ARHGAP44/PRKCG/GRIN1/DDN/MLPH/CCK/CHRM1/GRID2/CHRNA3/NTRK1/GRIP1/SLC12A5/CPLX2/CNNM1/CACNA1B/ROR2/GABRA5/HTR5A/NSG2/ASIC2/OPRK1/P2RY1/PTCH1/UHMK1/GCHFR/GNG3/PSD/APOD/NRGN/IL6ST/PRSS12	40
GO:0043195	terminal bouton	11/748	62/18511	3.36929979146097e-05	0.00160378670073542	0.00141510591241361	TH/SNCA/RAB3A/SYN1/GRIN1/CCK/CPLX2/UNC13C/CNGB1/PRSS12/NTRK2	11
GO:0043679	axon terminus	15/748	115/18511	6.07953737417584e-05	0.00260995919070073	0.00230290516826535	CCL2/TH/SNCA/RAB3A/SYN1/GRIN1/PACSIN1/CCK/CHRM1/CPLX2/UNC13C/OPRK1/CNGB1/PRSS12/NTRK2	15
GO:0097060	synaptic membrane	27/748	295/18511	6.88587305306727e-05	0.00260995919070073	0.00230290516826535	CABP1/COL13A1/SNAP25/PRKCG/CHRND/SH2D5/GRIN1/DDN/CDH9/CHRM1/GRID2/CHRNA3/GRIP1/HTR3A/IL31RA/GABRA5/GABRG3/GABRB2/CACNG2/CHRNA2/UNC13C/P2RY1/CAMK2A/GABRR1/DMD/NTRK2/GRIK1	27
GO:0044306	neuron projection terminus	16/748	130/18511	7.12803980653561e-05	0.00260995919070073	0.00230290516826535	CCL2/TH/SNCA/RAB3A/SYN1/GRIN1/PACSIN1/CCK/CHRM1/CPLX2/UNC13C/OPRK1/DMD/CNGB1/PRSS12/NTRK2	16
GO:0034702	ion channel complex	26/748	288/18511	0.000116699874312851	0.00396779572663693	0.00350099622938553	KCNG3/TRDN/CACNA1I/OLFM3/SNAP25/NOS1/CHRND/GRIN1/CACNG3/GRID2/LRRC8E/RYR2/CHRNA3/HTR3A/CACNA1B/KCNE5/GABRA5/GABRG3/KCNT1/GABRB2/CACNG2/SCNN1B/CHRNA2/RYR1/GABRR1/CNGB1	26
GO:0045211	postsynaptic membrane	21/748	225/18511	0.000328256391551219	0.0100464209878809	0.00886448910695375	CABP1/COL13A1/CHRND/SH2D5/GRIN1/CDH9/CHRM1/GRID2/CHRNA3/GRIP1/HTR3A/GABRA5/GABRG3/GABRB2/CACNG2/CHRNA2/P2RY1/GABRR1/DMD/NTRK2/GRIK1	21
GO:1902495	transmembrane transporter complex	27/748	325/18511	0.000337694823122048	0.0100464209878809	0.00886448910695375	KCNG3/TRDN/CACNA1I/OLFM3/SNAP25/NOS1/CHRND/ATP1B4/GRIN1/CACNG3/GRID2/LRRC8E/RYR2/CHRNA3/HTR3A/CACNA1B/KCNE5/GABRA5/GABRG3/KCNT1/GABRB2/CACNG2/SCNN1B/CHRNA2/RYR1/GABRR1/CNGB1	27
GO:0008021	synaptic vesicle	16/748	152/18511	0.000441731913158281	0.0123684935684319	0.0109133766780281	TH/SNCA/RAB3A/SYN1/MT3/SYNGR3/SNAP25/SYNPR/SV2B/SYN2/GRIN1/SLC17A6/SLC17A7/DOC2A/KCNK9/SVOP	16
GO:1990351	transporter complex	27/748	332/18511	0.000471359762779449	0.0124648470601677	0.0109983944648538	KCNG3/TRDN/CACNA1I/OLFM3/SNAP25/NOS1/CHRND/ATP1B4/GRIN1/CACNG3/GRID2/LRRC8E/RYR2/CHRNA3/HTR3A/CACNA1B/KCNE5/GABRA5/GABRG3/KCNT1/GABRB2/CACNG2/SCNN1B/CHRNA2/RYR1/GABRR1/CNGB1	27
GO:0030424	axon	31/748	407/18511	0.000572914157633782	0.0143530073175621	0.0126644182213783	CCL2/TH/NEFM/SNCA/RAB3A/SYN1/IGF2BP1/MT3/HPCA/SNAP25/GRIN1/CCK/CNTN4/NTRK1/SLC17A7/HTR3A/CPLX2/LPAR3/IL31RA/NRTN/STMN2/UNC13C/PTCH1/UHMK1/SNCG/NEFL/NRGN/ADAM22/CNGB1/PRSS12/NTRK2	31
GO:0044449	contractile fiber part	19/748	209/18511	0.000853175288754582	0.0200223315537756	0.0176667631356844	MYOZ3/MYH6/MYLPF/MYL4/S100A1/NOS1/CAPN3/RYR2/TNNT1/ADRA1A/ANKRD1/TNNT2/MYBPH/RYR1/MYL9/TPM2/MYH7/DMD/FHL2	19
GO:0098644	complex of collagen trimers	5/748	20/18511	0.000993276005645622	0.0200223315537756	0.0176667631356844	COL4A3/COL3A1/COL2A1/LUM/COL4A4	5
GO:0033162	melanosome membrane	4/748	12/18511	0.00100952932203911	0.0200223315537756	0.0176667631356844	TH/TYRP1/DCT/OCA2	4
GO:0045009	chitosome	4/748	12/18511	0.00100952932203911	0.0200223315537756	0.0176667631356844	TH/TYRP1/DCT/OCA2	4
GO:0090741	pigment granule membrane	4/748	12/18511	0.00100952932203911	0.0200223315537756	0.0176667631356844	TH/TYRP1/DCT/OCA2	4
GO:0070382	exocytic vesicle	16/748	167/18511	0.00122917311080477	0.0234034560297229	0.0206501082615202	TH/SNCA/RAB3A/SYN1/MT3/SYNGR3/SNAP25/SYNPR/SV2B/SYN2/GRIN1/SLC17A6/SLC17A7/DOC2A/KCNK9/SVOP	16
GO:0005891	voltage-gated calcium channel complex	7/748	42/18511	0.00134206824829171	0.0241455558865411	0.0213049022528304	TRDN/CACNA1I/NOS1/CACNG3/CACNA1B/CACNG2/RYR1	7
GO:0032993	protein-DNA complex	18/748	201/18511	0.00136960085911053	0.0241455558865411	0.0213049022528304	HIST1H3C/HIST1H4E/HIST1H2AL/HIST1H3B/HIST1H2AB/HIST1H2BH/HIST1H4D/HIST1H4B/HIST1H3I/HIST1H2BL/HIST1H3F/HIST1H2AH/HIST1H4A/HILS1/HIST1H1B/HIST2H2AC/HIST1H1E/HIST1H4C	18
GO:0030672	synaptic vesicle membrane	10/748	81/18511	0.00153771018807411	0.025239656880113	0.0222702854824526	RAB3A/SYN1/SYNGR3/SYNPR/SV2B/SYN2/SLC17A6/SLC17A7/DOC2A/SVOP	10
GO:0099501	exocytic vesicle membrane	10/748	81/18511	0.00153771018807411	0.025239656880113	0.0222702854824526	RAB3A/SYN1/SYNGR3/SYNPR/SV2B/SYN2/SLC17A6/SLC17A7/DOC2A/SVOP	10
GO:0043235	receptor complex	25/748	325/18511	0.0016439418993993	0.0260838781371356	0.0230151865915902	EGFR/NPR1/IL6/OLFM3/CHRND/GRIN1/CD3D/CACNG3/GRID2/CHRNA3/KLRC2/MTTP/NTRK1/HTR3A/GABRA5/GABRB2/CACNG2/CHRNA2/TSHR/LY96/GABRR1/IL6ST/ADCYAP1R1/CNGB1/NTRK2	25
GO:0043292	contractile fiber	19/748	224/18511	0.00192432690132787	0.0295477291945827	0.0260715257599259	MYOZ3/MYH6/MYLPF/MYL4/S100A1/NOS1/CAPN3/RYR2/TNNT1/ADRA1A/ANKRD1/TNNT2/MYBPH/RYR1/MYL9/TPM2/MYH7/DMD/FHL2	19
GO:0030017	sarcomere	17/748	192/18511	0.00207413106999499	0.0308526996661754	0.0272229702936842	MYOZ3/MYH6/MYL4/S100A1/NOS1/CAPN3/RYR2/TNNT1/ADRA1A/ANKRD1/TNNT2/MYBPH/RYR1/TPM2/MYH7/DMD/FHL2	17
GO:0043025	neuronal cell body	30/748	436/18511	0.00332203085054609	0.047917778329089	0.0422803926433139	CCL2/SERPINI1/TH/APOB/SNCA/RBFOX3/HPCA/DDN/CCK/CHRNA3/NGB/NTRK1/SLC12A5/HTR3A/CPLX2/CNNM1/CACNA1B/ROR2/GABRA5/HTR5A/ASIC2/STMN2/SST/OPRK1/KCNN3/STAR/SNCG/APOD/NRGN/IL6ST	30
