ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030545	receptor regulator activity	58/692	485/17354	6.36251357917559e-14	4.94367305101943e-11	4.38678567827369e-11	CCL2/UCN2/VSTM1/CXCL13/IGF2/SEMA3F/PMCH/WNT4/NGF/TAC4/FAM3D/XCL1/XCL2/WFIKKN2/WNT10B/IL6/TNFSF11/VIP/WNT2/LYPD6B/CCK/MSTN/CXCL2/HAMP/INSL3/NPY/NTF3/SFRP2/BMP3/NPPB/CXCL1/EREG/AREG/NRTN/CCL28/CXCL5/CCL7/EDN2/PF4V1/CXCL6/SST/CCL20/CCL26/CCL18/NPPC/OGN/NPPA/TNFSF9/CD70/CCL14/CMTM8/INHBC/BMP5/APOA1/NCOA2/TSLP/CARTPT/TIMP1	58
GO:0048018	receptor ligand activity	55/692	456/17354	2.05704860311666e-13	7.99163382310823e-11	7.09140439495481e-11	CCL2/UCN2/VSTM1/CXCL13/IGF2/SEMA3F/PMCH/WNT4/NGF/TAC4/FAM3D/XCL1/XCL2/WNT10B/IL6/TNFSF11/VIP/WNT2/CCK/MSTN/CXCL2/HAMP/INSL3/NPY/NTF3/SFRP2/BMP3/NPPB/CXCL1/EREG/AREG/NRTN/CCL28/CXCL5/CCL7/EDN2/PF4V1/CXCL6/SST/CCL20/CCL26/CCL18/NPPC/OGN/NPPA/TNFSF9/CD70/CCL14/CMTM8/INHBC/BMP5/APOA1/TSLP/CARTPT/TIMP1	55
GO:0008009	chemokine activity	15/692	48/17354	2.83153944410577e-10	7.33368716023394e-08	6.50757310838344e-08	CCL2/CXCL13/XCL1/XCL2/CXCL2/CXCL1/CCL28/CXCL5/CCL7/PF4V1/CXCL6/CCL20/CCL26/CCL18/CCL14	15
GO:0005125	cytokine activity	30/692	220/17354	3.91164807999988e-09	7.59837639539978e-07	6.74244603263138e-07	CCL2/VSTM1/CXCL13/FAM3D/XCL1/XCL2/IL6/TNFSF11/WNT2/MSTN/CXCL2/BMP3/CXCL1/AREG/CCL28/CXCL5/CCL7/PF4V1/CXCL6/CCL20/CCL26/CCL18/TNFSF9/CD70/CCL14/CMTM8/INHBC/BMP5/TSLP/TIMP1	30
GO:0042379	chemokine receptor binding	15/692	60/17354	8.82341881653144e-09	1.37115928408899e-06	1.21670301575328e-06	CCL2/CXCL13/XCL1/XCL2/CXCL2/CXCL1/CCL28/CXCL5/CCL7/PF4V1/CXCL6/CCL20/CCL26/CCL18/CCL14	15
GO:0001664	G-protein coupled receptor binding	32/692	262/17354	1.8233119094395e-08	2.36118892272416e-06	2.09520929944364e-06	CCL2/UCN2/CXCL13/WNT4/TAC4/XCL1/XCL2/WNT10B/WNT2/CXCL2/SFRP1/NPY/CXCL1/RTP5/ROR2/CCL28/CXCL5/CCL7/EDN2/PF4V1/CXCL6/CCL20/CCL26/CTHRC1/CCL18/RSPO3/P2RY1/PTCH1/NPPA/GNG3/CCL14/NPW	32
GO:0005539	glycosaminoglycan binding	26/692	213/17354	3.98972150195215e-07	4.42859086716688e-05	3.92972568989272e-05	CCL2/CXCL13/APOB/DCN/LYVE1/ADAMTS15/COL13A1/LIPG/HAPLN1/MSTN/SFRP1/HAPLN2/SELP/VIT/POSTN/CCL7/PF4V1/CXCL6/RSPO3/SERPIND1/NDNF/PTCH1/ANOS1/MMP7/JCHAIN/PCOLCE	26
GO:0015276	ligand-gated ion channel activity	19/692	139/17354	2.69261497636572e-06	0.000232462426292907	0.00020627635199059	TRPA1/CHRND/GRIN1/CLCA2/GRID2/RYR2/CHRNA3/SLC17A7/HTR3A/GABRA5/GABRG3/GABRB2/ASIC2/SCNN1B/CHRNA2/RYR1/GABRR1/CNGB1/GRIK1	19
GO:0022834	ligand-gated channel activity	19/692	139/17354	2.69261497636572e-06	0.000232462426292907	0.00020627635199059	TRPA1/CHRND/GRIN1/CLCA2/GRID2/RYR2/CHRNA3/SLC17A7/HTR3A/GABRA5/GABRG3/GABRB2/ASIC2/SCNN1B/CHRNA2/RYR1/GABRR1/CNGB1/GRIK1	19
GO:0015267	channel activity	40/692	466/17354	4.58227052308831e-06	0.000340883366511344	0.000302484054819387	TRPA1/GJA5/KCNG3/CALHM1/STEAP1/CACNA1I/SLC26A7/CHRND/GRIN1/CLCA2/CACNG3/GRID2/LRRC8E/GJB2/RYR2/CHRNA3/SLC17A7/HTR3A/SLC24A4/CACNA1B/KCNK9/KCNE5/GABRA5/GABRG3/GJB1/KCNK15/KCNT1/GABRB2/CACNG2/ASIC2/SCNN1B/CHRNA2/MCOLN3/RYR1/KCNN3/REST/GABRR1/FXYD7/CNGB1/GRIK1	40
