ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030016	myofibril	103/2330	213/18511	1.31174813652036e-37	4.05876862465454e-35	3.36306219610422e-35	PPP1R12B/TNNI1/MYL4/LDB3/LMOD2/DUSP27/CAV3/KLHL40/ANK2/CSRP3/DES/CASQ1/SLC8A1/TRIM54/MYBPH/TNNC2/KCNN2/SYNPO2/JPH1/SCN5A/KY/LMOD3/JPH2/MYOZ3/CACNA1S/CACNA1D/MYH4/MYOM1/MYOZ2/ACTC1/MYH6/ANKRD23/DMD/LRRC39/NOS1/TNNC1/MYOZ1/NEXN/MYL3/RYR1/PDE4DIP/MYLK2/ANKRD1/FLNC/ABRA/HRC/ABCC9/SMPX/ACTN2/MYBPC1/S100A1/MYL1/SYNPO2L/KLHL41/FERMT2/MYH13/MYPN/OBSCN/CMYA5/ANKRD2/XIRP2/TNNI2/SYNE1/MYBPC2/ADRA1A/TMOD4/LMOD1/CAVIN4/MYBPHL/TNNI3/SMTNL1/MYL2/TCAP/ITGB1BP2/NEB/PGM5/TRIM63/MYO18B/ACTA1/TNNT3/KCNA5/MYOD1/SCO2/CACNA1C/TMOD1/MYOT/PDE4B/RYR2/SYNM/CASQ2/MMP2/FBP2/TTN/MYH3/MYOM3/KCNJ8/MYH2/MYOM2/SORBS2/MYH7/MYH1/PDLIM3/MYH8	103
GO:0043292	contractile fiber	106/2330	224/18511	1.37120561643734e-37	4.05876862465454e-35	3.36306219610422e-35	PPP1R12B/TNNI1/MYL4/LDB3/LMOD2/DUSP27/CAV3/KLHL40/ANK2/CSRP3/DES/CASQ1/SLC8A1/TRIM54/MYBPH/TNNC2/KCNN2/SYNPO2/MYH11/JPH1/SCN5A/KY/LMOD3/JPH2/MYOZ3/CACNA1S/CACNA1D/MYH4/MYOM1/MYOZ2/ACTC1/MYH6/ANKRD23/DMD/LRRC39/NOS1/TNNC1/MYOZ1/NEXN/MYL3/RYR1/PDE4DIP/MYLK2/ANKRD1/FLNC/ABRA/MYLPF/HRC/ABCC9/SMPX/ACTN2/MYBPC1/S100A1/MYL1/SYNPO2L/KLHL41/FERMT2/MYH13/MYPN/OBSCN/CMYA5/ANKRD2/XIRP2/TNNI2/SYNE1/MYBPC2/ACTA2/ADRA1A/TMOD4/LMOD1/CAVIN4/MYBPHL/TNNI3/SMTNL1/MYL2/TCAP/ITGB1BP2/NEB/PGM5/TRIM63/MYO18B/ACTA1/TNNT3/KCNA5/MYOD1/SCO2/CACNA1C/TMOD1/MYOT/PDE4B/RYR2/SYNM/CASQ2/MMP2/FBP2/TTN/MYH3/MYOM3/KCNJ8/MYH2/MYOM2/SORBS2/MYH7/MYH1/PDLIM3/MYH8	106
GO:0044449	contractile fiber part	101/2330	209/18511	7.22240141149635e-37	1.42522054520195e-34	1.180925985178e-34	PPP1R12B/TNNI1/MYL4/LDB3/LMOD2/DUSP27/CAV3/KLHL40/ANK2/CSRP3/DES/CASQ1/SLC8A1/TRIM54/MYBPH/TNNC2/KCNN2/SYNPO2/MYH11/JPH1/SCN5A/KY/LMOD3/JPH2/MYOZ3/CACNA1S/CACNA1D/MYH4/MYOM1/MYOZ2/ACTC1/MYH6/DMD/LRRC39/NOS1/TNNC1/MYOZ1/NEXN/MYL3/RYR1/MYLK2/ANKRD1/FLNC/ABRA/MYLPF/HRC/ABCC9/SMPX/ACTN2/MYBPC1/S100A1/MYL1/SYNPO2L/KLHL41/FERMT2/MYH13/MYPN/OBSCN/CMYA5/ANKRD2/XIRP2/TNNI2/SYNE1/MYBPC2/ACTA2/ADRA1A/TMOD4/LMOD1/CAVIN4/MYBPHL/TNNI3/SMTNL1/MYL2/TCAP/ITGB1BP2/NEB/PGM5/TRIM63/MYO18B/ACTA1/TNNT3/KCNA5/CACNA1C/TMOD1/MYOT/PDE4B/RYR2/SYNM/CASQ2/MMP2/FBP2/TTN/MYH3/MYOM3/MYH2/MYOM2/SORBS2/MYH7/MYH1/PDLIM3/MYH8	101
GO:0030017	sarcomere	96/2330	192/18511	1.12942321284701e-36	1.67154635501358e-34	1.38502951891239e-34	PPP1R12B/TNNI1/MYL4/LDB3/LMOD2/DUSP27/CAV3/KLHL40/ANK2/CSRP3/DES/CASQ1/SLC8A1/TRIM54/MYBPH/TNNC2/KCNN2/SYNPO2/JPH1/SCN5A/KY/LMOD3/JPH2/MYOZ3/CACNA1S/CACNA1D/MYH4/MYOM1/MYOZ2/ACTC1/MYH6/DMD/LRRC39/NOS1/TNNC1/MYOZ1/NEXN/MYL3/RYR1/MYLK2/ANKRD1/FLNC/ABRA/HRC/ABCC9/SMPX/ACTN2/MYBPC1/S100A1/MYL1/SYNPO2L/KLHL41/FERMT2/MYPN/OBSCN/CMYA5/ANKRD2/XIRP2/TNNI2/SYNE1/MYBPC2/ADRA1A/TMOD4/LMOD1/CAVIN4/MYBPHL/TNNI3/SMTNL1/MYL2/TCAP/ITGB1BP2/NEB/PGM5/TRIM63/MYO18B/ACTA1/TNNT3/KCNA5/CACNA1C/TMOD1/MYOT/PDE4B/RYR2/CASQ2/MMP2/FBP2/TTN/MYH3/MYOM3/MYH2/MYOM2/SORBS2/MYH7/MYH1/PDLIM3/MYH8	96
GO:0005578	proteinaceous extracellular matrix	140/2330	365/18511	1.44546212058935e-36	1.7114271507778e-34	1.41807441725187e-34	SPOCK3/SHH/OGN/ADAMTS8/MGP/SPN/TFF3/COL4A1/THBS4/TNXB/ELN/COL6A6/MMP11/KERA/GPC4/TECTA/LRRN1/POSTN/ADAMTSL3/COL6A5/CCDC80/LTBP2/SPON1/HSPG2/GPC3/ADAMTS12/EGFL6/NID2/LOXL1/LRRC55/CHAD/COL8A1/WNT9B/NTN1/SPOCK2/COL6A3/EPYC/GP5/TNR/FMOD/ADAMTS18/COL8A2/PRELP/CRTAC1/TLR9/COL1A1/FBLN2/ADAMTSL1/TGFBR3/RELN/LAMA4/GPC5/WISP1/TIMP2/GPC6/LRFN5/CPZ/ADAMTS10/WNT1/COL4A3/CILP2/NDNF/FREM1/FN1/WNT2/ADAMTS4/MMP16/COL14A1/CTGF/CHI3L1/HAPLN2/LUM/PI3/LAMB4/COL4A4/WISP2/COL1A2/CILP/COL5A2/ADAMTS7/ZP1/ACHE/CRISP3/MYOC/COL24A1/ABI3BP/COMP/HPSE2/CRISPLD2/OMD/SERPINF1/PXDN/ENAM/BGN/ADAMTS9/COL6A2/CTHRC1/DPT/COL6A1/COL10A1/NTN3/EMILIN1/COL11A1/ADAMTS2/VCAN/WNT8B/COL12A1/SPARCL1/HMCN1/FBLN1/NID1/VWA2/COCH/MFAP4/MMP8/COL15A1/ECM2/TNN/FGF9/ADAMTS16/FREM2/MMP2/LAMA2/ADAMTS5/FBLN5/COL3A1/THBS2/ASPN/COL19A1/PODN/FBN1/SPARC/ANOS1/ADAMTS3/VWF/FRAS1/DCN/COL5A1/VWC2/SMOC2	140
GO:0031674	I band	64/2330	132/18511	6.37769749411937e-24	6.29266152753112e-22	5.21404742501689e-22	PPP1R12B/LDB3/CAV3/KLHL40/ANK2/CSRP3/DES/CASQ1/SLC8A1/TRIM54/MYBPH/KCNN2/SYNPO2/JPH1/SCN5A/KY/JPH2/MYOZ3/CACNA1S/CACNA1D/MYOM1/MYOZ2/ACTC1/DMD/NOS1/MYOZ1/NEXN/MYL3/RYR1/ANKRD1/FLNC/HRC/ACTN2/MYBPC1/S100A1/SYNPO2L/FERMT2/MYPN/OBSCN/ANKRD2/XIRP2/MYBPC2/ADRA1A/CAVIN4/MYBPHL/SMTNL1/TCAP/ITGB1BP2/NEB/PGM5/TRIM63/KCNA5/CACNA1C/MYOT/PDE4B/RYR2/CASQ2/FBP2/TTN/MYOM3/MYOM2/SORBS2/MYH7/PDLIM3	64
GO:0042383	sarcolemma	57/2330	122/18511	1.8222735330758e-20	1.54112275940125e-18	1.27696160362906e-18	KCND3/KCNJ2/SGCA/CAV3/ANK2/DES/CASQ1/SLC8A1/CACNA2D1/COL6A3/SLC27A6/VCAM1/SGCG/SLC2A4/SNTB1/SCN5A/CACNA1S/CACNA1D/SNTG2/DMD/NOS1/TRIM72/FXYD1/KCNJ11/RYR1/FLNC/AQP1/ABCC9/AKAP6/CACNB2/SSPN/SLC2A5/OBSCN/SCN1B/DYSF/BGN/ADRA1A/COL6A2/SLC8A3/DTNA/COL6A1/CAVIN4/PGM5/KCNB1/UTRN/CACNA1C/SGCD/MYOT/MLIP/SYNM/LAMA2/KCNJ5/POPDC2/TGFB3/KCNJ8/ATP1A2/CACNB1	57
GO:0030018	Z disc	54/2330	119/18511	9.64023026519392e-19	7.1337703962435e-17	5.91098329418469e-17	PPP1R12B/LDB3/CAV3/ANK2/CSRP3/DES/SLC8A1/TRIM54/MYBPH/KCNN2/SYNPO2/JPH1/SCN5A/KY/JPH2/MYOZ3/CACNA1D/MYOM1/MYOZ2/DMD/NOS1/MYOZ1/NEXN/FLNC/HRC/ACTN2/MYBPC1/S100A1/SYNPO2L/MYPN/OBSCN/XIRP2/MYBPC2/ADRA1A/CAVIN4/MYBPHL/TCAP/ITGB1BP2/NEB/PGM5/TRIM63/KCNA5/CACNA1C/MYOT/PDE4B/RYR2/CASQ2/FBP2/TTN/MYOM3/MYOM2/SORBS2/MYH7/PDLIM3	54
GO:0044420	extracellular matrix component	49/2330	120/18511	6.86722527683609e-15	4.51710818209663e-13	3.74283857193639e-13	SPN/COL4A1/THBS4/TNXB/ELN/CCDC80/HSPG2/EGFL6/NID2/LOXL1/COL8A1/NTN1/TNR/COL8A2/COL1A1/LAMA4/ADAMTS10/COL4A3/FREM1/FN1/COL14A1/LUM/LAMB4/COL4A4/COL1A2/COL5A2/ACHE/SERPINF1/EMILIN1/COL11A1/COL12A1/HMCN1/FBLN1/NID1/VWA2/MFAP4/COL15A1/FGF9/FREM2/LAMA2/FBLN5/COL3A1/THBS2/FBN1/SPARC/FRAS1/COL5A1/VWC2/SMOC2	49
GO:1902495	transmembrane transporter complex	91/2330	325/18511	5.3805651820762e-14	3.18529458778911e-12	2.63930881562896e-12	GABRA4/KCND3/KCNJ2/KCNA7/CHRNA1/HCN4/CLIC5/BEST4/KCNT2/KCNQ3/GRIA2/GRIA1/CACNA2D1/SCN4A/LRRC55/KCNB2/CHRNA7/GABRB2/KCNA3/DLG2/KCNS2/KCNA1/SCN5A/CNGA3/CACNA1S/KCNE3/CACNA1D/CACNG1/CNIH3/NOS1/CACNB4/KCNA6/SHANK1/AMIGO1/FXYD1/KCNJ11/RYR1/UQCRQ/BEST3/KCNJ6/CATSPERZ/EPS8/GRIA3/CFTR/KCNH1/ABCC9/CNTN2/AKAP6/CACNB2/KCNK2/CACNA1E/CACNA1G/GLRB/KCND2/SCN1B/GABRP/GRIN2A/CACNA2D2/KCNB1/CHRND/NLGN1/KCNC1/GLRA3/KCNA5/ATP2A1/CACNA1C/CHRNA6/PDE4B/KCNT1/RYR2/CASQ2/ATP1B4/KCNJ5/PLN/KCNQ4/KCNA2/KCNJ8/ATP1A2/TRDN/SHISA6/UQCC3/SCN7A/ATP1A4/SCN3A/CLIC6/CLIC3/CHRNG/VWC2/CACNB1/CACNG6/LRRC26	91
