ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0003735	structural constituent of ribosome	68/2893	159/17354	6.39044481624814e-15	6.39583691844439e-12	5.39820876752914e-12	RPL12/RPL8/RPL35A/RPL31/RPS24/RPL22L1/RPS19/MRPS12/RPL29/RPS8/RPS3/MRPL27/RPL13AP3/RPL28/RPSA/MRPL23/RPL24/RPS6/RPS29/RPS5/RPL38/RPS15A/RPL37A/MRPL52/RPS12/RPL39L/RPL13/RPL30/RPL27A/RPL41/RPL35/RPL17/RPS15/RPL23/RPL23A/RPS20/RPL36/RPS17/RPL14/RPS9/RPLP2/RPL21/RPS14/RPL7A/RPL27/RPL13A/RPS11/RPS10/RPLP0/RPS27/RPL32/UBA52/RPL18/MRPS17/RPS2/RPS28/RPL9/RPLP1/RPL39/RPS7/RPL4/RPL37/RPL18A/RPS21/RPL26/RPS27A/RPS16/RPL34	68
GO:0046873	metal ion transmembrane transporter activity	140/2893	449/17354	1.16287943971716e-14	6.39583691844439e-12	5.39820876752914e-12	JPH3/SLC9A3/SLC4A1/ABCC8/SLC24A5/CACNA1E/MCOLN3/CNGB1/KCNJ13/GRIK4/SLC6A19/KCNK10/GRIN2A/SCN2B/TRPV6/SLC30A3/SLC9C2/SLC28A2/KCNJ16/KCNC2/KCNF1/SLC10A1/SLC34A3/KCNH2/SLC17A3/SLC6A12/SLC31A1/SLC6A7/SLC17A4/SLC1A1/SLC10A4/SLC39A14/SLC1A2/SCN3B/SLC34A1/KCNJ15/SLC38A1/NCS1/SCN8A/SLC17A1/KCNMA1/ATP2C2/TRPM3/KCNAB2/ATP1A3/SLC6A2/SLC8A2/KCNJ4/FXYD2/TRPC5/ITPR3/ABCC9/PKDREJ/CACNA2D2/SLC41A2/TRPV2/LRRC26/NIPAL1/KCNB1/SCN4A/CACNA1A/SLC34A2/SLC11A1/KCNE1/SLC4A11/KCNK15/TRPV4/SLC6A1/KCNN4/ABCB11/ZDHHC13/KCNC1/SLC4A4/SLC9B2/KCNK7/HCN4/SLC5A5/SLC5A6/KCNH3/LOXHD1/CACNA1I/TRPM6/KCNJ10/GRIN1/KCND2/SLC28A1/TRPM2/SLC6A20/SLC4A3/GRIN2D/SLC17A2/SLC30A1/SLC39A8/SLC9A2/SLC13A2/KCNMB4/CACNB3/ATP1A2/SLC10A6/SLC6A6/SCN5A/GRIK5/SLC9A5/CACNB1/SLC30A4/SCN1B/KCNJ11/REST/SLC30A2/SLC13A3/KCNJ8/TRPC1/KCNMB3/SLC23A2/KCNN2/SLC5A4/ITPR2/SLC39A4/SLC5A10/SLC1A7/KCND3/SLC4A5/SLC6A17/SLC6A13/RYR1/KCNQ1/KCNG1/KCNE5/SLC13A5/ORAI2/SLC6A8/CACNA1F/GPM6A/PKD1L3/CLDN16/CACNA1G/TRPM7/KCNK9/CATSPER1/TTYH1	140
GO:0015293	symporter activity	60/2893	146/17354	1.99030882415835e-12	7.29779902191395e-10	6.15948204529005e-10	SLC4A1/SLC24A5/SLC12A3/SLC6A19/SLC28A2/SLC10A1/SLC34A3/SLC17A3/SLC6A12/SLC6A7/SLC17A4/SLC1A1/SLC10A4/SLC16A11/SLC1A2/SLC34A1/SLC16A13/SLC16A1/MFSD2A/SLC38A1/SLC17A1/SLC6A2/SLC16A12/SLC34A2/SLC4A11/SLC6A1/SLC4A4/SLC2A10/SLC5A5/SLC5A6/SLC22A4/SLC38A4/SLC28A1/SLC6A20/SLC4A3/SLC17A2/SLC13A2/SLC16A5/SLC12A1/SLC16A2/SLC10A6/SLC6A6/SLC35A3/SLC13A3/SLC23A2/SLC16A4/SLC5A4/SLC1A5/SLC5A10/SLC16A3/SLC1A7/SLC4A5/SLC6A17/SLC6A13/SLC45A4/SLC2A6/SLC13A5/SLC6A8/SLC45A2/SLC46A2	60
GO:0015081	sodium ion transmembrane transporter activity	62/2893	157/17354	6.7960626909761e-12	1.57708034384238e-09	1.33108599355883e-09	SLC9A3/SLC4A1/SLC24A5/GRIK4/SLC6A19/SCN2B/SLC9C2/SLC28A2/SLC10A1/SLC34A3/SLC17A3/SLC6A12/SLC6A7/SLC17A4/SLC1A1/SLC10A4/SLC1A2/SCN3B/SLC34A1/SLC38A1/SCN8A/SLC17A1/ATP1A3/SLC6A2/SLC8A2/FXYD2/SCN4A/SLC34A2/SLC4A11/SLC6A1/ABCB11/SLC4A4/SLC9B2/HCN4/SLC5A5/SLC5A6/CACNA1I/SLC28A1/TRPM2/SLC6A20/SLC4A3/SLC17A2/SLC9A2/SLC13A2/ATP1A2/SLC10A6/SLC6A6/SCN5A/GRIK5/SLC9A5/SCN1B/SLC13A3/SLC23A2/SLC5A4/SLC5A10/SLC1A7/SLC4A5/SLC6A17/SLC6A13/SLC13A5/SLC6A8/CACNA1G	62
GO:0015291	secondary active transmembrane transporter activity	83/2893	239/17354	7.16854701746535e-12	1.57708034384238e-09	1.33108599355883e-09	SLC9A3/SLC4A1/SLC24A5/SLC12A3/SLC6A19/SLC9C2/SLC28A2/SLC10A1/CDH17/SLC34A3/SLCO4A1/SLC17A3/SLC6A12/SLC6A7/SLC17A4/SLC1A1/SLC10A4/SLC16A11/SLC1A2/SLC22A12/SLC34A1/SLC16A13/SLC16A1/MFSD2A/SLC7A10/SLC38A1/SLC17A1/SLCO1A2/SLC6A2/SLC8A2/SLC16A12/SLCO2B1/SLC34A2/SLC11A1/SLC4A11/SLC47A1/SLC6A1/SLC4A4/SLC2A10/SLC9B2/SLC5A5/SLC5A6/SLC22A1/SLC22A4/SLC38A4/SLCO1B3/SLC22A11/SLC22A25/SLC28A1/SLC6A20/SLC4A3/SLC17A2/SLC9A2/SLC13A2/SLC16A5/SLC12A1/SLCO1B1/SLC16A2/SLC10A6/SLC6A6/SLC9A5/SLCO1B7/SLC35A3/SLC13A3/SLC23A2/SLC16A4/SLC5A4/SLC1A5/SLC5A10/SLC16A3/SLC1A7/SLC4A5/SLC6A17/SLC7A7/SLC6A13/SLC45A4/SLC2A6/SLC26A9/SLC13A5/SLC6A8/SLC45A2/SLC22A2/SLC46A2	83
GO:0022804	active transmembrane transporter activity	112/2893	367/17354	2.44341402113068e-11	4.47959237207292e-09	3.78086169585485e-09	SLC9A3/SLC4A1/ABCC8/SLC24A5/SLC12A3/SLC6A19/SLC9C2/CFTR/SLC28A2/SLC10A1/CDH17/SLC34A3/SLCO4A1/SLC17A3/SLC6A12/SLC6A7/ATP5EP2/SLC17A4/SLC1A1/SLC10A4/SLC16A11/ABCB5/ABCG2/SLC1A2/ABCB1/SLC22A12/SLC34A1/SLC16A13/SLC16A1/MFSD2A/SLC7A10/SLC38A1/SLC29A4/ABCA8/SLC17A1/ATP2C2/SLCO1A2/ATP1A3/ATP6V0D2/SLC6A2/ABCC11/SLC8A2/SLC16A12/FXYD2/ABCA6/ABCC9/ATP5E/SLCO2B1/ABCG4/SLC34A2/SLC11A1/SLC4A11/SLC47A1/SLC6A1/ABCC2/ABCB11/SLC4A4/SLC2A10/SLC9B2/SLC5A5/SLC5A6/SLC22A1/SLC22A4/SLC38A4/SLCO1B3/SLC22A11/SLC22A25/SLC28A1/SLC6A20/SLC4A3/SLC17A2/ABCA3/SLC9A2/SLC13A2/SLC16A5/SLC12A1/SLCO1B1/SLC16A2/ATP1A2/SLC10A6/SLC6A6/SLC9A5/SLCO1B7/ABCB4/SLC35A3/SLC13A3/PCYOX1/ATP6V1B1/SLC23A2/SLC16A4/ABCA9/SLC5A4/ATP5D/SLC1A5/SLC5A10/SLC16A3/SLC1A7/ABCG8/SLC4A5/SLC6A17/SLC7A7/SLC6A13/SLC45A4/SLC2A6/SLC26A9/SLC13A5/SLC6A8/SLC45A2/SLC22A2/ABCC6/SLC46A2/SEC61G	112
GO:0008514	organic anion transmembrane transporter activity	70/2893	201/17354	2.69774066291408e-10	4.23930675600784e-08	3.57805603712815e-08	SLC4A1/SLC7A4/SLC6A19/CFTR/SLC10A1/SLCO4A1/SLC17A3/SLC6A12/SLC6A7/SLC1A1/SLC10A4/SLC25A15/SLC16A11/SLC1A2/SLC22A12/SLC22A17/SLC16A13/SLC16A1/SLC7A10/SLC38A1/SERINC4/SLCO1A2/ABCC11/SLC16A12/SLC38A7/SLCO2B1/SLC4A11/SLC6A1/ABCC2/ABCB11/SLC4A4/SLC22A1/SLC22A4/SLC3A1/SLC38A4/SLCO1B3/SLC22A11/SLC7A1/SLC22A25/SLC7A14/SLC6A20/SLC4A3/MFSD10/SLC13A2/SLC16A5/SLCO1B1/SLC16A2/SLC10A6/SERINC5/SLC6A6/SLCO1B7/SLC35A3/SLC13A3/SLC23A2/SLC16A4/SLC1A5/SLC16A3/SLC1A7/SLC4A5/SLC6A17/SLC7A7/SLC7A2/SLC6A13/SLC26A9/SLC38A5/SLC13A5/SLC6A8/AQP9/SLC22A2/OCA2	70
GO:0015077	monovalent inorganic cation transmembrane transporter activity	109/2893	368/17354	3.21956547750692e-10	4.42690253157202e-08	3.73639046205409e-08	SLC9A3/SLC4A1/ABCC8/SLC24A5/CNGB1/KCNJ13/GRIK4/SLC6A19/KCNK10/SCN2B/SLC9C2/SLC28A2/KCNJ16/KCNC2/KCNF1/SLC10A1/SLC34A3/KCNH2/ATP5I/SLC17A3/SLC6A12/SLC6A7/ATP5EP2/SLC17A4/SLC1A1/SLC10A4/SLC1A2/SCN3B/SLC34A1/KCNJ15/SLC38A1/SCN8A/SLC17A1/KCNMA1/KCNAB2/ATP1A3/ATP6V0D2/SLC6A2/SLC8A2/KCNJ4/FXYD2/ABCC9/COX6B1/LRRC26/KCNB1/ATP5E/SCN4A/SLC34A2/SLC11A1/KCNE1/SLC4A11/NNT/KCNK15/SLC47A1/SLC6A1/KCNN4/ABCB11/KCNC1/SLC4A4/SLC9B2/KCNK7/HCN4/SLC5A5/SLC5A6/KCNH3/CACNA1I/COX6C/KCNJ10/NDUFA4L2/KCND2/SLC28A1/TRPM2/SLC6A20/SLC4A3/SLC17A2/SLC9A2/SLC13A2/KCNMB4/ATP1A2/SLC10A6/SLC6A6/SCN5A/GRIK5/SLC9A5/SCN1B/COX7A1/KCNJ11/REST/SLC13A3/KCNJ8/ATP6V1B1/KCNMB3/SLC23A2/KCNN2/SLC5A4/ATP5D/SLC5A10/SLC1A7/KCND3/SLC4A5/SLC6A17/SLC6A13/KCNQ1/KCNG1/KCNE5/SLC13A5/SLC6A8/CACNA1G/KCNK9	109
GO:0015294	solute:cation symporter activity	45/2893	108/17354	6.5603914470202e-10	7.79838624814088e-08	6.58198724484235e-08	SLC4A1/SLC12A3/SLC6A19/SLC28A2/SLC10A1/SLC34A3/SLC17A3/SLC6A12/SLC6A7/SLC17A4/SLC1A1/SLC10A4/SLC1A2/SLC34A1/SLC38A1/SLC17A1/SLC6A2/SLC34A2/SLC6A1/SLC4A4/SLC2A10/SLC5A5/SLC5A6/SLC28A1/SLC6A20/SLC4A3/SLC17A2/SLC13A2/SLC12A1/SLC10A6/SLC6A6/SLC35A3/SLC13A3/SLC23A2/SLC5A4/SLC5A10/SLC1A7/SLC4A5/SLC6A17/SLC6A13/SLC45A4/SLC2A6/SLC13A5/SLC6A8/SLC45A2	45
GO:0004497	monooxygenase activity	41/2893	94/17354	7.08944204376444e-10	7.79838624814088e-08	6.58198724484235e-08	CYP2E1/CYP4Z1/TYRP1/CYP26A1/CYP7A1/CYP2A7/CYP3A43/CYP4F3/CYP19A1/AGMO/CYP26B1/CYP7B1/CYP2C19/CYP4A22/FMO5/CYP8B1/MICAL1/CYP2A13/CYP2C8/CYP2U1/CYP1A1/PAH/CYP21A2/CH25H/CYP39A1/CYP2J2/NOS2/CYP1A2/CYP4A11/DBH/FMO3/NLRP11/FMO4/CYP2B6/CYP4F11/CYP4F2/CYP3A4/CYP2C9/CYP2W1/CYP2A6/CYP4X1	41
