ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa03010	Ribosome	61/1076	92/5894	1.85981398357411e-24	3.88701122566989e-22	3.26935721323028e-22	6136/6132/6165/6160/6229/200916/6223/6159/6202/6188/6158/3921/6152/6194/6235/6193/6169/6210/6168/6206/6137/6156/6157/6171/11224/6139/6209/9349/6147/6224/25873/6218/9045/6203/6181/6144/6208/6130/6155/23521/6205/6204/6175/6232/6161/7311/6141/6187/6234/6133/6176/6170/6201/6124/6167/6142/6227/6154/6233/6217/6164	61
hsa00982	Drug metabolism - cytochrome P450	42/1076	73/5894	5.31784765936334e-14	5.55715080403469e-12	4.67410820586146e-12	2946/2939/1571/54576/10941/54575/218/1549/54657/64816/2950/222/221/1557/54490/2330/54658/4129/130/131/126/125/54659/1553/4128/316/119391/1558/7365/1544/7364/2944/2328/54579/7366/2329/1555/54600/1576/1559/1548/127	42
hsa00830	Retinol metabolism	34/1076	64/5894	2.75578138880093e-10	1.91986103419798e-08	1.61479119975352e-08	53630/54576/10941/54575/1592/1549/54657/64816/56603/1557/54490/284541/54658/130/131/126/125/8608/54659/1553/1558/1543/7365/1544/7364/1579/54579/7366/1555/54600/1576/1559/1548/127	34
hsa00983	Drug metabolism - other enzymes	29/1076	52/5894	1.26729979740476e-09	6.62164144143988e-08	5.56944910964725e-08	54576/10941/54575/3615/1066/1549/54657/64816/221223/3614/7498/54490/51733/54658/7378/10/151531/54659/1553/3704/1807/7365/8824/7364/54579/7366/54600/1576/1548	29
hsa00980	Metabolism of xenobiotics by cytochrome P450	35/1076	71/5894	2.14484592369509e-09	8.96545596104549e-08	7.5408267212017e-08	2946/2939/1571/54576/10941/54575/218/27294/54657/64816/2950/222/221/1557/54490/54658/130/131/126/125/54659/119391/1558/1543/7365/1544/7364/2944/54579/7366/1555/54600/1576/1559/127	35
hsa03320	PPAR signaling pathway	32/1076	70/5894	1.03295611541995e-07	3.59813046871281e-06	3.02638019780931e-06	1581/11001/51/5465/23305/6258/8309/3158/116519/284541/4312/1582/2167/51703/5346/5106/6342/5105/2171/5360/5170/34/1579/79966/1962/2168/2180/1376/10998/1375/2170/33	32
hsa00140	Steroid hormone biosynthesis	27/1076	57/5894	4.24697893244636e-07	1.26802656697327e-05	1.06653455897525e-05	54576/10941/54575/1581/8630/54657/64816/1588/9420/3283/3290/54490/54658/3292/54659/6716/1543/1589/7365/7364/6715/3284/54579/7366/54600/1576/6718	27
hsa04976	Bile secretion	31/1076	71/5894	5.80867589529537e-07	1.51751657764592e-05	1.27638009804517e-05	6550/361/1080/6554/1581/570/9429/5243/6579/478/486/343/1244/8647/8671/107/6580/28234/6344/10599/6513/477/5244/6822/57552/3781/64241/57835/1576/10998/366	31
hsa00071	Fatty acid degradation	22/1076	43/5894	9.62322078785943e-07	2.19375476521103e-05	1.84516265822333e-05	219/51/23305/284541/51703/130/131/126/125/10449/36/223/34/1579/1962/2180/1376/1375/217/127/33/3033	22
hsa00120	Primary bile acid biosynthesis	12/1076	16/5894	1.14343426038436e-06	2.19375476521103e-05	1.84516265822333e-05	1581/570/8309/9420/1582/6342/9023/23600/51302/10998/6718/3295	12
hsa00053	Ascorbate and aldarate metabolism	16/1076	26/5894	1.1546077711637e-06	2.19375476521103e-05	1.84516265822333e-05	54576/10941/54575/219/55586/54657/54490/54658/54659/223/7365/7364/54579/7366/54600/217	16
hsa00500	Starch and sucrose metabolism	24/1076	54/5894	7.54742575824203e-06	0.000131450998622715	0.000110563166809335	8972/5169/54576/10941/54575/2998/54657/57733/178/54490/54658/55276/54659/2645/7365/2538/2632/7364/54579/7366/80201/54600/3099/11181	24
hsa00010	Glycolysis / Gluconeogenesis	26/1076	65/5894	3.15205445660606e-05	0.000506753370331282	0.000426229226115961	218/219/226/5214/84532/222/221/5315/229/130/131/126/125/5224/55276/5106/5105/223/2645/2026/2538/80201/217/3099/5313/127	26
hsa00040	Pentose and glucuronate interconversions	15/1076	32/5894	0.000190177034934628	0.00283907145009552	0.00238793720557014	54576/10941/54575/27294/219/54657/54490/54658/54659/7365/7364/54579/7366/54600/217	15
hsa00360	Phenylalanine metabolism	10/1076	17/5894	0.000220655857946396	0.00307447162071979	0.00258593180891566	3242/218/222/4282/221/4129/4128/259307/5053/6898	10
hsa00280	Valine, leucine and isoleucine degradation	18/1076	44/5894	0.00037164385519931	0.00485459785854099	0.00408319235646611	219/64064/594/3158/18/11112/4329/316/10449/36/223/259307/34/1962/4594/217/1629/3033	18
hsa00590	Arachidonic acid metabolism	22/1076	59/5894	0.000415957914548375	0.00511383553768297	0.00430123663960239	1571/4051/874/240/1557/284541/5319/9536/2053/26279/2678/2882/1558/113612/1573/124975/1579/5730/1555/57834/8529/1559	22
hsa00350	Tyrosine metabolism	17/1076	41/5894	0.000445895309924175	0.00517733998745292	0.00435465010276826	3242/7306/218/222/4282/221/4129/130/131/126/125/4128/316/259307/6898/1621/127	17
hsa04060	Cytokine-cytokine receptor interaction	70/1076	265/5894	0.000488900468004049	0.00537790514804453	0.00452334505023136	2322/2056/6360/3458/9966/6363/2829/6372/5197/2826/3589/3561/608/658/3976/163702/7292/4049/943/6361/6352/7423/643/3570/56477/4050/10803/3459/3576/6364/3953/6846/85480/2833/355/10344/7293/2277/939/655/23495/8784/3592/3624/6349/3595/53832/268/3597/1441/2690/50615/3559/6374/970/3572/6375/7040/3606/3577/27242/10913/6357/3626/3791/1235/1956/2921/8744/2919	70
hsa00380	Tryptophan metabolism	17/1076	42/5894	0.000623618943484684	0.00651681795941494	0.0054812822927338	219/51166/169355/26/847/55753/4129/4128/316/6999/223/1543/259307/1544/1962/217/3033	17
hsa04974	Protein digestion and absorption	27/1076	81/5894	0.000776609662692178	0.00772911521441263	0.00650094304108239	6550/3769/4224/340024/5646/1301/6505/1803/1506/4225/478/6543/486/59272/1361/4311/1302/3783/1298/6519/1280/477/1299/6510/50509/9056/3784	27
hsa02010	ABC transporters	17/1076	44/5894	0.00116545902785667	0.0110718607646384	0.00931251950488348	6833/1080/340273/9429/5243/10351/85320/23460/10060/64137/1244/8647/21/5244/10350/64241/368	17
hsa04930	Type II diabetes mellitus	18/1076	48/5894	0.00126567797160546	0.0115011606985018	0.00967360280357489	6833/777/3651/773/5315/3667/8651/2645/5581/3767/5602/8660/80201/5295/6514/3099/5313/8913	18
hsa00514	Other types of O-glycan biosynthesis	17/1076	46/5894	0.00206176141324813	0.0179545056403691	0.015101498070721	54576/10941/54575/54657/54490/54658/3955/9486/54659/23127/7365/7364/54579/7366/2526/54600/2529	17
hsa00330	Arginine and proline metabolism	19/1076	54/5894	0.0022415559805888	0.0187394079977223	0.015761677842456	27165/1158/219/2628/1373/1610/26/4129/162417/5009/1159/4128/5831/1152/223/4843/548596/217/2752	19
hsa00410	beta-Alanine metabolism	10/1076	22/5894	0.00302852245218653	0.0233607008023413	0.0196486377939612	2571/219/18/51733/223/84735/1807/34/1962/217	10
hsa04640	Hematopoietic cell lineage	27/1076	88/5894	0.00307054465466251	0.0233607008023413	0.0196486377939612	2322/2056/910/2209/3589/100133941/3690/915/1380/2814/3675/931/4311/3570/926/912/909/2208/1441/924/3559/3674/3672/930/933/914/916	27
hsa00340	Histidine metabolism	12/1076	29/5894	0.00312966326538544	0.0233607008023413	0.0196486377939612	131669/218/219/222/26/221/4129/4128/223/84735/217/443	12
hsa00430	Taurine and hypotaurine metabolism	6/1076	10/5894	0.00392054079523911	0.0282549319381026	0.0237651656190538	2571/570/1036/51380/2678/124975	6
hsa00650	Butanoate metabolism	12/1076	30/5894	0.00436461929928672	0.0303008609190754	0.0254859923116877	2571/54988/6296/64064/79944/3158/18/348158/123876/7915/1962/3033	12
hsa00910	Nitrogen metabolism	10/1076	23/5894	0.00449438606933655	0.0303008609190754	0.0254859923116877	771/27165/23632/1373/440/768/1491/762/767/2752	10
hsa00860	Porphyrin and chlorophyll metabolism	15/1076	43/5894	0.00691999267020897	0.0451962021273023	0.0380144334185822	54576/10941/54575/210/54657/644/54490/54658/54659/7365/7364/54579/7366/54600/211	15
