ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050808	synapse organization	60/1257	260/17381	4.06598848015072e-16	2.04803839745192e-12	1.69273520410485e-12	LRRTM3/DNM3/PTN/EPHB1/EPHA7/PDZRN3/LRP4/PCDHB11/CUX2/CDC20/SYNDIG1/CACNA2D2/C1QL1/RELN/NLGN4X/SEZ6L/SDK2/SNCG/PCDHB18P/PCDHB12/PCDHB2/NFATC4/DLG4/KALRN/LRRC4B/PCDHB13/PCDHGC4/NTRK3/PCDHB10/PCDH17/NEURL1/MUSK/SNCA/PCDHB8/PCDHGC5/NRCAM/DRD1/OXT/ADGRB3/GRM5/COL4A1/LINGO2/PCDHB16/KIRREL3/DKK1/FZD9/NRXN1/NPAS4/CLSTN2/PTPRD/SHANK1/SHANK2/PAK3/NTRK2/NRXN2/TIAM1/LRRTM2/TNC/NLGN3/ROBO2	60
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	55/1257	239/17381	7.9191365625682e-15	1.9944345432828e-11	1.64843079499775e-11	TGFB2/TENM4/CDH23/PCDH19/PCDHB11/PCDHGA5/TENM1/PCDH10/MAG/CLDN10/PTPRT/PCDHGA1/PCDH18/PCDHA3/CLDN14/SDK2/PCDHB18P/CEACAM1/PCDHB12/PCDHB2/PCDHA9/MMP24/PCDHB13/PCDHGC4/DAB1/FAT3/PCDHB10/PCDH17/PCDHGB3/PCDHB8/ITGAL/PCDHGC5/CDHR1/TIGIT/CDH20/PCDH11X/PCDHB16/KIRREL3/NECTIN4/PCDH20/CRTAM/PCDHGB1/NRXN1/CLSTN2/PTPRD/PCDHGA3/IGSF9B/PCDHGA10/DCHS1/ADIPOQ/DCHS2/CLDN16/PCDHGA9/ROBO2/CDHR5	55
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	42/1257	157/17381	5.27173324275223e-14	8.851240114581e-11	7.3156859561702e-11	CDH23/PCDH19/PCDHB11/PCDHGA5/PCDH10/PTPRT/PCDHGA1/PCDH18/PCDHA3/SDK2/PCDHB18P/CEACAM1/PCDHB12/PCDHB2/PCDHA9/PCDHB13/PCDHGC4/FAT3/PCDHB10/PCDH17/PCDHGB3/PCDHB8/PCDHGC5/CDHR1/TIGIT/CDH20/PCDH11X/PCDHB16/KIRREL3/NECTIN4/PCDH20/CRTAM/PCDHGB1/CLSTN2/PCDHGA3/IGSF9B/PCDHGA10/DCHS1/DCHS2/PCDHGA9/ROBO2/CDHR5	42
GO:0007612	learning	37/1257	136/17381	9.5813694869375e-13	1.2065339526426e-09	9.97218850548364e-10	FGF13/PTN/PRKAR2B/C1QL1/JPH4/ASIC1/RELN/NLGN4X/TAC1/DLG4/KALRN/PPP1R1B/SLC6A1/EN1/JPH3/TACR2/SLC8A3/GPR88/DRD1/NTSR1/ADGRB3/GRM5/ARC/CNTNAP2/DKK1/PAK5/NRXN1/NPAS4/SHANK1/SHANK2/NRXN3/DGKI/NTRK2/FOXP2/NRXN2/NLGN3/ATP1A2	37
GO:0050804	modulation of chemical synaptic transmission	60/1257	308/17381	1.21366429397649e-12	1.22264540975191e-09	1.01053521740569e-09	GRM3/CHRNA3/PTN/UNC13C/IFNG/CUX2/CDC20/CACNA2D2/SHISA6/JPH4/GRIA1/CD38/ASIC1/RELN/SNCAIP/NLGN4X/SNCG/SYT1/TAC1/NFATC4/DLG4/KALRN/HAP1/SLC6A1/JPH3/PCDH17/NEURL1/TACR2/LAMA2/SLC8A3/CNTN4/SNCA/DRD1/NTSR1/OXT/GRM5/KCNJ10/ARC/NMU/DKK1/NRXN1/NPAS4/VGF/CLSTN2/SHANK1/SHANK2/HTR2A/DGKI/IGSF9B/NTRK2/KISS1/ADIPOQ/GRM7/LRRTM2/GRIK3/NLGN3/USP46/CNTNAP4/GRM4/ATP1A2	60
GO:0050890	cognition	55/1257	271/17381	1.93799946633672e-12	1.62695055198968e-09	1.34469962971258e-09	ITGA8/FGF13/PTN/CUX2/PRKAR2B/C1QL1/JPH4/GRIA1/ASIC1/RELN/NLGN4X/SHC3/POMK/TAC1/DLG4/KALRN/CHRM1/PPP1R1B/SLC6A1/EN1/SOBP/CHL1/KCNK2/JPH3/TACR2/SLC8A3/MUSK/GPR88/CHRNA4/DRD1/NTSR1/OXT/PTCHD1/ADGRB3/GRM5/SHROOM4/ARC/CNTNAP2/DKK1/FZD9/PAK5/NRXN1/NPAS4/PRKCG/SHANK1/SHANK2/NRXN3/HTR2A/DGKI/NTRK2/FOXP2/NRXN2/NLGN3/AFF2/ATP1A2	55
GO:0007416	synapse assembly	38/1257	150/17381	5.20327244894081e-12	3.74412618933069e-09	3.09457782489637e-09	LRRTM3/DNM3/EPHB1/EPHA7/LRP4/PCDHB11/CUX2/SYNDIG1/NLGN4X/SDK2/PCDHB18P/PCDHB12/PCDHB2/LRRC4B/PCDHB13/NTRK3/PCDHB10/PCDH17/MUSK/SNCA/PCDHB8/NRCAM/DRD1/OXT/ADGRB3/LINGO2/PCDHB16/KIRREL3/NRXN1/NPAS4/CLSTN2/PTPRD/SHANK2/NTRK2/NRXN2/LRRTM2/NLGN3/ROBO2	38
GO:0007611	learning or memory	49/1257	234/17381	9.60016761704866e-12	6.04450553588426e-09	4.99587670071414e-09	ITGA8/FGF13/PTN/CUX2/PRKAR2B/C1QL1/JPH4/GRIA1/ASIC1/RELN/NLGN4X/SHC3/POMK/TAC1/DLG4/KALRN/PPP1R1B/SLC6A1/EN1/KCNK2/JPH3/TACR2/SLC8A3/MUSK/GPR88/DRD1/NTSR1/OXT/ADGRB3/GRM5/ARC/CNTNAP2/DKK1/FZD9/PAK5/NRXN1/NPAS4/PRKCG/SHANK1/SHANK2/NRXN3/HTR2A/DGKI/NTRK2/FOXP2/NRXN2/NLGN3/AFF2/ATP1A2	49
GO:0030534	adult behavior	35/1257	140/17381	5.35473428714902e-11	2.9968662893744e-08	2.47695603575139e-08	CHRNA3/HOXD10/NLGN4X/ALK/SEZ6L/SNCG/CEND1/ADAM22/KALRN/PPP1R1B/DAB1/EN1/CHL1/PCDH17/SNCA/CHRNA4/DRD1/NTSR1/TMOD1/KCNJ10/ZIC1/NR4A2/CNTNAP2/NRXN1/SHANK1/SHANK2/NRXN3/HTR2A/HOMER1/NRXN2/LEP/PREX2/NLGN3/USP46/ATP1A2	35
GO:0060078	regulation of postsynaptic membrane potential	34/1257	136/17381	1.00710317375845e-10	5.0727786862213e-08	4.19272952864701e-08	CHRNA3/CUX2/SCN4A/GRIA1/RELN/NLGN4X/SCN11A/DLG4/CHRNA6/GRIA4/SCN3A/SCN2A/SLC8A3/CACNA1H/SNCA/CHRNA4/NTSR1/GRM5/GRIA2/SCN5A/NRXN1/NPAS4/SHANK1/DGKI/IGSF9B/SCN9A/SCN2B/CACNA1G/SCN4B/GRIA3/GRIK3/SCN7A/GRIK4/NLGN3	34
