ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	41/580	411/17354	4.28551199810187e-10	2.92700469470358e-07	2.47657482837676e-07	HOXC11/PITX2/RBPJL/NKX2-8/HOXA7/CDX1/PITX3/HOXA1/ELF5/HOXA5/MYOCD/FOXL2/POU4F1/DLX2/MEOX2/BARX1/FOXI1/ZIC1/GATA4/SOX2/HLF/MAFA/HOXC10/HOXD13/GBX2/LHX2/HOXC13/ONECUT2/HOXD10/SIX2/KLF14/GATA2/GATA5/SIX3/AR/HOXA10/FOXD1/FOXD2/DLX5/PGR/ARID3A	41
GO:0048018	receptor ligand activity	40/580	456/17354	2.77606332093767e-08	9.48025624100215e-06	8.02136191155149e-06	CCL13/VSTM1/FGF17/LTB/FGF5/SAA4/CXCL9/CRLF1/TG/GREM1/AGT/SCGB3A1/IFNG/PF4V1/CCL11/SAA2/GDF3/SAA1/FGF20/C10orf99/CCL19/CGB2/CALCB/NTS/PYY/FAM3D/GRP/TNFSF9/POMC/CXCL1/GDF10/CLEC11A/OXT/CXCL13/IL17C/TGFB2/WNT3A/INS-IGF2/CD70/IGF2	40
GO:0030545	receptor regulator activity	41/580	485/17354	5.20126044743307e-08	1.18415362853226e-05	1.00192701250553e-05	CCL13/VSTM1/FGF17/LTB/FGF5/SAA4/CXCL9/CRLF1/TG/GREM1/AGT/SCGB3A1/IFNG/PF4V1/CCL11/SAA2/GDF3/SAA1/FGF20/C10orf99/CCL19/CGB2/CALCB/NTS/LYNX1/PYY/FAM3D/GRP/TNFSF9/POMC/CXCL1/GDF10/CLEC11A/OXT/CXCL13/IL17C/TGFB2/WNT3A/INS-IGF2/CD70/IGF2	41
GO:0050786	RAGE receptor binding	6/580	11/17354	5.43897519420076e-07	9.28705014409781e-05	7.85788784635847e-05	S100A4/S100A7/S100B/S100A9/S100P/S100A8	6
GO:0019825	oxygen binding	10/580	45/17354	1.78655851762356e-06	0.000178469650745947	0.000151005376064614	CYP17A1/CYP19A1/CYP3A5/HBQ1/CYP4A11/TDO2/NOX4/CYP1B1/TH/CYP1A2	10
GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	26/580	274/17354	1.8242463223944e-06	0.000178469650745947	0.000151005376064614	HOXC11/PITX2/NKX2-8/HOXA7/PITX3/HOXA5/MYOCD/FOXL2/POU4F1/MEOX2/FOXI1/ZIC1/SOX2/HLF/MAFA/HOXD13/LHX2/HOXC13/ONECUT2/SIX2/GATA2/AR/HOXA10/FOXD1/DLX5/PGR	26
GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	33/580	400/17354	1.82911794322347e-06	0.000178469650745947	0.000151005376064614	HOXC11/EN1/PITX2/RBPJL/NKX2-8/HOXA7/CUX2/PITX3/HOXA5/NKX6-1/MYOCD/FOXL2/POU4F1/MEOX2/FOXI1/ZIC1/SOX2/HLF/MAFA/ZFPM2/HOXD13/LHX2/HOXC13/ONECUT2/SIX2/PRRX1/GATA2/HAND1/AR/HOXA10/FOXD1/DLX5/PGR	33
GO:0046982	protein heterodimerization activity	37/580	495/17354	4.49393150348951e-06	0.000383669402110417	0.00032462742044944	TWIST1/CD3D/HIST1H3C/BTBD11/HIST1H4F/CRLF1/KCNK9/HIST1H4K/RBP4/HIST1H2BM/ADCY2/HIST1H2BI/SCGB2A1/HIST1H2BB/SIM2/KCNB1/PVALB/DMRTA2/NTSR1/MAFA/ABCG8/HIST1H2BO/BCL2/DMBX1/HIST1H3B/HIST2H2AB/HIST1H2BH/HIST1H2AL/HIST2H2AA3/HIST1H4D/HIST1H3I/CXCL13/HAND1/TGFB2/SOX8/HIST1H3F/HIST1H2BL	37
GO:0004497	monooxygenase activity	13/580	94/17354	1.42979772367972e-05	0.00108505760585917	0.000918080643625928	CYP2A6/CYP17A1/CYP26B1/CYP19A1/CYP3A5/AGMO/CYP4A11/CYP24A1/PAH/CYP1B1/TH/FMO1/CYP1A2	13
GO:0005125	cytokine activity	21/580	220/17354	1.62050551264178e-05	0.00110680526513434	0.000936481606779302	CCL13/VSTM1/LTB/CXCL9/CRLF1/GREM1/SCGB3A1/IFNG/PF4V1/CCL11/GDF3/C10orf99/CCL19/FAM3D/TNFSF9/CXCL1/GDF10/CXCL13/IL17C/TGFB2/CD70	21
