ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05322	Systemic lupus erythematosus	21/193	138/5894	2.67463068622645e-09	3.74491459884959e-07	3.27648030521358e-07	8352/8361/8362/8342/3458/8346/2903/3018/3118/2904/8348/8358/317772/8345/8332/8337/8360/8354/8968/8340/8331	21
hsa04974	Protein digestion and absorption	16/193	81/5894	4.86352545305141e-09	3.74491459884959e-07	3.27648030521358e-07	50509/643847/1360/6564/4311/131873/478/482/643834/5644/1358/477/7512/1286/1357/5222	16
hsa04080	Neuroactive ligand-receptor interaction	23/193	272/5894	2.28481257076182e-05	0.00117287045299107	0.00102616143528952	2151/3362/11255/3354/1129/2740/4887/2903/2742/2915/2904/4923/5644/4160/117/2918/10886/1128/2550/9127/1134/1136/1137	23
hsa04970	Salivary secretion	11/193	89/5894	0.000136578391203448	0.00525826806133274	0.00460053528264245	5582/108/51806/478/482/1755/477/276/1470/653247/114	11
hsa00350	Tyrosine metabolism	7/193	41/5894	0.000316177636639848	0.00973827120850732	0.00852015526103169	316/126/1638/130/7054/3242/218	7
hsa04972	Pancreatic secretion	11/193	101/5894	0.000422006688512654	0.0108315050051581	0.00947664142624908	5582/1360/108/478/482/5644/1358/477/5321/1357/114	11
hsa00830	Retinol metabolism	8/193	64/5894	0.00104947271373931	0.0230883997022648	0.0202003770464107	1548/56603/1577/126/1579/130/10170/1544	8
hsa04916	Melanogenesis	10/193	101/5894	0.00161582505437207	0.0311046322966624	0.0272138956525822	5582/2775/108/51806/1638/5443/7482/89780/114/51384	10
hsa04976	Bile secretion	8/193	71/5894	0.00207534221130509	0.0347070509368764	0.0303657041689691	108/478/482/64241/477/366/114/361	8
hsa00140	Steroid hormone biosynthesis	7/193	57/5894	0.00239030133070231	0.0347070509368764	0.0303657041689691	1586/1588/3284/1577/6783/3294/1545	7
hsa00982	Drug metabolism - cytochrome P450	8/193	73/5894	0.00248012268395998	0.0347070509368764	0.0303657041689691	1548/316/1577/126/130/218/2326/1544	8
hsa04971	Gastric acid secretion	8/193	74/5894	0.00270444552754881	0.0347070509368764	0.0303657041689691	5582/108/496/51806/478/482/477/114	8
hsa04260	Cardiac muscle contraction	8/193	77/5894	0.00347367838897075	0.0411497286078074	0.0360024966630167	341947/70/478/59285/482/4624/477/7139	8
