ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006936	muscle contraction	84/1372	352/17381	1.20844663513702e-20	6.14011735313121e-17	5.9417412976053e-17	TRDN/TNNT3/MYL4/KCND3/ACTC1/TNNT1/PIK3CA/TPM2/NPPA/DOCK5/GSTM2/MYL5/SGCA/ACTA1/GAMT/MYLK2/MYBPC3/TCAP/CALCA/TNNI3/SMTN/HSPB6/MYOM3/TNNC1/TNNT2/PRKG1/MYL9/ADRA1D/CCDC78/ADRA2B/NOS1AP/CNN1/PIK3CG/ACTA2/DSG2/ACTG2/MYLPF/NOS1/JSRP1/KCNE5/UTRN/STAC3/P2RX6/TMOD4/CHGA/GHRL/CHRM3/SCN7A/CRYAB/SMPX/MYH2/CKMT2/DRD2/DES/PTAFR/MYOT/MYH6/ADRA2C/TNNC2/FXYD1/MB/MYH3/CACNG1/MYL3/KCNA5/UCN/ROCK2/ANKRD2/ATP8A2/KLHL41/P2RX1/PROK2/TACR2/CACNA1D/UTS2/CACNA2D1/NUP155/MYH7/HRC/ACTN2/TRIM63/TNNI2/SPHK1/P2RX2	84
GO:0003012	muscle system process	90/1372	448/17381	7.79327889205256e-17	1.97988250252595e-13	1.91591608972513e-13	TRDN/TNNT3/MYL4/KCND3/ACTC1/TNNT1/PIK3CA/HAND2/TPM2/NPPA/DOCK5/GSTM2/MYL5/SGCA/ACTA1/GAMT/MYLK2/MYBPC3/TCAP/CALCA/TNNI3/SMTN/HAMP/HSPB6/MYOM3/TNNC1/TNNT2/PRKG1/MYL9/ADRA1D/CCDC78/ADRA2B/NOS1AP/CNN1/PIK3CG/ACTA2/DSG2/ACTG2/MYLPF/NOS1/JSRP1/KCNE5/UTRN/STAC3/P2RX6/TMOD4/CHGA/IL6ST/GHRL/SLN/CHRM3/SCN7A/CRYAB/SMPX/MYH2/CKMT2/DRD2/DES/PTAFR/MYOT/MYH6/ADRA2C/TNNC2/FXYD1/MB/MYH3/CACNG1/MYL3/KCNA5/UCN/ROCK2/ANKRD2/ATP8A2/KLHL41/P2RX1/PROK2/TACR2/CACNA1D/UTS2/CACNA2D1/NUP155/MYH7/HRC/ACTN2/TRIM63/TNNI2/SPHK1/P2RX2/P2RY1/GTF2I	90
GO:0030049	muscle filament sliding	21/1372	39/17381	9.40641214842509e-14	1.1948495031537e-10	1.15624608277088e-10	TNNT3/MYL4/ACTC1/TNNT1/TPM2/ACTA1/MYLK2/MYBPC3/TCAP/TNNI3/TNNC1/TNNT2/MYH2/DES/MYH6/TNNC2/MYH3/MYL3/MYH7/ACTN2/TNNI2	21
GO:0033275	actin-myosin filament sliding	21/1372	39/17381	9.40641214842509e-14	1.1948495031537e-10	1.15624608277088e-10	TNNT3/MYL4/ACTC1/TNNT1/TPM2/ACTA1/MYLK2/MYBPC3/TCAP/TNNI3/TNNC1/TNNT2/MYH2/DES/MYH6/TNNC2/MYH3/MYL3/MYH7/ACTN2/TNNI2	21
GO:0006941	striated muscle contraction	40/1372	172/17381	3.67778811954515e-10	3.73736828708178e-07	3.61662069608324e-07	TNNT3/MYL4/KCND3/ACTC1/TNNT1/PIK3CA/NPPA/GSTM2/MYLK2/MYBPC3/TCAP/TNNI3/MYOM3/TNNC1/TNNT2/CCDC78/NOS1AP/PIK3CG/DSG2/NOS1/JSRP1/KCNE5/STAC3/CHGA/SMPX/MYH6/TNNC2/MB/MYH3/MYL3/KCNA5/UCN/ATP8A2/KLHL41/CACNA1D/CACNA2D1/NUP155/MYH7/HRC/TNNI2	40
GO:0006937	regulation of muscle contraction	38/1372	163/17381	9.36139201083135e-10	7.92753880117235e-07	7.67141440045496e-07	TNNT3/TNNT1/NPPA/DOCK5/GSTM2/MYL5/MYLK2/MYBPC3/CALCA/TNNI3/HSPB6/TNNC1/TNNT2/PRKG1/MYL9/ADRA1D/ADRA2B/NOS1AP/CNN1/PIK3CG/DSG2/NOS1/CHGA/GHRL/CHRM3/PTAFR/ADRA2C/TNNC2/MYL3/UCN/AKAP9/P2RX1/PROK2/TACR2/MYH7/HRC/TNNI2/SPHK1	38
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	36/1372	157/17381	4.14490884267952e-09	2.92275663373594e-06	2.82832766781934e-06	PCDHA13/PCDHGB5/PCDHGA2/PCDHGB6/CDH15/IGSF9B/PCDHGB7/PCDHGA1/FAT1/PCDHGA11/PCDHGB2/CDH7/DSG1/PCDHA12/PCDHGC4/DSG2/PCDHGB1/PCDHGA6/AMIGO1/CD84/PCDHB11/NECTIN3/PCDHB8/PCDHGA5/PCDHGB4/PTPRT/PCDHGA7/PCDHGA4/PCDHGA10/PCDH17/PCDHGA3/PCDH11Y/PCDHGB3/DSC1/PCDHA11/GYPC	36
GO:0070252	actin-mediated cell contraction	29/1372	110/17381	4.60186047429394e-09	2.92275663373594e-06	2.82832766781934e-06	TNNT3/MYL4/KCND3/ACTC1/TNNT1/TPM2/ACTA1/MYLK2/MYBPC3/TCAP/TNNI3/TNNC1/TNNT2/NOS1AP/DSG2/KCNE5/MYH2/DES/MYH6/TNNC2/MYH3/MYL3/KCNA5/CACNA1D/CACNA2D1/NUP155/MYH7/ACTN2/TNNI2	29
GO:0090257	regulation of muscle system process	46/1372	237/17381	9.4460201174594e-09	5.33280313520125e-06	5.16050993785414e-06	TNNT3/TNNT1/HAND2/NPPA/DOCK5/GSTM2/MYL5/SGCA/MYLK2/MYBPC3/CALCA/TNNI3/HAMP/HSPB6/TNNC1/TNNT2/PRKG1/MYL9/ADRA1D/ADRA2B/NOS1AP/CNN1/PIK3CG/DSG2/NOS1/UTRN/CHGA/IL6ST/GHRL/SLN/CHRM3/PTAFR/ADRA2C/TNNC2/MYL3/UCN/AKAP9/P2RX1/PROK2/TACR2/MYH7/HRC/TRIM63/TNNI2/SPHK1/GTF2I	46
GO:0060047	heart contraction	49/1372	272/17381	3.86034534580716e-08	1.89522182168609e-05	1.83399064193657e-05	TH/TRDN/MYL4/KCND3/ACTC1/FXYD2/PIK3CA/NPPA/GSTM2/FXYD6/POPDC2/MYLK2/MYBPC3/SGCG/TCAP/CALCA/TNNI3/TNNC1/TNNT2/FXYD7/NOS1AP/PIK3CG/CACNG6/DSG2/AVPR1A/NPFF/NOS1/KCNE5/CACNA1F/S100A1/CHGA/DRD2/DES/MYH6/FXYD1/CACNG1/MYL3/KCNA5/UCN/CXADR/AKAP9/CACNA1D/UTS2/CACNA2D1/NUP155/MYH7/HRC/FXYD4/TNNI2	49
