ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005539	glycosaminoglycan binding	72/1471	213/17354	9.04992812029292e-26	8.09063573954187e-23	6.64931560838364e-23	TREM2/CXCL13/PLA2G2D/PF4V1/IMPG2/VIT/APOE/ANOS1/CCL7/PLA2G5/PF4/COMP/CXCL6/RSPO4/NRP2/FGFR1/SLIT2/POSTN/FN1/GPNMB/COL5A3/CYR61/WISP2/VCAN/PTN/CFH/CCDC80/RSPO2/ABI3BP/ADAMTS1/CTSG/TENM1/DCN/DPYSL3/COL5A1/NLRP3/PCOLCE/CCL2/LTBP2/BGN/LYVE1/PRELP/ADA2/ECM2/FBN1/CRISPLD2/ADAMTS3/FGF7/CTGF/TNFAIP6/SFRP1/EPYC/SELL/WISP1/SUSD5/CCL8/CHRD/THBS1/ADAMTS5/FGF10/FBLN7/FSTL1/GREM2/FGF1/RSPO1/STAB2/NRP1/LAYN/RSPO3/THBS4/TNXB/THBS2	72
GO:0005201	extracellular matrix structural constituent	41/1471	78/17354	7.46113021298332e-24	3.33512520520355e-21	2.74098362561177e-21	COL9A1/IMPG2/CHI3L1/LAMA1/TFPI2/ANOS1/AMELX/COL4A4/COL19A1/COMP/COL2A1/LUM/FBN2/COL11A1/COL1A1/MFAP5/MATN3/LAMA4/COL5A3/MGP/ELN/VCAN/COL1A2/COL4A1/CD4/COL5A2/FBLN2/FBLN1/COL5A1/EMILIN1/BGN/PRELP/COL3A1/FBN1/COL24A1/COL14A1/PXDN/COL12A1/COL8A2/COL15A1/COL4A2	41
GO:0008201	heparin binding	59/1471	160/17354	1.49960472945729e-23	4.46882209378272e-21	3.67271614442522e-21	CXCL13/PLA2G2D/PF4V1/IMPG2/APOE/ANOS1/CCL7/PLA2G5/PF4/COMP/CXCL6/RSPO4/NRP2/FGFR1/SLIT2/POSTN/FN1/GPNMB/COL5A3/CYR61/WISP2/PTN/CFH/CCDC80/RSPO2/ABI3BP/ADAMTS1/CTSG/TENM1/COL5A1/PCOLCE/CCL2/LTBP2/PRELP/ADA2/ECM2/FBN1/CRISPLD2/ADAMTS3/FGF7/CTGF/SFRP1/SELL/WISP1/CCL8/CHRD/THBS1/ADAMTS5/FGF10/FBLN7/FSTL1/GREM2/FGF1/RSPO1/NRP1/RSPO3/THBS4/TNXB/THBS2	59
GO:0019838	growth factor binding	49/1471	130/17354	2.94137500736711e-20	6.57397314146549e-18	5.40284146090064e-18	CD36/CD109/CXCL13/FGFR3/SCN5A/NGFR/NTRK1/IL1R2/IL36RN/COL2A1/IGFALS/NRP2/TGFB3/FGFR1/COL1A1/HTRA4/CYR61/WISP2/TEK/IL10RA/PTN/COL1A2/PDGFRB/COL4A1/A2M/KDR/DUSP1/COL5A1/OSMR/LTBP1/LTBP2/COL3A1/IL6ST/IL1R1/CTGF/PDGFRA/LIFR/COL6A1/WISP1/HTRA3/NTRK3/IL2RA/IGFBP5/THBS1/PXDN/NRP1/FLT4/ITGB3/ITGAV	49
GO:1901681	sulfur compound binding	66/1471	232/17354	3.69848198368838e-19	6.61288578683483e-17	5.43482194655683e-17	CXCL13/PLA2G2D/PF4V1/IMPG2/APOE/ANOS1/CCL7/PLA2G5/PF4/COMP/CXCL6/SOAT2/OGDHL/RSPO4/NRP2/FGFR1/SLIT2/POSTN/FN1/GPNMB/COL5A3/CYR61/WISP2/PTN/CFH/GPC6/CCDC80/RSPO2/ABI3BP/ADAMTS1/CTSG/TENM1/DPYSL3/COL5A1/PCOLCE/CCL2/LTBP2/PRELP/ADA2/ECM2/FBN1/CRISPLD2/ADAMTS3/SULT1A3/HS3ST5/FGF7/CTGF/SFRP1/SELL/WISP1/CCL8/CHRD/THBS1/ADAMTS5/FGF10/FBLN7/FSTL1/GREM2/FGF1/RSPO1/NRP1/RSPO3/GPC3/THBS4/TNXB/THBS2	66
GO:0048018	receptor ligand activity	87/1471	456/17354	3.77196228108268e-13	5.6202237988132e-11	4.61899942490476e-11	IL17C/LEP/IL10/CCL14/KCNK3/PYY2/IGF2/HAMP/CXCL13/WNT7A/GRP/IL11/CCL13/PF4V1/IL13/AMELX/TDGF1P3/THPO/CCL7/IL36RN/ADCYAP1/INS-IGF2/IL24/CCL26/PF4/NPY/FGF5/BMP3/FGF19/CXCL6/SAA2/CCL25/EPO/NRG3/PSPN/SAA4/VIP/TNFSF18/TGFB3/PDGFC/CCL18/GPNMB/UCN/FGF14/OGN/CRLF1/CCL19/CXCL9/CCL21/PTN/CXCL12/IGF1/TNFSF4/TNFSF8/HGF/CORT/SFRP2/TNF/FLRT2/CCL2/ADA2/FBN1/CXCL5/CMTM3/SCT/FGF7/CTGF/PTHLH/EDN1/TNFSF9/GREM1/EFEMP1/CCL8/TGFB2/VEGFC/FGF10/GDF6/WNT2/GREM2/STC1/WNT9A/FGF1/TNFSF13B/IL6/THBS4/INHBA/SPP1	87
GO:0005518	collagen binding	27/1471	65/17354	5.57544894480159e-13	7.12064479521804e-11	5.85212535860378e-11	COMP/LUM/ITGA10/DDR2/FN1/COL5A3/NID2/ITGA11/ASPN/SRGN/MMP9/ABI3BP/CCBE1/DCN/SPARC/PCOLCE/ANTXR1/ECM2/MRC2/NID1/COL14A1/MMP13/THBS1/LRRC15/CTSK/PODN/SPARCL1	27
GO:0030545	receptor regulator activity	90/1471	485/17354	7.6234532214398e-13	8.51920897495897e-11	7.00153993232234e-11	IL17C/LEP/IL10/CCL14/KCNK3/PYY2/LYNX1/IGF2/HAMP/CXCL13/WNT7A/GRP/IL11/CCL13/PF4V1/IL13/AMELX/TDGF1P3/THPO/CCL7/IL36RN/ADCYAP1/INS-IGF2/IL24/CCL26/PF4/NPY/FGF5/BMP3/FGF19/CXCL6/LY6G6D/SAA2/CCL25/EPO/NRG3/PSPN/SAA4/VIP/TNFSF18/TGFB3/PDGFC/CCL18/GPNMB/UCN/FGF14/OGN/CRLF1/CCL19/CXCL9/CCL21/PTN/CXCL12/IGF1/TNFSF4/TNFSF8/HGF/CORT/SFRP2/TNF/FLRT2/CCL2/ADA2/FBN1/CXCL5/CMTM3/SCT/FGF7/CTGF/PTHLH/EDN1/TNFSF9/GREM1/EFEMP1/CCL8/PXDN/TGFB2/VEGFC/FGF10/GDF6/WNT2/GREM2/STC1/WNT9A/FGF1/TNFSF13B/IL6/THBS4/INHBA/SPP1	90
GO:0005178	integrin binding	34/1471	111/17354	1.6343600466927e-11	1.62346431304808e-09	1.33424948841112e-09	IBSP/THY1/FN1/GPNMB/CYR61/WISP2/FAP/TIMP2/IGF1/ITGA5/MMP14/KDR/LCP1/SFRP2/EDIL3/COL5A1/EMILIN1/COL16A1/COL3A1/TNN/JAM3/ECM2/FBN1/FBLN5/VCAM1/CTGF/WISP1/ADAM23/THBS1/ADAMTS5/S1PR3/FGF1/THBS4/TNXB	34
GO:0004714	transmembrane receptor protein tyrosine kinase activity	24/1471	62/17354	6.49305076149139e-11	5.8047873807733e-09	4.77068361212736e-09	FGFR3/NTRK1/EPHA5/ALK/NRP2/FGFR1/TIE1/DDR2/TEK/ROR2/PDGFRL/PDGFRB/EPHA3/CSF1R/MUSK/KDR/EFNB3/ROR1/PDGFRA/EFEMP1/NTRK3/AXL/NRP1/FLT4	24
GO:0019955	cytokine binding	29/1471	101/17354	2.69831611964136e-09	2.19299510087216e-07	1.80232024067911e-07	CD36/CD109/IL1R2/IL36RN/NRP2/TGFB3/TNFRSF9/CRLF1/IL10RA/CD4/A2M/CSF1R/PDPN/ITGA4/LTBP1/CCR1/IL6ST/IL1R1/CX3CR1/CCR5/GREM1/IL2RA/CHRD/THBS1/PXDN/GREM2/NRP1/ITGB3/ITGAV	29
GO:0019199	transmembrane receptor protein kinase activity	25/1471	79/17354	3.67165214714449e-09	2.73538084962264e-07	2.24808175325163e-07	FGFR3/NTRK1/EPHA5/ALK/NRP2/FGFR1/TIE1/DDR2/TEK/ROR2/PDGFRL/PDGFRB/EPHA3/CSF1R/MUSK/KDR/EFNB3/LTBP1/ROR1/PDGFRA/EFEMP1/NTRK3/AXL/NRP1/FLT4	25
GO:0048407	platelet-derived growth factor binding	9/1471	11/17354	1.03761247815338e-08	7.13558119591633e-07	5.86440088867255e-07	COL2A1/COL1A1/COL1A2/PDGFRB/COL4A1/COL5A1/COL3A1/PDGFRA/COL6A1	9
GO:0005125	cytokine activity	45/1471	220/17354	2.19250112985686e-08	1.40006857863716e-06	1.15065096890232e-06	IL17C/IL10/CCL14/CXCL13/WNT7A/IL11/CCL13/PF4V1/IL13/THPO/CCL7/IL36RN/IL24/CCL26/PF4/BMP3/CXCL6/CCL25/EPO/TNFSF18/TGFB3/CCL18/CRLF1/CCL19/CXCL9/CCL21/CXCL12/TNFSF4/TNFSF8/TNF/CCL2/CXCL5/CMTM3/EDN1/TNFSF9/GREM1/CCL8/TGFB2/GDF6/WNT2/GREM2/TNFSF13B/IL6/INHBA/SPP1	45
GO:0043394	proteoglycan binding	16/1471	38/17354	2.41063733179318e-08	1.43673984974874e-06	1.18078937374852e-06	PLA2G2D/COMP/SLIT2/GPNMB/COL5A3/PTN/CFH/GPC6/TNC/COL5A1/ADA2/NID1/CHRD/THBS1/CTSK/GPC3	16
GO:0030246	carbohydrate binding	51/1471	267/17354	2.81209021237449e-08	1.5177389294214e-06	1.24735873394105e-06	CD69/CLECL1/SIGLEC7/CLEC12A/CD209/CD22/KLRD1/GALNT17/SIGLEC6/CHI3L1/CHODL/REG3A/CLEC17A/FREM1/FBXO2/GALNT9/CLEC2L/CLEC4D/CLEC6A/KRT1/P4HA3/CD93/CD33/COLEC12/VCAN/SELE/CLEC4G/SLC2A3/CLEC5A/MRC1/SIGLEC9/CNTN1/CD248/OLR1/HK3/MRC2/ACR/SELL/FCN1/CLEC2B/PTX3/GALNT15/CLEC7A/SIGLEC1/SIGLEC10/SIGLEC8/ADGRL2/PRG4/LAYN/CHI3L2/CLEC4E	51
