ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006936	muscle contraction	120/2726	352/17381	6.15873588280683e-18	2.43069444158088e-14	1.96086143141364e-14	GATA4/SLC8A3/PROK2/TNNC1/CHRM3/SCN3B/STAC/KCNA1/CACNA2D1/NKX2-5/SPX/DRD2/ACTN2/MYBPC3/CHRNB2/CALCA/NMU/HTR1D/SCN1A/FXYD1/MYL2/MYH1/SCN2B/KCNB2/SMPX/MYL9/GJC1/PLN/TPM1/ADRB2/CNN1/TRDN/ATP1B1/SPHK1/CASQ1/ATP1A2/PRKG1/NPNT/SLC8A1/PGAM2/CKMT2/HSPB6/CHRNA3/PDE4D/GNAO1/HTR2A/KLHL41/SORBS1/ACTG2/TNNI3K/ROCK1/GSTO1/ACTA1/EDNRA/CACNB2/FKBP1B/KCNH2/ARHGAP42/KCNA5/SNTA1/DTNA/TNNI2/NOS1AP/DMD/MYOCD/ADA/HTR7/KCND3/ENO1/LMOD1/NMUR1/ROCK2/KCNN2/FLNA/STAC3/MYLK/ANK2/TMOD1/SMTN/ITGA1/DMPK/GPD1L/ACTA2/MYOM1/HCN4/MYH3/PPP1R12B/TPM2/DES/TNNT2/DRD1/PDE5A/TRIM63/MYH11/ADRA1A/VCL/TACR2/SLMAP/CACNA1C/LMOD3/CALD1/CRYAB/KCNJ3/SYNM/ACTC1/PTGER3/RGS2/RYR2/CTNNA3/CASQ2/MYBPHL/KCNMA1/TCAP/AGT/ATP2A1/CACNA1H/KCNQ1/SGCA/TNNI3/P2RX1	120
GO:0003012	muscle system process	142/2726	448/17381	8.40053375351956e-18	2.43069444158088e-14	1.96086143141364e-14	GATA4/SLC8A3/PROK2/TNNC1/CHRM3/SCN3B/STAC/KCNA1/CACNA2D1/NKX2-5/IL6ST/SPX/DRD2/ACTN2/MYBPC3/CHRNB2/MSTN/CALCA/NMU/HTR1D/ABCC8/SCN1A/FXYD1/MYL2/MYH1/SCN2B/KCNB2/SMPX/MYL9/GJC1/PLN/HAMP/IGFBP5/TPM1/ADRB2/CNN1/TRDN/ATP1B1/SPHK1/CASQ1/ATP1A2/PRKG1/NPNT/SLC8A1/HAND2/PGAM2/CKMT2/HSPB6/CHRNA3/PDE4D/GNAO1/HTR2A/KLHL41/SORBS1/ACTG2/TNNI3K/ROCK1/GSTO1/ACTA1/EDNRA/CACNB2/FKBP1B/PDLIM5/KCNH2/ARHGAP42/KCNA5/SNTA1/DTNA/TNNI2/NOS1AP/DMD/IL1B/MYOCD/ADA/HTR7/KCND3/ENO1/PDE9A/LMOD1/NMUR1/ROCK2/KCNN2/FLNA/MEF2A/STAC3/MYLK/ANK2/TRPC3/TMOD1/HEY2/SMTN/ITGA1/DMPK/GPD1L/ACTA2/MYOM1/HCN4/MYH3/PPP1R12B/P2RY1/TPM2/DES/TNNT2/KLF15/DRD1/LEP/PDE5A/CYBA/TRIM63/MYH11/ADRA1A/VCL/MYOC/TACR2/SLMAP/CACNA1C/LMOD3/HMOX1/CALD1/CRYAB/KCNJ3/AKAP6/PPARGC1A/ATP2B4/SYNM/ACTC1/PTGER3/RGS2/RYR2/AIF1/CTNNA3/CASQ2/MYBPHL/KCNMA1/TCAP/AGT/ATP2A1/CACNA1H/KCNQ1/SGCA/TNNI3/P2RX1	142
GO:0030595	leukocyte chemotaxis	77/2726	203/17381	8.91368080782056e-15	1.43880609592432e-11	1.16069684964019e-11	CCL21/CD74/JAML/FFAR2/AZU1/VEGFD/CCL4/KLRK1/CCL5/S100A12/CXCR1/S100A7/CXCL2/CXCR5/CALCA/CCL8/PIK3CD/NBL1/RIPOR2/CCL18/IL23A/CCL11/PDE4D/ADAM8/CCL13/S100A14/PPBP/RAC2/CXCL8/CCL23/VEGFC/CCL7/S100A9/CXADR/GREM1/GPSM3/TNFSF11/IL1B/TRPV4/CORO1A/IL6/VAV3/IL10/S100A8/FPR2/CCL3L1/SYK/HSD3B7/C3AR1/ITGA1/CXCL6/CSF3R/CH25H/LGALS9/CXCL5/CX3CL1/VAV1/CCL20/CCR1/RPS19/FCER1G/CCL3/IL6R/SAA1/CXCL1/CXCL3/F2RL1/AIF1/TRPM2/CCL26/ITGB2/PF4/SERPINE1/CXCL12/CYP19A1/C5AR1/TREM1	77
GO:1990266	neutrophil migration	49/2726	101/17381	9.94509138361378e-15	1.43880609592432e-11	1.16069684964019e-11	CCL21/CD74/JAML/CCL4/CCL5/S100A12/CXCL2/PRTN3/CCL8/PIK3CD/RIPOR2/CCL18/IL23A/CCL11/PDE4D/ADAM8/CCL13/PPBP/RAC2/CXCL8/CCL23/CCL7/S100A9/CXADR/IL1B/CD177/VAV3/S100A8/CCL3L1/SYK/C3AR1/ITGA1/CXCL6/CSF3R/CXCL5/CX3CL1/VAV1/IL1R1/CCL20/FCER1G/CCL3/SAA1/CXCL1/CXCL3/CCL26/ITGB2/PF4/C5AR1/TREM1	49
GO:0097529	myeloid leukocyte migration	70/2726	179/17381	2.47472703882743e-14	2.86424907473887e-11	2.31061356151572e-11	CCL21/CD74/JAML/AZU1/VEGFD/CCL4/CCL5/S100A12/S100A7/CXCL2/CALCA/PRTN3/CCL8/PIK3CD/NBL1/RIPOR2/CCL18/IL23A/CCL11/PDE4D/ADAM8/CCL13/S100A14/PPBP/RAC2/CXCL8/CCL23/VEGFC/CCL7/S100A9/CXADR/GREM1/TNFSF11/IL1B/CD177/TRPV4/IL6/VAV3/S100A8/FPR2/STAT5B/CCL3L1/SYK/C3AR1/ITGA1/CXCL6/CSF3R/CXCL5/CX3CL1/VAV1/IL1R1/CCL20/CCR1/RPS19/FCER1G/CCL3/IL6R/SAA1/CXCL1/CXCL3/AIF1/CCL26/ITGB2/CD300A/PF4/SERPINE1/CXCL12/CYP19A1/C5AR1/TREM1	70
GO:0030593	neutrophil chemotaxis	45/2726	90/17381	2.98500734738237e-14	2.8790395865503e-11	2.3225451904633e-11	CCL21/CD74/JAML/CCL4/CCL5/S100A12/CXCL2/CCL8/PIK3CD/RIPOR2/CCL18/IL23A/CCL11/PDE4D/CCL13/PPBP/RAC2/CXCL8/CCL23/CCL7/S100A9/CXADR/IL1B/VAV3/S100A8/CCL3L1/SYK/C3AR1/ITGA1/CXCL6/CSF3R/CXCL5/CX3CL1/VAV1/CCL20/FCER1G/CCL3/SAA1/CXCL1/CXCL3/CCL26/ITGB2/PF4/C5AR1/TREM1	45
GO:0008016	regulation of heart contraction	84/2726	242/17381	1.89827829768985e-13	1.56933378696159e-10	1.26599462409842e-10	GATA4/FXYD6/SLC8A3/SCN3B/FXYD2/CACNA2D1/NKX2-5/AVPR1A/KCNJ4/ATP2B3/FOXN4/KCNG2/SPX/DRD2/SLC8A2/CALCA/FXYD1/MYL2/SCN2B/GJC1/PLN/TPM1/ADORA3/KCNK3/TRDN/ATP1B1/CASQ1/ATP1A2/SLC8A1/PDE4D/GNAO1/CHRNA7/CACNA2D4/CXADR/TNNI3K/GSTO1/CACNB2/FKBP1B/KCNH2/FGF13/KCNA5/SNTA1/NOS1AP/DMD/ADA/CORIN/KCND3/ATP2B2/KCNN2/FLNA/MEF2A/THRB/ANK2/POPDC2/CACNB4/HEY2/DMPK/GPD1L/HCN4/KCNIP1/ADM/KCND1/DES/TNNT2/RYR3/ABCC9/PDE5A/ADRA1A/CACNA1C/KCNJ3/KCNK6/ATP2B4/CACNG7/RGS2/RYR2/CTNNA3/CASQ2/HSPB7/ITPR1/AGT/ATP2A1/CACNA1H/KCNQ1/TNNI3	84
GO:0010959	regulation of metal ion transport	110/2726	356/17381	2.9606839762274e-13	2.14168477130349e-10	1.72771492560112e-10	JPH4/FXYD6/TRPC6/SCN3B/HAP1/TMC1/CCL4/STAC/KCNA1/FXYD2/CACNA2D1/NKX2-5/GCK/PCSK9/SPINK1/CCL5/KEL/RRAD/NKAIN4/KCNS2/DRD2/ACTN2/OPRK1/ABCC8/FXYD1/GRIN1/SCN2B/LRRC26/CAMK2A/JPH1/KCNS1/PLN/HAMP/KCNAB1/ADRB2/CD4/TRDN/ATP1B1/F2RL3/CASQ1/ATP1A2/THY1/SLC8A1/JPH2/PDE4D/GNAO1/HTR2A/FHL1/CRHR1/PTPN6/CD19/GSTO1/CRACR2B/CACNB2/FKBP1B/KCNH2/KCNA5/TESC/SNTA1/GAL/NOS1AP/DMD/RGN/LILRB2/EGF/CORO1A/KCNN2/FLNA/MYLK/ANK2/TRPC3/CACNB4/FGF14/DMPK/GPD1L/GLRX/KCNIP1/DRD4/KCNC1/CD63/PTPN3/DRD1/HSPA2/CATSPER1/ANK3/LRRC55/CEMIP/CYBA/CCR1/SLMAP/ICAM1/TGFB1/TSPO/CACNA1C/AKAP6/LILRB1/CCL3/ATP2B4/RYR2/NTSR1/PRSS8/KCNMB1/CASQ2/FXYD5/DPP6/CXCL12/AGT/GRIN3B/KCNQ1/P2RX1	110
GO:0034765	regulation of ion transmembrane transport	129/2726	444/17381	4.10243172687599e-13	2.63786360038126e-10	2.12798651563684e-10	JPH4/FXYD6/CRHBP/TRPC6/KCNAB3/SCN3B/HAP1/TMC1/STAC/KCNA1/CACNA1A/FXYD2/CACNA2D1/PCSK9/ANO9/KCNJ4/ANO1/KEL/KCNJ10/KCNG2/RRAD/KCNS2/DRD2/ACTN2/OPRK1/SCN8A/KCNJ15/CACNA1E/ABCC8/SCN1A/CLCNKB/FXYD1/KCNF1/SHANK1/GRIN1/SCN2B/KCNA2/LRRC26/KCNB2/JPH1/KCNS1/PLN/HAMP/KCNAB1/ADRB2/TRDN/ATP1B1/F2RL3/CASQ1/ATP1A2/THY1/SLC8A1/JPH2/CLIC1/MMP9/PDE4D/TMEM37/CACNA2D4/FHL1/CYBB/CRHR1/PTPN6/CD19/GSTO1/CACNB2/FKBP1B/KCNH2/KCNA5/KCNB1/TESC/SNTA1/GAL/KCNA4/NOS1AP/DMD/KCND3/RGN/CORO1A/KCNH8/KCNN2/FLNA/CLIC3/ANK2/CACNB4/GRIN2A/FGF14/KCNE4/GPD1L/GLRX/HCN4/KCNIP1/DRD4/KCNC1/NLGN1/KCND1/KCNC3/PTPN3/DRD1/HSPA2/ARC/CATSPER1/ANK3/LRRC55/CEMIP/CYBA/SLMAP/TGFB1/CACNA1C/SCN3A/KCNJ3/AKAP6/PPARGC1A/KCNK6/ATP2B4/CACNG7/RYR2/NTSR1/KCNQ4/KCNMB1/CASQ2/CNIH3/FXYD5/KCNMA1/ABCB1/DPP6/AGT/CACNA1H/KCNQ1/PPIF	129
GO:0097530	granulocyte migration	53/2726	124/17381	5.37681687672392e-13	2.97195849638138e-10	2.3975036481863e-10	CCL21/CD74/JAML/CCL4/CCL5/S100A12/S100A7/CXCL2/PRTN3/CCL8/PIK3CD/RIPOR2/CCL18/IL23A/CCL11/PDE4D/ADAM8/CCL13/S100A14/PPBP/RAC2/CXCL8/CCL23/CCL7/S100A9/CXADR/IL1B/CD177/TRPV4/VAV3/S100A8/CCL3L1/SYK/C3AR1/ITGA1/CXCL6/CSF3R/CXCL5/CX3CL1/VAV1/IL1R1/CCL20/FCER1G/CCL3/SAA1/CXCL1/CXCL3/CCL26/ITGB2/CD300A/PF4/C5AR1/TREM1	53
