ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0044449	contractile fiber part	86/2890	209/18511	4.78040387661833e-19	3.00687403839293e-16	2.41032995463177e-16	TNNC1/SCN3B/SYNPO2L/DUSP27/KRT8/ACTN2/MYBPC3/SCN8A/KLHL40/SLC4A1/SCN1A/MYL2/MYH1/ANKRD1/SMPX/JPH1/ITGB1BP2/MYL9/TPM1/CASQ1/NPNT/SLC8A1/JPH2/KLHL41/NEBL/PALLD/SYNE1/ACTA1/FBXL22/FKBP1B/KCNA5/TNNI2/NOS1AP/DMD/ABRA/LDB3/FERMT2/ENO1/LMOD1/SYNE2/KCNN2/KRT19/PPP1R12A/FLNA/PARVB/IGFN1/IDO1/ANK2/FBXO32/TMOD1/NEXN/ACTA2/PDLIM3/MYOM1/MYH3/PPP1R12B/TPM2/DES/TNNT2/ABCC9/ANK3/TRIM63/ACTN1/MYH11/ADRA1A/VCL/SYNPO2/CACNA1C/LMOD3/CRYAB/ATP2B4/MYO18B/SYNM/ACTC1/RYR2/PGM5/CASQ2/FHOD3/MYBPHL/MYOZ3/DST/CFL2/TCAP/SVIL/KY/TNNI3	86
GO:0043292	contractile fiber	89/2890	224/18511	1.75661690722537e-18	5.5245601732238e-16	4.4285236766366e-16	TNNC1/SCN3B/SYNPO2L/DUSP27/KRT8/ACTN2/MYBPC3/SCN8A/KLHL40/SLC4A1/SCN1A/MYL2/MYH1/ANKRD1/SMPX/JPH1/ITGB1BP2/MYL9/TPM1/CASQ1/NPNT/SLC8A1/JPH2/MYH7B/CST3/KLHL41/NEBL/PALLD/SYNE1/ACTA1/FBXL22/FKBP1B/KCNA5/TNNI2/NOS1AP/DMD/ABRA/LDB3/FERMT2/ENO1/LMOD1/SYNE2/KCNN2/KRT19/PPP1R12A/FLNA/PARVB/IGFN1/IDO1/ANK2/FBXO32/TMOD1/NEXN/ACTA2/PDLIM3/MYOM1/MYH3/PPP1R12B/TPM2/DES/TNNT2/ABCC9/ANK3/TRIM63/ACTN1/MYH11/ADRA1A/VCL/SYNPO2/CACNA1C/LMOD3/CALD1/CRYAB/ATP2B4/MYO18B/SYNM/ACTC1/RYR2/PGM5/CASQ2/FHOD3/MYBPHL/MYOZ3/DST/CFL2/TCAP/SVIL/KY/TNNI3	89
GO:0030017	sarcomere	78/2890	192/18511	5.06386711159924e-17	1.06172413773197e-14	8.51085033844223e-15	TNNC1/SCN3B/SYNPO2L/DUSP27/KRT8/ACTN2/MYBPC3/SCN8A/KLHL40/SLC4A1/SCN1A/MYL2/MYH1/ANKRD1/SMPX/JPH1/ITGB1BP2/TPM1/CASQ1/SLC8A1/JPH2/KLHL41/NEBL/PALLD/SYNE1/ACTA1/FBXL22/FKBP1B/KCNA5/TNNI2/NOS1AP/DMD/ABRA/LDB3/FERMT2/ENO1/LMOD1/SYNE2/KCNN2/KRT19/PPP1R12A/FLNA/PARVB/IGFN1/ANK2/FBXO32/TMOD1/NEXN/PDLIM3/MYOM1/MYH3/PPP1R12B/TPM2/DES/TNNT2/ABCC9/ANK3/TRIM63/ACTN1/ADRA1A/SYNPO2/CACNA1C/LMOD3/CRYAB/ATP2B4/MYO18B/ACTC1/RYR2/PGM5/CASQ2/FHOD3/MYBPHL/MYOZ3/DST/CFL2/TCAP/KY/TNNI3	78
GO:0030016	myofibril	83/2890	213/18511	9.86736905299251e-17	1.55164378358307e-14	1.24380783589037e-14	TNNC1/SCN3B/SYNPO2L/DUSP27/KRT8/ACTN2/MYBPC3/SCN8A/KLHL40/SLC4A1/SCN1A/MYL2/MYH1/ANKRD1/SMPX/JPH1/ITGB1BP2/TPM1/CASQ1/SLC8A1/JPH2/MYH7B/KLHL41/NEBL/PALLD/SYNE1/ACTA1/FBXL22/FKBP1B/KCNA5/TNNI2/NOS1AP/DMD/ABRA/LDB3/FERMT2/ENO1/LMOD1/SYNE2/KCNN2/KRT19/PPP1R12A/FLNA/PARVB/IGFN1/ANK2/FBXO32/TMOD1/NEXN/PDLIM3/MYOM1/MYH3/PPP1R12B/TPM2/DES/TNNT2/ABCC9/ANK3/TRIM63/ACTN1/ADRA1A/VCL/SYNPO2/CACNA1C/LMOD3/CALD1/CRYAB/ATP2B4/MYO18B/SYNM/ACTC1/RYR2/PGM5/CASQ2/FHOD3/MYBPHL/MYOZ3/DST/CFL2/TCAP/SVIL/KY/TNNI3	83
GO:0034703	cation channel complex	79/2890	212/18511	9.9860668648994e-15	1.25624721160434e-12	1.00701600595512e-12	SCN3B/KCNA1/CACNA1A/CACNA2D1/CPT1C/KCNJ4/SCNN1B/SHISA6/KCNT2/KCNG2/VWC2/KCNS2/OLFM2/SCN8A/CACNA1E/ABCC8/SCN1A/KCNF1/SHANK1/GRIN1/SCN2B/KCNA2/LRRC26/KCNB2/KCNS1/KCNAB1/TRDN/PDE4D/CATSPERZ/CACNA2D4/CNTNAP2/SHISA7/CACNB2/FKBP1B/KCNH2/KCNA5/KCNB1/KCNA4/NOS1AP/KCND3/KCNN4/CACNB4/GRIN2A/GRIA2/HCN4/KCNIP1/KCNC1/NLGN1/KCND1/KCNC3/ABCC9/HSPA2/CATSPER1/LRRC55/CACNA1C/SCN3A/KCNJ3/AKAP6/KCNK6/SNAP25/GRIA3/GRIK5/TRPC4/STX1A/CACNG7/RYR2/KCNQ4/KCNMB1/CASQ2/DLG3/KCNK2/CNIH3/KCNMA1/DPP6/GRIN3B/PKD2L1/ATP2A1/CACNA1H/KCNQ1	79
GO:0031674	I band	57/2890	132/18511	3.50671046872694e-14	3.28367976284197e-12	2.63221923922903e-12	SCN3B/SYNPO2L/KRT8/ACTN2/MYBPC3/SCN8A/KLHL40/SLC4A1/SCN1A/ANKRD1/JPH1/ITGB1BP2/CASQ1/SLC8A1/JPH2/NEBL/PALLD/FBXL22/FKBP1B/KCNA5/NOS1AP/DMD/LDB3/FERMT2/SYNE2/KCNN2/KRT19/PPP1R12A/FLNA/PARVB/IGFN1/ANK2/FBXO32/NEXN/PDLIM3/MYOM1/PPP1R12B/DES/ANK3/TRIM63/ACTN1/ADRA1A/SYNPO2/CACNA1C/CRYAB/ATP2B4/ACTC1/RYR2/PGM5/CASQ2/FHOD3/MYBPHL/MYOZ3/DST/CFL2/TCAP/KY	57
GO:0005578	proteinaceous extracellular matrix	114/2890	365/18511	3.65433359934719e-14	3.28367976284197e-12	2.63221923922903e-12	WISP3/HAPLN1/COL4A5/PODNL1/NTN3/COL19A1/WNT2/SPON2/TFF3/LAD1/ANGPTL4/ADAMTS14/FBN3/COMP/MMP16/EPYC/RTBDN/DCN/HMCN1/PODN/COL14A1/VWC2/BCAN/WNT6/COL6A6/ZPLD1/WNT2B/MMP23B/ACAN/VTN/COL9A1/WNT11/COL22A1/ADAMTS5/COL6A5/SFRP1/LINGO2/NCAN/CPZ/MMP7/CILP2/LRFN5/GPC5/MMP12/SPOCK3/ENAM/NAV2/MAMDC2/MATN2/TGFBI/MMP13/MMP24/EMILIN3/NPNT/LAMA3/ALPL/OTOA/IMPG2/TIMP1/MMP9/MMP3/CST3/SPARCL1/PHOSPHO1/FGF9/NTN4/OGN/ECM1/MMP1/ZP1/IL1RL1/WNT5B/HPSE2/MMP19/COL21A1/COL4A2/ANXA2/COL11A1/THSD4/WISP2/EMILIN1/COL9A3/PI3/SBSPON/CD248/COL11A2/ACHE/FREM2/COL4A6/LRRC55/TFPI2/MYOC/COL10A1/ZP3/MATN1/TGFB1/ADAMTS8/SERPINA1/LOXL1/EFEMP1/LOX/COL28A1/KERA/MMP17/ADAMTS19/HAPLN2/COL8A1/DST/ANXA2P2/PRELP/WNT4/WNT7B/PRSS36/SPON1	114
GO:0030018	Z disc	52/2890	119/18511	2.59601410590273e-13	2.04111609076602e-11	1.63617204832554e-11	SCN3B/SYNPO2L/KRT8/ACTN2/MYBPC3/SCN8A/SLC4A1/SCN1A/JPH1/ITGB1BP2/SLC8A1/JPH2/NEBL/PALLD/FBXL22/FKBP1B/KCNA5/NOS1AP/DMD/LDB3/SYNE2/KCNN2/KRT19/PPP1R12A/FLNA/PARVB/IGFN1/ANK2/FBXO32/NEXN/PDLIM3/MYOM1/PPP1R12B/DES/ANK3/TRIM63/ACTN1/ADRA1A/SYNPO2/CACNA1C/CRYAB/ATP2B4/RYR2/PGM5/CASQ2/FHOD3/MYBPHL/MYOZ3/DST/CFL2/TCAP/KY	52
GO:0034702	ion channel complex	93/2890	288/18511	9.91784623753897e-13	6.93147253712445e-11	5.556313857054e-11	GABRQ/SCN3B/KCNA1/CACNA1A/CACNA2D1/CPT1C/KCNJ4/SCNN1B/SHISA6/ANO1/KCNT2/KCNG2/VWC2/KCNS2/GABRR1/OLFM2/SCN8A/CHRNB2/CACNA1E/ABCC8/SCN1A/CLCNKB/KCNF1/SHANK1/GRIN1/SCN2B/KCNA2/LRRC26/KCNB2/GABRA3/KCNS1/GLRA4/KCNAB1/TRDN/CHRNA9/CLIC1/CHRNA3/PDE4D/CHRNA7/CATSPERZ/CACNA2D4/CNTNAP2/SHISA7/CACNB2/FKBP1B/KCNH2/KCNA5/KCNB1/KCNA4/NOS1AP/KCND3/CLIC3/KCNN4/CACNB4/GRIN2A/GRIA2/HCN4/KCNIP1/KCNC1/NLGN1/KCND1/KCNC3/ABCC9/HSPA2/CATSPER1/LRRC55/CACNA1C/GABRR2/SCN3A/KCNJ3/AKAP6/KCNK6/SNAP25/GRIA3/GRIK5/TRPC4/STX1A/CACNG7/RYR2/KCNQ4/KCNMB1/CASQ2/DLG3/KCNK2/CNIH3/KCNMA1/DPP6/LRRC8B/GRIN3B/PKD2L1/ATP2A1/CACNA1H/KCNQ1	93
GO:1990351	transporter complex	101/2890	332/18511	6.14022544438133e-12	3.86220180451586e-10	3.09596630300911e-10	GABRQ/SCN3B/KCNA1/CACNA1A/FXYD2/CACNA2D1/CPT1C/KCNJ4/SCNN1B/SHISA6/ANO1/KCNT2/KCNG2/VWC2/KCNS2/GABRR1/OLFM2/SCN8A/CHRNB2/CACNA1E/ABCC8/SCN1A/CLCNKB/CNGA3/FXYD1/KCNF1/SHANK1/GRIN1/SCN2B/KCNA2/LRRC26/KCNB2/GABRA3/KCNS1/GLRA4/PLN/KCNAB1/TRDN/ATP1B1/ATP1A2/CHRNA9/CLIC1/CHRNA3/PDE4D/CHRNA7/CATSPERZ/CACNA2D4/CNTNAP2/TIMM10/SHISA7/CACNB2/FKBP1B/KCNH2/KCNA5/KCNB1/KCNA4/NOS1AP/KCND3/CLIC3/KCNN4/CACNB4/GRIN2A/GRIA2/HCN4/KCNIP1/KCNC1/NLGN1/KCND1/KCNC3/ABCC9/HSPA2/CATSPER1/LRRC55/CACNA1C/GABRR2/SCN3A/KCNJ3/AKAP6/KCNK6/SNAP25/GRIA3/GRIK5/TRPC4/TIMM13/STX1A/CACNG7/RYR2/KCNQ4/KCNMB1/CASQ2/DLG3/KCNK2/CNIH3/KCNMA1/DPP6/LRRC8B/GRIN3B/PKD2L1/ATP2A1/CACNA1H/KCNQ1	101
GO:1902495	transmembrane transporter complex	99/2890	325/18511	9.12971002434213e-12	5.22053418664655e-10	4.18481445134917e-10	GABRQ/SCN3B/KCNA1/CACNA1A/FXYD2/CACNA2D1/CPT1C/KCNJ4/SCNN1B/SHISA6/ANO1/KCNT2/KCNG2/VWC2/KCNS2/GABRR1/OLFM2/SCN8A/CHRNB2/CACNA1E/ABCC8/SCN1A/CLCNKB/CNGA3/FXYD1/KCNF1/SHANK1/GRIN1/SCN2B/KCNA2/LRRC26/KCNB2/GABRA3/KCNS1/GLRA4/PLN/KCNAB1/TRDN/ATP1B1/ATP1A2/CHRNA9/CLIC1/CHRNA3/PDE4D/CHRNA7/CATSPERZ/CACNA2D4/CNTNAP2/SHISA7/CACNB2/FKBP1B/KCNH2/KCNA5/KCNB1/KCNA4/NOS1AP/KCND3/CLIC3/KCNN4/CACNB4/GRIN2A/GRIA2/HCN4/KCNIP1/KCNC1/NLGN1/KCND1/KCNC3/ABCC9/HSPA2/CATSPER1/LRRC55/CACNA1C/GABRR2/SCN3A/KCNJ3/AKAP6/KCNK6/SNAP25/GRIA3/GRIK5/TRPC4/STX1A/CACNG7/RYR2/KCNQ4/KCNMB1/CASQ2/DLG3/KCNK2/CNIH3/KCNMA1/DPP6/LRRC8B/GRIN3B/PKD2L1/ATP2A1/CACNA1H/KCNQ1	99
