ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005578	proteinaceous extracellular matrix	83/885	365/18511	1.03718229648284e-33	4.22133194668515e-31	3.43907814096941e-31	CCBE1/MAMDC2/P3H2/ADAMTS18/MMP7/COL4A6/LINGO3/ENTPD2/PTN/NYX/COL17A1/EPYC/FREM1/MYOC/ELN/FLRT2/TNXB/WNT9A/PODN/VCAN/ADAMTS12/ADAMTS8/MMP11/COL3A1/ADAMTSL3/ABI3BP/LTBP2/DPT/LRRN3/TFF3/PXDN/OMD/WISP1/THBS4/LRRC55/TNN/ADAMTSL1/COL6A3/PTPRZ1/COL14A1/VWA2/WNT2B/COL1A1/GPLD1/DCN/COL6A5/VIT/COL21A1/COL5A1/LAMA2/KERA/LUM/OGN/NDNF/CILP/CCDC80/SMOC2/RELN/FBN1/COL10A1/MFAP5/COMP/POSTN/ADAMTS15/COL1A2/EFEMP1/FBN3/SPON1/GPC4/VWF/ASPN/ADAMTS9/CPZ/COL6A6/COL12A1/TFPI2/MFAP4/WNT9B/COL8A1/NPNT/WNT2/NID2/ECM2	83
GO:0044420	extracellular matrix component	27/885	120/18511	1.14272233149663e-11	1.96166949216888e-09	1.59815308427052e-09	P3H2/COL4A6/ENTPD2/PTN/COL17A1/FREM1/ELN/TNXB/COL3A1/THBS4/PTPRZ1/COL14A1/VWA2/COL1A1/COL5A1/LAMA2/LUM/CCDC80/SMOC2/FBN1/MFAP5/COL1A2/COL12A1/MFAP4/COL8A1/NPNT/NID2	27
GO:0005581	collagen trimer	23/885	88/18511	1.44594802862571e-11	1.96166949216888e-09	1.59815308427052e-09	CCBE1/COL4A6/COL17A1/MBL2/COL20A1/TNXB/COL3A1/COL6A3/COL14A1/COL1A1/DCN/COL6A5/C1QTNF7/COL21A1/COL5A1/LUM/COLEC12/COL10A1/COL1A2/SCARA3/COL6A6/COL12A1/COL8A1	23
GO:0034703	cation channel complex	36/885	212/18511	2.96358502494757e-11	3.01544776288415e-09	2.45665600752232e-09	GRIA3/SCNN1B/KCNF1/GRIN2A/KCNA6/KCNC1/GRIN2B/KCNIP1/CACNG4/GRIA1/KCNJ4/CACNA1B/CACNA1G/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/CNTNAP2/KCNJ5/LRRC55/DLG2/CACNA1I/HCN1/SHISA7/GRIK4/SCNN1A/SCN7A/OLFM2/CACNA2D1/SCN5A/GRIN2D/KCNB1/SCN2B/KCND3	36
GO:0034702	ion channel complex	41/885	288/18511	3.75528853514393e-10	2.98972249755105e-08	2.43569788368959e-08	GRIA3/CLCNKA/SCNN1B/KCNF1/GRIN2A/KCNA6/KCNC1/GRIN2B/KCNIP1/CACNG4/GRIA1/KCNJ4/CACNA1B/CACNA1G/SHANK2/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/CNTNAP2/KCNJ5/LRRC55/GABRA2/ANO1/DLG2/CACNA1I/HCN1/SHISA7/GRIK4/SCNN1A/SCN7A/OLFM2/CACNA2D1/SCN5A/GRIN2D/KCNB1/CLIC6/SCN2B/KCND3	41
GO:1902495	transmembrane transporter complex	44/885	325/18511	4.40745331334307e-10	2.98972249755105e-08	2.43569788368959e-08	GRIA3/CLCNKA/SCNN1B/KCNF1/GRIN2A/KCNA6/KCNC1/GRIN2B/KCNIP1/CACNG4/GRIA1/KCNJ4/CACNA1B/ATP12A/CACNA1G/SHANK2/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/CNTNAP2/KCNJ5/LRRC55/ATP1A2/GABRA2/ANO1/DLG2/CACNA1I/HCN1/SHISA7/GRIK4/SCNN1A/SCN7A/OLFM2/CACNA2D1/SCN5A/GRIN2D/KCNB1/CLIC6/PLN/SCN2B/KCND3	44
GO:1990351	transporter complex	44/885	332/18511	8.73693034216483e-10	5.07990092751584e-08	4.13854595155176e-08	GRIA3/CLCNKA/SCNN1B/KCNF1/GRIN2A/KCNA6/KCNC1/GRIN2B/KCNIP1/CACNG4/GRIA1/KCNJ4/CACNA1B/ATP12A/CACNA1G/SHANK2/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/CNTNAP2/KCNJ5/LRRC55/ATP1A2/GABRA2/ANO1/DLG2/CACNA1I/HCN1/SHISA7/GRIK4/SCNN1A/SCN7A/OLFM2/CACNA2D1/SCN5A/GRIN2D/KCNB1/CLIC6/PLN/SCN2B/KCND3	44
GO:0001533	cornified envelope	16/885	64/18511	3.66945999097713e-08	1.86683777040961e-06	1.52089460152341e-06	SPRR1A/DSP/SCEL/CST6/KRT10/KRT2/DSG1/FLG/TCHH/CDSN/DSC3/IVL/KRT1/PKP1/PKP2/DSC2	16
GO:0005911	cell-cell junction	47/885	423/18511	6.83176921491383e-08	3.0894778560777e-06	2.51696760549457e-06	CLDN2/EPB41L4B/TRIM29/COL17A1/GJB5/DSP/NPHS1/SLC5A1/CGNL1/AQP7/AJAP1/FLRT2/DSG1/KCNA2/EPPK1/CNTNAP2/MARVELD3/CALB2/PGM5/TEK/ADCYAP1R1/ATP1A2/PLXDC1/ADGRL3/AQP3/CLDN10/CDSN/ANK3/DES/DSC3/JCAD/EPCAM/TJP3/CADM2/SCN5A/GJA1/TMEM47/NHS/PKP1/PKP2/GRHL2/DSC2/MPP7/CLDN3/POF1B/CLDN14/CLDN4	47
GO:0034705	potassium channel complex	18/885	98/18511	7.94556704551914e-07	3.23384578752629e-05	2.63458275719845e-05	KCNF1/KCNA6/KCNC1/KCNIP1/KCNJ4/KCND2/KCNA1/HCN2/KCNA2/ABCC9/CNTNAP2/KCNJ5/LRRC55/DLG2/HCN1/GRIK4/KCNB1/KCND3	18
