ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005261	cation channel activity	43/804	314/17354	1.76662174915113e-10	6.1757891364088e-08	5.28792400800245e-08	GRIA3/SCNN1B/KCNF1/GRIN2A/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/GRIK3/GRIA1/SLC24A2/KCNJ4/CACNA1B/TRPC3/CACNA1G/CALHM5/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/TRPV6/ANO1/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GRIN2D/JPH3/KCNB1/SCN2B/KCND3	43
GO:0004714	transmembrane receptor protein tyrosine kinase activity	18/804	62/17354	2.16497888864387e-10	6.1757891364088e-08	5.28792400800245e-08	ERBB4/EPHA7/KDR/FGFR2/TEK/EPHB6/PDGFRB/EPHA8/EPHA3/NTRK3/INSRR/PDGFRL/EPHA6/NTRK2/PDGFRA/EFEMP1/ROR2/FGFR3	18
GO:0005539	glycosaminoglycan binding	34/804	213/17354	2.48689495425858e-10	6.1757891364088e-08	5.28792400800245e-08	TMEM184A/MMP7/PTN/REG3G/EPYC/RNASE7/CXCL6/TNXB/GREM2/VCAN/FGFR2/SLIT2/ADAMTS8/ABI3BP/LTBP2/LTF/WISP1/THBS4/DCN/VIT/COL5A1/NDNF/CCDC80/SMOC2/STAB2/FBN1/CHRD/COMP/POSTN/ADAMTS15/SELP/RSPO1/LYVE1/ECM2	34
GO:0022838	substrate-specific channel activity	52/804	435/17354	3.47235726443038e-10	6.46726540500159e-08	5.53749605853898e-08	GRIA3/CLCNKA/SCNN1B/KCNF1/GRIN2A/CLCA2/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/GRIK3/GRIA1/SLC24A2/KCNJ4/CACNA1B/TRPC3/AQP7/CACNA1G/CALHM5/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/AQP3/GABRA2/AQP5/TRPV6/ANO1/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GRIN2D/JPH3/KCNB1/GRID1/CLIC6/SCN2B/CLDN4/KCND3	52
GO:0046873	metal ion transmembrane transporter activity	52/804	449/17354	1.07720370279886e-09	1.6050335171703e-07	1.37428514504444e-07	SLC39A2/SCNN1B/KCNF1/GRIN2A/KCNA6/KCNC1/GRIN2B/SLC9A3/SLC13A5/KCNK10/KCNIP1/CACNG4/GRIK3/SLC24A2/KCNJ4/CACNA1B/SLC5A1/ATP12A/TRPC3/CACNA1G/KCND2/KCNA1/HCN2/SLC1A2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/SLC9A2/ATP1A2/SLC1A7/SLC10A6/SLC30A8/TRPV6/SLC13A3/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GRIN2D/JPH3/KCNB1/SLC34A2/SCN2B/KCND3	52
GO:0015267	channel activity	53/804	466/17354	1.41876147348215e-09	1.62969106540418e-07	1.39539778966434e-07	GRIA3/CLCNKA/SCNN1B/KCNF1/GRIN2A/CLCA2/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/GRIK3/GRIA1/SLC24A2/KCNJ4/CACNA1B/TRPC3/AQP7/CACNA1G/CALHM5/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/AQP3/GABRA2/AQP5/TRPV6/ANO1/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GJA1/GRIN2D/JPH3/KCNB1/GRID1/CLIC6/SCN2B/CLDN4/KCND3	53
GO:0022803	passive transmembrane transporter activity	53/804	467/17354	1.5312533500442e-09	1.62969106540418e-07	1.39539778966434e-07	GRIA3/CLCNKA/SCNN1B/KCNF1/GRIN2A/CLCA2/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/GRIK3/GRIA1/SLC24A2/KCNJ4/CACNA1B/TRPC3/AQP7/CACNA1G/CALHM5/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/AQP3/GABRA2/AQP5/TRPV6/ANO1/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GJA1/GRIN2D/JPH3/KCNB1/GRID1/CLIC6/SCN2B/CLDN4/KCND3	53
GO:0005216	ion channel activity	49/804	425/17354	3.83061665981371e-09	3.56726176445152e-07	3.05441275769356e-07	GRIA3/CLCNKA/SCNN1B/KCNF1/GRIN2A/CLCA2/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/GRIK3/GRIA1/SLC24A2/KCNJ4/CACNA1B/TRPC3/CACNA1G/CALHM5/KCND2/KCNA1/HCN2/KCNA2/SCN4A/ABCC9/KCNJ5/LOXHD1/LRRC55/GABRA2/TRPV6/ANO1/CACNA1I/HCN1/SLC24A3/SLC40A1/GRIK4/SCNN1A/SCN7A/CACNA2D1/SCN5A/GRIN2D/JPH3/KCNB1/GRID1/CLIC6/SCN2B/CLDN4/KCND3	49
GO:0005244	voltage-gated ion channel activity	30/804	198/17354	9.88047277789993e-09	7.36095221953545e-07	6.30270158253406e-07	CLCNKA/KCNF1/GRIN2A/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/KCNJ4/CACNA1B/CACNA1G/KCND2/KCNA1/HCN2/KCNA2/SCN4A/KCNJ5/LRRC55/ANO1/CACNA1I/HCN1/SCN7A/CACNA2D1/SCN5A/GRIN2D/KCNB1/CLIC6/SCN2B/KCND3	30
GO:0022832	voltage-gated channel activity	30/804	198/17354	9.88047277789993e-09	7.36095221953545e-07	6.30270158253406e-07	CLCNKA/KCNF1/GRIN2A/KCNA6/KCNC1/GRIN2B/KCNK10/KCNIP1/CACNG4/KCNJ4/CACNA1B/CACNA1G/KCND2/KCNA1/HCN2/KCNA2/SCN4A/KCNJ5/LRRC55/ANO1/CACNA1I/HCN1/SCN7A/CACNA2D1/SCN5A/GRIN2D/KCNB1/CLIC6/SCN2B/KCND3	30
