ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005539	glycosaminoglycan binding	91/2725	213/17354	2.9303462159209e-21	3.00360487131893e-18	2.45840624640943e-18	SAA1/AZU1/APOB/EPYC/LPA/HMMR/LTBP2/ADAMTS8/CCDC80/GREM2/NDNF/GPNMB/LYVE1/FGF1/POSTN/RSPO1/APOH/FBN1/BGN/CXCL10/PLA2G5/VIT/CHRD/CXCL11/DCN/CEL/SELL/FGF7/PRNP/FGFR1/COL25A1/SLIT2/FBLN7/ADAMTS1/ADAMTS3/PTN/STAB2/NLRP3/VCAN/SMOC2/WISP1/RSPO2/NOV/SELP/FGF2/THBS4/NRP1/STAB1/CTGF/ECM2/RSPO3/CRISPLD2/NRP2/CFH/WISP2/ENG/TNXB/C6orf15/ADAMTS15/SFRP1/ADAMTS5/COMP/PCOLCE2/ELANE/LTBP4/LPL/THBS2/PTPRS/DPYSL3/CTSG/IMPG2/PRELP/THBS3/CCL2/FSTL1/LAYN/CLEC3B/CYR61/THBS1/SERPINE2/FGF10/TGFBR3/CXCL13/SUSD5/SOD3/SPOCK3/COL5A1/ABI3BP/PCOLCE/ANOS1/FN1	91
GO:0005261	cation channel activity	116/2725	314/17354	1.84406289347801e-20	9.45082232907478e-18	7.73535855843143e-18	CHRNA4/NOX5/TRPC3/KCNA5/ITPR1/KCNIP3/KCNA3/CALHM5/CALHM2/GRIN2A/CHRNB4/KCNT2/TRPC5/KCNIP2/SLC4A11/KCNA2/PKD1L1/CACNB2/P2RX6/TRPM3/GRIK1/KCNMB1/KCNE4/KCNK17/SCN2B/KCND3/KCNB1/KCNS3/RYR2/KCNJ8/CHRNA6/CACNG1/CACNA1B/GRIA2/KCNJ5/JPH3/SCN3B/CHRNA3/JPH2/SLC24A5/KCND1/KCNH6/CACNA1G/CACNA2D2/SCN11A/CNGA3/KCNIP1/TMEM63C/KCNH2/CATSPER1/CACNA1C/PKD1/ABCC8/KCNB2/KCNH1/KCNN3/CHRNB2/TRPC4/GRIA1/LRRC55/GPM6A/KCNAB1/KCNA6/KCNA4/KCNJ12/IL1RAPL1/DENND5A/KCNQ4/KCNC1/NALCN/TRPC1/GRIK5/SCNN1B/SCN4A/RYR3/GRIA3/PDE2A/KCNK4/RYR1/KCNG1/SCN3A/SLC24A2/CACNG4/CACNA1H/GRIK2/KCNQ5/PKD2/P2RX7/KCNQ1/P2RX2/KCNK2/CALHM3/LOXHD1/SLC24A4/CACNA2D3/KCNJ6/TRPM6/KCNS2/NCS1/SCN7A/SCN4B/GRIK3/KCNT1/KCNK3/KCNMA1/PIEZO2/ABCC9/KCNA1/NOX1/P2RX1/KCND2/KCNMB2/SLC24A3/HVCN1/CACNA2D1/SCN1B	116
GO:0008201	heparin binding	74/2725	160/17354	5.8685328334759e-20	2.0050820514376e-17	1.64113005904572e-17	SAA1/AZU1/APOB/LPA/LTBP2/ADAMTS8/CCDC80/GREM2/NDNF/GPNMB/FGF1/POSTN/RSPO1/APOH/FBN1/CXCL10/PLA2G5/CHRD/CXCL11/CEL/SELL/FGF7/FGFR1/COL25A1/SLIT2/FBLN7/ADAMTS1/ADAMTS3/PTN/SMOC2/WISP1/RSPO2/NOV/SELP/FGF2/THBS4/NRP1/CTGF/ECM2/RSPO3/CRISPLD2/NRP2/CFH/WISP2/TNXB/C6orf15/ADAMTS15/SFRP1/ADAMTS5/COMP/PCOLCE2/ELANE/LPL/THBS2/PTPRS/CTSG/IMPG2/PRELP/THBS3/CCL2/FSTL1/CLEC3B/CYR61/THBS1/SERPINE2/FGF10/TGFBR3/CXCL13/SOD3/COL5A1/ABI3BP/PCOLCE/ANOS1/FN1	74
GO:0005216	ion channel activity	138/2725	425/17354	2.71186151060685e-18	6.94914512093006e-16	5.6877726946149e-16	CHRNA4/NOX5/BEST2/GABRA2/CLCA2/TRPC3/KCNA5/ITPR1/CLIC4/KCNIP3/KCNA3/CALHM5/CALHM2/GRIN2A/CHRNB4/KCNT2/TRPC5/KCNIP2/SLC4A11/KCNA2/PKD1L1/CACNB2/P2RX6/TRPM3/GRIK1/KCNMB1/KCNE4/KCNK17/SCN2B/KCND3/KCNB1/SLC26A10/CLIC2/KCNS3/RYR2/KCNJ8/CHRNA6/CACNG1/CACNA1B/GRIA2/KCNJ5/JPH3/SCN3B/CHRNA3/JPH2/SLC24A5/KCND1/KCNH6/CACNA1G/CACNA2D2/SCN11A/CNGA3/KCNIP1/TMEM63C/KCNH2/CATSPER1/CACNA1C/PKD1/ABCC8/KCNB2/KCNH1/ANXA6/KCNN3/CHRNB2/TRPC4/GRID1/FXYD7/GRIA1/LRRC55/GJC1/GPM6A/KCNAB1/KCNA6/KCNA4/ANO5/KCNJ12/IL1RAPL1/DENND5A/FXYD6/KCNQ4/GLRA2/KCNC1/NALCN/TRPC1/GRIK5/ANO4/SCNN1B/SCN4A/RYR3/GRIA3/PDE2A/KCNK4/RYR1/KCNG1/SCN3A/FXYD1/SLC24A2/CACNG4/CACNA1H/GRIK2/KCNQ5/NCALD/PKD2/P2RX7/KCNQ1/P2RX2/GABRA5/GLRB/GABRG2/KCNK2/CALHM3/LOXHD1/SLC24A4/CACNA2D3/KCNJ6/TRPM6/SLC17A7/KCNS2/NCS1/SCN7A/SCN4B/GRIK3/KCNT1/KCNK3/KCNMA1/PIEZO2/ABCC9/KCNA1/NOX1/P2RX1/SLC26A7/KCND2/KCNMB2/SLC24A3/HVCN1/CACNA2D1/SCN1B/DLG4	138
GO:0022838	substrate-specific channel activity	140/2725	435/17354	3.65088914932675e-18	7.48432275611985e-16	6.12580768844931e-16	CHRNA4/NOX5/BEST2/GABRA2/CLCA2/TRPC3/KCNA5/ITPR1/CLIC4/KCNIP3/KCNA3/CALHM5/CALHM2/GRIN2A/CHRNB4/KCNT2/TRPC5/KCNIP2/SLC4A11/KCNA2/PKD1L1/CACNB2/P2RX6/TRPM3/GRIK1/KCNMB1/KCNE4/KCNK17/SCN2B/KCND3/AQP4/KCNB1/SLC26A10/CLIC2/KCNS3/RYR2/KCNJ8/CHRNA6/CACNG1/CACNA1B/GRIA2/KCNJ5/JPH3/SCN3B/CHRNA3/JPH2/SLC24A5/KCND1/KCNH6/CACNA1G/CACNA2D2/SCN11A/CNGA3/KCNIP1/TMEM63C/KCNH2/CATSPER1/CACNA1C/PKD1/ABCC8/KCNB2/KCNH1/ANXA6/KCNN3/CHRNB2/TRPC4/GRID1/FXYD7/GRIA1/LRRC55/GJC1/GPM6A/KCNAB1/KCNA6/KCNA4/ANO5/KCNJ12/IL1RAPL1/DENND5A/FXYD6/KCNQ4/GLRA2/KCNC1/NALCN/TRPC1/GRIK5/ANO4/SCNN1B/SCN4A/RYR3/GRIA3/PDE2A/KCNK4/RYR1/KCNG1/SCN3A/FXYD1/SLC24A2/CACNG4/CACNA1H/GRIK2/KCNQ5/NCALD/PKD2/P2RX7/KCNQ1/P2RX2/GABRA5/GLRB/SLC14A1/GABRG2/KCNK2/CALHM3/LOXHD1/SLC24A4/CACNA2D3/KCNJ6/TRPM6/SLC17A7/KCNS2/NCS1/SCN7A/SCN4B/GRIK3/KCNT1/KCNK3/KCNMA1/PIEZO2/ABCC9/KCNA1/NOX1/P2RX1/SLC26A7/KCND2/KCNMB2/SLC24A3/HVCN1/CACNA2D1/SCN1B/DLG4	140
GO:0015267	channel activity	144/2725	466/17354	6.42098267744962e-17	1.09691787406431e-14	8.97811086653921e-15	CHRNA4/NOX5/BEST2/GABRA2/CLCA2/TRPC3/KCNA5/BCL2/ITPR1/CLIC4/KCNIP3/KCNA3/CALHM5/CALHM2/GRIN2A/CHRNB4/KCNT2/TRPC5/KCNIP2/SLC4A11/KCNA2/PKD1L1/CACNB2/P2RX6/TRPM3/GRIK1/KCNMB1/KCNE4/KCNK17/SCN2B/KCND3/AQP4/KCNB1/SLC26A10/CLIC2/KCNS3/RYR2/KCNJ8/CHRNA6/CACNG1/CACNA1B/GRIA2/KCNJ5/JPH3/SCN3B/CHRNA3/JPH2/SLC24A5/KCND1/KCNH6/CACNA1G/CACNA2D2/SCN11A/CNGA3/KCNIP1/TMEM63C/KCNH2/CATSPER1/CACNA1C/PKD1/ABCC8/KCNB2/KCNH1/ANXA6/KCNN3/CHRNB2/TRPC4/GRID1/GJA5/FXYD7/GRIA1/LRRC55/GJC1/GPM6A/KCNAB1/KCNA6/KCNA4/ANO5/KCNJ12/IL1RAPL1/DENND5A/FXYD6/KCNQ4/GLRA2/KCNC1/NALCN/TRPC1/GRIK5/ANO4/SCNN1B/SCN4A/RYR3/GRIA3/PDE2A/KCNK4/RYR1/KCNG1/SCN3A/FXYD1/SLC24A2/CACNG4/GJA3/CACNA1H/GRIK2/KCNQ5/NCALD/PKD2/P2RX7/KCNQ1/P2RX2/GABRA5/GLRB/SLC14A1/GABRG2/KCNK2/CALHM3/LOXHD1/SLC24A4/CACNA2D3/KCNJ6/TRPM6/SLC17A7/KCNS2/NCS1/SCN7A/SCN4B/GRIK3/KCNT1/GJA1/KCNK3/KCNMA1/PIEZO2/ABCC9/KCNA1/NOX1/P2RX1/SLC26A7/KCND2/KCNMB2/SLC24A3/HVCN1/CACNA2D1/SCN1B/DLG4	144
GO:0022803	passive transmembrane transporter activity	144/2725	467/17354	7.88116400110198e-17	1.15402758587565e-14	9.44554542688463e-15	CHRNA4/NOX5/BEST2/GABRA2/CLCA2/TRPC3/KCNA5/BCL2/ITPR1/CLIC4/KCNIP3/KCNA3/CALHM5/CALHM2/GRIN2A/CHRNB4/KCNT2/TRPC5/KCNIP2/SLC4A11/KCNA2/PKD1L1/CACNB2/P2RX6/TRPM3/GRIK1/KCNMB1/KCNE4/KCNK17/SCN2B/KCND3/AQP4/KCNB1/SLC26A10/CLIC2/KCNS3/RYR2/KCNJ8/CHRNA6/CACNG1/CACNA1B/GRIA2/KCNJ5/JPH3/SCN3B/CHRNA3/JPH2/SLC24A5/KCND1/KCNH6/CACNA1G/CACNA2D2/SCN11A/CNGA3/KCNIP1/TMEM63C/KCNH2/CATSPER1/CACNA1C/PKD1/ABCC8/KCNB2/KCNH1/ANXA6/KCNN3/CHRNB2/TRPC4/GRID1/GJA5/FXYD7/GRIA1/LRRC55/GJC1/GPM6A/KCNAB1/KCNA6/KCNA4/ANO5/KCNJ12/IL1RAPL1/DENND5A/FXYD6/KCNQ4/GLRA2/KCNC1/NALCN/TRPC1/GRIK5/ANO4/SCNN1B/SCN4A/RYR3/GRIA3/PDE2A/KCNK4/RYR1/KCNG1/SCN3A/FXYD1/SLC24A2/CACNG4/GJA3/CACNA1H/GRIK2/KCNQ5/NCALD/PKD2/P2RX7/KCNQ1/P2RX2/GABRA5/GLRB/SLC14A1/GABRG2/KCNK2/CALHM3/LOXHD1/SLC24A4/CACNA2D3/KCNJ6/TRPM6/SLC17A7/KCNS2/NCS1/SCN7A/SCN4B/GRIK3/KCNT1/GJA1/KCNK3/KCNMA1/PIEZO2/ABCC9/KCNA1/NOX1/P2RX1/SLC26A7/KCND2/KCNMB2/SLC24A3/HVCN1/CACNA2D1/SCN1B/DLG4	144
GO:0005201	extracellular matrix structural constituent	43/2725	78/17354	1.17396911223463e-15	1.47827752398607e-13	1.20994833028693e-13	COL9A1/COL2A1/ENAM/LUM/EFEMP2/COL24A1/FBN1/COL4A4/BGN/COL8A2/MATN3/COL3A1/EMILIN1/PXDN/TFPI2/VCAN/COL5A2/COL1A2/ELN/COL9A2/COL19A1/MGP/COL1A1/LAMA1/COL4A2/COL4A3/FBLN2/MFAP5/COMP/IMPG2/PRELP/LAMC1/COL14A1/LAMA4/FBLN1/COL12A1/COL4A6/COL4A5/COL5A1/FBN3/COL15A1/ANOS1/TECTA	43
GO:1901681	sulfur compound binding	86/2725	232/17354	1.2979997771585e-15	1.47827752398607e-13	1.20994833028693e-13	SAA1/AZU1/APOB/LPA/LTBP2/HPSE2/ADAMTS8/CCDC80/GREM2/NDNF/GPNMB/FGF1/POSTN/RSPO1/APOH/FBN1/CXCL10/PLA2G5/CHRD/CXCL11/CEL/SELL/RYR2/FGF7/ACADL/FGFR1/COL25A1/SLIT2/FBLN7/ADAMTS1/ADAMTS3/PTN/GAL3ST4/SMOC2/WISP1/RSPO2/NOV/LRP1/SELP/FGF2/THBS4/NRP1/CTGF/ECM2/RSPO3/CRISPLD2/NRP2/CFH/ACACB/WISP2/TNXB/C6orf15/ADAMTS15/SFRP1/ADAMTS5/COMP/PCOLCE2/ELANE/LPL/THBS2/PTPRS/DPYSL3/RCC1/CTSG/IMPG2/PRELP/GAL3ST3/THBS3/CCL2/FSTL1/CLEC3B/CD34/CYR61/GPC6/THBS1/SERPINE2/FGF10/TGFBR3/CXCL13/SOD3/COL5A1/ABI3BP/GPC5/PCOLCE/ANOS1/FN1	86
GO:0022836	gated channel activity	110/2725	332/17354	1.60772413924821e-15	1.64791724272941e-13	1.34879593576929e-13	CHRNA4/GABRA2/CLCA2/KCNA5/ITPR1/CLIC4/KCNIP3/KCNA3/GRIN2A/CHRNB4/KCNT2/KCNIP2/KCNA2/CACNB2/P2RX6/TRPM3/GRIK1/KCNMB1/KCNE4/KCNK17/SCN2B/KCND3/KCNB1/CLIC2/KCNS3/RYR2/KCNJ8/CHRNA6/CACNG1/CACNA1B/GRIA2/KCNJ5/JPH3/SCN3B/CHRNA3/JPH2/KCND1/KCNH6/CACNA1G/CACNA2D2/SCN11A/CNGA3/KCNIP1/TMEM63C/KCNH2/CATSPER1/CACNA1C/ABCC8/KCNB2/KCNH1/ANXA6/KCNN3/CHRNB2/GRID1/GRIA1/LRRC55/KCNAB1/KCNA6/KCNA4/ANO5/KCNJ12/IL1RAPL1/KCNQ4/GLRA2/KCNC1/NALCN/GRIK5/ANO4/SCNN1B/SCN4A/RYR3/GRIA3/KCNK4/RYR1/KCNG1/SCN3A/CACNG4/CACNA1H/GRIK2/KCNQ5/NCALD/PKD2/P2RX7/KCNQ1/P2RX2/GABRA5/GLRB/GABRG2/KCNK2/CACNA2D3/KCNJ6/SLC17A7/KCNS2/NCS1/SCN7A/SCN4B/GRIK3/KCNT1/KCNK3/KCNMA1/PIEZO2/KCNA1/NOX1/P2RX1/KCND2/KCNMB2/HVCN1/CACNA2D1/SCN1B/DLG4	110
