ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006936	muscle contraction	71/1389	352/17381	2.30412730749894e-13	1.18017400690096e-09	9.94412837973226e-10	GPD1L/MYBPC1/NOS1/MYH2/CHRM2/CASQ2/CACNA2D1/ACTA2/GAMT/P2RX3/NKX2-5/CACNA1C/HTR2A/STAC/MYBPC3/TRDN/DES/NOS1AP/SPX/DCANP1/HSPB6/SCN2B/TACR1/CACNA1D/CHRNB4/KCNMA1/ATP1A2/EDNRA/RYR2/CAV1/ACTG2/MYH7/ACTA1/MYLPF/CACNA1G/PTGER3/MYL7/TBX20/ADRA1A/CACNA1S/NPY2R/KCNA5/FXYD1/SORBS1/MYH8/GNAO1/SYNM/PDE5A/PRKG1/MYH6/ADRA2A/CNN1/JSRP1/PLN/ACTC1/SLC8A1/SCN7A/CHRNB2/GSTO1/MYOCD/PPP1R12B/LMOD1/MYLK/UCN/KCND3/MYOM1/ATP8A2/MYH11/TNNI3/KCNA1/DRD1	71
GO:0003012	muscle system process	80/1389	448/17381	5.72234364515563e-12	1.46549220752436e-08	1.23482152342832e-08	GPD1L/MYBPC1/NOS1/MYH2/CHRM2/CASQ2/CACNA2D1/ACTA2/IGFBP5/CAMK2B/GAMT/P2RX3/NKX2-5/CACNA1C/HTR2A/STAC/MYBPC3/TRDN/DES/NOS1AP/SPX/MYOC/DCANP1/HSPB6/SCN2B/TACR1/CACNA1D/CHRNB4/KCNMA1/ATP1A2/EDNRA/RYR2/CAV1/ACTG2/MYH7/ACTA1/MYLPF/CACNA1G/NPPB/PTGER3/MYL7/TBX20/ADRA1A/CACNA1S/AGTR2/NPY2R/KCNA5/MSTN/FXYD1/LEP/SORBS1/MYH8/GNAO1/SYNM/PDE5A/PRKG1/MYH6/AKAP6/ADRA2A/CNN1/JSRP1/PLN/ACTC1/SLC8A1/IL6ST/SCN7A/CHRNB2/GSTO1/MYOCD/PPP1R12B/LMOD1/MYLK/UCN/KCND3/MYOM1/ATP8A2/MYH11/TNNI3/KCNA1/DRD1	80
GO:0001501	skeletal system development	81/1389	491/17381	2.49842281530089e-10	4.26564055332372e-07	3.59422229569602e-07	GDF5/PRRX1/SMAD9/FGF8/RARG/NOV/DMRT2/PHEX/OSR2/LHX1/CHI3L1/ACP5/NFIB/TP63/NCAN/MMP9/FBN1/COL11A1/NPR3/CHRDL2/GDF10/TBX1/CLDN18/IFITM5/SOX5/SCIN/FGF2/DLX1/ITGB8/MYOC/DCANP1/CER1/COMP/RBP4/COL1A2/HOXA5/WNT7A/TBX4/WFIKKN1/HOXD12/WNT7B/TNFSF11/COL1A1/CDH11/SP5/TGFB2/SFRP4/ALX4/COL10A1/HOXA6/COL19A1/WNT11/SIX1/PITX1/POSTN/TBX15/COL3A1/LEP/RSPO2/COL12A1/TCF15/IHH/CHAD/MATN1/PAPPA2/BARX2/TYROBP/BMP3/TRPS1/SIGLEC15/COL11A2/FAT4/MUSTN1/MMP16/SRD5A2/BMP2/CYP26B1/RANBP3L/GSC/FMN1/ACAN	81
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	49/1389	239/17381	6.8248217406413e-10	8.73918423889118e-07	7.36362345700771e-07	NRXN1/PCDHAC1/CDH4/NLGN1/PCDHGA6/PCDHGB6/DSG3/CDHR4/JAML/PCDHGB4/PCDHGA7/GRID2/PTPRT/DSCAM/UNC5D/CLDN18/CDH19/IL1RAPL1/CDH11/PCDHB1/CDH7/TGFB2/TENM2/PCDH19/PLXNB3/PCDHA13/DSG1/ADIPOQ/PCDHAC2/ADGRL3/DSC3/PCDHB18P/PCDHGA9/PCDHGB5/DCHS2/FAT1/PCDHGA2/IGSF9B/DSC1/PCDHGA5/FAT4/FAT2/PCDH11X/BMP2/CD177/PCDHGB7/APOA1/PCDH9/PCDHGA11	49
GO:1903522	regulation of blood circulation	54/1389	289/17381	3.19028687136699e-09	3.26812987102834e-06	2.75372129949572e-06	GPD1L/NOS1/CHRM2/ADM/CASQ2/CACNA2D1/FGA/RYR3/NKX2-5/CACNA1C/HTR2A/KCNK3/ATP1B2/HSPB7/TRDN/DES/NOS1AP/SPX/SCN2B/TACR1/CACNA1D/CACNG8/ATP1A2/RYR2/CAV1/MYH7/ABCC9/FGG/CACNA1G/TGFB2/CACNG7/AVP/ADRA1A/CACNA1S/AGTR2/KCNA5/FXYD1/LEP/EGFR/GNAO1/PDE5A/AVPR1A/ADRB1/MYH6/ADRA2A/CACNB4/PLN/CORIN/SLC8A1/GSTO1/CACNG5/UCN/KCND3/TNNI3	54
GO:0072507	divalent inorganic cation homeostasis	73/1389	456/17381	7.34149703483663e-09	6.2671913020722e-06	5.28072593733863e-06	GPR35/GRIN2A/CCL3/GRIK2/EPO/NOS1/ADM/CASQ2/CACNA2D1/XCR1/SLC24A3/P2RX3/SLC11A1/CD52/KL/RYR3/CALCB/ATP13A4/CACNA1C/HTR2A/KCNK3/TRDN/FGF2/SLC39A5/CCL19/TACR1/TRPM8/ATP1A2/EDNRA/RYR2/CAV1/GRIA1/TNFSF11/HCRTR2/ADCY5/PVALB/AVP/GPR20/TRPM1/KISS1/TFAP2B/ADRA1A/NPY2R/S100A14/IAPP/KCNA5/CALCR/CCL15/EGFR/TRPA1/APOE/LPAR3/AVPR1A/CCL1/F2/KEL/CCKBR/AKAP6/JSRP1/PLN/SLC30A4/SLC8A1/GRM1/GSTO1/CYP27B1/GPR17/TMTC2/CAPS2/TNNI3/KCNA1/JPH4/DRD1/ADCYAP1R1	73
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	35/1389	157/17381	2.01200853097983e-08	1.34400725622249e-05	1.13245848671617e-05	PCDHAC1/CDH4/PCDHGA6/PCDHGB6/DSG3/CDHR4/PCDHGB4/PCDHGA7/PTPRT/DSCAM/CDH19/CDH11/PCDHB1/CDH7/PCDH19/PLXNB3/PCDHA13/DSG1/PCDHAC2/DSC3/PCDHB18P/PCDHGA9/PCDHGB5/DCHS2/FAT1/PCDHGA2/IGSF9B/DSC1/PCDHGA5/FAT4/FAT2/PCDH11X/PCDHGB7/PCDH9/PCDHGA11	35
GO:0055074	calcium ion homeostasis	68/1389	424/17381	2.24009492617592e-08	1.34400725622249e-05	1.13245848671617e-05	GPR35/GRIN2A/CCL3/GRIK2/EPO/NOS1/ADM/CASQ2/CACNA2D1/XCR1/SLC24A3/P2RX3/CD52/KL/RYR3/CALCB/ATP13A4/CACNA1C/HTR2A/KCNK3/TRDN/FGF2/CCL19/TACR1/TRPM8/ATP1A2/EDNRA/RYR2/CAV1/GRIA1/TNFSF11/HCRTR2/ADCY5/PVALB/AVP/GPR20/TRPM1/KISS1/TFAP2B/ADRA1A/NPY2R/S100A14/IAPP/KCNA5/CALCR/CCL15/TRPA1/APOE/LPAR3/AVPR1A/CCL1/F2/KEL/CCKBR/AKAP6/JSRP1/PLN/SLC8A1/GRM1/GSTO1/CYP27B1/GPR17/TMTC2/CAPS2/TNNI3/JPH4/DRD1/ADCYAP1R1	68
GO:0043270	positive regulation of ion transport	46/1389	241/17381	2.36159025888372e-08	1.34400725622249e-05	1.13245848671617e-05	GPD1L/CCL3/NOS1/FHL1/OPRK1/CACNA2D1/PDZK1/P2RX3/NKX2-5/LRRC55/ATP1B2/TNFRSF11A/TRDN/NOS1AP/CACNA1D/CTSS/RYR2/CAV1/TNFSF11/SYT4/KCNMB1/PRSS8/AVP/KCNC1/NPY2R/CALCR/FXYD1/LEP/COX17/APOE/LPAR3/AVPR1A/F2/AKAP6/ADRA2A/CHRNB2/GSTO1/MYLK/TCAF1/CNTN1/UCN/ABCB1/ATP8A2/KCNA1/DRD1/ADCYAP1R1	46
GO:0008016	regulation of heart contraction	46/1389	242/17381	2.69470373739736e-08	1.38022725429493e-05	1.1629774024557e-05	GPD1L/NOS1/CHRM2/ADM/CASQ2/CACNA2D1/RYR3/NKX2-5/CACNA1C/KCNK3/ATP1B2/HSPB7/TRDN/DES/NOS1AP/SPX/SCN2B/CACNA1D/CACNG8/ATP1A2/RYR2/CAV1/MYH7/ABCC9/CACNA1G/TGFB2/CACNG7/ADRA1A/CACNA1S/AGTR2/KCNA5/FXYD1/GNAO1/PDE5A/AVPR1A/ADRB1/MYH6/CACNB4/PLN/CORIN/SLC8A1/GSTO1/CACNG5/UCN/KCND3/TNNI3	46
