ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:1902495	transmembrane transporter complex	67/1483	325/18511	4.44450588092904e-13	1.16623143131906e-10	9.43950223407965e-11	ABCG8/GRIN2A/GRIK2/NOS1/GABRQ/NLGN1/GLRA2/ANO1/CASQ2/CACNA2D1/CATSPER1/BEST2/GRID2/GABRG1/GRIN3A/CACNA1C/SHANK1/CNTN2/LRRC55/ATP1B2/SCNN1G/TRDN/NOS1AP/KCNS2/SCN2B/CACNA1D/BEST3/CHRNB4/KCNMA1/CACNG8/ATP1A2/SNAP25/RYR2/KCNT2/GRIA1/ABCC9/CHRNB3/KCNMB1/GABRP/CACNA1G/CACNG7/KCNJ16/OLFM3/KCNC1/CACNA1S/GABRA3/GABRG3/CATSPERD/KCNA5/GABRA2/FXYD1/CLIC6/AKAP6/KCNN4/CACNB4/KCNQ4/PLN/SCN7A/CHRNB2/CACNG5/SHISA7/KCND3/KCNQ3/SCNN1B/VWC2/KCNA1/KCNB1	67
GO:0034702	ion channel complex	62/1483	288/18511	4.52905410220993e-13	1.16623143131906e-10	9.43950223407965e-11	GRIN2A/GRIK2/NOS1/GABRQ/NLGN1/GLRA2/ANO1/CASQ2/CACNA2D1/CATSPER1/BEST2/GRID2/GABRG1/GRIN3A/CACNA1C/SHANK1/CNTN2/LRRC55/SCNN1G/TRDN/NOS1AP/KCNS2/SCN2B/CACNA1D/BEST3/CHRNB4/KCNMA1/CACNG8/SNAP25/RYR2/KCNT2/GRIA1/ABCC9/CHRNB3/KCNMB1/GABRP/CACNA1G/CACNG7/KCNJ16/OLFM3/KCNC1/CACNA1S/GABRA3/GABRG3/CATSPERD/KCNA5/GABRA2/CLIC6/AKAP6/KCNN4/CACNB4/KCNQ4/SCN7A/CHRNB2/CACNG5/SHISA7/KCND3/KCNQ3/SCNN1B/VWC2/KCNA1/KCNB1	62
GO:1990351	transporter complex	67/1483	332/18511	1.2565818894304e-12	2.15713224352219e-10	1.74598746741908e-10	ABCG8/GRIN2A/GRIK2/NOS1/GABRQ/NLGN1/GLRA2/ANO1/CASQ2/CACNA2D1/CATSPER1/BEST2/GRID2/GABRG1/GRIN3A/CACNA1C/SHANK1/CNTN2/LRRC55/ATP1B2/SCNN1G/TRDN/NOS1AP/KCNS2/SCN2B/CACNA1D/BEST3/CHRNB4/KCNMA1/CACNG8/ATP1A2/SNAP25/RYR2/KCNT2/GRIA1/ABCC9/CHRNB3/KCNMB1/GABRP/CACNA1G/CACNG7/KCNJ16/OLFM3/KCNC1/CACNA1S/GABRA3/GABRG3/CATSPERD/KCNA5/GABRA2/FXYD1/CLIC6/AKAP6/KCNN4/CACNB4/KCNQ4/PLN/SCN7A/CHRNB2/CACNG5/SHISA7/KCND3/KCNQ3/SCNN1B/VWC2/KCNA1/KCNB1	67
GO:0005578	proteinaceous extracellular matrix	71/1483	365/18511	1.70699623216355e-12	2.19775764891057e-10	1.77886975772833e-10	P3H2/KERA/OPTC/LAMB4/ADAMTS17/HMCN1/NTN3/NOV/COL14A1/CHI3L1/SMOC2/VWA2/SPARCL1/NCAN/COL8A1/MMP9/FBN1/COL11A1/LRRC55/OMD/ZP2/ELN/ABI3BP/MFAP5/ADAMTS16/MYOC/COMP/OGN/LRFN5/COL1A2/TNN/WNT7A/CCBE1/MATN2/WNT7B/MMP12/ADAMTSL1/COL6A6/COL21A1/COL1A1/COL9A1/COL10A1/DPT/COL19A1/WNT11/DCN/EPYC/POSTN/EGFL6/COL3A1/LRRN3/COL12A1/ADAMTSL3/LAMA2/IHH/CHAD/MATN1/ADAMTS15/LTBP2/MAMDC2/COL11A2/ADAMTS2/HPSE2/MMP16/VTN/SBSPON/CPA6/VWC2/LRFN2/IMPG2/ACAN	71
GO:0043235	receptor complex	62/1483	325/18511	1.02899368994274e-10	9.15123195630807e-09	7.4070267852795e-09	ITGAX/ITLN1/ABCG8/PLXNA4/GRIN2A/GRIK2/GABRQ/NLGN1/ITGA10/LRP1B/P2RX3/ZAP70/NTRK2/KCTD8/GRID2/GABRG1/GRIN3A/SHANK1/SLITRK5/GPR84/NOS1AP/ITGB8/CHRNB4/GPR62/CACNG8/CD3D/PEX5L/GRIA1/CHRNB3/GABRP/ITGA8/TF/KCTD16/CACNG7/OLFM3/IFNL1/GPR20/ADRB3/GABRA3/CALCR/GABRA2/SORBS1/EGFR/ERBB4/NR1H3/CD74/GPR63/ADRA2A/IL6ST/LY96/CHRNB2/GRM1/NOTCH2/BMP2/CACNG5/SHISA7/OSMR/GRM7/VWC2/ITGB3/IMPG2/ADCYAP1R1	62
GO:0034703	cation channel complex	47/1483	212/18511	1.06616294636599e-10	9.15123195630807e-09	7.4070267852795e-09	GRIN2A/GRIK2/NOS1/NLGN1/CASQ2/CACNA2D1/CATSPER1/GRIN3A/CACNA1C/SHANK1/CNTN2/LRRC55/SCNN1G/TRDN/NOS1AP/KCNS2/SCN2B/CACNA1D/KCNMA1/CACNG8/SNAP25/RYR2/KCNT2/GRIA1/ABCC9/KCNMB1/CACNA1G/CACNG7/KCNJ16/OLFM3/KCNC1/CACNA1S/CATSPERD/KCNA5/AKAP6/KCNN4/CACNB4/KCNQ4/SCN7A/CACNG5/SHISA7/KCND3/KCNQ3/SCNN1B/VWC2/KCNA1/KCNB1	47
GO:0097060	synaptic membrane	55/1483	295/18511	2.77595047634406e-09	2.0423064218817e-07	1.65304720095075e-07	GRIN2A/LRRTM2/GRIK2/NRXN1/GABRQ/IQSEC3/NLGN1/GLRA2/CHRM2/GRID1/NTRK2/EPHA7/KCTD8/GRID2/SYT11/GABRG1/GRIN3A/SHANK1/DLGAP2/ANKS1B/DRP2/CNTNAP4/CHRNB4/CACNG8/SNAP25/GRIA1/SYP/IL1RAPL1/CHRNB3/GABRP/ITGA8/KCTD16/TENM2/LRRC4C/GABRA3/GABRG3/GABRA2/DNM3/GRIK1/NETO1/IGSF9B/SLC8A1/RIMS2/CHRNB2/GRM1/CACNG5/LRRTM3/CPN1/RIMS1/GRM7/PSD3/KCNA1/LRFN2/CNKSR2/KCNB1	55
GO:0044449	contractile fiber part	43/1483	209/18511	7.35951813370347e-09	4.73768979857161e-07	3.83469629071917e-07	SVIL/MYBPC1/NOS1/MYH2/CASQ2/ACTA2/FBXL22/PALLD/CACNA1C/NEXN/MYBPC3/DES/NOS1AP/SYNPO2L/CACNA1D/MYPN/RYR2/FBP2/MYH7/ABCC9/ACTA1/MYLPF/ANKRD1/FLNC/MYL7/ADRA1A/CACNA1S/KCNA5/MYH8/SYNM/SYNC/MYH6/ACTC1/SLC8A1/LDB3/KY/PPP1R12B/LMOD1/SYNPO2/PGM5/MYOM1/MYH11/TNNI3	43
GO:0045211	postsynaptic membrane	44/1483	225/18511	2.45805686071345e-08	1.40655475918603e-06	1.13846844075149e-06	GRIN2A/LRRTM2/GRIK2/GABRQ/IQSEC3/NLGN1/GLRA2/CHRM2/GRID1/NTRK2/EPHA7/KCTD8/GRID2/GABRG1/GRIN3A/SHANK1/DLGAP2/ANKS1B/DRP2/CHRNB4/CACNG8/GRIA1/IL1RAPL1/CHRNB3/GABRP/KCTD16/TENM2/LRRC4C/GABRA3/GABRG3/GABRA2/DNM3/GRIK1/NETO1/IGSF9B/SLC8A1/CHRNB2/CACNG5/LRRTM3/GRM7/PSD3/LRFN2/CNKSR2/KCNB1	44
GO:0043292	contractile fiber	43/1483	224/18511	6.17630683654998e-08	3.18079802082324e-06	2.57454474449873e-06	SVIL/MYBPC1/NOS1/MYH2/CASQ2/ACTA2/FBXL22/PALLD/CACNA1C/NEXN/MYBPC3/DES/NOS1AP/SYNPO2L/CACNA1D/MYPN/RYR2/FBP2/MYH7/ABCC9/ACTA1/MYLPF/ANKRD1/FLNC/MYL7/ADRA1A/CACNA1S/KCNA5/MYH8/SYNM/SYNC/MYH6/ACTC1/SLC8A1/LDB3/KY/PPP1R12B/LMOD1/SYNPO2/PGM5/MYOM1/MYH11/TNNI3	43
