ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0046873	metal ion transmembrane transporter activity	82/1335	449/17354	1.17442739175846e-13	6.3149665059551e-11	5.3797707426155e-11	TRPC5/KCNIP1/KCNK16/KCNG3/SLC9A4/KCNK2/SLC5A1/GPM6A/KCNK10/SLC6A12/KCNIP4/SLC34A2/CACNA2D1/TMEM38A/SLC6A20/CACNB4/SLC6A14/SLC11A1/RYR2/KCNN4/SLC30A2/KCNA1/SLC6A17/ABCC8/SLC5A7/NIPAL1/FAM155B/FAM155A/SLC10A4/SLC10A6/NIPAL4/SLC4A1/PKD2L1/FXYD2/ATP2C2/HCN2/KCNAB1/SLC6A4/KCNA2/KCNK17/SLC34A3/SLC30A8/SLC30A4/GRIK4/KCNMB2/HCN4/CACNA1B/ATP1A2/CACNB2/TRPM3/KCNK9/ITPR1/SLC5A4/TRPC6/KCNB1/CACNG4/JPH2/KCNC1/KCNK3/KCNJ13/SLC4A4/SLC5A5/REST/CACNA2D2/CACNA2D3/KCND3/SLC24A3/SCN3A/SLC1A2/CHRNA7/GRIN2C/KCNK7/CATSPER1/KCNJ1/SLC6A15/ATP1A3/LOXHD1/GRIK2/RYR3/SLC9C2/ABCC9/ATP12A	82
GO:0022803	passive transmembrane transporter activity	84/1335	467/17354	1.40021430287253e-13	6.3149665059551e-11	5.3797707426155e-11	TRPC5/KCNIP1/KCNK16/KCNG3/KCNK2/GPM6A/KCNK10/ANO4/KCNIP4/TMEM63C/CACNA2D1/TMEM38A/TTYH2/CACNB4/NOX5/GABRA5/RYR2/KCNN4/CLCNKB/GJB1/CFTR/KCNA1/GABRB3/SLC26A7/AQP4/SLC26A4/ABCC8/FAM155B/FAM155A/CHRNA4/PKD2L1/FXYD2/GJB3/HCN2/SLC5A8/KCNAB1/KCNA2/KCNK17/SLC26A3/GRIK4/KCNMB2/HCN4/CACNA1B/CHRFAM7A/CACNB2/TRPM3/KCNK9/GABRQ/ITPR1/TRPC6/KCNB1/CACNG4/JPH2/KCNC1/KCNK3/GABRG1/TMEM150C/KCNJ13/AQP9/REST/CACNA2D2/CACNA2D3/KCND3/SLC24A3/SCN3A/FXYD3/CHRNA7/BCL2/GRIN2C/KCNK7/GABRR2/CATSPER1/GABRG3/BCL2A1/KCNJ1/PIEZO2/ANO3/GJA3/LOXHD1/GRIK2/RYR3/GABRA6/ABCC9/CLCNKA	84
GO:0015267	channel activity	83/1335	466/17354	3.42103618371897e-13	1.02859154590484e-10	8.7626540846135e-11	TRPC5/KCNIP1/KCNK16/KCNG3/KCNK2/GPM6A/KCNK10/ANO4/KCNIP4/TMEM63C/CACNA2D1/TMEM38A/TTYH2/CACNB4/NOX5/GABRA5/RYR2/KCNN4/CLCNKB/GJB1/CFTR/KCNA1/GABRB3/SLC26A7/AQP4/SLC26A4/ABCC8/FAM155B/FAM155A/CHRNA4/PKD2L1/FXYD2/GJB3/HCN2/KCNAB1/KCNA2/KCNK17/SLC26A3/GRIK4/KCNMB2/HCN4/CACNA1B/CHRFAM7A/CACNB2/TRPM3/KCNK9/GABRQ/ITPR1/TRPC6/KCNB1/CACNG4/JPH2/KCNC1/KCNK3/GABRG1/TMEM150C/KCNJ13/AQP9/REST/CACNA2D2/CACNA2D3/KCND3/SLC24A3/SCN3A/FXYD3/CHRNA7/BCL2/GRIN2C/KCNK7/GABRR2/CATSPER1/GABRG3/BCL2A1/KCNJ1/PIEZO2/ANO3/GJA3/LOXHD1/GRIK2/RYR3/GABRA6/ABCC9/CLCNKA	83
GO:0022838	substrate-specific channel activity	78/1335	435/17354	1.26279488711987e-12	2.84760247045531e-10	2.42589544104607e-10	TRPC5/KCNIP1/KCNK16/KCNG3/KCNK2/GPM6A/KCNK10/ANO4/KCNIP4/TMEM63C/CACNA2D1/TMEM38A/TTYH2/CACNB4/NOX5/GABRA5/RYR2/KCNN4/CLCNKB/CFTR/KCNA1/GABRB3/SLC26A7/AQP4/SLC26A4/ABCC8/FAM155B/FAM155A/CHRNA4/PKD2L1/FXYD2/HCN2/KCNAB1/KCNA2/KCNK17/SLC26A3/GRIK4/KCNMB2/HCN4/CACNA1B/CHRFAM7A/CACNB2/TRPM3/KCNK9/GABRQ/ITPR1/TRPC6/KCNB1/CACNG4/JPH2/KCNC1/KCNK3/GABRG1/TMEM150C/KCNJ13/AQP9/REST/CACNA2D2/CACNA2D3/KCND3/SLC24A3/SCN3A/FXYD3/CHRNA7/GRIN2C/KCNK7/GABRR2/CATSPER1/GABRG3/KCNJ1/PIEZO2/ANO3/LOXHD1/GRIK2/RYR3/GABRA6/ABCC9/CLCNKA	78
GO:0005216	ion channel activity	76/1335	425/17354	2.84400834167143e-12	5.13059104837526e-10	4.3707917672003e-10	TRPC5/KCNIP1/KCNK16/KCNG3/KCNK2/GPM6A/KCNK10/ANO4/KCNIP4/TMEM63C/CACNA2D1/TMEM38A/TTYH2/CACNB4/NOX5/GABRA5/RYR2/KCNN4/CLCNKB/CFTR/KCNA1/GABRB3/SLC26A7/SLC26A4/ABCC8/FAM155B/FAM155A/CHRNA4/PKD2L1/FXYD2/HCN2/KCNAB1/KCNA2/KCNK17/SLC26A3/GRIK4/KCNMB2/HCN4/CACNA1B/CHRFAM7A/CACNB2/TRPM3/KCNK9/GABRQ/ITPR1/TRPC6/KCNB1/CACNG4/JPH2/KCNC1/KCNK3/GABRG1/TMEM150C/KCNJ13/REST/CACNA2D2/CACNA2D3/KCND3/SLC24A3/SCN3A/FXYD3/CHRNA7/GRIN2C/KCNK7/GABRR2/CATSPER1/GABRG3/KCNJ1/PIEZO2/ANO3/LOXHD1/GRIK2/RYR3/GABRA6/ABCC9/CLCNKA	76
GO:0022836	gated channel activity	63/1335	332/17354	1.61246241566129e-11	2.42406849821081e-09	2.06508344461885e-09	KCNIP1/KCNK16/KCNG3/KCNK2/KCNK10/ANO4/KCNIP4/TMEM63C/CACNA2D1/TMEM38A/CACNB4/GABRA5/RYR2/KCNN4/CLCNKB/CFTR/KCNA1/GABRB3/ABCC8/FAM155B/FAM155A/CHRNA4/PKD2L1/HCN2/KCNAB1/KCNA2/KCNK17/GRIK4/KCNMB2/HCN4/CACNA1B/CHRFAM7A/CACNB2/TRPM3/KCNK9/GABRQ/ITPR1/KCNB1/CACNG4/JPH2/KCNC1/KCNK3/GABRG1/TMEM150C/KCNJ13/REST/CACNA2D2/CACNA2D3/KCND3/SCN3A/CHRNA7/GRIN2C/KCNK7/GABRR2/CATSPER1/GABRG3/KCNJ1/PIEZO2/ANO3/GRIK2/RYR3/GABRA6/CLCNKA	63
GO:0048018	receptor ligand activity	76/1335	456/17354	9.61401995595001e-11	1.23883514289527e-08	1.05537361922459e-08	CXCL14/WNT7A/CALCA/CCL21/PMCH/SST/SPX/GDF6/VEGFD/VGF/GAL/IL27/CSF2/LEFTY2/EBI3/GDF10/IGF1/LHB/TNFRSF11B/PYY/INHBC/TNFSF9/AGRP/TIMP1/DKK1/CKLF/KITLG/BMP8B/SAA1/IL36RN/LTB/RETN/SAA2/TG/CD70/BMP5/IL23A/MACC1/CCL17/CCL20/NBL1/INSL3/NRG2/EDN3/CCL7/CARTPT/NPPC/UCN/C1QTNF12/PDGFD/TDGF1/CXCL5/CRLF1/KCNK3/IL1RN/IL32/FLRT2/EGF/COLEC10/LGALS3/FGF12/GDF15/BMP8A/MAPT/TDGF1P3/NDP/IL18/IL17C/WNT10A/SCGB3A1/OGN/NPY/CD320/EREG/WNT3A/FBN1	76
GO:0030545	receptor regulator activity	79/1335	485/17354	1.27728690191031e-10	1.44014098190388e-08	1.22686768209806e-08	CXCL14/WNT7A/CALCA/CCL21/PMCH/SST/SPX/GDF6/VEGFD/VGF/GAL/IL27/CSF2/LEFTY2/EBI3/GDF10/IGF1/LHB/TNFRSF11B/PYY/INHBC/TNFSF9/AGRP/TIMP1/DKK1/CKLF/KITLG/BMP8B/SAA1/IL36RN/LTB/RETN/SAA2/TG/CD70/BMP5/IL23A/MACC1/CCL17/CCL20/NBL1/INSL3/NRG2/EDN3/CCL7/CARTPT/NPPC/UCN/C1QTNF12/PDGFD/TDGF1/CXCL5/CRLF1/KCNK3/IL1RN/IL32/FLRT2/ACTN2/NCOA2/EGF/COLEC10/LGALS3/FGF12/GDF15/BMP8A/MAPT/TDGF1P3/NDP/IL18/IL17C/WNT10A/SCGB3A1/OGN/NPY/CD320/EREG/CLEC12B/WNT3A/FBN1	79
GO:0005261	cation channel activity	56/1335	314/17354	2.40430631218427e-09	2.40964921510023e-07	2.05279954139709e-07	TRPC5/KCNIP1/KCNK16/KCNG3/KCNK2/GPM6A/KCNK10/KCNIP4/TMEM63C/CACNA2D1/TMEM38A/CACNB4/NOX5/RYR2/KCNN4/KCNA1/ABCC8/FAM155B/FAM155A/CHRNA4/PKD2L1/HCN2/KCNAB1/KCNA2/KCNK17/GRIK4/KCNMB2/HCN4/CACNA1B/CACNB2/TRPM3/KCNK9/ITPR1/TRPC6/KCNB1/CACNG4/JPH2/KCNC1/KCNK3/KCNJ13/REST/CACNA2D2/CACNA2D3/KCND3/SLC24A3/SCN3A/CHRNA7/GRIN2C/KCNK7/CATSPER1/KCNJ1/PIEZO2/LOXHD1/GRIK2/RYR3/ABCC9	56
GO:0015079	potassium ion transmembrane transporter activity	36/1335	162/17354	5.1146876952569e-09	4.61344830112172e-07	3.93023370267109e-07	KCNIP1/KCNK16/KCNG3/SLC9A4/KCNK2/KCNK10/KCNIP4/TMEM38A/KCNN4/KCNA1/ABCC8/PKD2L1/FXYD2/HCN2/KCNAB1/KCNA2/KCNK17/GRIK4/KCNMB2/HCN4/ATP1A2/KCNK9/KCNB1/KCNC1/KCNK3/KCNJ13/REST/KCND3/SLC24A3/KCNK7/KCNJ1/ATP1A3/GRIK2/SLC9C2/ABCC9/ATP12A	36
